Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2014-04-17,2.41,2.7,2.41,2.7,,,
2014-04-22,2.7,2.73,2.59,2.6,,,
2014-04-23,2.6,2.62,2.55,2.57,,,
2014-04-24,2.57,2.58,2.54,2.56,,,
2014-04-28,2.56,2.57,2.55,2.56,,,
2014-04-29,2.55,2.62,2.55,2.6,,,
2014-04-30,2.64,2.65,2.6,2.6,,2.5,
2014-05-01,2.63,2.63,2.57,2.57,,2.6,
2014-05-02,2.6,2.6,2.49,2.51,,2.57,
2014-05-05,2.52,2.55,2.5,2.52,,2.4599999999999995,
2014-05-06,2.52,2.56,2.52,2.55,,2.48,
2014-05-07,2.55,2.6,2.55,2.58,,2.5,
2014-05-08,2.58,2.6,2.57,2.58,,2.56,
2014-05-09,2.6,2.6,2.58,2.6,,2.5900000000000003,
2014-05-12,2.59,2.61,2.56,2.59,,2.6900000000000004,
2014-05-13,2.59,2.64,2.59,2.61,,2.66,
2014-05-14,2.59,2.64,2.59,2.61,,2.67,
2014-05-15,2.39,2.49,2.39,2.47,,2.64,
2014-05-16,2.47,2.48,2.45,2.48,,2.3600000000000003,
2014-05-19,2.48,2.48,2.45,2.45,,2.36,
2014-05-20,2.47,2.48,2.45,2.47,,2.3100000000000005,
2014-05-21,2.48,2.56,2.47,2.56,,2.3300000000000005,
2014-05-22,2.6,2.62,2.55,2.6,,2.51,
2014-05-23,2.64,2.64,2.6,2.64,,2.73,
2014-05-26,2.63,2.68,2.61,2.65,,2.8000000000000003,
2014-05-27,2.66,2.69,2.62,2.66,,2.85,
2014-05-28,2.67,2.75,2.66,2.72,,2.85,
2014-05-29,2.79,2.79,2.7,2.7,,2.8800000000000003,
2014-05-30,2.7,2.72,2.7,2.7,,2.8000000000000003,
2014-06-02,2.71,2.72,2.68,2.72,,2.76,
2014-06-03,2.7,2.7,2.64,2.66,,2.7900000000000005,
2014-06-04,2.65,2.71,2.62,2.7,,2.66,
