Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
1999-03-22,3.591,3.591,3.5,3.5,361570.0,,,0.7743216753005981
1999-03-23,3.52,3.53,3.48,3.48,244291.0,,,1.0379188060760498
1999-03-24,3.45,3.45,3.38,3.41,676271.0,,,1.3863496780395508
1999-03-25,3.42,3.48,3.4,3.42,845098.0,,,1.6467450857162476
1999-03-26,3.49,3.5,3.45,3.45,837142.0,,,1.8278987407684326
1999-03-29,3.48,3.48,3.34,3.4,151976.0,,,1.9984921216964722
1999-03-30,3.4,3.48,3.4,3.48,407908.0,3.3,,2.1500368118286133
1999-03-31,3.48,3.48,3.4,3.47,2611049.0,3.48,,2.288769245147705
1999-04-01,3.42,3.45,3.42,3.45,301792.0,3.53,,2.4131884574890137
1999-04-06,3.4760000000000004,3.4760000000000004,3.41,3.47,164399.0,3.4800000000000004,,2.5273075103759766
1999-04-07,3.471,3.51,3.43,3.51,368268.0,3.49,,2.6340880393981934
1999-04-08,3.52,3.52,3.45,3.49,82446.0,3.62,,2.7335567474365234
1999-04-09,3.488,3.52,3.4,3.44,177011.0,3.5000000000000004,,2.826239585876465
1999-04-12,3.4,3.4,3.31,3.35,229360.0,3.41,,2.913151741027832
1999-04-13,3.344,3.36,3.3,3.32,388050.0,3.25,,2.993208885192871
1999-04-14,3.32,3.38,3.28,3.35,461225.0,3.1699999999999995,,3.0664567947387695
1999-04-15,3.36,3.45,3.36,3.4210000000000003,727748.0,3.1900000000000004,,3.132941246032715
1999-04-16,3.45,3.45,3.39,3.45,508363.0,3.3520000000000003,,3.1927061080932617
1999-04-19,3.44,3.45,3.35,3.4,360728.0,3.4600000000000004,,3.2457971572875977
1999-04-20,3.38,3.46,3.38,3.4,344973.0,3.45,,3.292668342590332
1999-04-21,3.48,3.51,3.48,3.49,399755.0,3.48,,3.334526538848877
1999-04-22,3.51,3.55,3.51,3.55,440658.0,3.63,,3.369943141937256
1999-04-23,3.55,3.6,3.55,3.59,308365.0,3.679,,3.3997340202331543
1999-04-26,3.6,3.6,3.55,3.55,79850.0,3.73,,3.4237051010131836
1999-04-27,3.5580000000000003,3.7,3.53,3.68,450055.0,3.7,,3.441389560699463
1999-04-28,3.7,3.72,3.59,3.65,375981.0,3.96,,3.453660488128662
1999-04-29,3.65,3.68,3.59,3.6,222843.0,3.81,,3.461047649383545
1999-04-30,3.64,3.65,3.55,3.65,348534.0,3.65,,3.4623007774353027
1999-05-03,3.657,3.68,3.58,3.59,247054.0,3.71,,3.4574666023254395
1999-05-04,3.7,3.7,3.63,3.65,1559869.0,3.63,,3.446591377258301
1999-05-05,3.6710000000000003,3.69,3.65,3.68,413590.0,3.62,,3.4312753677368164
1999-05-06,3.68,3.682,3.6,3.682,337952.0,3.71,,3.4110679626464844
1999-05-07,3.6510000000000002,3.792,3.61,3.792,474681.0,3.764,,3.385119915008545
1999-05-10,3.8,3.8,3.7,3.75,392784.0,3.9339999999999997,,3.353476047515869
1999-05-11,3.758,3.8,3.71,3.8,1706071.0,3.91,,3.31740665435791
1999-05-12,3.792,3.84,3.75,3.84,302008.0,3.95,,3.279517650604248
1999-05-13,3.843,3.843,3.71,3.73,651555.0,4.0,,3.237964153289795
1999-05-14,3.7310000000000003,3.79,3.7,3.75,531516.0,3.778,,3.1913256645202637
1999-05-17,3.667,3.8,3.667,3.8,1084895.0,3.708,,3.1890902519226074
1999-05-18,3.8,3.85,3.74,3.85,355025.0,3.85,,3.202272891998291
1999-05-19,3.84,4.05,3.84,4.05,676799.0,3.9,,3.216555595397949
1999-05-20,4.0,4.0,3.85,3.9,546350.0,4.26,,3.2331857681274414
1999-05-21,3.89,3.93,3.82,3.91,1248431.0,4.07,,3.248676300048828
1999-05-24,3.9010000000000002,3.9010000000000002,3.85,3.88,380995.0,4.07,,3.2630820274353027
1999-05-25,3.8,3.94,3.78,3.9,518195.0,3.96,,3.276459217071533
1999-05-26,3.8,3.85,3.8,3.85,290517.0,3.95,,3.2888622283935547
1999-05-27,3.75,3.78,3.75,3.77,214135.0,3.65,,3.3003478050231934
1999-05-28,3.75,3.76,3.73,3.75,1076983.0,3.64,,3.313398838043213
1999-05-31,3.73,3.81,3.73,3.78,110862.0,3.59,,3.3261570930480957
1999-06-01,3.8,3.8,3.75,3.78,354654.0,3.68,,3.3383045196533203
1999-06-02,3.77,3.84,3.76,3.84,988972.0,3.66,,3.3498973846435547
1999-06-03,3.8,3.904,3.8,3.904,626806.0,3.83,,3.360992908477783
1999-06-04,3.86,3.9,3.85,3.88,368572.0,4.038,,3.372835159301758
1999-06-07,3.9,3.93,3.87,3.9,99257.0,4.01,,3.386016368865967
1999-06-08,3.93,4.043,3.93,4.043,470617.0,4.02,,3.3979315757751465
