Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2015-10-27,7.1,7.12,7.055,7.07,,,,0.3998753726482392,,,,,,
2015-10-28,7.06,7.2,7.06,7.12,,,,0.5706410408020021,,,,,,
2015-10-29,7.09,7.17,7.09,7.13,,,,0.8295377492904663,,,,,,
2015-10-30,7.09,7.17,7.08,7.13,,,,1.207955837249756,,,,,,
2015-11-02,7.12,7.17,7.09,7.12,,,,1.6985311508178709,,,,,,
2015-11-03,7.11,7.12,7.07,7.1,,,,2.2615966796875,,,,,,
2015-11-04,7.09,7.11,7.04,7.07,,7.129999999999999,,2.887110948562622,7.105714285714286,,,,,
2015-11-05,7.05,7.07,7.05,7.06,,7.0200000000000005,,3.2792437076568604,7.104285714285715,,,,,
2015-11-06,7.05,7.18,7.05,7.16,,6.9899999999999975,,3.6740233898162837,7.11,,,,,
2015-11-09,7.16,7.16,7.05,7.15,,7.19,,4.058605670928955,7.112857142857143,,,,,
2015-11-10,7.1,7.18,7.06,7.18,,7.1800000000000015,,4.417251586914063,7.119999999999999,,,,,
2015-11-11,7.14,7.29,7.14,7.26,,7.26,,4.770044326782227,7.14,,,,,
2015-11-12,7.3,7.49,7.3,7.44,,7.449999999999997,,5.109430313110352,7.188571428571428,,,,,
2015-11-13,7.4,7.45,7.38,7.43,,7.820000000000001,,5.43212890625,7.239999999999999,7.172857142857144,,,,
2015-11-16,7.4,7.55,7.32,7.51,,7.699999999999997,,5.736690998077393,7.3042857142857125,7.2042857142857155,,,,
2015-11-17,7.59,7.6,7.41,7.48,,7.869999999999999,,6.021708488464356,7.349999999999999,7.230000000000001,,,,
2015-11-18,7.46,7.495,7.4,7.46,,7.780000000000001,,6.2886900901794425,7.394285714285713,7.253571428571429,,,,
2015-11-19,7.48,7.52,7.45,7.5,,7.66,,6.540671348571777,7.439999999999999,7.280000000000001,,,,
2015-11-20,7.5,7.51,7.4,7.44,,7.56,,6.780613899230957,7.465714285714284,7.302857142857143,,,,
2015-11-23,7.4,7.49,7.32,7.39,,7.450000000000001,,7.000288009643555,7.458571428571427,7.323571428571429,,,,
2015-11-24,7.4,7.43,7.34,7.36,,7.27,,7.190842628479004,7.4485714285714275,7.344285714285716,,,,
2015-11-25,7.39,7.4,7.31,7.36,,7.24,,7.367111206054687,7.427142857142856,7.365714285714287,,,,
2015-11-26,7.36,7.38,7.27,7.27,,7.260000000000002,,7.528918743133545,7.397142857142855,7.37357142857143,,,,
2015-11-27,7.36,7.37,7.29,7.35,,7.039999999999999,,7.669729232788086,7.38142857142857,7.387857142857143,,,,
2015-11-30,7.35,7.38,7.26,7.3,,7.259999999999999,,7.792528629302978,7.3528571428571405,7.396428571428572,,,,
2015-12-01,7.27,7.3,7.16,7.29,,7.21,,7.90110969543457,7.331428571428569,7.3985714285714295,,,,
2015-12-02,7.25,7.34,7.25,7.3,,7.22,,7.995476722717285,7.318571428571426,7.38857142857143,,,,
2015-12-03,7.29,7.36,7.25,7.36,,7.239999999999997,,8.075634956359862,7.318571428571426,7.383571428571429,,,,
2015-12-04,7.38,7.41,7.3,7.4,,7.450000000000001,,8.14057731628418,7.324285714285712,7.375714285714286,,,,
2015-12-07,7.41,7.44,7.28,7.31,,7.450000000000001,,8.182830810546875,7.329999999999998,7.363571428571428,7.283333333333335,,,
2015-12-08,7.38,7.41,7.29,7.4,,7.3199999999999985,,8.209542274475098,7.337142857142855,7.359285714285716,7.294333333333336,,,
2015-12-09,7.42,7.45,7.3,7.31,,7.510000000000002,7.3870000000000005,8.220587730407715,7.338571428571427,7.345714285714287,7.300666666666669,,,
2015-12-10,7.31,7.4,7.26,7.37,,7.3199999999999985,7.3279999999999985,8.21584415435791,7.349999999999999,7.340714285714287,7.308666666666669,,,
2015-12-11,7.4,7.44,7.3,7.39,,7.38,7.358,8.194820404052733,7.362857142857142,7.340714285714287,7.317333333333336,,,
2015-12-14,7.32,7.4,7.31,7.4,,7.379999999999999,7.376,8.157340049743652,7.368571428571427,7.343571428571431,7.326666666666669,,,
2015-12-15,7.39,7.42,7.34,7.42,,7.490000000000001,7.397000000000001,8.103388786315918,7.371428571428571,7.347857142857145,7.337333333333335,,,
2015-12-16,7.42,7.45,7.39,7.4,,7.439999999999999,7.407999999999999,8.032656669616701,7.384285714285713,7.35714285714286,7.348333333333335,,,
2015-12-17,7.31,7.41,7.31,7.4,,7.490000000000001,7.4049999999999985,7.944864273071289,7.384285714285713,7.360714285714289,7.359666666666669,,,
2015-12-18,7.4,7.42,7.32,7.39,,7.4300000000000015,7.403999999999999,7.876595973968506,7.395714285714284,7.367142857142861,7.3673333333333355,,,
2015-12-21,7.35,7.42,7.34,7.37,,7.39,7.395,7.869078159332275,7.395714285714284,7.372857142857147,7.374666666666669,,,
2015-12-22,7.37,7.4,7.35,7.37,,7.34,7.381,7.86823844909668,7.392857142857141,7.377857142857147,7.381000000000002,,,
2015-12-23,7.4,7.45,7.365,7.45,,7.32,7.374,7.905956268310548,7.399999999999999,7.384285714285719,7.387333333333335,,,
2015-12-24,7.45,7.5,7.44,7.44,,7.5,7.442,7.943244934082031,7.402857142857141,7.3871428571428615,7.387333333333335,,,
2015-12-29,7.42,7.5,7.4,7.45,,7.48,7.437,7.974288940429687,7.409999999999998,7.397142857142861,7.388000000000002,,,
2015-12-30,7.45,7.47,7.4,7.44,,7.510000000000002,7.447999999999999,8.005928039550781,7.415714285714285,7.400000000000004,7.385666666666668,,,
2015-12-31,7.44,7.5,7.43,7.45,,7.510000000000002,7.443,8.052995681762695,7.4242857142857135,7.410000000000004,7.384666666666669,,,
2016-01-04,7.44,7.51,7.39,7.4,,7.53,7.4490000000000025,8.09498405456543,7.428571428571428,7.412142857142861,7.382666666666668,,,
