Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2006-11-27,2.17,2.22,2.15,2.15,54200.0,,,2.0427794456481934
2006-11-28,2.12,2.2,2.11,2.2,46466.0,,,2.076525926589966
2006-11-29,2.2,2.29,2.17,2.17,40800.0,,,2.117415189743042
2006-11-30,2.25,2.3,2.17,2.17,218040.0,,,2.1625216007232666
2006-12-01,2.18,2.2,2.16,2.18,174500.0,,,2.211435317993164
2006-12-04,2.2,2.22,2.18,2.18,59380.0,,,2.2559030055999756
2006-12-05,2.18,2.18,2.17,2.18,113825.0,2.2100000000000004,,2.294733762741089
2006-12-06,2.2,2.3,2.18,2.3,645137.0,2.16,,2.330702781677246
2006-12-07,2.32,2.35,2.3,2.3,79080.0,2.43,,2.3611748218536377
2006-12-08,2.3,2.3,2.25,2.26,54419.0,2.43,,2.3866710662841797
2006-12-11,2.26,2.26,2.26,2.26,21500.0,2.3399999999999994,,2.407914876937866
2006-12-12,2.26,2.3,2.21,2.26,26188.0,2.3399999999999994,,2.4245917797088623
2006-12-13,2.3,2.48,2.3,2.48,49551.0,2.3399999999999994,,2.436028480529785
2006-12-14,2.5,2.54,2.48,2.49,41500.0,2.66,,2.440725564956665
2006-12-15,2.54,2.59,2.49,2.53,76588.0,2.6800000000000006,,2.439859628677368
2006-12-18,2.5,2.5,2.38,2.45,35700.0,2.8,,2.431036949157715
2006-12-19,2.45,2.5,2.45,2.45,81000.0,2.640000000000001,,2.4163665771484375
2006-12-20,2.45,2.45,2.26,2.26,195350.0,2.640000000000001,,2.398362636566162
2006-12-21,2.35,2.35,2.33,2.33,20000.0,2.04,,2.379755973815918
2006-12-22,2.34,2.34,2.3,2.3,11851.0,2.17,,2.3598666191101074
2006-12-27,2.33,2.35,2.33,2.35,10500.0,2.07,,2.3442556858062744
2006-12-28,2.35,2.35,2.35,2.35,10000.0,2.25,,2.3340117931365967
2006-12-29,2.35,2.35,2.3,2.35,7750.0,2.25,,2.3212757110595703
2007-01-02,2.35,2.35,2.3,2.3,13599.0,2.4400000000000004,,2.3071181774139404
2007-01-03,2.3,2.3,2.3,2.3,7000.0,2.27,,2.291407346725464
2007-01-04,2.25,2.25,2.22,2.22,10357.0,2.3,,2.276749610900879
2007-01-05,2.25,2.3,2.25,2.25,42000.0,2.0900000000000003,,2.261354923248291
2007-01-08,2.22,2.22,2.2,2.2,21254.0,2.15,,2.244954824447632
2007-01-09,2.2,2.2,2.2,2.2,1000.0,2.0500000000000003,,2.232628107070923
2007-01-10,2.15,2.2,2.15,2.17,16150.0,2.1000000000000005,,2.2211239337921143
2007-01-11,2.18,2.2,2.18,2.2,67850.0,2.04,,2.2141616344451904
2007-01-12,2.2,2.2,2.2,2.2,2250.0,2.18,,2.2095494270324707
2007-01-15,2.18,2.18,2.18,2.18,2250.0,2.1500000000000004,,2.20442533493042
2007-01-16,2.2,2.2,2.18,2.18,11000.0,2.16,,2.198819398880005
2007-01-17,2.2,2.2,2.15,2.18,33850.0,2.16,,2.1927621364593506
2007-01-18,2.12,2.18,2.11,2.18,46622.0,2.1900000000000004,,2.186284303665161
2007-01-19,2.11,2.18,2.05,2.18,60178.0,2.16,,2.179417371749878
2007-01-22,2.18,2.18,2.07,2.08,15000.0,2.16,,2.172192096710205
2007-01-23,2.09,2.15,2.08,2.15,22770.0,1.98,,2.164639949798584
2007-01-24,2.18,2.18,2.18,2.18,35400.0,2.12,,2.156792402267456
2007-01-25,2.15,2.16,2.15,2.15,27800.0,2.18,,2.1481502056121826
2007-01-29,2.15,2.15,2.09,2.15,35950.0,2.12,,2.1395184993743896
2007-01-30,2.15,2.18,2.09,2.09,15200.0,2.12,,2.1308488845825195
2007-01-31,2.12,2.12,2.12,2.12,15200.0,2.1,,2.1220107078552246
2007-02-01,2.13,2.13,2.09,2.09,35649.0,2.0900000000000003,,2.1131346225738525
2007-02-02,2.09,2.2,2.08,2.1,32906.0,2.0,,2.1047298908233643
2007-02-05,2.1,2.1,2.06,2.06,10000.0,2.0500000000000003,,2.096338987350464
2007-02-06,2.06,2.06,1.95,1.99,38000.0,1.97,,2.0880539417266846
2007-02-07,2.0,2.05,2.0,2.05,35563.0,1.89,,2.0800576210021973
2007-02-08,2.05,2.05,1.95,2.02,66600.0,1.9799999999999995,,2.0771355628967285
2007-02-09,2.0,2.05,2.0,2.0,161500.0,1.95,,2.078397512435913
2007-02-12,1.98,1.98,1.98,1.98,161500.0,1.9,,2.080151081085205
2007-02-13,1.98,1.98,1.95,1.95,10410.0,1.9,,2.0819320678710938
2007-02-14,1.95,1.95,1.91,1.91,21677.0,1.91,,2.08374285697937
2007-02-15,1.91,1.94,1.88,1.94,64000.0,1.77,,2.0855867862701416
2007-02-16,1.9,1.94,1.89,1.94,44450.0,1.86,,2.087150812149048
2007-02-19,1.95,1.98,1.95,1.98,36800.0,1.88,,2.088749647140503
2007-02-20,1.98,2.0,1.92,2.0,38000.0,1.98,,2.0903372764587402
2007-02-21,2.0,2.0,1.98,2.0,122338.0,2.05,,2.0919148921966553
2007-02-22,2.0,2.03,2.0,2.03,253585.0,2.09,,2.0934834480285645
2007-02-23,2.03,2.07,2.03,2.07,31000.0,2.12,,2.095043897628784
2007-02-26,2.1,2.1,2.04,2.04,7000.0,2.2,,2.096597194671631
2007-02-27,2.05,2.09,2.05,2.09,20000.0,2.1,,2.09814453125
2007-02-28,2.05,2.05,1.95,2.0,120000.0,2.18,,2.09975266456604
2007-03-01,2.05,2.05,2.0,2.05,33000.0,2.0,,2.1014797687530518
2007-03-02,2.01,2.01,2.01,2.01,20000.0,2.07,,2.1032004356384277
2007-03-05,2.0,2.1,2.0,2.0,96389.0,1.95,,2.1049084663391113
2007-03-06,2.0,2.0,2.0,2.0,50000.0,1.96,,2.1066033840179443
2007-03-07,2.01,2.09,2.01,2.09,37502.0,1.91,,2.108285665512085
2007-03-08,2.09,2.09,2.05,2.05,12700.0,2.18,,2.11004376411438
2007-03-09,2.08,2.09,2.08,2.09,9000.0,2.05,,2.1120026111602783
2007-03-12,2.06,2.15,2.05,2.15,79789.0,2.17,,2.113953113555908
2007-03-13,2.07,2.07,2.01,2.01,22500.0,2.3,,2.1158950328826904
2007-03-14,2.01,2.08,2.01,2.08,52460.0,2.02,,2.117828369140625
2007-03-15,2.01,2.01,2.01,2.01,17000.0,2.0700000000000003,,2.119753122329712
2007-03-16,2.02,2.02,2.02,2.02,8500.0,1.97,,2.121652603149414
2007-03-19,2.05,2.05,2.05,2.05,9000.0,1.95,,2.123535394668579
2007-03-20,2.08,2.08,2.06,2.06,12540.0,1.95,,2.125438690185547
2007-03-21,2.05,2.05,2.0,2.05,114225.0,2.1100000000000003,,2.1273622512817383
2007-03-22,2.08,2.13,2.08,2.13,34275.0,2.02,,2.1293013095855713
2007-03-23,2.13,2.13,2.05,2.1,47430.0,2.25,,2.1312637329101562
2007-04-10,2.32,2.32,2.31,2.32,50902.0,2.18,,2.1332502365112305
2007-04-11,2.0,2.0,1.98,1.98,209700.0,2.59,,2.1352624893188477
2007-04-12,2.0,2.0,1.99,2.0,59550.0,1.9,,2.137301445007324
2007-04-13,2.0,2.0,1.96,2.0,49000.0,1.95,,2.1393685340881348
2007-04-16,1.78,1.78,1.78,1.78,49000.0,1.87,,2.1414647102355957
2007-04-17,1.95,1.95,1.8,1.8,75000.0,1.46,,2.1435914039611816
2007-04-18,1.8,1.85,1.8,1.8,22500.0,1.2800000000000002,,2.145749807357788
2007-04-19,1.8,1.8,1.7,1.7,118500.0,1.62,,2.1479411125183105
2007-04-20,1.79,1.79,1.79,1.79,6000.0,1.4,,2.151484727859497
2007-04-23,1.77,1.77,1.75,1.75,23000.0,1.58,,2.155203342437744
2007-04-24,1.72,1.72,1.72,1.72,30000.0,1.72,,2.1589322090148926
