Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
1999-03-22,,,,2.6,,,,1.7237104177474976
1999-03-23,2.6,2.6,2.6,2.6,1000.0,,,1.9663589000701904
1999-03-24,2.6,2.6,2.6,2.65,1000.0,,,2.2747364044189453
1999-03-25,2.8,2.8,2.8,2.8,2500.0,,,2.5368738174438477
1999-03-26,2.8,2.8,2.8,2.8,1000.0,,,2.714972496032715
1999-03-29,2.8,2.8,2.8,2.8,11000.0,,,2.8344459533691406
1999-03-30,2.8,2.85,2.8,2.85,13000.0,3.0,,2.9345126152038574
1999-03-31,3.0,3.0,3.0,3.0,6629.0,3.1,,3.012012004852295
1999-04-01,3.1,3.1,3.1,3.1,1000.0,3.35,,3.066868305206299
1999-04-06,3.1,3.1,3.1,3.0,1000.0,3.4000000000000004,,3.102445602416992
1999-04-07,3.0,3.0,3.0,3.0,11900.0,3.2,,3.118715763092041
1999-04-08,3.0,3.0,3.0,3.0,11900.0,3.2,,3.115649938583374
1999-04-09,3.0,3.0,2.9,3.0,7200.0,3.15,,3.093219757080078
1999-04-12,3.0,3.0,2.9,2.95,7200.0,3.0,,3.051396608352661
1999-04-13,2.95,2.95,2.95,2.95,629.0,2.8000000000000003,,2.9904260635375977
1999-04-14,3.0,3.0,3.0,3.0,2371.0,2.9000000000000004,,2.9644856452941895
1999-04-15,3.0,3.0,3.0,2.75,2371.0,3.0,,2.9412624835968018
1999-04-16,3.0,3.01,3.0,3.01,20000.0,2.5,,2.9474170207977295
1999-04-20,3.0,3.0,3.0,3.0,16000.0,3.02,,2.947002649307251
1999-04-21,3.0,3.05,2.85,2.85,7350.0,3.05,,2.9441990852355957
1999-04-22,3.0,3.0,3.0,3.0,4000.0,2.75,,2.951509475708008
1999-04-23,2.92,2.92,2.92,2.92,1500.0,3.0,,2.95461368560791
1999-04-26,2.92,2.92,2.92,2.92,11000.0,3.09,,2.953551769256592
1999-04-27,3.0,3.0,3.0,3.0,1500.0,2.83,,2.9503915309906006
1999-04-28,3.0,3.0,3.0,2.95,1500.0,3.0,,2.94534969329834
1999-04-29,2.95,2.95,2.95,2.95,100000.0,3.0500000000000003,,2.936566114425659
1999-04-30,2.95,2.95,2.95,2.95,4500.0,2.9000000000000004,,2.926025867462158
1999-05-03,2.95,2.95,2.95,2.93,4500.0,2.9800000000000004,,2.9272758960723877
1999-05-04,2.95,2.95,2.93,2.93,23400.0,2.9400000000000004,,2.9260940551757812
1999-05-05,2.9,2.95,2.9,2.95,2600.0,2.8600000000000003,,2.922518730163574
1999-05-06,2.93,2.93,2.93,2.93,80000.0,2.95,,2.91658878326416
1999-05-07,2.92,3.0,2.92,3.0,1570.0,2.91,,2.908341407775879
1999-05-10,2.92,3.0,2.92,2.92,1570.0,3.05,,2.9008402824401855
1999-05-11,2.92,2.92,2.9,2.9,3796.0,2.91,,2.9080896377563477
1999-05-12,2.9,2.9,2.9,2.9,5682.0,2.87,,2.913792133331299
1999-05-13,2.98,3.0,2.98,2.98,23818.0,2.85,,2.917948007583618
1999-05-14,2.98,2.98,2.95,2.98,12480.0,3.03,,2.9205574989318848
1999-05-17,2.98,2.98,2.98,2.98,1000.0,2.96,,2.921745777130127
1999-05-18,2.98,2.98,2.98,2.98,2000.0,3.04,,2.921403408050537
1999-05-19,2.98,2.98,2.98,2.98,13000.0,3.06,,2.9195175170898438
1999-05-20,3.0060000000000002,3.19,3.0060000000000002,3.19,458311.0,3.06,,2.916088581085205
1999-05-21,3.1,3.1,3.1,3.1,16368.0,3.4,,2.911116361618042
1999-05-24,3.1,3.1,3.1,3.1,16368.0,3.22,,2.9046008586883545
1999-05-25,3.1,3.1,3.1,3.1,16368.0,3.22,,2.8965420722961426
1999-05-26,3.15,3.15,3.15,3.15,10620.0,3.22,,2.886939764022827
1999-05-27,3.1,3.1,3.1,3.1,1900.0,3.32,,2.8757944107055664
1999-05-28,3.1,3.15,3.1,3.15,44500.0,3.01,,2.863105297088623
1999-05-31,3.15,3.15,3.15,3.15,500.0,3.2,,2.8488733768463135
1999-06-01,3.1,3.1,3.1,3.1,5.0,3.2,,2.8330979347229004
1999-06-02,3.1,3.1,3.1,3.1,5.0,3.1,,2.8196706771850586
1999-06-03,3.1,3.1,3.1,3.1,5.0,3.0500000000000003,,2.807507038116455
1999-06-04,3.1,3.1,3.05,3.05,11017.0,3.1,,2.7940542697906494
1999-06-07,3.05,3.05,3.0,3.0,2300.0,2.95,,2.7791333198547363
1999-06-08,3.0,3.0,3.0,3.0,6789.0,2.85,,2.7628726959228516
