Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2004-08-10,1.05,1.05,1.02,1.02,870106.0,,,1.1371270418167114,,,,,,
2004-08-11,1.03,1.03,0.99,0.99,1470218.0,,,1.1294257640838623,,,,,,
2004-08-12,1.03,1.03,1.0,1.0,1127926.0,,,1.1219123601913452,,,,,,
2004-08-13,1.01,1.03,1.01,1.03,93975.0,,,1.114408016204834,,,,,,
2004-08-16,1.03,1.05,1.03,1.05,2034397.0,,,1.1065183877944946,,,,,,
2004-08-17,1.06,1.07,1.06,1.07,555000.0,,,1.098275899887085,,,,,,
2004-08-18,1.09,1.09,1.07,1.09,345000.0,1.12,,1.0897207260131836,1.0357142857142858,,,,,
2004-08-19,1.1,1.1,1.09,1.09,368600.0,1.1900000000000002,,1.0808908939361572,1.0457142857142858,,,,,
2004-08-20,1.1,1.1,1.09,1.09,742850.0,1.1800000000000002,,1.0718375444412231,1.06,,,,,
2004-08-23,1.09,1.09,1.09,1.09,444814.0,1.15,,1.0627233982086182,1.0728571428571427,,,,,
2004-08-24,1.09,1.09,1.08,1.09,189000.0,1.13,,1.0536223649978638,1.0814285714285714,,,,,
2004-08-25,1.08,1.08,1.07,1.07,1285500.0,1.11,,1.0448468923568726,1.084285714285714,,,,,
2004-08-26,1.06,1.06,1.04,1.04,1302628.0,1.05,,1.0368475914001465,1.0799999999999998,,,,,
2004-08-27,1.04,1.06,1.04,1.05,532968.0,0.99,,1.0305005311965942,1.0742857142857143,1.055,,,,
2004-08-30,1.06,1.06,1.04,1.05,17676.0,1.01,,1.0233668088912964,1.0685714285714287,1.0571428571428572,,,,
2004-08-31,1.04,1.04,1.04,1.04,155549.0,1.01,,1.0163387060165403,1.0614285714285714,1.0607142857142857,,,,
2004-09-01,1.05,1.05,1.04,1.04,127051.0,0.99,,1.0105292797088623,1.054285714285714,1.0635714285714286,,,,
2004-09-02,1.04,1.05,1.04,1.05,120449.0,1.01,,1.0050829648971558,1.0485714285714285,1.0650000000000002,,,,
2004-09-03,1.05,1.05,1.04,1.04,35551.0,1.06,,0.9991191625595092,1.044285714285714,1.0642857142857145,,,,
2004-09-06,1.03,1.03,1.03,1.03,35551.0,1.03,,0.9933325052261353,1.0428571428571425,1.0614285714285716,,,,
2004-09-07,1.03,1.05,1.03,1.05,226949.0,1.01,,0.98744136095047,1.0428571428571425,1.0585714285714287,,,,
2004-09-08,1.05,1.05,1.03,1.03,81169.0,1.06,,0.9817454814910888,1.0399999999999998,1.0542857142857145,,,,
2004-09-09,1.03,1.03,1.02,1.02,298545.0,1.02,,0.9763641953468324,1.037142857142857,1.0492857142857144,,,,
2004-09-10,1.02,1.03,1.01,1.03,55000.0,0.99,,0.9713149666786194,1.0357142857142856,1.0450000000000002,,,,
2004-09-13,1.01,1.01,0.99,0.99,422835.0,1.02,,0.966624081134796,1.027142857142857,1.037857142857143,,,,
2004-09-14,0.99,1.0,0.99,0.99,179394.0,0.95,,0.9623130559921264,1.0199999999999998,1.0321428571428573,,,,
2004-09-15,0.99,0.99,0.98,0.98,100816.0,0.93,,0.9583811759948729,1.0128571428571425,1.0278571428571428,,,,
2004-09-16,0.97,0.98,0.97,0.98,56500.0,0.93,,0.9548385739326476,1.0028571428571424,1.022857142857143,,,,
2004-09-17,0.99,1.01,0.99,1.01,549246.0,0.94,,0.951822817325592,0.9999999999999997,1.02,,,,
2004-09-20,1.03,1.05,1.02,1.04,158000.0,0.99,,0.9502797126770021,1.0028571428571424,1.02,1.038,,,
2004-09-21,1.05,1.05,1.03,1.05,1003991.0,1.09,,0.9492066502571106,1.0057142857142856,1.020714285714286,1.039,,,
2004-09-22,1.04,1.04,1.03,1.03,237000.0,1.11,,0.948604941368103,1.0114285714285711,1.0192857142857144,1.0403333333333333,,,
2004-09-23,1.05,1.06,1.05,1.05,295000.0,1.08,,0.9484743475914,1.0199999999999998,1.02,1.042,,,
2004-09-24,1.06,1.06,1.05,1.05,136922.0,1.12,,0.9488130807876588,1.0299999999999998,1.0214285714285716,1.0426666666666664,,,
2004-09-27,1.02,1.02,1.02,1.02,136922.0,1.09,,0.9496220946311952,1.0357142857142854,1.0192857142857144,1.0416666666666665,,,
2004-09-28,1.03,1.03,1.02,1.02,27500.0,1.0,,0.9508960247039796,1.037142857142857,1.0185714285714287,1.0399999999999998,,,
2004-09-29,1.04,1.06,1.04,1.06,610578.0,0.99,,0.952621340751648,1.0399999999999998,1.0214285714285716,1.039,,,
2004-09-30,1.05,1.05,1.04,1.05,189600.0,1.09,,0.9547921419143676,1.0399999999999998,1.0228571428571431,1.0376666666666667,,,
2004-10-01,1.04,1.05,1.04,1.04,58500.0,1.05,,0.957343816757202,1.0414285714285711,1.0264285714285717,1.036,,,
2004-10-04,1.04,1.04,1.04,1.04,9000.0,1.03,,0.9601744413375854,1.0399999999999998,1.0300000000000002,1.0343333333333335,,,
2004-10-05,1.04,1.04,1.03,1.03,30000.0,1.06,,0.9634186625480652,1.037142857142857,1.0335714285714288,1.0323333333333333,,,
2004-10-06,1.04,1.04,1.04,1.04,3000.0,1.04,,0.967065930366516,1.0399999999999998,1.037857142857143,1.0313333333333334,,,
2004-10-07,1.03,1.03,1.02,1.02,30000.0,1.02,,0.9711049795150756,1.0399999999999998,1.0385714285714287,1.0306666666666668,,,
2004-10-08,1.03,1.03,1.02,1.02,18950.0,0.99,,0.9755237102508544,1.034285714285714,1.0371428571428571,1.0296666666666667,,,
2004-10-11,1.01,1.01,1.01,1.01,19000.0,1.0,,0.9803088307380676,1.0285714285714282,1.0342857142857143,1.0283333333333335,,,
2004-10-12,1.01,1.01,0.99,1.01,53000.0,0.98,,0.9849179983139038,1.0242857142857142,1.0328571428571427,1.0273333333333337,,,
2004-10-13,1.01,1.02,1.0,1.02,1113891.0,0.99,,0.9897845983505248,1.0214285714285714,1.0307142857142855,1.0266666666666668,,,
2004-10-14,1.01,1.02,1.01,1.02,117000.0,1.0,,0.9949553608894348,1.02,1.0285714285714282,1.025666666666667,,,
2004-10-15,1.02,1.04,1.01,1.04,852000.0,1.02,,1.0004154443740845,1.02,1.0299999999999998,1.025666666666667,,,
2004-10-18,1.04,1.04,1.04,1.04,961224.0,1.06,,1.0061496496200562,1.022857142857143,1.0314285714285714,1.0260000000000002,,,
2004-10-19,1.04,1.04,1.02,1.02,91670.0,1.07,,1.0121426582336426,1.022857142857143,1.0285714285714282,1.0250000000000001,,,
2004-10-20,1.03,1.03,1.02,1.03,813330.0,1.03,,1.0183787345886228,1.0257142857142856,1.027142857142857,1.0250000000000001,,,
2004-10-21,1.03,1.04,1.03,1.03,172601.0,1.04,,1.0248422622680664,1.0285714285714285,1.026428571428571,1.0253333333333334,,,
2004-10-22,1.03,1.03,1.03,1.03,172601.0,1.04,,1.0315175056457522,1.0299999999999998,1.0257142857142851,1.0253333333333334,,,
2004-10-25,1.04,1.06,1.04,1.06,284907.0,1.02,,1.0383890867233276,1.0357142857142858,1.0278571428571424,1.027666666666667,,,
