Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2014-11-25,2.22,2.23,2.14,2.14,,,,0.48613014817237854
2014-11-26,2.14,2.15,2.08,2.1,,,,0.5820629000663757
2014-11-27,2.11,2.18,2.1,2.18,,,,0.7097996473312378
2014-11-28,2.17,2.19,2.14,2.17,,,,0.8732870817184448
2014-12-01,2.15,2.16,2.13,2.13,,,,1.0763728618621826
2014-12-02,2.13,2.14,2.12,2.14,,,,1.314965844154358
2014-12-03,2.14,2.15,2.13,2.15,,2.14,,1.5031986236572266
2014-12-04,2.15,2.16,2.14,2.16,,2.2,,1.6725960969924927
2014-12-05,2.16,2.16,2.14,2.15,,2.14,,1.8199658393859863
2014-12-08,2.16,2.19,2.15,2.19,,2.13,,1.934012770652771
2014-12-09,2.17,2.22,2.17,2.22,,2.25,,2.022233247756958
2014-12-10,2.21,2.25,2.2,2.24,,2.3000000000000003,,2.0887999534606934
2014-12-11,2.24,2.3,2.22,2.26,,2.3300000000000005,,2.1286661624908447
2014-12-12,2.27,2.3,2.27,2.28,,2.3599999999999994,,2.1412761211395264
2014-12-15,2.28,2.3,2.26,2.3,,2.41,,2.1324214935302734
2014-12-16,2.3,2.31,2.27,2.29,,2.41,,2.103320837020874
2014-12-17,2.29,2.29,2.26,2.28,,2.36,,2.0548362731933594
2014-12-18,2.29,2.3,2.28,2.3,,2.3199999999999994,,2.0628762245178223
2014-12-19,2.3,2.3,2.28,2.29,,2.34,,2.061225175857544
2014-12-22,2.29,2.3,2.28,2.3,,2.3000000000000003,,2.0549254417419434
2014-12-23,2.3,2.32,2.29,2.31,,2.3,,2.04864239692688
2014-12-24,2.32,2.38,2.31,2.38,,2.33,,2.032853841781616
2014-12-29,2.38,2.4,2.36,2.39,,2.48,,2.0076282024383545
2014-12-30,2.4,2.44,2.39,2.41,,2.4800000000000004,,1.9730896949768066
2014-12-31,2.42,2.43,2.41,2.41,,2.53,,1.9294188022613525
2015-01-02,2.41,2.43,2.39,2.43,,2.5200000000000005,,1.9281336069107056
2015-01-05,2.42,2.43,2.35,2.39,,2.5500000000000003,,1.9345484972000122
2015-01-06,2.34,2.35,2.31,2.35,,2.4000000000000004,,1.9373277425765991
2015-01-07,2.35,2.39,2.34,2.39,,2.31,,1.9365768432617188
2015-01-08,2.39,2.4,2.38,2.39,,2.37,,1.932416319847107
2015-01-09,2.39,2.4,2.39,2.4,,2.37,,1.9249812364578247
2015-01-12,2.39,2.4,2.38,2.4,,2.37,,1.913656234741211
2015-01-13,2.38,2.39,2.37,2.38,,2.41,,1.9054076671600342
2015-01-14,2.37,2.37,2.33,2.35,,2.41,,1.8971946239471436
2015-01-15,2.34,2.36,2.32,2.35,,2.31,,1.8968815803527832
2015-01-16,2.35,2.35,2.31,2.31,,2.31,,1.903895616531372
2015-01-19,2.32,2.36,2.32,2.36,,2.22,,1.9134793281555176
2015-01-20,2.36,2.37,2.32,2.32,,2.32,,1.9254248142242432
2015-01-21,2.33,2.37,2.32,2.37,,2.26,,1.9357950687408447
2015-01-22,2.37,2.37,2.33,2.35,,2.39,,1.9448448419570923
2015-01-23,2.36,2.36,2.33,2.34,,2.35,,1.9604055881500244
2015-01-27,2.34,2.35,2.33,2.33,,2.37,,1.9769282341003418
2015-01-28,2.33,2.37,2.32,2.37,,2.3000000000000003,2.332,1.9923968315124512
2015-01-29,2.36,2.37,2.34,2.35,,2.4200000000000004,2.3520000000000003,2.006810188293457
