Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2010-01-25,0.51,0.7,0.51,0.615,20618809.0,,,0.3048742413520813,,,,,,
2010-01-27,0.61,0.69,0.61,0.67,18657565.0,,,0.3643580675125122,,,,,,
2010-01-28,0.69,0.85,0.69,0.845,12861777.0,,,0.4317374229431152,,,,,,
2010-01-29,0.845,0.96,0.845,0.92,8397846.0,,,0.5065227746963501,,,,,,
2010-02-01,0.93,0.97,0.92,0.95,7197357.0,,,0.5860884189605713,,,,,,
2010-02-02,0.95,1.02,0.935,0.98,10509065.0,,,0.6645857095718384,,,,,,
2010-02-03,0.98,0.985,0.8,0.8,8960247.0,1.345,,0.7197049856185913,0.8257142857142857,,,,,
2010-02-04,0.82,0.82,0.74,0.8,8676374.0,0.93,,0.7586609125137329,0.8521428571428571,,,,,
2010-02-05,0.8,0.8,0.695,0.75,10287999.0,0.7550000000000001,,0.7793934345245361,0.8635714285714285,,,,,
2010-02-08,0.74,0.77,0.735,0.745,3847228.0,0.58,,0.7812880277633667,0.8492857142857143,,,,,
2010-02-09,0.75,0.75,0.71,0.715,7563807.0,0.54,,0.764801025390625,0.8200000000000001,,,,,
2010-02-10,0.7,0.72,0.7,0.71,6579277.0,0.45,,0.7301708459854126,0.7857142857142857,,,,,
2010-02-11,0.7,0.73,0.7,0.715,5819747.0,0.6199999999999999,,0.7380506992340088,0.7478571428571428,,,,,
2010-02-12,0.705,0.74,0.705,0.74,2630778.0,0.6299999999999999,,0.7394862174987793,0.7392857142857142,0.7825,,,,
2010-02-15,0.715,0.74,0.715,0.73,671232.0,0.73,,0.7440638542175293,0.7292857142857142,0.7907142857142857,,,,
2010-02-16,0.71,0.735,0.71,0.73,23755692.0,0.715,,0.7456822395324707,0.7264285714285713,0.795,,,,
2010-02-17,0.725,0.735,0.72,0.73,2977867.0,0.745,,0.7546718120574951,0.7242857142857142,0.7867857142857143,,,,
2010-02-18,0.715,0.75,0.71,0.75,5295399.0,0.75,,0.7799779176712036,0.7292857142857142,0.7746428571428572,,,,
2010-02-19,0.735,0.88,0.735,0.825,8159737.0,0.785,,0.7976076602935791,0.7457142857142857,0.7657142857142858,,,,
2010-02-22,0.82,0.85,0.82,0.83,2560170.0,0.91,,0.8142465353012085,0.7621428571428571,0.755,,,,
2010-02-23,0.805,0.84,0.8,0.825,2159525.0,0.93,,0.8245130777359009,0.7742857142857142,0.7567857142857142,,,,
2010-02-24,0.795,0.82,0.795,0.805,4831276.0,0.92,,0.8328336477279663,0.7849999999999999,0.757142857142857,,,,
2010-02-25,0.805,0.815,0.805,0.81,3933311.0,0.8800000000000001,,0.8403856754302979,0.7964285714285714,0.7614285714285713,,,,
2010-02-26,0.8,0.82,0.8,0.805,32851960.0,0.8700000000000001,,0.8473055362701416,0.8071428571428569,0.7657142857142857,,,,
2010-03-01,0.79,0.835,0.79,0.83,1251141.0,0.7850000000000001,,0.854620099067688,0.8185714285714284,0.7739285714285714,,,,
2010-03-02,0.81,0.845,0.81,0.845,809827.0,0.83,,0.8618021011352539,0.8214285714285712,0.7835714285714285,,,,
2010-03-03,0.825,0.845,0.82,0.83,871127.0,0.865,,0.8689690828323364,0.8214285714285712,0.7917857142857142,,,,
2010-03-04,0.835,0.86,0.83,0.85,1363711.0,0.8549999999999999,,0.8765432834625244,0.8249999999999996,0.799642857142857,,,,
2010-03-05,0.85,0.86,0.845,0.86,521679.0,0.8899999999999999,,0.8839256763458252,0.8328571428571426,0.8089285714285712,,,,
2010-03-08,0.865,0.93,0.865,0.905,1005346.0,0.915,,0.89082932472229,0.8464285714285713,0.8214285714285712,0.7971666666666665,,,
2010-03-09,0.91,0.94,0.9,0.91,1301316.0,0.98,,0.8963456153869629,0.8614285714285713,0.834285714285714,0.8069999999999999,,,
2010-03-10,0.91,0.92,0.89,0.89,1500147.0,0.975,,0.8993265628814697,0.8699999999999999,0.8442857142857141,0.8143333333333332,,,
2010-03-11,0.89,0.925,0.89,0.89,1295739.0,0.95,,0.9024391174316406,0.8764285714285712,0.8489285714285713,0.8158333333333333,,,
2010-03-12,0.89,0.9,0.88,0.89,499888.0,0.93,,0.906808614730835,0.8849999999999998,0.8532142857142856,0.8148333333333332,,,
2010-03-15,0.89,0.9,0.865,0.865,3182257.0,0.92,,0.9113922119140624,0.887142857142857,0.8560714285714285,0.8119999999999998,,,
2010-03-16,0.855,0.86,0.825,0.86,1787701.0,0.825,,0.9162695407867432,0.887142857142857,0.86,0.8079999999999998,,,
2010-03-17,0.9,0.9,0.855,0.855,474820.0,0.8099999999999999,,0.9215201139450072,0.8799999999999999,0.8632142857142856,0.8098333333333332,,,
2010-03-18,0.87,0.87,0.85,0.85,535330.0,0.82,,0.9272246360778807,0.8714285714285712,0.8664285714285713,0.8114999999999999,,,
2010-03-19,0.855,0.875,0.835,0.835,1773101.0,0.8099999999999999,,0.9334640502929688,0.8635714285714284,0.8667857142857143,0.8143333333333332,,,
2010-03-22,0.835,0.845,0.825,0.845,536780.0,0.7799999999999999,,0.940683364868164,0.857142857142857,0.8667857142857143,0.8176666666666664,,,
2010-03-23,0.845,0.88,0.84,0.84,865436.0,0.825,,0.9491323232650756,0.8499999999999999,0.8674999999999999,0.8218333333333331,,,
2010-03-24,0.83,0.89,0.83,0.86,3794508.0,0.82,,0.958251953125,0.8492857142857142,0.8682142857142857,0.8268333333333331,,,
