Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2004-12-16,0.91,1.0,0.7,0.8,896490.0,,,1.7237517833709717
2004-12-17,0.8,0.8,0.7,0.71,613400.0,,,1.601207971572876
2004-12-20,0.7,0.7,0.62,0.66,876428.0,,,1.4671469926834106
2004-12-21,0.65,0.67,0.65,0.67,201130.0,,,1.325563669204712
2004-12-22,0.67,0.7,0.64,0.66,521961.0,,,1.1791114807128906
2004-12-23,0.66,0.68,0.63,0.65,157650.0,,,1.0310149192810059
2004-12-24,0.66,0.66,0.64,0.65,16900.0,0.5,,0.888391375541687
2004-12-29,0.66,0.66,0.63,0.65,74200.0,0.5900000000000001,,0.770392894744873
2004-12-30,0.64,0.64,0.62,0.62,71008.0,0.64,,0.6763701438903809
2004-12-31,0.62,0.63,0.62,0.63,96700.0,0.57,,0.6073883771896362
2005-01-04,0.63,0.63,0.59,0.6,107370.0,0.6,,0.5614362955093384
2005-01-05,0.63,0.63,0.61,0.62,70310.0,0.5499999999999999,,0.5400658845901489
2005-01-06,0.62,0.62,0.62,0.62,54900.0,0.59,,0.5441446304321289
2005-01-07,0.62,0.62,0.62,0.62,62100.0,0.59,,0.5738139152526855
2005-01-10,0.61,0.61,0.59,0.6,152595.0,0.62,,0.5984325408935547
2005-01-11,0.6,0.6,0.58,0.59,292500.0,0.57,,0.6232056617736816
2005-01-12,0.58,0.6,0.58,0.59,361136.0,0.58,,0.6712919473648071
2005-01-13,0.6,0.61,0.6,0.6,183215.0,0.5599999999999999,,0.7027570009231567
2005-01-14,0.6,0.6,0.59,0.59,76060.0,0.58,,0.6991147994995117
2005-01-17,0.6,0.65,0.6,0.64,92100.0,0.5599999999999999,,0.7009824514389038
2005-01-18,0.64,0.64,0.64,0.64,98400.0,0.68,,0.7109078168869019
2005-01-19,0.66,0.68,0.65,0.65,380100.0,0.6900000000000001,,0.7278127670288086
2005-01-20,0.65,0.65,0.63,0.63,3087800.0,0.7100000000000001,,0.7477720975875854
2005-01-21,0.63,0.68,0.6,0.66,3171300.0,0.66,,0.7701084613800049
2005-01-24,0.66,0.66,0.65,0.65,101500.0,0.7300000000000001,,0.7941466569900513
2005-01-25,0.66,0.66,0.64,0.64,126650.0,0.66,,0.814922571182251
2005-01-27,0.65,0.65,0.63,0.64,68204.0,0.64,,0.8349438905715942
2005-01-28,0.63,0.63,0.61,0.61,263796.0,0.63,,0.8606452941894531
2005-01-31,0.65,0.65,0.65,0.65,16000.0,0.59,,0.8893201351165771
2005-02-01,0.64,0.64,0.63,0.63,210800.0,0.64,,0.9109551906585693
2005-02-02,0.63,0.65,0.62,0.65,156250.0,0.61,,0.9117008447647095
2005-02-03,0.64,0.65,0.62,0.62,207922.0,0.66,,0.9130390882492065
