Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2009-11-02,3.88,3.93,3.7,3.75,130091030.0,,,1.7333893775939941
2009-11-03,3.81,3.86,3.78,3.81,29948608.0,,,1.8404908180236816
2009-11-04,3.83,3.89,3.82,3.84,21705235.0,,,1.9971169233322144
2009-11-05,3.86,3.91,3.76,3.76,19951573.0,,,2.219052791595459
2009-11-06,3.82,3.84,3.75,3.77,7824689.0,,,2.4967167377471924
2009-11-09,3.77,3.81,3.75,3.76,7010268.0,,,2.759695529937744
2009-11-10,3.78,3.83,3.77,3.82,8469134.0,3.77,,2.9758241176605225
2009-11-11,3.83,3.87,3.8,3.85,8277208.0,3.83,,3.191011905670166
2009-11-12,3.87,3.96,3.86,3.92,15206656.0,3.86,,3.3870444297790527
2009-11-13,3.92,3.93,3.91,3.91,7988765.0,4.08,,3.554825782775879
2009-11-16,3.91,3.98,3.88,3.92,6485000.0,4.050000000000002,,3.7129855155944824
2009-11-17,3.94,3.95,3.85,3.85,4538749.0,4.08,,3.860029458999634
2009-11-18,3.86,3.93,3.86,3.93,4124716.0,3.88,,3.9946165084838867
2009-11-19,3.93,3.95,3.91,3.92,3681325.0,4.01,,4.115546226501465
2009-11-20,3.9,3.93,3.85,3.86,2551174.0,3.92,,4.221764087677002
2009-11-23,3.86,3.9,3.86,3.88,1997657.0,3.81,,4.312361717224121
2009-11-24,3.9,3.92,3.83,3.86,4885839.0,3.84,,4.386575698852539
2009-11-25,3.86,3.87,3.77,3.8,1711840.0,3.87,,4.443792343139648
2009-11-26,3.81,3.81,3.74,3.74,2789830.0,3.67,,4.483545780181885
2009-11-27,3.7,3.7,3.6,3.63,7470626.0,3.5600000000000005,,4.505521774291992
2009-11-30,3.65,3.75,3.65,3.7,5553370.0,3.4,,4.513021469116211
2009-12-01,3.77,3.8,3.71,3.77,5285622.0,3.5200000000000005,,4.509261131286621
2009-12-02,3.83,3.83,3.7,3.74,3162377.0,3.68,,4.489414691925049
2009-12-03,3.75,3.82,3.71,3.82,4386547.0,3.6800000000000006,,4.45306396484375
2009-12-04,3.77,3.82,3.77,3.81,2501429.0,3.9,,4.400572776794434
2009-12-07,3.81,3.81,3.75,3.77,1639129.0,3.99,,4.332403182983398
2009-12-08,3.76,3.77,3.69,3.75,2151991.0,3.84,,4.268389701843262
2009-12-09,3.75,3.8,3.73,3.75,4345457.0,3.73,,4.224785804748535
2009-12-10,3.8,3.85,3.76,3.8,4742968.0,3.76,,4.197813987731934
2009-12-11,3.82,3.86,3.81,3.83,3491050.0,3.78,,4.160419464111328
2009-12-14,3.84,3.86,3.76,3.79,3111193.0,3.85,,4.112401962280273
2009-12-15,3.82,3.82,3.75,3.77,2195636.0,3.81,,4.054502010345459
2009-12-16,3.76,3.81,3.75,3.77,2189846.0,3.79,,3.986969232559204
2009-12-17,3.75,3.77,3.69,3.74,2081461.0,3.79,,3.910102367401123
2009-12-18,3.74,3.74,3.66,3.68,2927210.0,3.6800000000000006,,3.8471226692199707
2009-12-21,3.68,3.72,3.67,3.68,1409347.0,3.53,,3.846163749694824
2009-12-22,3.69,3.7,3.67,3.7,1186875.0,3.5700000000000003,,3.851208209991455
2009-12-23,3.69,3.7,3.64,3.65,8121516.0,3.63,,3.851865530014038
2009-12-24,3.65,3.67,3.63,3.66,935872.0,3.53,,3.8480865955352783
2009-12-29,3.68,3.68,3.64,3.66,1658535.0,3.58,,3.839831590652466
2009-12-30,3.65,3.66,3.63,3.64,2174727.0,3.64,,3.8270654678344727
2009-12-31,3.65,3.67,3.64,3.64,2188786.0,3.6,,3.8085944652557373
2010-01-04,3.64,3.69,3.64,3.67,1647244.0,3.58,,3.785362958908081
2010-01-05,3.68,3.7,3.59,3.62,6361364.0,3.69,,3.7574827671051025
2010-01-06,3.63,3.64,3.59,3.62,2952064.0,3.58,,3.7249491214752197
2010-01-07,3.62,3.66,3.59,3.62,6352107.0,3.58,,3.687762498855591
2010-01-08,3.64,3.64,3.6,3.6,2983506.0,3.6,,3.64593243598938
2010-01-11,3.6,3.61,3.54,3.55,6793940.0,3.56,,3.5994741916656494
2010-01-12,3.54,3.57,3.54,3.56,2064823.0,3.43,,3.5484108924865723
2010-01-13,3.55,3.61,3.54,3.61,3255938.0,3.5,,3.492772340774536
2010-01-14,3.61,3.64,3.61,3.62,1987080.0,3.6,,3.4325954914093018
2010-01-15,3.62,3.64,3.61,3.62,3205008.0,3.62,,3.3679251670837402
2010-01-18,3.6,3.6,3.54,3.55,3044469.0,3.64,,3.315890312194824
2010-01-19,3.56,3.57,3.47,3.54,6962570.0,3.55,,3.269744873046875
2010-01-20,3.53,3.56,3.49,3.51,7703175.0,3.52,,3.2277655601501465
2010-01-21,3.48,3.52,3.47,3.5,1891394.0,3.41,,3.2043349742889404
2010-01-22,3.46,3.48,3.43,3.47,3275741.0,3.38,,3.180894613265991
2010-01-25,3.47,3.47,3.44,3.45,1645507.0,3.3200000000000003,,3.1544435024261475
