Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2003-01-02,8.29,8.29,8.29,8.29,,,
2003-01-03,8.29,8.29,8.29,8.29,,,
2003-01-06,8.29,8.29,8.29,8.29,,,
2003-01-07,8.77,9.0,8.77,9.0,2650.0,,
2003-01-08,9.0,9.0,9.0,9.0,2650.0,,
2003-01-09,9.25,9.25,9.25,9.25,60.0,,
2003-01-10,9.25,9.25,9.25,9.25,440.0,10.21,
2003-01-13,9.25,9.25,9.25,9.25,440.0,10.21,
2003-01-14,9.25,9.25,9.25,9.25,440.0,10.21,
2003-01-15,9.6,10.0,9.6,10.0,1000.0,9.5,
2003-01-16,10.0,10.0,10.0,10.0,2200.0,11.0,
2003-01-17,9.25,9.25,9.25,9.25,2200.0,10.75,
2003-01-20,10.0,10.0,10.0,10.0,1000.0,9.25,
2003-01-21,10.0,10.0,10.0,10.0,2000.0,10.75,
2003-01-22,9.25,9.25,9.25,9.25,2000.0,10.75,
2003-01-23,9.25,9.25,9.25,9.25,2000.0,8.5,
2003-01-24,9.25,9.25,9.25,9.25,2000.0,8.5,
2003-01-28,9.98,10.0,9.98,10.0,2750.0,9.25,
2003-01-29,9.98,9.98,9.98,9.98,2750.0,10.0,
2003-01-30,9.98,9.98,9.98,9.98,2750.0,9.96,
2003-01-31,9.99,10.0,9.99,10.0,3007.0,10.71,
2003-02-03,9.98,9.98,9.98,9.98,3007.0,10.75,
2003-02-04,9.98,9.98,9.98,9.98,3007.0,10.71,
2003-02-05,9.98,9.98,9.98,9.98,3007.0,9.96,
2003-02-06,9.98,9.98,9.98,9.98,3007.0,9.98,
2003-02-07,9.98,9.98,9.98,9.98,3007.0,9.98,
2003-02-10,9.98,9.98,9.98,9.98,100.0,9.96,
2003-02-11,9.3,9.3,9.3,9.3,100.0,9.98,
2003-02-12,9.3,9.3,9.3,9.3,100.0,8.620000000000001,
2003-02-13,9.95,10.0,9.95,10.0,5000.0,8.620000000000001,
2003-02-14,10.0,10.0,9.99,9.99,1300.0,10.02,
2003-02-17,9.3,9.3,9.3,9.3,1300.0,10.0,
2003-02-19,10.0,10.0,10.0,10.0,600.0,8.620000000000001,
2003-02-20,9.3,9.3,9.3,9.3,600.0,10.7,
2003-02-21,9.3,9.3,9.3,9.3,600.0,9.3,
2003-02-24,9.3,9.3,9.3,9.3,600.0,8.600000000000001,
2003-02-25,9.3,9.3,9.3,9.3,600.0,8.610000000000001,
2003-02-26,9.3,9.3,9.3,9.3,600.0,9.3,
2003-02-27,9.3,9.3,9.3,9.3,600.0,8.600000000000001,
2003-02-28,9.7,10.0,9.7,10.0,3600.0,9.3,
2003-03-03,9.3,9.3,9.3,9.3,3600.0,10.7,
2003-03-04,9.3,9.3,9.3,9.3,3600.0,9.3,
2003-03-05,10.0,10.0,10.0,10.0,2253.0,9.3,
2003-03-06,10.0,10.0,10.0,10.0,150.0,10.7,
2003-03-07,9.3,9.3,9.3,9.3,150.0,10.7,
2003-03-10,9.3,9.3,9.3,9.3,150.0,8.600000000000001,
2003-03-11,10.0,10.0,10.0,10.0,345.0,9.3,
2003-03-12,9.3,9.3,9.3,9.3,345.0,10.7,
2003-03-13,9.3,9.3,9.3,9.3,345.0,8.600000000000001,
2003-03-14,9.3,9.3,9.3,9.3,345.0,8.600000000000001,
2003-03-17,9.3,9.3,9.3,9.3,345.0,9.3,
2003-03-18,10.0,10.0,10.0,10.0,288.0,9.3,
2003-03-19,9.3,9.3,9.3,9.3,288.0,10.0,
2003-03-20,10.0,10.0,10.0,10.0,1567.0,9.3,
2003-03-21,9.3,9.3,9.3,9.3,1567.0,10.7,
2003-03-24,8.5,8.5,8.5,8.5,1567.0,9.3,
2003-03-25,8.5,8.5,8.5,8.5,1567.0,7.699999999999998,
2003-03-26,9.0,9.0,9.0,9.0,1567.0,7.0,
2003-03-27,9.0,9.0,9.0,9.0,1567.0,8.7,
2003-03-28,9.0,9.0,9.0,9.0,1567.0,8.0,
2003-03-31,9.0,9.0,9.0,9.0,1567.0,8.7,
2003-04-01,9.0,9.0,9.0,9.0,1567.0,9.5,
2003-04-02,9.1,9.1,9.1,9.1,2000.0,9.5,
2003-04-03,9.0,9.0,9.0,9.0,2000.0,9.2,
2003-04-04,9.05,9.05,9.05,9.05,2000.0,9.0,
2003-04-07,9.05,9.05,9.05,9.05,500.0,9.1,
2003-04-08,9.05,9.05,9.05,9.05,500.0,9.1,
2003-04-09,9.05,9.05,9.05,9.05,500.0,9.1,
2003-04-10,9.05,9.05,9.0,9.0,560.0,9.000000000000002,
2003-04-11,8.55,8.55,8.55,8.55,560.0,9.0,
2003-04-14,8.6,8.6,8.6,8.6,560.0,8.05,
2003-04-15,8.6,8.6,8.6,8.6,560.0,8.149999999999999,
2003-04-16,8.6,8.6,8.6,8.6,560.0,8.149999999999999,
2003-04-17,8.8,8.8,8.8,8.8,1200.0,8.149999999999999,
2003-04-22,8.6,8.6,8.6,8.6,1200.0,8.600000000000001,
2003-04-23,8.8,8.8,8.8,8.8,800.0,8.649999999999999,
2003-04-24,8.6,8.6,8.6,8.6,800.0,9.000000000000002,
2003-04-28,8.8,8.8,8.8,8.8,1000.0,8.6,
2003-04-29,8.6,8.6,8.6,8.6,1000.0,9.000000000000002,
2003-04-30,8.6,8.6,8.6,8.6,1000.0,8.399999999999999,
2003-05-01,8.6,8.6,8.6,8.6,1000.0,8.6,
2003-05-02,8.6,8.6,8.6,8.6,1000.0,8.399999999999999,
2003-05-05,8.65,8.65,8.65,8.65,1000.0,8.6,
2003-05-06,8.85,8.85,8.85,8.85,1000.0,8.5,
2003-05-07,8.85,9.5,8.85,9.5,5832.0,9.1,
2003-05-08,9.0,9.0,9.0,9.0,10000.0,10.4,
2003-05-09,9.0,9.0,9.0,9.0,157.0,9.4,
2003-05-12,9.0,9.0,9.0,9.0,16000.0,9.4,
2003-05-13,8.65,8.65,8.65,8.65,16000.0,9.35,
2003-05-14,8.65,8.65,8.65,8.65,16000.0,8.450000000000001,
2003-05-15,8.65,8.65,8.65,8.65,16000.0,7.800000000000002,
2003-05-16,8.65,8.65,8.55,8.55,1669.0,8.3,
2003-05-19,8.55,8.55,8.55,8.55,831.0,8.100000000000001,
2003-05-20,9.0,9.0,9.0,9.0,10708.0,8.100000000000001,
2003-05-21,9.3,9.3,9.3,9.3,500.0,9.35,
2003-05-22,9.0,9.0,9.0,9.0,500.0,9.95,
2003-05-23,9.3,9.3,9.3,9.3,290.0,9.35,
2003-05-26,9.75,9.75,9.75,9.75,250.0,10.05,
2003-05-27,9.5,9.75,9.5,9.75,833.0,10.95,
2003-05-28,9.05,9.05,9.05,9.05,833.0,10.5,
2003-05-29,9.5,9.5,9.5,9.5,750.0,8.8,
2003-05-30,9.0,9.0,9.0,9.0,750.0,10.0,
2003-06-02,9.0,9.0,9.0,9.0,750.0,8.7,
2003-06-03,9.0,9.0,9.0,9.0,345.0,8.25,
2003-06-04,9.5,9.5,9.5,9.5,250.0,8.25,
2003-06-05,9.2,9.2,9.2,9.2,250.0,9.95,
2003-06-06,9.5,9.5,9.5,9.5,320.0,8.899999999999997,
2003-06-10,9.2,9.2,9.2,9.2,320.0,10.0,
2003-06-11,9.95,10.0,9.55,9.55,1800.0,9.4,
2003-06-12,9.99,10.0,9.99,10.0,3600.0,10.1,
2003-06-13,9.6,9.6,9.6,9.6,3600.0,10.5,
2003-06-16,9.6,9.6,9.6,9.6,3600.0,10.0,
