Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
1999-03-22,28.2,28.55,28.15,28.42,1970551.0,,
1999-03-23,28.429,28.6,28.39,28.53,2449170.0,,
1999-03-24,28.41,28.46,28.23,28.26,2642468.0,,
1999-03-25,28.25,28.47,28.25,28.392,1702611.0,,
1999-03-26,28.495,28.6,28.409,28.409,4040082.0,,
1999-03-29,28.35,28.35,27.81,27.96,7223735.0,,
1999-03-30,28.05,28.6,28.0,28.497,3036544.0,27.5,
1999-03-31,28.578000000000007,28.85,28.42,28.65,3469304.0,28.464000000000002,
1999-04-01,28.55,28.74,28.38,28.7,1723225.0,29.04,
1999-04-06,28.85,28.9,28.73,28.8,2099842.0,29.008000000000003,
1999-04-07,28.791,28.92,28.7,28.75,994392.0,29.191,
1999-04-08,29.0,29.09,28.8,28.8,1356102.0,29.54,
1999-04-09,28.8,28.95,28.75,28.9,1737137.0,29.103,
1999-04-12,28.7,28.9,28.6,28.8,1761550.0,29.15,
1999-04-13,28.92,29.45,28.92,29.29,1891822.0,28.9,
1999-04-14,29.3,29.5,29.0,29.49,2823562.0,29.78,
1999-04-15,29.5,29.87,29.35,29.65,1979068.0,30.23,
1999-04-16,29.641,29.641,29.31,29.606,2180117.0,30.5,
1999-04-19,29.4,29.42,29.29,29.336,1654251.0,30.312,
1999-04-20,29.25,29.25,29.11,29.2,2183101.0,29.872,
1999-04-21,29.2,29.45,29.16,29.43,3190025.0,29.11,
1999-04-22,29.521,30.14,29.521,30.14,3062581.0,29.37,
1999-04-23,30.16,30.28,29.95,30.043000000000006,2284061.0,30.630000000000006,
1999-04-26,30.0,30.0,29.81,29.88,903646.0,30.48000000000001,
1999-04-27,29.891,29.99,29.81,29.9,2732189.0,30.424,
1999-04-28,30.0,30.0,29.6,29.706,2585200.0,30.6,
1999-04-29,29.69,29.69,29.47,29.61,3784639.0,29.982,
1999-04-30,29.9,29.9,29.27,29.42,19217219.0,29.08,
1999-05-03,29.26,29.35,28.9,29.0,1862230.0,28.796999999999997,
1999-05-04,29.392,29.392,28.68,28.74,1890368.0,28.12,
1999-05-05,28.481,28.57,28.05,28.06,4073207.0,27.58,
1999-05-06,28.31,28.31,27.35,27.5,4298195.0,26.414,
1999-05-07,26.991,26.991,25.6,25.79,8737177.0,25.39,
1999-05-10,26.4,26.65,25.95,25.95,4333104.0,22.16,
1999-05-11,26.083,26.2,25.54,25.75,2647223.0,22.9,
1999-05-12,25.9,26.07,25.52,25.7,2484128.0,22.76,
1999-05-13,25.9,26.45,25.41,26.189,3283173.0,23.34,
1999-05-14,26.682,26.82,26.55,26.7,3196513.0,24.878,
1999-05-17,26.0,26.0,25.49,25.5,2378181.0,27.61,
1999-05-18,25.75,26.05,25.51,25.57,2133364.0,25.05,
1999-05-19,25.74,25.85,25.1,25.208,5644390.0,25.39,
1999-05-20,25.7,25.78,25.04,25.04,7128922.0,24.716000000000005,
1999-05-21,25.09,25.252,24.65,25.252,4075365.0,23.891,
1999-05-24,25.377,25.65,24.85,25.1,1810211.0,23.804000000000002,
1999-05-25,24.874,24.95,24.58,24.611,2949333.0,24.700000000000006,
1999-05-26,24.5,25.16,24.48,24.848000000000006,2657717.0,23.651999999999997,
1999-05-27,25.292,25.292,24.85,24.93,2871868.0,24.488000000000003,
1999-05-28,24.7,24.9,24.52,24.812,5041673.0,24.82,
1999-05-31,25.046,25.48,24.92,25.459,1804663.0,24.372,
1999-06-01,25.59,26.08,25.4,25.87,2202121.0,25.818,
1999-06-02,25.908,25.95,25.7,25.75,2979371.0,27.129,
1999-06-03,25.85,26.0,25.4,26.0,2880549.0,26.652,
1999-06-04,26.113000000000003,26.25,25.85,25.953000000000007,2373038.0,27.07,
1999-06-07,26.107,26.6,26.05,26.6,2621951.0,27.09400000000001,
1999-06-08,26.8,26.85,26.15,26.244,1951779.0,27.741000000000003,
1999-06-09,25.986,26.41,25.95,26.41,1415407.0,26.618000000000002,
1999-06-10,26.356,26.44,26.08,26.12,1668648.0,27.07,
1999-06-11,25.95,25.95,25.31,25.4,2698518.0,26.24,
1999-06-15,25.5,25.55,24.99,25.105,2030645.0,24.846999999999994,
1999-06-16,25.11,25.15,24.85,24.94,2707862.0,23.61,
1999-06-17,25.4,25.9,25.4,25.771,3174274.0,23.636000000000006,
1999-06-18,26.2,26.45,25.95,26.04,15945862.0,25.131999999999998,
1999-06-21,26.25,26.35,25.95,26.0,15736712.0,25.96,
1999-06-22,26.09,26.09,25.73,25.86,2075927.0,26.6,
1999-06-23,25.8,26.0,25.73,25.84,3010607.0,26.615,
1999-06-24,25.791,25.791,25.41,25.45,3074876.0,26.74,
1999-06-25,25.39,25.55,25.13,25.236,7193792.0,25.129,
1999-06-28,24.931,25.05,24.7,24.94,4332801.0,24.432,
1999-06-29,25.35,25.48,24.87,25.44,3148227.0,23.880000000000006,
1999-06-30,25.5,25.78,24.9,25.0,3381181.0,25.020000000000003,
1999-07-01,25.5,25.75,25.01,25.05,3394867.0,24.16,
1999-07-02,25.171,25.25,25.02,25.08,3572560.0,24.65,
1999-07-05,25.2,25.41,25.16,25.278,3109122.0,24.924,
1999-07-06,25.269,25.51,25.05,25.05,1985822.0,25.616000000000003,
1999-07-07,25.0,25.1,24.55,24.91,2211028.0,24.66,
1999-07-08,25.222,25.222,24.52,24.59,2510222.0,24.82,
1999-07-09,24.5,24.5,24.05,24.15,4158578.0,24.13,
1999-07-12,24.3,24.35,24.17,24.2,2774345.0,23.22,
1999-07-13,24.369,24.62,24.22,24.378,2746687.0,23.122,
1999-07-14,24.35,24.5,24.01,24.041,3039132.0,23.706,
1999-07-15,24.3,24.37,24.0,24.15,2758522.0,23.171999999999997,
1999-07-16,24.2,24.3,23.8,23.993,3601993.0,23.71,
1999-07-19,24.2,24.28,23.7,24.1,3115501.0,23.83600000000001,
1999-07-20,24.05,24.55,23.86,24.5,4793183.0,24.000000000000004,
1999-07-21,24.2,25.07,24.18,25.0,2373115.0,24.622,
1999-07-22,25.0,25.41,24.7,24.783,2980671.0,25.959,
1999-07-23,24.6,24.6,24.21,24.37,2349849.0,25.416000000000004,
1999-07-26,24.33,24.35,23.83,24.158,1834111.0,24.747,
1999-07-27,24.18,24.39,24.0,24.19,1246314.0,24.215999999999998,
1999-07-28,24.45,24.45,24.083,24.083,1877605.0,23.880000000000006,
1999-07-29,24.2,24.25,23.96,23.99,1751507.0,23.166000000000004,
1999-07-30,23.8,23.87,23.35,23.4,14566088.0,23.197,
1999-08-02,23.25,23.28,22.95,23.09,3185080.0,22.43,
1999-08-03,23.244,23.7,23.03,23.45,4239337.0,22.022,
1999-08-04,23.19,23.48,23.11,23.293000000000006,4015022.0,22.71,
1999-08-05,23.4,23.78,23.3,23.33,4461894.0,22.503000000000004,
1999-08-06,23.418000000000006,23.55,23.05,23.2,3729715.0,22.67,
1999-08-09,23.1,23.14,22.55,22.8,2268050.0,23.0,
1999-08-10,22.891,22.891,22.35,22.43,4846461.0,22.51,
1999-08-11,22.5,22.77,22.3,22.529,5191159.0,21.41,
1999-08-12,23.0,23.05,22.7,22.79,4237280.0,21.765,
1999-08-13,22.967,23.15,22.85,23.088,3188877.0,22.25,
1999-08-16,23.4,23.794,23.35,23.794,2644656.0,22.976000000000006,
1999-08-17,23.795,23.8,23.4,23.4,2445237.0,24.788,
1999-08-18,23.69,23.94,23.45,23.57,2897541.0,24.37,
1999-08-19,23.45,23.85,23.41,23.7,2565332.0,24.611,
1999-08-20,23.692,23.7,23.48,23.56,1855753.0,24.61,
1999-08-23,23.907,24.0,23.65,24.0,1700437.0,24.032,
1999-08-24,24.241,24.45,24.09,24.285,3168579.0,24.206,
1999-08-25,24.28,24.64,24.26,24.342,2124016.0,25.17,
1999-08-26,24.55,24.73,24.52,24.7,3767097.0,25.114,
1999-08-27,24.629,25.0,24.55,24.72,6544253.0,25.7,
1999-08-30,24.6,24.6,24.32,24.487,1370502.0,25.88,
1999-08-31,24.271,24.29,23.61,23.69,2458099.0,24.974,
1999-09-01,23.9,24.21,23.6,24.19,2367471.0,23.095,
1999-09-02,24.3,24.33,23.88,24.2,1690690.0,24.038000000000004,
1999-09-03,24.008000000000006,24.01,23.6,23.62,1802459.0,23.7,
1999-09-06,24.0,24.38,24.0,24.339,1614769.0,22.520000000000003,
1999-09-07,24.33,24.42,23.97,24.03,1382415.0,24.19100000000001,
1999-09-08,24.1,24.36,23.97,24.209,1834325.0,24.37,
1999-09-09,24.11,24.28,23.8,23.89,1942887.0,24.228,
1999-09-10,23.738000000000003,23.76,23.4,23.5,2713260.0,23.58,
1999-09-13,23.48,23.48,22.97,23.05,2949323.0,23.38,
1999-09-14,23.12,23.27,22.97,23.256,2139821.0,21.761,
1999-09-15,23.0,23.0,22.75,22.75,3467451.0,22.482,
1999-09-16,22.7,22.7,22.15,22.19,4787987.0,21.291,
1999-09-17,22.4,22.4,22.07,22.09,4598208.0,20.49,
1999-09-20,22.28,22.3,21.908,21.908,2803070.0,20.68,
1999-09-21,21.89,21.89,21.61,21.79,4518410.0,20.766,
1999-09-22,21.62,22.35,21.61,22.35,5190614.0,20.324,
1999-09-23,22.516,23.0,22.41,22.97,3055885.0,21.950000000000006,
1999-09-24,22.8,22.8,22.39,22.7,4193607.0,23.75,
1999-09-27,22.756,23.29,22.756,23.0,2357540.0,23.31,
1999-09-28,23.2,23.35,22.8,23.162,2473548.0,24.092,
1999-09-29,23.093000000000004,23.2,22.85,22.883000000000006,1891867.0,24.534000000000002,
1999-09-30,22.75,22.95,22.38,22.431,2735317.0,23.416000000000004,
1999-10-01,22.8,23.13,22.68,23.1,3675277.0,21.892,
1999-10-04,22.9,23.17,22.9,22.95,1003618.0,23.500000000000004,
1999-10-05,23.309,23.31,22.92,22.95,3371459.0,22.9,
1999-10-06,22.93,22.93,22.55,22.6,3530355.0,22.738000000000003,
1999-10-07,22.75,23.15,22.71,22.92,3847308.0,22.316999999999997,
1999-10-08,23.0,23.25,22.7,23.1,1701057.0,23.40900000000001,
1999-10-11,23.1,23.68,23.1,23.6,3810738.0,23.1,
1999-10-12,23.58,23.85,23.58,23.65,2842303.0,24.250000000000004,
1999-10-13,23.4,23.55,23.26,23.54,1914976.0,24.35,
1999-10-14,23.368,23.59,23.17,23.505,3565353.0,24.48,
1999-10-15,23.3,23.46,23.0,23.087,2257744.0,24.09,
1999-10-18,22.7,22.85,22.227,22.227,2189264.0,23.074,
1999-10-19,22.5,22.5,22.23,22.23,3176399.0,20.853999999999992,
1999-10-20,22.5,22.8,22.44,22.641,1913880.0,20.81,
1999-10-21,22.794,22.85,22.48,22.53,2899336.0,21.742,
1999-10-22,22.431,22.58,22.25,22.408,3084879.0,21.555000000000003,
1999-10-25,22.75,22.82,22.58,22.73,1615708.0,21.729000000000006,
1999-10-26,22.6,22.63,22.4,22.565,2010633.0,23.233000000000004,
1999-10-27,22.6,22.67,22.28,22.58,2081801.0,22.9,
1999-10-28,22.75,23.04,22.75,23.02,3763015.0,22.519000000000002,
1999-10-29,23.55,24.36,23.55,24.2,14185392.0,23.51,
1999-11-01,24.44,24.89,24.4,24.89,3771719.0,25.992,
1999-11-02,24.7,24.95,24.7,24.86,1544181.0,27.05,
1999-11-03,25.0,25.5,24.96,25.44,2384241.0,27.155,
1999-11-04,25.5,25.72,24.3,24.45,5003954.0,28.300000000000004,
1999-11-05,23.982,23.982,23.46,23.55,8446569.0,25.88,
1999-11-08,23.65,23.8,23.47,23.715,5615889.0,22.9,
1999-11-09,23.9,24.1,23.75,23.8,4194954.0,22.54,
1999-11-10,23.8,24.3,23.8,24.13,4302518.0,22.74,
1999-11-11,24.0,24.5,24.0,24.27,3693403.0,22.82,
1999-11-12,24.339,24.51,24.06,24.071,9321098.0,24.09,
1999-11-15,24.3,24.3,23.8,24.009,3976069.0,24.591999999999995,
1999-11-16,23.9,24.17,23.83,23.915,3240640.0,24.303,
1999-11-17,24.15,24.29,23.98,24.05,3636574.0,24.03,
1999-11-18,24.0,24.3,23.82,24.24,2874410.0,23.97,
1999-11-19,24.307,24.51,24.3,24.4,3541219.0,24.21,
1999-11-22,23.777,23.9,23.7,23.767,6206539.0,24.729,
1999-11-23,23.809,23.85,23.5,23.64,3419198.0,23.525,
1999-11-24,23.55,23.55,23.16,23.25,2164464.0,23.365,
1999-11-25,23.492,23.492,23.08,23.22,2819431.0,22.45,
1999-11-26,23.3,23.33,23.08,23.28,3990265.0,22.2,
1999-11-29,23.15,23.25,23.0,23.055,1428813.0,22.160000000000004,
1999-11-30,23.0,23.01,22.56,22.7,2584144.0,22.343000000000004,
1999-12-01,22.65,22.83,22.55,22.777,2108380.0,21.76,
1999-12-02,22.95,23.12,22.87,23.0,3093773.0,22.303999999999995,
1999-12-03,23.282,23.282,22.95,22.98,2304832.0,22.78,
1999-12-06,23.3,23.3,22.75,22.94,4175219.0,22.68,
1999-12-07,22.8,22.84,22.46,22.7,3815840.0,22.825000000000006,
1999-12-08,22.5,23.0,22.45,22.76,1705954.0,22.7,
1999-12-09,22.944000000000006,23.0,22.72,22.74,1922000.0,22.74300000000001,
1999-12-10,22.75,22.75,22.5,22.72,2020433.0,22.48,
1999-12-13,22.77,22.92,22.77,22.9,1875945.0,22.46,
1999-12-14,22.95,23.03,22.83,22.92,2926188.0,22.86,
1999-12-15,22.95,23.03,22.77,22.97,2587700.0,23.140000000000004,
1999-12-16,22.993,23.15,22.75,23.05,2716851.0,23.18,
1999-12-17,23.024,23.1,22.93,23.02,1988171.0,23.360000000000007,
1999-12-20,23.17,23.24,23.02,23.16,1347992.0,23.32,
1999-12-21,23.14,23.14,23.04,23.1,1642793.0,23.42,
1999-12-22,23.206,23.35,23.1,23.17,1603949.0,23.28,
1999-12-23,23.17,23.18,23.01,23.04,1148031.0,23.370000000000005,
1999-12-24,23.05,23.14,23.0,23.12,2590203.0,23.03,
1999-12-29,23.25,23.3,23.1,23.2,490924.0,23.22,
1999-12-30,23.308000000000003,23.39,23.2,23.3,705155.0,23.24,
2000-01-04,22.99,23.0,22.4,22.5,2858975.0,23.5,
2000-01-05,21.99,22.18,21.85,22.05,4379825.0,21.83,
2000-01-06,22.294,22.3,21.7,21.7,2449464.0,21.06,
2000-01-07,21.8,21.95,21.68,21.89,2881429.0,20.28,
2000-01-10,22.3,22.45,22.1,22.2,2704009.0,20.58,
2000-01-11,22.3,22.3,21.8,21.8,2847065.0,21.1,
2000-01-12,21.95,22.0,21.47,21.63,5516309.0,21.1,
2000-01-13,21.671,22.0,21.33,21.43,4941098.0,21.21,
2000-01-14,21.65,21.906,21.46,21.906,4049640.0,21.16,
2000-01-17,22.03,23.03,22.03,23.01,3099299.0,21.922,
2000-01-18,22.94,23.39,22.7,23.35,2087278.0,23.820000000000004,
2000-01-19,23.201,23.201,22.91,22.95,2112654.0,24.9,
2000-01-20,22.962,23.05,22.47,22.526,2496110.0,24.27,
2000-01-21,22.391,22.391,22.03,22.06,2052731.0,23.622,
2000-01-24,22.3,23.1,22.2,22.7,2225501.0,22.214000000000002,
2000-01-25,22.3,22.41,22.07,22.28,3594631.0,22.39,
2000-01-27,22.3,22.55,21.68,21.791,5437513.0,21.21,
2000-01-28,22.131,22.39,21.76,22.16,15875354.0,20.631999999999998,
2000-01-31,21.9,21.99,21.7,21.831,2348797.0,21.794,
2000-02-01,22.082,22.082,21.73,21.78,2375700.0,21.601999999999997,
2000-02-02,22.0,22.23,21.68,21.97,3387078.0,20.860000000000007,
2000-02-03,21.882,22.08,21.5,21.598000000000006,3102342.0,21.66,
2000-02-04,21.806,21.97,21.49,21.73,2311456.0,21.405000000000005,
2000-02-07,21.8,22.11,21.8,21.9,1974798.0,21.3,
2000-02-08,21.9,22.04,21.68,21.8,3035471.0,21.969,
2000-02-09,22.054,22.1,21.88,21.92,4520298.0,21.82,
2000-02-10,21.89,21.92,21.75,21.84,7994524.0,21.870000000000005,
2000-02-11,21.78,21.8,21.55,21.67,2076474.0,22.082,
2000-02-14,21.529,21.59,21.3,21.3,2930894.0,21.610000000000007,
2000-02-15,21.49,21.74,21.2,21.281,5891333.0,20.700000000000006,
2000-02-16,21.571,21.571,20.73,20.79,3303708.0,20.762,
2000-02-17,20.73,21.0,20.38,20.539,4323229.0,19.66,
2000-02-18,20.64,20.7,20.31,20.4,4726592.0,19.238000000000003,
2000-02-21,20.412,20.79,20.05,20.25,3809382.0,19.129999999999995,
2000-02-22,20.383,20.383,20.02,20.03,5120853.0,19.2,
2000-02-23,20.15,20.36,19.88,19.9,6337738.0,18.779000000000003,
2000-02-24,20.1,20.15,19.93,19.99,6004794.0,19.01,
2000-02-25,20.0,20.84,19.99,20.791,7998502.0,19.440999999999995,
2000-02-28,20.6,21.29,20.6,20.8,2960261.0,21.182,
2000-02-29,21.1,21.5,21.01,21.4,3373223.0,21.35,
2000-03-01,21.681,22.15,21.5,22.106,2968222.0,22.77,
2000-03-02,22.3,22.54,22.15,22.273000000000003,3722465.0,24.312,
2000-03-03,22.2,22.2,21.3,21.442,2935023.0,24.556000000000008,22.2396
2000-03-06,21.959,21.959,20.7,20.95,2805125.0,22.092999999999996,21.591500000000003
2000-03-07,20.893,21.35,20.61,21.34,3702070.0,21.1,21.048399999999994
2000-03-08,21.008000000000006,21.1,20.68,20.83,2462101.0,21.28,21.155199999999997
2000-03-09,20.9,20.9,20.0,20.08,8405731.0,19.554000000000002,21.07
2000-03-10,20.6,20.65,20.19,20.38,3235723.0,17.886999999999993,20.454999999999995
2000-03-13,20.38,20.6,20.15,20.16,1592316.0,19.317999999999998,20.346999999999998
2000-03-14,20.195,20.59,20.17,20.56,2890259.0,19.37,20.174
2000-03-15,20.6,21.05,20.6,20.8,4808601.0,19.78,20.36
2000-03-16,21.3,21.55,21.1,21.1,3796932.0,20.770000000000003,20.736000000000004
2000-03-17,21.8,21.8,20.8,20.83,4619204.0,22.120000000000005,20.856
2000-03-20,20.85,21.1,20.8,20.857,2311393.0,21.28,20.907999999999994
2000-03-21,20.91,21.27,20.81,21.24,2301801.0,21.554000000000002,20.8675
2000-03-22,21.5,21.82,21.5,21.77,2453050.0,21.92,21.1251
2000-03-23,21.75,21.95,21.6,21.8,2074562.0,22.74,21.611000000000004
2000-03-24,22.0,22.1,21.9,21.905,2232602.0,22.5,21.738000000000007
2000-03-27,21.74,21.74,21.2,21.35,2316468.0,22.980000000000004,21.7935
2000-03-28,21.35,21.5,21.2,21.351,2066540.0,21.843000000000004,21.5165
2000-03-29,21.35,21.65,21.3,21.539,2095172.0,21.462,21.350699999999996
2000-03-30,21.5,21.5,21.3,21.33,2527101.0,21.308000000000003,21.4449
2000-03-31,21.208,21.31,20.95,21.18,5118357.0,20.86,21.394799999999993
2000-04-03,21.5,21.89,21.5,21.85,3215198.0,20.455,21.311799999999998
2000-04-04,22.04,22.55,22.04,22.47,4539795.0,22.35,21.5439
2000-04-05,22.62,23.32,22.62,23.25,5314428.0,23.589000000000002,22.355999999999998
2000-04-06,23.071,23.25,22.75,23.25,3442277.0,24.961,23.094
2000-04-07,23.0,23.2,22.65,22.65,2090622.0,25.17,23.172
2000-04-10,22.5,23.24,22.29,23.171,2455363.0,24.12,22.872
2000-04-11,23.55,24.21,23.55,23.985,5148190.0,24.492,23.142599999999995
2000-04-12,24.15,24.47,24.03,24.376,5403307.0,25.5,23.512399999999996
2000-04-13,24.35,24.65,23.7,23.8,5669199.0,25.501999999999995,24.1429
2000-04-14,23.5,23.7,23.45,23.583,2598644.0,24.35,23.972800000000003
2000-04-17,22.719,22.99,22.719,22.88,3912028.0,24.516000000000005,23.7057
2000-04-18,23.372,23.47,23.1,23.4,3185679.0,22.589000000000002,23.2622
2000-04-19,23.75,23.95,23.55,23.718000000000004,2604921.0,22.815,23.4822
2000-04-20,23.7,23.97,23.42,23.95,1386538.0,23.06000000000001,23.604600000000005
2000-04-26,24.1,24.25,23.91,24.05,2779853.0,24.1,23.686599999999995
2000-04-27,23.85,23.9,23.65,23.65,2435166.0,24.517,23.941800000000004
2000-04-28,23.437,23.6,23.25,23.46,13045840.0,24.42,23.705000000000005
2000-05-01,23.358,23.75,23.358,23.491,2049222.0,23.520000000000003,23.517000000000003
2000-05-02,23.61,24.13,23.61,24.05,2022527.0,23.264,23.503799999999995
2000-05-03,23.9,24.22,23.85,23.918000000000006,1859404.0,24.15,23.783300000000004
2000-05-04,23.55,23.73,23.5,23.634,2918372.0,23.786000000000005,23.875300000000003
2000-05-05,23.75,24.47,23.75,24.47,2251798.0,23.618,23.747600000000006
2000-05-08,24.35,24.65,24.35,24.608,2837663.0,25.48,24.1088
2000-05-09,24.5,24.6,24.27,24.445,2122207.0,25.725,24.510600000000004
2000-05-10,24.25,24.39,24.1,24.3,1822643.0,24.84,24.4291
2000-05-11,24.1,24.29,24.04,24.159,1479319.0,24.682,24.322200000000002
2000-05-12,24.224,24.48,24.21,24.26,1470693.0,24.684000000000005,24.177799999999998
2000-05-15,24.227,24.45,24.04,24.341,962801.0,24.050000000000004,24.248199999999997
2000-05-16,24.55,24.85,24.47,24.809,2079815.0,24.073999999999995,24.2988
2000-05-17,24.765,25.03,24.68,24.75,3489532.0,25.173,24.7154
2000-05-18,24.7,24.7,24.35,24.4,2022423.0,25.2,24.7268
2000-05-19,24.455,24.52,24.15,24.25,1911153.0,24.640999999999995,24.464100000000002
2000-05-22,24.15,24.46,24.01,24.1,1311662.0,24.24,24.3191
2000-05-23,24.19,24.34,23.9,24.25,1818565.0,23.859000000000005,24.199099999999998
2000-05-24,24.201,24.91,24.15,24.8,3557410.0,23.691,24.22
2000-05-25,24.86,25.0,24.72,25.0,2622487.0,24.85,24.690000000000005
2000-05-26,24.759,25.03,24.75,24.92,5192981.0,25.6,24.87
2000-05-29,25.0,25.515,25.0,25.515,2555188.0,25.590000000000003,24.924
2000-05-30,25.62,25.76,25.28,25.505,2111815.0,26.93,25.403999999999996
2000-05-31,25.7,26.2,25.52,26.099,5896340.0,26.76,25.509999999999998
2000-06-01,25.85,26.65,25.85,26.35,4660362.0,27.398000000000003,25.922799999999995
2000-06-02,26.36,26.42,25.96,26.32,3035735.0,27.700000000000006,26.324899999999996
2000-06-05,26.5,26.65,26.45,26.65,2667816.0,27.72,26.326
2000-06-06,26.66,27.2,26.55,27.15,2792835.0,27.785,26.491000000000003
2000-06-07,27.006,27.08,26.6,26.75,3467669.0,28.795,26.804000000000002
2000-06-08,26.747,26.747,26.22,26.374,4249605.0,27.401,26.817
2000-06-09,25.53,25.53,25.25,25.4,16497052.0,26.398000000000003,26.451599999999996
2000-06-13,25.256,25.62,25.25,25.49,3540903.0,24.48,25.867200000000004
2000-06-14,25.5,25.7,25.2,25.642,3494211.0,24.33,25.463
