Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2007-05-17,0.78,0.9,0.65,0.82,9809788.0,,,0.2014007270336151
2007-05-18,0.87,0.88,0.76,0.77,1213192.0,,,0.2572435736656189
2007-05-21,0.775,0.8,0.75,0.75,582966.0,,,0.32048577070236206
2007-05-22,0.75,0.77,0.73,0.75,394670.0,,,0.3885742425918579
2007-05-23,0.74,0.74,0.68,0.7,1126289.0,,,0.46044015884399414
2007-05-24,0.7,0.73,0.69,0.7,645662.0,,,0.5337300896644592
2007-05-25,0.69,0.7,0.66,0.67,356480.0,0.58,,0.5931146144866943
2007-05-28,0.675,0.675,0.65,0.65,752380.0,0.5700000000000001,,0.6425191164016724
2007-05-29,0.65,0.66,0.62,0.64,760475.0,0.55,,0.6822657585144043
2007-05-30,0.64,0.68,0.64,0.65,517115.0,0.53,,0.7090200781822205
2007-05-31,0.695,0.72,0.65,0.65,636296.0,0.6000000000000001,,0.7238207459449768
2007-06-01,0.66,0.7,0.66,0.695,426278.0,0.6000000000000001,,0.7267775535583496
2007-06-04,0.695,0.7,0.685,0.69,338490.0,0.7199999999999999,,0.7247657775878906
2007-06-05,0.69,0.695,0.675,0.69,243778.0,0.7299999999999999,,0.7132624387741089
2007-06-06,0.7,0.735,0.7,0.73,271150.0,0.7399999999999999,,0.6909397840499878
2007-06-07,0.7,0.76,0.7,0.75,296535.0,0.8099999999999999,,0.6843206882476807
2007-06-08,0.76,0.76,0.71,0.71,349065.0,0.85,,0.6935149431228638
2007-06-12,0.72,0.72,0.705,0.705,150695.0,0.725,,0.7018575668334961
2007-06-13,0.71,0.71,0.69,0.69,109000.0,0.72,,0.7086542248725891
2007-06-14,0.69,0.7,0.69,0.7,105750.0,0.69,,0.7151462435722351
2007-06-15,0.71,0.71,0.695,0.695,190000.0,0.6699999999999999,,0.7180646657943726
2007-06-18,0.695,0.695,0.64,0.675,566400.0,0.6399999999999999,,0.7172110080718994
2007-06-19,0.665,0.665,0.64,0.65,200000.0,0.6400000000000001,,0.712586522102356
2007-06-20,0.65,0.695,0.65,0.67,733401.0,0.5950000000000001,,0.7047383189201355
2007-06-21,0.67,0.69,0.67,0.67,201225.0,0.6500000000000001,,0.7158437967300415
2007-06-22,0.67,0.69,0.64,0.64,194500.0,0.6400000000000001,,0.7254109978675842
2007-06-25,0.64,0.66,0.64,0.66,103520.0,0.5850000000000001,,0.7334375381469727
2007-06-26,0.66,0.67,0.65,0.65,99500.0,0.645,,0.7399289011955261
2007-06-27,0.66,0.68,0.65,0.66,122001.0,0.65,,0.7448983788490295
2007-06-28,0.66,0.66,0.64,0.64,64969.0,0.65,,0.7483660578727722
2007-06-29,0.665,0.665,0.64,0.64,95000.0,0.61,,0.7503592371940613
2007-07-02,0.64,0.64,0.635,0.64,159078.0,0.64,,0.7507734298706055
2007-07-03,0.64,0.64,0.635,0.635,78500.0,0.62,,0.7442742586135864
2007-07-04,0.635,0.64,0.62,0.62,300225.0,0.62,,0.7355849742889404
2007-07-05,0.63,0.63,0.615,0.62,515725.0,0.58,,0.7255268096923828
2007-07-06,0.625,0.64,0.62,0.64,68526.0,0.6,,0.7145041227340698
2007-07-09,0.64,0.64,0.625,0.625,131577.0,0.64,,0.7050887942314148
2007-07-10,0.63,0.65,0.63,0.65,144345.0,0.61,,0.7108322978019714
2007-07-11,0.65,0.65,0.64,0.64,483655.0,0.665,,0.716065526008606
2007-07-12,0.655,0.655,0.65,0.65,134700.0,0.66,,0.720697820186615
2007-07-13,0.64,0.64,0.64,0.64,289500.0,0.68,,0.7244919538497925
2007-07-16,0.63,0.635,0.63,0.63,134504.0,0.64,,0.7278028726577759
2007-07-17,0.64,0.715,0.64,0.685,1015928.0,0.635,,0.7306340336799622
2007-07-18,0.7,0.74,0.7,0.71,512914.0,0.7200000000000001,,0.7334953546524048
2007-07-19,0.725,0.74,0.72,0.735,301574.0,0.7799999999999999,,0.7360525727272034
2007-07-20,0.73,0.75,0.73,0.75,139655.0,0.82,,0.7381896376609802
2007-07-23,0.75,0.75,0.71,0.71,249550.0,0.86,,0.7399112582206726
2007-07-24,0.72,0.74,0.72,0.74,77450.0,0.7899999999999999,,0.7412221431732178
2007-07-25,0.73,0.73,0.7,0.72,201950.0,0.7949999999999999,,0.7421270608901978
2007-07-26,0.725,0.725,0.685,0.685,174389.0,0.73,,0.7426309585571289
2007-07-27,0.67,0.67,0.635,0.665,638017.0,0.6350000000000001,,0.7427384853363037
2007-07-30,0.63,0.7,0.63,0.7,118000.0,0.5800000000000001,,0.7424547076225281
2007-07-31,0.69,0.73,0.69,0.73,333474.0,0.69,,0.7417845726013184
2007-08-01,0.73,0.73,0.69,0.69,232102.0,0.72,,0.7407328486442566
2007-08-02,0.71,0.71,0.66,0.66,220800.0,0.6599999999999999,,0.7393047213554382
2007-08-03,0.68,0.685,0.665,0.665,139625.0,0.635,,0.7375049591064453
2007-08-06,0.65,0.65,0.59,0.62,363867.0,0.665,,0.735251784324646
2007-08-07,0.63,0.67,0.625,0.67,118192.0,0.54,,0.7320327162742615
2007-08-08,0.645,0.645,0.645,0.645,20000.0,0.6100000000000001,,0.7283824682235718
2007-08-09,0.665,0.67,0.655,0.66,671200.0,0.6000000000000001,,0.7242944240570068
2007-08-10,0.64,0.655,0.62,0.62,228000.0,0.66,,0.719674825668335
2007-08-13,0.62,0.64,0.605,0.605,75000.0,0.575,,0.7149237394332886
2007-08-14,0.63,0.64,0.6,0.6,108796.0,0.59,,0.7097353339195251
2007-08-15,0.6,0.61,0.56,0.565,81184.0,0.5299999999999999,,0.7041094303131104
2007-08-16,0.55,0.55,0.5,0.5,388500.0,0.4849999999999999,,0.6980464458465576
2007-08-17,0.54,0.58,0.5,0.5,165500.0,0.34,,0.6915463209152222
2007-08-20,0.52,0.545,0.49,0.51,114600.0,0.38,,0.6846088767051697
2007-08-21,0.54,0.54,0.54,0.54,92377.0,0.415,,0.6772341728210449
2007-08-22,0.54,0.56,0.54,0.54,26500.0,0.4800000000000001,,0.669421911239624
2007-08-23,0.54,0.575,0.54,0.56,25900.0,0.5150000000000001,,0.6631352305412292
2007-08-24,0.56,0.56,0.55,0.56,43477.0,0.6200000000000001,,0.6583570241928101
2007-08-27,0.56,0.56,0.55,0.56,129470.0,0.6200000000000001,,0.6533300280570984
2007-08-28,0.55,0.55,0.535,0.54,6000.0,0.6100000000000001,,0.6480594873428345
2007-08-29,0.53,0.58,0.53,0.58,47944.0,0.54,,0.643424391746521
2007-08-30,0.55,0.55,0.54,0.54,80000.0,0.6199999999999999,,0.638817548751831
2007-08-31,0.57,0.57,0.55,0.57,58000.0,0.52,,0.6340136528015137
2007-09-03,0.57,0.57,0.55,0.55,18700.0,0.5799999999999998,,0.6290165185928345
2007-09-04,0.56,0.58,0.56,0.58,308300.0,0.54,,0.6241875290870667
2007-09-05,0.6,0.64,0.6,0.62,69272.0,0.6199999999999999,,0.6200451850891113
2007-09-06,0.64,0.645,0.64,0.64,129135.0,0.66,,0.6156593561172485
2007-09-10,0.64,0.64,0.63,0.635,130000.0,0.74,,0.6110267043113708
2007-09-11,0.64,0.64,0.64,0.64,60000.0,0.7000000000000001,,0.6061287522315979
2007-09-12,0.64,0.64,0.64,0.64,5125.0,0.73,,0.6009343862533569
2007-09-13,0.63,0.63,0.6,0.6,13000.0,0.7000000000000001,,0.5954651236534119
2007-09-14,0.6,0.6,0.6,0.6,13000.0,0.58,,0.5897181630134583
2007-09-17,0.62,0.62,0.6,0.62,4530.0,0.5599999999999999,,0.5836911797523499
2007-09-18,0.6,0.6,0.565,0.57,20000.0,0.605,,0.5773814916610718
2007-09-19,0.58,0.58,0.56,0.56,26766.0,0.4999999999999999,,0.570786714553833
2007-09-20,0.56,0.56,0.54,0.55,62100.0,0.4800000000000001,,0.5639037489891052
2007-09-21,0.54,0.54,0.53,0.53,51700.0,0.5000000000000001,,0.5567298531532288
2007-09-24,0.52,0.59,0.5,0.59,264241.0,0.4600000000000001,,0.5492618083953857
2007-09-25,0.595,0.6,0.59,0.6,62000.0,0.5599999999999999,,0.5414968132972717
2007-09-26,0.57,0.57,0.57,0.57,62000.0,0.63,,0.5391277074813843
2007-09-27,0.6,0.62,0.6,0.62,60213.0,0.5799999999999998,,0.5393559336662292
2007-09-28,0.62,0.62,0.59,0.59,45190.0,0.69,,0.5394769310951233
2007-10-01,0.57,0.57,0.57,0.57,45190.0,0.6499999999999999,,0.5394898056983948
2007-10-02,0.575,0.58,0.575,0.58,5380.0,0.5499999999999999,,0.5393933653831482
2007-10-03,0.58,0.58,0.57,0.57,54000.0,0.5599999999999999,,0.5391868948936462
2007-10-04,0.57,0.57,0.56,0.56,39520.0,0.57,,0.5388692617416382
2007-10-05,0.55,0.55,0.55,0.55,480.0,0.5000000000000001,,0.5384396910667419
2007-10-08,0.55,0.55,0.535,0.535,78332.0,0.5100000000000001,,0.5383979082107544
2007-10-09,0.55,0.55,0.535,0.535,5000.0,0.5000000000000001,,0.5389212965965271
2007-10-10,0.55,0.56,0.54,0.54,51500.0,0.4900000000000001,,0.5393688678741455
2007-10-11,0.545,0.55,0.545,0.55,44293.0,0.5100000000000001,,0.539740264415741
2007-10-12,0.55,0.575,0.55,0.575,82459.0,0.54,,0.5400351881980896
2007-10-15,0.58,0.605,0.575,0.605,112600.0,0.5999999999999999,,0.5402534604072571
2007-10-16,0.6,0.63,0.6,0.63,116000.0,0.6749999999999999,,0.5403944849967957
2007-10-17,0.65,0.65,0.65,0.65,138157.0,0.725,,0.5404577851295471
2007-10-18,0.665,0.76,0.665,0.75,539234.0,0.76,,0.5404433012008667
2007-10-19,0.76,0.76,0.69,0.69,191965.0,0.95,,0.5403503775596619
2007-10-22,0.66,0.69,0.66,0.69,36250.0,0.8049999999999999,,0.5401790738105774
2007-10-23,0.7,0.72,0.67,0.67,172388.0,0.7749999999999999,,0.5399285554885864
2007-10-24,0.68,0.69,0.675,0.69,19750.0,0.7100000000000001,,0.5395987629890442
2007-10-25,0.67,0.67,0.67,0.67,56927.0,0.7299999999999999,,0.5391890406608582
2007-10-26,0.68,0.68,0.66,0.66,57000.0,0.5900000000000001,,0.538699209690094
2007-10-29,0.67,0.68,0.67,0.67,27850.0,0.6300000000000001,,0.5381287932395935
2007-10-30,0.68,0.68,0.67,0.68,96625.0,0.6500000000000001,,0.5374777317047119
2007-10-31,0.68,0.7,0.67,0.7,25500.0,0.6900000000000001,,0.5367451310157776
2007-11-01,0.67,0.67,0.67,0.67,25500.0,0.71,,0.535930871963501
2007-11-02,0.67,0.67,0.67,0.67,35500.0,0.67,,0.535034716129303
2007-11-05,0.67,0.67,0.66,0.67,62500.0,0.68,,0.5340560078620911
2007-11-06,0.685,0.685,0.665,0.665,21000.0,0.67,,0.5329944491386414
2007-11-07,0.67,0.67,0.635,0.65,62800.0,0.65,,0.53184974193573
2007-11-08,0.65,0.7,0.65,0.7,232800.0,0.6000000000000001,,0.530621349811554
2007-11-09,0.7,0.7,0.67,0.67,106000.0,0.7299999999999999,,0.5293089747428894
2007-11-12,0.7,0.7,0.67,0.67,123352.0,0.67,,0.5279123187065125
2007-11-13,0.72,0.72,0.69,0.7,170000.0,0.67,,0.526430606842041
2007-11-14,0.71,0.725,0.71,0.71,126200.0,0.7349999999999999,,0.5248639583587646
2007-11-15,0.69,0.71,0.68,0.71,206100.0,0.7699999999999999,,0.523211658000946
2007-11-16,0.71,0.71,0.69,0.71,60900.0,0.72,,0.521473228931427
2007-11-19,0.71,0.71,0.67,0.67,142324.0,0.7499999999999999,,0.519648551940918
2007-11-20,0.67,0.67,0.66,0.66,221536.0,0.67,,0.5177369713783264
2007-11-21,0.655,0.67,0.655,0.66,139500.0,0.6200000000000001,,0.5157381296157837
2007-11-22,0.66,0.68,0.66,0.66,44964.0,0.6100000000000001,,0.5136516094207764
2007-11-23,0.66,0.66,0.66,0.66,40000.0,0.6100000000000001,,0.5114771723747253
2007-11-26,0.66,0.66,0.64,0.64,68726.0,0.6100000000000001,,0.5092145204544067
2007-11-27,0.7,0.7,0.655,0.655,154850.0,0.61,,0.5068626403808594
2007-11-28,0.67,0.67,0.655,0.655,34500.0,0.65,,0.5044214725494385
2007-11-29,0.66,0.66,0.655,0.655,59500.0,0.65,0.6560000000000001,0.5018909573554993
2007-11-30,0.67,0.72,0.65,0.715,120215.0,0.65,0.6560000000000001,0.4992700219154358
2007-12-03,0.715,0.715,0.67,0.67,118950.0,0.7699999999999999,0.6855,0.4965585470199585
2007-12-04,0.66,0.69,0.66,0.69,27274.0,0.7000000000000001,0.6759999999999999,0.49375635385513306
2007-12-05,0.66,0.66,0.655,0.66,142000.0,0.7249999999999999,0.6809999999999998,0.4908626675605774
2007-12-06,0.66,0.69,0.66,0.68,49000.0,0.665,0.6685000000000001,0.4878770112991333
2007-12-07,0.67,0.68,0.665,0.68,243050.0,0.7050000000000001,0.6769999999999999,0.4847993850708008
2007-12-10,0.675,0.675,0.67,0.67,130000.0,0.6450000000000001,0.6799999999999999,0.481628954410553
2007-12-11,0.68,0.68,0.67,0.68,49655.0,0.67,0.6729999999999999,0.47836536169052124
2007-12-12,0.66,0.67,0.645,0.65,189900.0,0.6700000000000002,0.6779999999999999,0.47500836849212646
2007-12-13,0.655,0.66,0.655,0.66,112700.0,0.64,0.6639999999999999,0.47155725955963135
2007-12-14,0.66,0.66,0.65,0.65,219900.0,0.64,0.6620000000000001,0.4680119752883911
2007-12-17,0.65,0.65,0.62,0.62,135193.0,0.62,0.6520000000000001,0.46437156200408936
2007-12-18,0.6,0.6,0.595,0.595,12441.0,0.57,0.6390000000000001,0.4606361389160156
2007-12-19,0.595,0.6,0.595,0.6,48891.0,0.5099999999999999,0.5974999999999999,0.45680487155914307
2007-12-20,0.6,0.6,0.555,0.6,52000.0,0.5499999999999999,0.598,0.4528772830963135
2007-12-21,0.63,0.63,0.56,0.56,84000.0,0.5399999999999999,0.5994999999999999,0.44885319471359253
2007-12-24,0.585,0.585,0.585,0.585,25000.0,0.4700000000000001,0.5760000000000002,0.4447322487831116
2007-12-27,0.585,0.585,0.585,0.585,14000.0,0.5499999999999999,0.5765000000000001,0.44051361083984375
2007-12-28,0.585,0.585,0.585,0.585,6000.0,0.575,0.584,0.4361969828605652
2007-12-31,0.585,0.585,0.585,0.585,46000.0,0.57,0.584,0.43178194761276245
2008-01-02,0.575,0.575,0.575,0.575,5000.0,0.57,0.585,0.4272680878639221
2008-01-03,0.59,0.6,0.59,0.6,10000.0,0.5899999999999999,0.5780000000000001,0.4226551055908203
2008-01-04,0.575,0.575,0.575,0.575,10000.0,0.615,0.5944999999999999,0.4179419279098511
2008-01-07,0.59,0.59,0.59,0.59,5000.0,0.565,0.5895,0.41312891244888306
2008-01-08,0.575,0.6,0.575,0.6,29000.0,0.595,0.591,0.4082149863243103
2008-01-09,0.575,0.575,0.575,0.575,11000.0,0.615,0.5959999999999999,0.40320008993148804
2008-01-10,0.56,0.56,0.55,0.55,57543.0,0.575,0.5765,0.3980833888053894
2008-01-11,0.52,0.52,0.5,0.5,42795.0,0.5000000000000001,0.5589999999999999,0.39286476373672485
2008-01-14,0.5,0.5,0.5,0.5,14505.0,0.425,0.5365,0.38754355907440186
2008-01-15,0.505,0.53,0.505,0.525,55495.0,0.41,0.5215,0.3821190595626831
2008-01-16,0.525,0.525,0.52,0.52,19500.0,0.4500000000000001,0.5265000000000001,0.37659120559692383
2008-01-17,0.52,0.52,0.5,0.5,93005.0,0.4650000000000001,0.5205,0.3709597587585449
2008-01-18,0.47,0.47,0.47,0.47,56542.0,0.45,0.5105000000000001,0.3652235269546509
2008-01-21,0.45,0.45,0.415,0.42,165500.0,0.44,0.4805,0.3593822121620178
2008-01-22,0.415,0.415,0.4,0.4,59000.0,0.34,0.45,0.3534359335899353
2008-01-23,0.415,0.45,0.415,0.42,121000.0,0.275,0.418,0.3473835587501526
2008-01-24,0.42,0.42,0.4,0.41,143500.0,0.31999999999999995,0.419,0.3412250280380249
2008-01-25,0.42,0.5,0.42,0.48,72000.0,0.31999999999999995,0.4090000000000001,0.33495956659317017
2008-01-29,0.48,0.48,0.42,0.45,29276.0,0.49,0.4510000000000001,0.3285865783691406
2008-01-30,0.44,0.44,0.44,0.44,10000.0,0.48,0.447,0.3221060633659363
2008-01-31,0.45,0.45,0.45,0.45,200000.0,0.48,0.4450000000000001,0.3155170679092407
2008-02-01,0.45,0.45,0.45,0.45,26111.0,0.48,0.4460000000000001,0.30881935358047485
2008-02-04,0.44,0.44,0.42,0.42,29000.0,0.4900000000000001,0.4460000000000001,0.30201244354248047
2008-02-05,0.42,0.42,0.42,0.42,29000.0,0.36,0.425,0.29509544372558594
2008-02-06,0.42,0.42,0.4,0.4,5724.0,0.39,0.425,0.28806865215301514
2008-02-07,0.4,0.4,0.375,0.4,30750.0,0.36000000000000004,0.406,0.28093111515045166
2008-02-08,0.4,0.42,0.4,0.4,21955.0,0.35000000000000003,0.402,0.27368175983428955
2008-02-11,0.36,0.36,0.36,0.36,21955.0,0.35000000000000003,0.4,0.2663213610649109
2008-02-12,0.39,0.4,0.39,0.4,24917.0,0.3,0.376,0.25884848833084106
2008-02-13,0.36,0.36,0.36,0.36,14000.0,0.3800000000000001,0.392,0.25126275420188904
2008-02-14,0.37,0.37,0.365,0.37,65083.0,0.31999999999999995,0.372,0.243563711643219
2008-02-15,0.36,0.36,0.35,0.35,25000.0,0.34,0.3710000000000001,0.2357511967420578
2008-02-18,0.35,0.35,0.34,0.34,60007.0,0.29999999999999993,0.3570000000000001,0.22782427072525024
2008-02-19,0.34,0.35,0.34,0.34,52053.0,0.3200000000000001,0.34299999999999997,0.2197824865579605
2008-02-20,0.34,0.34,0.34,0.34,4000.0,0.28,0.341,0.21174615621566772
2008-02-21,0.38,0.39,0.35,0.35,37000.0,0.3200000000000001,0.341,0.21322457492351532
2008-02-22,0.35,0.35,0.35,0.35,37000.0,0.33,0.348,0.21471889317035675
2008-02-25,0.355,0.365,0.355,0.36,190500.0,0.35,0.349,0.21622924506664276
2008-02-26,0.36,0.36,0.35,0.35,179500.0,0.38,0.355,0.21775585412979126
2008-02-27,0.34,0.34,0.33,0.33,57372.0,0.35999999999999993,0.353,0.2192988246679306
2008-02-28,0.335,0.35,0.335,0.35,12000.0,0.32,0.343,0.2208583652973175
2008-02-29,0.35,0.35,0.35,0.35,15000.0,0.35,0.349,0.2224346250295639
2008-03-03,0.34,0.34,0.335,0.335,20500.0,0.35,0.35,0.22402779757976532
