Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2003-01-02,7.2,7.35,7.18,7.34,849718.0,,
2003-01-03,7.2,7.3,7.12,7.19,607878.0,,
2003-01-06,7.31,7.4,7.3,7.36,756148.0,,
2003-01-07,7.3,7.5,7.29,7.45,2049961.0,,
2003-01-08,7.19,7.29,7.13,7.2,1778739.0,,
2003-01-09,7.33,7.4,7.24,7.25,1038770.0,,
2003-01-10,7.21,7.23,7.01,7.06,1776749.0,7.16,
2003-01-13,7.15,7.2,7.04,7.04,811218.0,6.929999999999999,
2003-01-14,6.98,6.99,6.73,6.86,1562883.0,6.72,
2003-01-15,6.7,6.72,6.62,6.7,1982415.0,6.2700000000000005,
2003-01-16,6.63,6.88,6.63,6.87,825128.0,6.2,
2003-01-17,7.0,7.08,6.97,7.0,1500779.0,6.49,
2003-01-20,6.98,7.01,6.92,6.97,833904.0,6.94,
2003-01-21,6.79,6.89,6.79,6.87,750304.0,6.9,
2003-01-22,6.89,6.96,6.82,6.89,660620.0,6.88,
2003-01-23,6.96,7.13,6.96,7.12,1089056.0,7.079999999999999,
2003-01-24,7.14,7.15,6.92,7.04,1013932.0,7.37,
2003-01-28,7.11,7.15,6.9,7.0,2243426.0,7.08,
2003-01-29,6.95,7.0,6.83,6.87,1048108.0,7.03,
2003-01-30,6.76,6.76,6.55,6.67,1252979.0,6.87,
2003-01-31,6.65,6.7,6.54,6.59,1716723.0,6.45,
2003-02-03,6.69,6.69,6.54,6.68,815563.0,6.06,
2003-02-04,6.79,6.79,6.57,6.63,2414930.0,6.3199999999999985,
2003-02-05,6.79,6.79,6.49,6.52,2671318.0,6.26,
2003-02-06,6.33,6.5,6.31,6.45,2321827.0,6.169999999999999,
2003-02-07,6.4,6.52,6.4,6.48,808388.0,6.23,
2003-02-10,6.43,6.43,6.26,6.3,1130386.0,6.370000000000001,
2003-02-11,6.14,6.17,6.08,6.14,1636963.0,5.92,
2003-02-12,6.14,6.31,6.14,6.22,2298564.0,5.65,
2003-02-13,6.01,6.12,6.01,6.12,1612929.0,5.92,
2003-02-14,6.16,6.3,6.13,6.25,913421.0,5.79,
2003-02-17,6.12,6.2,5.98,6.03,1175007.0,6.02,
2003-02-18,6.03,6.09,6.03,6.07,1757466.0,5.760000000000002,
2003-02-19,5.91,6.09,5.88,5.9,2380948.0,6.000000000000001,
2003-02-20,6.0,6.0,5.87,5.91,2401791.0,5.580000000000001,
2003-02-21,5.91,6.06,5.88,6.0,1633099.0,5.7,
2003-02-24,6.02,6.02,5.9,5.99,773358.0,5.75,
2003-02-25,6.06,6.17,6.06,6.1,1596210.0,5.95,
2003-02-26,6.05,6.05,5.96,6.05,1274394.0,6.129999999999999,
2003-02-27,6.06,6.06,5.76,5.85,1263806.0,6.199999999999998,
2003-02-28,5.74,5.95,5.7,5.95,3787873.0,5.789999999999999,
2003-03-03,6.01,6.06,5.93,5.96,611075.0,5.9,
2003-03-04,5.98,6.05,5.9,5.97,623667.0,5.93,
2003-03-05,6.0,6.19,6.0,6.16,1488155.0,5.84,
2003-03-06,6.16,6.19,6.11,6.18,1250338.0,6.2700000000000005,
2003-03-07,6.2,6.22,6.05,6.17,853082.0,6.51,
2003-03-10,6.15,6.16,6.02,6.14,592008.0,6.39,
2003-03-11,6.13,6.17,6.03,6.16,521706.0,6.3199999999999985,
2003-03-12,6.12,6.12,5.92,5.98,935602.0,6.3500000000000005,
2003-03-13,5.9,5.9,5.67,5.75,1436492.0,5.800000000000002,
2003-03-14,5.62,5.7,5.54,5.69,2972631.0,5.32,
2003-03-17,5.79,6.03,5.7,5.92,2308694.0,5.210000000000001,
2003-03-18,5.9,6.0,5.82,5.88,1205286.0,5.7,
2003-03-19,5.95,5.95,5.66,5.69,1138135.0,5.6,
2003-03-20,5.72,5.93,5.72,5.9,2391243.0,5.4,
2003-03-21,5.87,5.94,5.81,5.88,1092277.0,6.050000000000002,
2003-03-24,5.78,5.94,5.72,5.94,2242331.0,6.0699999999999985,
2003-03-25,5.95,5.99,5.89,5.99,1000939.0,5.960000000000001,
2003-03-26,5.99,6.0,5.89,5.98,1031217.0,6.1000000000000005,
2003-03-27,6.0,6.03,5.95,6.0,1286952.0,6.2700000000000005,
2003-03-28,5.99,6.21,5.95,6.2,2570012.0,6.1,
2003-03-31,6.31,6.42,6.3,6.36,3211867.0,6.5200000000000005,
2003-04-01,6.43,6.57,6.27,6.53,2341697.0,6.78,
2003-04-02,6.53,6.53,6.28,6.31,2326183.0,7.07,
2003-04-03,6.21,6.21,6.08,6.13,1098468.0,6.639999999999999,
2003-04-04,6.05,6.1,5.97,6.0,1369239.0,6.26,
2003-04-07,6.09,6.1,6.02,6.1,1732572.0,5.8,
2003-04-08,6.05,6.39,6.05,6.35,1933969.0,5.839999999999999,
2003-04-09,6.31,6.6,6.31,6.51,2491489.0,6.169999999999999,
2003-04-10,6.54,6.6,6.28,6.39,2514483.0,6.71,
2003-04-11,6.46,6.59,6.45,6.54,1236127.0,6.65,
2003-04-14,6.54,6.54,6.39,6.46,1031355.0,7.08,
2003-04-15,6.48,6.48,6.36,6.42,976411.0,6.82,
2003-04-16,6.41,6.58,6.41,6.56,1065416.0,6.49,
2003-04-17,6.55,6.78,6.55,6.75,1590375.0,6.6099999999999985,
2003-04-22,6.85,6.88,6.75,6.81,1826105.0,7.11,
2003-04-23,6.8,6.96,6.8,6.9,2248592.0,7.079999999999999,
2003-04-24,6.84,6.88,6.65,6.71,3024360.0,7.340000000000002,
2003-04-28,6.63,6.72,6.52,6.6,1419859.0,7.0,
2003-04-29,6.55,6.62,6.48,6.54,1427420.0,6.64,
2003-04-30,6.53,6.58,6.44,6.55,1947236.0,6.33,
2003-05-01,6.7,6.78,6.6,6.76,1500307.0,6.29,
2003-05-02,6.8,6.98,6.77,6.91,2687322.0,6.619999999999999,
2003-05-05,6.93,7.03,6.86,7.0,1019204.0,7.11,
2003-05-06,7.11,7.2,6.91,6.95,1614372.0,7.4,
2003-05-07,7.05,7.14,7.02,7.07,2245904.0,7.36,
2003-05-08,7.05,7.2,7.05,7.15,3313550.0,7.590000000000002,
2003-05-09,7.2,7.32,7.15,7.21,3047519.0,7.540000000000001,
2003-05-12,7.18,7.34,7.18,7.29,1525331.0,7.51,
2003-05-13,7.3,7.35,7.1,7.18,1714150.0,7.58,
2003-05-14,7.09,7.1,6.95,6.97,2272589.0,7.409999999999998,
2003-05-15,7.02,7.13,7.02,7.12,2054799.0,6.869999999999999,
2003-05-16,7.13,7.36,7.13,7.36,2232115.0,7.09,
