Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,,,,4.6,,,,2.791027784347534,,,,,,
1999-03-23,,,,4.6,,,,3.06916618347168,,,,,,
1999-03-24,,,,4.6,,,,3.308896780014038,,,,,,
1999-03-25,,,,4.6,,,,3.5609052181243896,,,,,,
1999-03-26,,,,4.7,,,,3.765504121780396,,,,,,
1999-03-29,,,,4.7,,,,3.940761566162109,,,,,,
1999-03-30,,,,4.7,,4.800000000000002,,4.0821924209594735,4.642857142857143,,,,,
1999-03-31,4.8,4.8,4.8,4.8,1000.0,4.800000000000002,,4.204272270202637,4.671428571428571,,,,,
1999-04-01,4.8,4.8,4.8,4.7,1000.0,5.0,,4.312114715576172,4.685714285714285,,,,,
1999-04-06,4.8,4.81,4.8,4.8,8000.0,4.800000000000002,,4.403738021850586,4.7142857142857135,,,,,
1999-04-07,4.8,4.81,4.8,4.6,8000.0,4.9,,4.481963157653809,4.7142857142857135,,,,,
1999-04-08,4.8,4.85,4.8,4.85,29200.0,4.499999999999999,,4.546797275543213,4.735714285714285,,,,,
1999-04-09,4.8,4.85,4.8,5.0,29200.0,4.999999999999999,,4.598244667053223,4.778571428571427,,,,,
1999-04-12,5.0,5.0,5.0,5.0,25000.0,5.2,,4.636312484741211,4.821428571428569,4.732142857142857,,,,
1999-04-13,5.0,5.0,5.0,5.0,1200.0,5.3,,4.66100549697876,4.849999999999999,4.760714285714286,,,,
1999-04-14,4.8,4.8,4.8,4.8,1000.0,5.2,,4.672330379486084,4.864285714285712,4.775,,,,
1999-04-15,4.8,4.8,4.8,4.8,1000.0,5.0,,4.670354843139648,4.864285714285712,4.7892857142857155,,,,
1999-04-16,4.8,4.8,4.8,4.8,1000.0,4.75,,4.655172348022461,4.89285714285714,4.80357142857143,,,,
1999-04-19,4.85,4.85,4.8,4.8,25000.0,4.6,,4.626656532287598,4.885714285714282,4.810714285714286,,,,
1999-04-20,4.8,4.8,4.8,4.8,120.0,4.6,,4.5848121643066415,4.857142857142853,4.817857142857143,,,,
1999-04-21,4.82,4.82,4.82,4.82,6000.0,4.6,,4.529646873474121,4.831428571428567,4.826428571428572,,,,
1999-04-22,4.82,4.82,4.82,4.82,6000.0,4.840000000000002,,4.461165428161621,4.805714285714282,4.827857142857144,,,,
1999-04-23,4.82,4.82,4.82,4.85,6000.0,4.840000000000002,,4.412920951843262,4.81285714285714,4.838571428571429,,,,
1999-04-26,4.82,4.82,4.82,4.85,6000.0,4.9,,4.3967933654785165,4.819999999999998,4.842142857142858,,,,
1999-04-27,4.82,4.82,4.82,4.85,6000.0,4.9,,4.392460346221924,4.827142857142855,4.86,,,,
1999-04-28,4.82,4.82,4.82,4.88,6000.0,4.9,,4.382713794708252,4.838571428571427,4.8621428571428575,,,,
1999-04-29,5.0,5.0,5.0,5.0,1500.0,4.94,,4.367561340332031,4.8671428571428565,4.8621428571428575,,,,
1999-04-30,5.05,5.05,5.05,5.05,638.0,5.18,,4.34700870513916,4.899999999999999,4.865714285714286,,,,
1999-05-03,5.05,5.05,5.05,4.85,638.0,5.25,,4.344831466674806,4.904285714285713,4.8549999999999995,,,,
1999-05-04,5.05,5.05,5.05,4.85,638.0,4.85,,4.3527188301086435,4.904285714285713,4.8585714285714285,4.8023333333333325,,,
1999-05-05,5.05,5.05,5.05,4.85,638.0,4.85,,4.357743740081787,4.904285714285713,4.862142857142857,4.810666666666665,,,
1999-05-06,4.99,5.0,4.99,5.0,1100.0,4.8199999999999985,,4.359912872314453,4.925714285714284,4.876428571428571,4.823999999999999,,,
1999-05-07,4.99,5.0,4.99,4.85,1100.0,5.0,,4.359232902526856,4.92142857142857,4.88,4.832333333333333,,,
1999-05-11,4.99,5.0,4.99,4.85,1100.0,4.65,,4.355708599090576,4.899999999999999,4.883571428571428,4.840666666666666,,,
1999-05-12,4.99,5.0,4.99,4.85,1100.0,4.85,,4.3493475914001465,4.871428571428571,4.885714285714284,4.8456666666666655,,,
1999-05-13,4.99,5.0,4.99,4.9,1100.0,4.85,,4.340155601501465,4.878571428571427,4.891428571428571,4.852333333333333,,,
1999-05-14,4.99,5.0,4.99,4.9,1100.0,4.950000000000001,,4.328113555908203,4.885714285714284,4.8950000000000005,4.859,,,
1999-05-17,4.9,5.05,4.9,5.05,3000.0,4.800000000000002,,4.313251495361328,4.914285714285712,4.909285714285715,4.867333333333334,,,
1999-05-18,5.0,5.05,5.0,5.05,15000.0,5.25,,4.295578002929688,4.921428571428569,4.923571428571429,4.879000000000001,,,
1999-05-19,4.9,4.9,4.85,4.85,32900.0,5.25,,4.275101184844972,4.921428571428569,4.921428571428572,4.880666666666667,,,
1999-05-20,4.75,4.75,4.75,4.75,14000.0,4.85,,4.25182580947876,4.907142857142854,4.903571428571429,4.885666666666667,,,
1999-05-21,4.6,4.6,4.58,4.58,17500.0,4.6,,4.243279933929443,4.868571428571426,4.87,4.876666666666668,,,
1999-05-24,4.6,4.6,4.58,4.6,17500.0,4.26,,4.235668182373047,4.825714285714283,4.852142857142858,4.863333333333334,,,
1999-05-25,4.6,4.6,4.58,4.7,17500.0,4.15,,4.23685359954834,4.7971428571428545,4.8414285714285725,4.853333333333334,,,
1999-05-26,4.8,4.8,4.8,4.8,6500.0,4.3500000000000005,,4.242933273315431,4.761428571428569,4.837857142857144,4.846666666666668,,,
1999-05-27,4.7,4.7,4.7,4.7,2700.0,4.75,,4.247861862182616,4.71142857142857,4.816428571428573,4.843333333333334,,,
1999-05-28,4.75,4.75,4.75,4.75,2500.0,4.65,,4.251640796661377,4.697142857142856,4.809285714285716,4.841666666666667,,,
1999-05-31,4.75,4.75,4.75,4.65,2500.0,4.92,,4.254270553588866,4.682857142857141,4.795000000000003,4.836666666666667,,,
1999-06-01,4.75,4.75,4.75,4.6,2500.0,4.700000000000001,,4.255955696105957,4.685714285714284,4.77714285714286,4.829999999999999,,,
1999-06-02,4.75,4.75,4.75,4.5,2500.0,4.499999999999999,,4.256519317626953,4.67142857142857,4.748571428571431,4.8199999999999985,,,
1999-06-03,4.75,4.75,4.75,4.7,2500.0,4.2,,4.2559309005737305,4.67142857142857,4.734285714285717,4.815999999999999,,,
1999-06-04,4.75,4.75,4.75,4.5,2500.0,4.7,,4.254190444946288,4.628571428571427,4.695000000000002,4.805333333333333,,,
1999-06-07,4.75,4.75,4.75,4.5,2500.0,4.25,,4.251298427581787,4.599999999999999,4.655714285714288,4.793666666666666,,,
1999-06-08,4.75,4.75,4.75,4.5,2500.0,4.35,,4.247253894805908,4.564285714285712,4.630714285714289,4.781999999999999,,,
1999-06-09,4.75,4.75,4.75,4.5,2500.0,4.4,,4.242057800292969,4.542857142857142,4.612857142857146,4.770333333333332,,,
1999-06-10,4.75,4.75,4.75,4.75,1400.0,4.5,,4.2357096672058105,4.564285714285712,4.625000000000003,4.766,,,
1999-06-11,4.75,4.75,4.5,4.5,1350.0,4.8,,4.2282090187072745,4.564285714285712,4.617857142857146,4.749333333333333,,,
1999-06-15,4.75,4.75,4.5,4.5,1350.0,4.5,,4.219556808471681,4.535714285714284,4.603571428571432,4.730999999999999,,,
1999-06-16,4.75,4.75,4.5,4.6,1350.0,4.5,,4.2097530364990225,4.549999999999998,4.589285714285717,4.722666666666666,,,
