Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2010-12-13,1.49,1.6,1.45,1.595,5615070.0,,,0.44238829612731934,,,,,,
2010-12-14,1.58,1.58,1.5,1.5,2226910.0,,,0.5798550248146057,,,,,,
2010-12-15,1.5,1.54,1.46,1.47,1136063.0,,,0.7657275199890137,,,,,,
2010-12-16,1.47,1.51,1.46,1.5,362979.0,,,1.0028764009475708,,,,,,
2010-12-17,1.505,1.595,1.505,1.575,410905.0,,,1.2764749526977541,,,,,,
2010-12-20,1.58,1.655,1.58,1.6,747490.0,,,1.4749987125396729,,,,,,
2010-12-21,1.635,1.71,1.635,1.655,621153.0,1.6050000000000002,,1.6113924980163574,1.5564285714285713,,,,,
2010-12-22,1.72,1.85,1.72,1.78,447175.0,1.81,,1.6956913471221924,1.5828571428571425,,,,,
2010-12-23,1.78,1.78,1.705,1.72,265327.0,2.09,,1.7471346855163574,1.614285714285714,,,,,
2010-12-24,1.72,1.8,1.72,1.8,72613.0,1.94,,1.7641408443450928,1.6614285714285713,,,,,
2010-12-29,1.8,1.8,1.71,1.755,221359.0,2.0250000000000004,,1.7456111907958984,1.6978571428571425,,,,,
2010-12-30,1.73,1.77,1.715,1.72,124669.0,1.91,,1.7136441469192505,1.7185714285714284,,,,,
2010-12-31,1.73,1.76,1.72,1.75,29052.0,1.785,,1.703368902206421,1.74,,,,,
2011-01-04,1.765,1.79,1.765,1.78,96026.0,1.72,,1.6796472072601318,1.7578571428571428,1.657142857142857,,,,
2011-01-05,1.78,1.78,1.74,1.745,124945.0,1.84,,1.6802482604980469,1.7528571428571431,1.667857142857143,,,,
2011-01-06,1.75,1.755,1.71,1.75,114535.0,1.6900000000000002,,1.6834878921508791,1.7571428571428573,1.6857142857142857,,,,
2011-01-07,1.74,1.74,1.725,1.725,43244.0,1.745,,1.6755778789520264,1.7464285714285714,1.7039285714285717,,,,
2011-01-10,1.73,1.75,1.69,1.69,181816.0,1.7300000000000002,,1.6567838191986084,1.737142857142857,1.7175000000000005,,,,
2011-01-11,1.7,1.7,1.62,1.625,141927.0,1.63,,1.6550006866455078,1.7235714285714285,1.721071428571429,,,,
2011-01-12,1.62,1.675,1.585,1.64,264490.0,1.47,,1.6798036098480225,1.707857142857143,1.7239285714285717,,,,
2011-01-13,1.64,1.71,1.62,1.71,150257.0,1.5349999999999997,,1.6953918933868408,1.6978571428571427,1.7278571428571432,,,,
2011-01-14,1.7,1.75,1.7,1.75,177687.0,1.67,,1.7065086364746094,1.6985714285714286,1.725714285714286,,,,
2011-01-17,1.73,1.73,1.7,1.73,126031.0,1.775,,1.7128279209136963,1.695714285714286,1.7264285714285719,,,,
2011-01-18,1.74,1.79,1.74,1.75,286822.0,1.77,,1.7146118879318235,1.6992857142857145,1.722857142857143,,,,
2011-01-19,1.75,1.75,1.685,1.75,134741.0,1.875,,1.718327879905701,1.7078571428571432,1.7225000000000004,,,,
2011-01-20,1.75,1.76,1.72,1.72,87520.0,1.86,,1.7329843044281006,1.7214285714285718,1.7225000000000004,,,,
2011-01-21,1.72,1.72,1.675,1.7,124415.0,1.73,,1.744454860687256,1.7300000000000002,1.7189285714285718,,,,
2011-01-24,1.7,1.76,1.7,1.75,143391.0,1.65,,1.7532614469528198,1.735714285714286,1.7167857142857146,,,,
2011-01-25,1.775,1.78,1.75,1.75,125282.0,1.77,,1.7589516639709473,1.735714285714286,1.7171428571428573,,,,
2011-01-27,1.75,1.77,1.74,1.75,139228.0,1.75,,1.76178240776062,1.7385714285714289,1.7171428571428573,1.6911666666666667,,,
2011-01-28,1.74,1.75,1.72,1.73,268072.0,1.75,,1.7620118856430054,1.735714285714286,1.7175,1.6956666666666667,,,
2011-01-31,1.71,1.72,1.7,1.7,156830.0,1.74,,1.7596755027770996,1.7285714285714289,1.7182142857142857,1.7023333333333333,,,
2011-02-01,1.7,1.73,1.7,1.72,177468.0,1.7,,1.7548096179962158,1.7285714285714289,1.7249999999999999,1.7106666666666668,,,
2011-02-02,1.72,1.73,1.685,1.685,163117.0,1.69,,1.7474508285522459,1.7264285714285719,1.7282142857142855,1.7168333333333334,,,
2011-02-03,1.69,1.7,1.67,1.7,97541.0,1.62,,1.737636923789978,1.7192857142857145,1.7274999999999996,1.721,,,
2011-02-04,1.7,1.72,1.68,1.68,103265.0,1.65,,1.7254061698913574,1.7092857142857145,1.7224999999999997,1.7236666666666667,,,
2011-02-07,1.68,1.7,1.68,1.69,155712.0,1.63,,1.7098447084426882,1.7007142857142858,1.7196428571428568,1.7248333333333332,,,
2011-02-08,1.69,1.7,1.665,1.665,63801.0,1.68,,1.6986263990402222,1.6914285714285715,1.7135714285714283,1.7209999999999999,,,
2011-02-09,1.66,1.66,1.61,1.65,205713.0,1.61,,1.6963502168655396,1.6842857142857144,1.706428571428571,1.7186666666666666,,,
2011-02-10,1.65,1.695,1.645,1.65,101502.0,1.6149999999999998,,1.692409873008728,1.6742857142857144,1.7014285714285708,1.7136666666666664,,,
2011-02-11,1.65,1.65,1.61,1.61,800763.0,1.6,,1.6895864009857178,1.6635714285714285,1.6949999999999996,1.7088333333333332,,,
2011-02-14,1.64,1.65,1.63,1.65,164517.0,1.5400000000000005,,1.6873610019683838,1.6564285714285716,1.6878571428571423,1.7064999999999997,,,
2011-02-15,1.65,1.65,1.62,1.62,222420.0,1.61,,1.6837656497955322,1.647857142857143,1.6785714285714282,1.7021666666666664,,,
2011-02-16,1.65,1.65,1.61,1.61,99785.0,1.5750000000000002,,1.678821682929993,1.6364285714285713,1.668571428571428,1.6964999999999997,,,
2011-02-17,1.63,1.65,1.62,1.63,145891.0,1.5700000000000005,,1.6725503206253052,1.6314285714285717,1.6614285714285708,1.6926666666666665,,,
2011-02-18,1.63,1.695,1.62,1.65,602812.0,1.61,,1.6649737358093262,1.6314285714285717,1.6578571428571423,1.6893333333333331,,,
2011-02-21,1.65,1.66,1.63,1.65,308270.0,1.6899999999999995,,1.656113862991333,1.6314285714285717,1.6528571428571421,1.686833333333333,,,
2011-02-22,1.63,1.63,1.6,1.6,154708.0,1.65,,1.6562001705169678,1.6300000000000003,1.6467857142857139,1.683833333333333,,,
2011-02-23,1.6,1.61,1.6,1.605,45400.0,1.58,,1.655433177947998,1.6235714285714289,1.6399999999999995,1.6831666666666663,,,
2011-02-24,1.64,1.64,1.6,1.6,74136.0,1.6,,1.6534470319747925,1.620714285714286,1.634285714285714,1.681833333333333,,,
2011-02-25,1.6,1.615,1.6,1.6,131351.0,1.5700000000000005,,1.6498820781707764,1.6192857142857147,1.6278571428571424,1.6781666666666664,,,
2011-02-28,1.6,1.605,1.59,1.6,99678.0,1.5500000000000005,,1.6443190574645996,1.6150000000000004,1.6232142857142855,1.6731666666666665,,,
2011-03-01,1.6,1.6,1.58,1.6,80112.0,1.5500000000000005,,1.63752281665802,1.6078571428571433,1.6196428571428572,1.6688333333333332,,,
2011-03-02,1.6,1.6,1.595,1.6,14002.0,1.6,,1.6294801235198977,1.600714285714286,1.6160714285714288,1.6638333333333333,,,
