Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2007-06-19,3.9,3.9,3.9,3.9,,,,0.9889616966247559
2007-06-20,3.95,3.95,3.95,3.95,8333.0,,,1.2873516082763672
2007-06-21,4.02,4.05,4.02,4.05,2500.0,,,1.6919426918029785
2007-06-22,4.05,4.15,4.05,4.15,9280.0,,,2.2171199321746826
2007-06-25,4.14,4.15,4.0,4.15,10106.0,,,2.8126513957977295
2007-06-26,4.15,4.15,4.0,4.0,30662.0,,,3.2029101848602295
2007-06-27,3.95,3.95,3.55,3.63,134575.0,4.1,,3.496483325958252
2007-06-28,3.81,3.81,3.73,3.76,288745.0,3.31,,3.714033603668213
2007-06-29,3.78,3.85,3.78,3.8,120904.0,3.47,,3.8628759384155273
2007-07-02,3.81,3.81,3.57,3.75,403613.0,3.45,,3.9458489418029785
2007-07-03,3.76,3.88,3.69,3.88,244834.0,3.35,,3.9649276733398438
2007-07-04,3.88,3.88,3.69,3.79,300503.0,3.76,,3.9201343059539795
2007-07-05,3.79,3.85,3.75,3.76,417017.0,3.95,,3.813070297241211
2007-07-06,3.76,3.86,3.74,3.86,257473.0,3.76,,3.6469221115112305
2007-07-09,3.9,3.92,3.86,3.91,297207.0,3.92,,3.6230907440185547
2007-07-10,3.86,3.92,3.86,3.88,95780.0,4.07,,3.611980438232422
2007-07-11,3.86,3.86,3.76,3.86,167528.0,3.88,,3.5730717182159424
2007-07-12,3.85,3.89,3.76,3.85,189700.0,3.93,,3.579336166381836
2007-07-13,3.84,3.88,3.78,3.83,245077.0,3.94,,3.599388360977173
2007-07-16,3.84,3.84,3.76,3.79,133546.0,3.8,,3.6025774478912354
2007-07-17,3.76,3.76,3.68,3.7,346430.0,3.67,,3.5898139476776123
2007-07-18,3.68,3.78,3.67,3.74,391525.0,3.5200000000000005,,3.5613930225372314
2007-07-19,3.78,3.81,3.74,3.8,140267.0,3.620000000000001,,3.5542409420013428
2007-07-20,3.79,3.8,3.75,3.78,75630.0,3.75,,3.5433261394500732
2007-07-23,3.79,3.8,3.76,3.78,73747.0,3.73,,3.5195648670196533
2007-07-24,3.78,3.79,3.76,3.79,234518.0,3.77,,3.4840712547302246
2007-07-25,3.75,3.79,3.71,3.78,213974.0,3.88,,3.468456745147705
2007-07-26,3.75,3.77,3.74,3.75,159677.0,3.82,,3.4631338119506836
2007-07-27,3.65,3.7,3.62,3.68,516592.0,3.7,,3.4510135650634766
2007-07-30,3.68,3.75,3.61,3.75,568701.0,3.5800000000000005,,3.4323277473449707
2007-07-31,3.77,3.8,3.72,3.78,322103.0,3.72,,3.4073266983032227
2007-08-01,3.75,3.76,3.72,3.73,924969.0,3.77,,3.376281499862671
2007-08-02,3.69,3.72,3.63,3.65,596035.0,3.68,,3.339953899383545
2007-08-03,3.65,3.69,3.65,3.69,575671.0,3.55,,3.297483205795288
2007-08-06,3.65,3.65,3.62,3.63,275865.0,3.7,,3.266756772994995
2007-08-07,3.66,3.74,3.64,3.74,162919.0,3.51,,3.2575249671936035
2007-08-08,3.75,3.75,3.62,3.67,223781.0,3.7000000000000006,,3.243622064590454
2007-08-09,3.71,3.75,3.65,3.75,230538.0,3.61,,3.2250940799713135
2007-08-10,3.64,3.69,3.61,3.62,229337.0,3.85,,3.201996088027954
2007-08-13,3.67,3.7,3.41,3.49,608558.0,3.5500000000000003,,3.1743884086608887
2007-08-14,3.55,3.61,3.45,3.61,327669.0,3.3500000000000005,,3.142341375350952
2007-08-15,3.49,3.49,3.3,3.35,258729.0,3.4799999999999995,,3.105930805206299
2007-08-16,3.3,3.3,3.05,3.15,331707.0,3.03,,3.065241575241089
2007-08-17,3.12,3.12,3.0,3.06,143521.0,2.55,,3.0203635692596436
2007-08-20,3.0,3.0,2.89,2.91,464550.0,2.5,,2.971395254135132
2007-08-21,2.91,2.91,2.8,2.85,270858.0,2.33,,2.9160308837890625
2007-08-22,2.8,2.9,2.76,2.9,183418.0,2.0900000000000003,,2.8557419776916504
2007-08-23,3.0,3.03,2.96,3.01,695044.0,2.45,,2.7916107177734375
2007-08-24,3.1,3.1,3.0,3.08,52362.0,2.87,,2.7297377586364746
2007-08-27,3.1,3.11,3.08,3.11,255045.0,3.1,,2.6920382976531982
2007-08-28,3.1,3.1,3.06,3.06,46084.0,3.31,,2.6937432289123535
2007-08-29,3.07,3.1,3.03,3.05,106765.0,3.27,,2.695614814758301
2007-08-30,3.08,3.11,3.05,3.11,189578.0,3.2,,2.696291923522949
2007-08-31,3.07,3.12,3.05,3.05,247022.0,3.21,,2.695786476135254
2007-09-03,3.12,3.12,3.0,3.06,62871.0,3.02,,2.694112777709961
2007-09-04,3.1,3.1,3.03,3.05,110610.0,3.01,,2.6934540271759033
2007-09-05,3.12,3.12,3.06,3.12,204286.0,3.04,,2.6916611194610596
2007-09-06,3.07,3.07,3.01,3.05,138064.0,3.1900000000000004,,2.6887357234954834
2007-09-10,3.25,3.48,3.25,3.48,825633.0,2.99,,2.6846864223480225
2007-09-11,3.4,3.47,3.38,3.41,128498.0,3.91,,2.679523229598999
2007-09-12,3.44,3.46,3.36,3.36,75444.0,3.76,,2.6750526428222656
2007-09-13,3.38,3.45,3.37,3.4,156994.0,3.67,,2.6745047569274902
2007-09-14,3.44,3.44,3.38,3.4,129754.0,3.68,,2.67305064201355
2007-09-17,3.48,3.48,3.37,3.4,115401.0,3.75,,2.67069673538208
2007-09-18,3.48,3.48,3.41,3.47,422594.0,3.32,,2.6674485206604004
2007-09-19,3.48,3.51,3.4,3.41,766221.0,3.53,,2.6633124351501465
2007-09-20,3.45,3.48,3.41,3.47,130679.0,3.4600000000000004,,2.659379720687866
2007-09-21,3.57,3.72,3.48,3.71,1005098.0,3.5400000000000005,,2.6587231159210205
2007-09-24,3.74,3.75,3.62,3.62,333430.0,4.02,,2.6572635173797607
2007-09-25,3.7,3.79,3.65,3.78,472752.0,3.84,,2.655001163482666
2007-09-26,3.75,3.77,3.62,3.62,321005.0,4.09,,2.651937961578369
2007-09-27,3.65,3.67,3.62,3.67,165684.0,3.83,,2.6480748653411865
2007-09-28,3.65,3.67,3.62,3.65,309232.0,3.87,,2.643413543701172
2007-10-01,3.7,3.7,3.51,3.57,307294.0,3.59,,2.6379549503326416
2007-10-02,3.58,3.63,3.45,3.45,217262.0,3.52,,2.6317009925842285
2007-10-03,3.38,3.38,3.29,3.29,464761.0,3.120000000000001,,2.624652147293091
2007-10-04,3.35,3.39,3.3,3.3,313599.0,2.96,,2.6168107986450195
2007-10-05,3.33,3.33,3.21,3.21,409994.0,2.93,,2.6081783771514893
2007-10-08,3.28,3.35,3.22,3.3,312543.0,2.77,,2.5987563133239746
2007-10-09,3.3,3.38,3.28,3.38,677079.0,3.03,,2.588305711746216
2007-10-10,3.34,3.38,3.3,3.33,505012.0,3.31,,2.577038049697876
2007-10-11,3.32,3.35,3.28,3.31,248156.0,3.37,,2.564997911453247
2007-10-12,3.36,3.37,3.32,3.32,283370.0,3.3200000000000003,,2.552187919616699
2007-10-15,3.33,3.4,3.33,3.39,323997.0,3.43,,2.538609504699707
2007-10-16,3.44,3.6,3.44,3.59,334974.0,3.4800000000000004,,2.5242655277252197
2007-10-17,3.55,3.55,3.42,3.49,390881.0,3.8,,2.5091569423675537
2007-10-18,3.55,3.55,3.5,3.55,237260.0,3.65,,2.4932870864868164
2007-10-19,3.56,3.56,3.49,3.51,96783.0,3.79,,2.4766578674316406
2007-10-22,3.45,3.55,3.4,3.55,766272.0,3.7,,2.45927095413208
2007-10-23,3.46,3.46,3.39,3.44,294411.0,3.71,,2.441128969192505
2007-10-24,3.45,3.45,3.38,3.42,260711.0,3.29,,2.422234535217285
2007-10-25,3.43,3.43,3.35,3.36,151258.0,3.35,,2.402940511703491
2007-10-26,3.38,3.4,3.27,3.38,116028.0,3.17,,2.394622802734375
2007-10-29,3.4,3.48,3.37,3.39,94321.0,3.25,,2.3935511112213135
2007-10-30,3.45,3.45,3.33,3.4,309993.0,3.2300000000000004,,2.392066240310669
2007-10-31,3.32,3.39,3.3,3.39,92575.0,3.36,,2.3901686668395996
2007-11-01,3.39,3.39,3.28,3.28,142486.0,3.3600000000000003,,2.3878564834594727
2007-11-02,3.3,3.33,3.27,3.27,141080.0,3.2,,2.3851287364959717
2007-11-05,3.27,3.35,3.26,3.32,243044.0,3.16,,2.3819854259490967
2007-11-06,3.3,3.32,3.06,3.22,386060.0,3.25,,2.378424882888794
2007-11-07,3.15,3.25,3.13,3.24,217007.0,3.0400000000000005,,2.3744468688964844
2007-11-08,3.24,3.25,3.2,3.2,113965.0,3.0900000000000003,,2.3700497150421143
2007-11-09,3.2,3.21,3.02,3.14,355045.0,3.120000000000001,,2.3652327060699463
2007-11-12,3.07,3.1,3.0,3.07,275021.0,3.01,,2.359995126724243
2007-11-13,3.03,3.03,2.93,3.0,286396.0,2.82,,2.3543365001678467
2007-11-14,2.96,3.0,2.9,2.91,405590.0,2.78,,2.348254919052124
2007-11-15,2.95,2.97,2.87,2.93,174420.0,2.58,,2.341750383377075
2007-11-16,2.93,2.99,2.9,2.93,231031.0,2.66,,2.334821939468384
