Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,1.64,1.65,1.61,1.64,688954.0,,,0.5056946277618408,,,,,,
1999-03-23,1.65,1.67,1.61,1.61,2081418.0,,,0.5584714412689209,,,,,,
1999-03-24,1.594,1.61,1.55,1.56,731698.0,,,0.631803035736084,,,,,,
1999-03-25,1.57,1.59,1.56,1.56,759037.0,,,0.7109243869781494,,,,,,
1999-03-26,1.61,1.8,1.59,1.8,6230914.0,,,0.7883606553077698,,,,,,
1999-03-29,1.83,1.85,1.72,1.85,3064846.0,,,0.8712705373764038,,,,,,
1999-03-30,1.92,1.96,1.88,1.9,3503260.0,2.0600000000000005,,0.9618195295333862,1.702857142857143,,,,,
1999-03-31,1.91,1.92,1.82,1.9,1645114.0,2.1899999999999995,,1.0551453828811646,1.7400000000000002,,,,,
1999-04-01,1.9,1.9,1.84,1.86,719312.0,2.24,,1.1393457651138306,1.775714285714286,,,,,
1999-04-06,1.9,1.92,1.85,1.89,743606.0,2.16,,1.2173007726669312,1.8228571428571432,,,,,
1999-04-07,1.87,1.87,1.79,1.82,1498523.0,1.98,,1.2962794303894043,1.86,,,,,
1999-04-08,1.75,1.83,1.74,1.8,2907717.0,1.79,,1.3761025667190552,1.86,,,,,
1999-04-09,1.79,1.79,1.74,1.77,3817722.0,1.7000000000000002,,1.4565906524658203,1.8485714285714288,,,,,
1999-04-12,1.8,1.83,1.79,1.8,2399783.0,1.64,,1.5375666618347168,1.8342857142857145,1.7685714285714287,,,,
1999-04-13,1.86,1.94,1.85,1.885,2619639.0,1.74,,1.6188666820526123,1.8321428571428573,1.7860714285714288,,,,
1999-04-14,1.94,2.03,1.84,1.873,5693510.0,1.88,,1.6803042888641355,1.834,1.8048571428571432,,,,
1999-04-15,1.88,1.93,1.86,1.9,1079038.0,1.9260000000000004,,1.7323970794677734,1.8354285714285716,1.8291428571428574,,,,
1999-04-16,1.9,1.91,1.87,1.88,1703936.0,2.0,,1.7824815511703491,1.844,1.8520000000000003,,,,
1999-04-19,1.91,1.91,1.83,1.86,1084739.0,1.99,,1.8305585384368896,1.8525714285714285,1.8562857142857145,,,,
1999-04-20,1.86,1.91,1.86,1.89,3864222.0,1.92,,1.8766289949417116,1.8697142857142859,1.8591428571428572,,,,
1999-04-21,1.89,1.9,1.88,1.89,2296385.0,1.895,,1.9206939935684204,1.8825714285714288,1.8584285714285718,,,,
1999-04-22,1.88,1.93,1.88,1.92,1473354.0,1.907,,1.9627597332000728,1.8875714285714287,1.859857142857143,,,,
1999-04-23,1.98,2.03,1.94,2.0,8674694.0,1.94,,2.002838134765625,1.905714285714286,1.869857142857143,,,,
1999-04-26,2.01,2.06,2.01,2.04,1926831.0,2.12,,2.040910005569458,1.925714285714286,1.8805714285714288,,,,
1999-04-27,2.04,2.05,2.01,2.02,1701228.0,2.22,,2.075500249862671,1.945714285714286,1.894857142857143,,,,
1999-04-28,2.03,2.03,1.95,1.96,1859192.0,2.1500000000000004,,2.1060070991516118,1.9600000000000004,1.9062857142857144,,,,
1999-04-29,1.97,1.99,1.94,1.94,1492132.0,2.03,,2.134509325027466,1.9671428571428573,1.9184285714285718,,,,
1999-04-30,1.97,1.97,1.92,1.97,3170530.0,1.96,,2.1608443260192867,1.9785714285714289,1.9305714285714288,,,,
1999-05-03,1.95,1.98,1.94,1.961,735013.0,1.94,,2.185018301010132,1.9844285714285717,1.936,,,,
1999-05-04,2.0,2.01,1.96,2.01,1968947.0,1.882,,2.2070386409759517,1.985857142857143,1.945785714285714,1.8586333333333334,,,
1999-05-05,2.02,2.08,2.02,2.08,2116839.0,2.0,,2.2269115447998047,1.991571428571429,1.9586428571428571,1.8733,,,
1999-05-06,2.1,2.1,2.06,2.09,2776624.0,2.2,,2.2446439266204834,2.001571428571429,1.9736428571428573,1.8893,,,
1999-05-07,2.09,2.09,1.99,2.01,1529488.0,2.24,,2.260242462158203,2.008714285714286,1.9843571428571427,1.9042999999999999,,,
1999-05-10,2.07,2.08,2.04,2.04,860361.0,2.05,,2.2737140655517583,2.023,1.9950714285714284,1.9203,,,
1999-05-11,2.05,2.07,2.04,2.06,1068068.0,2.119,,2.285065174102783,2.0358571428571426,2.0072142857142854,1.9289666666666667,,,
1999-05-12,2.05,2.05,2.0,2.01,1139808.0,2.1100000000000003,,2.2942090034484863,2.0428571428571427,2.0136428571428566,1.9343,,,
1999-05-13,1.98,2.0,1.96,1.99,1062154.0,1.9399999999999995,,2.3011436462402344,2.04,2.012928571428571,1.9373,,,
1999-05-14,1.99,2.05,1.99,2.03,1831170.0,1.89,,2.311044454574585,2.0328571428571425,2.0122142857142853,1.9416333333333333,,,
1999-05-17,1.98,1.99,1.96,1.97,1244231.0,2.05,,2.319497346878052,2.0157142857142856,2.0086428571428567,1.9453,,,
1999-05-18,1.97,2.0,1.95,1.97,817907.0,1.9,,2.328406810760498,2.01,2.009357142857142,1.9479666666666666,,,
1999-05-19,1.96,1.96,1.91,1.92,822358.0,1.88,,2.3495876789093018,1.9928571428571427,2.007928571428571,1.9513,,,
1999-05-20,1.87,2.02,1.87,2.0,2308876.0,1.83,,2.368993759155273,1.9842857142857142,2.010071428571428,1.9579666666666669,,,
1999-05-21,2.02,2.02,1.99,2.01,1699997.0,2.01,,2.3873655796051025,1.9842857142857142,2.0135714285714283,1.9659666666666666,,,
1999-05-24,2.018,2.02,1.97,2.0,448635.0,1.99,,2.4047110080718994,1.9857142857142855,2.012857142857143,1.9726333333333335,,,
1999-05-25,1.96,1.98,1.96,1.96,1490458.0,2.03,,2.421036720275879,1.9757142857142858,2.0042857142857144,1.9751333333333334,,,
1999-05-26,1.943,1.95,1.9,1.94,2486875.0,1.95,,2.4363503456115723,1.9714285714285713,1.9935714285714288,1.977366666666667,,,
1999-05-27,1.96,1.96,1.91,1.93,980688.0,1.96,,2.450659275054932,1.9657142857142855,1.9878571428571432,1.9783666666666668,,,
1999-05-28,1.91,1.93,1.9,1.93,800712.0,1.86,,2.46397066116333,1.9671428571428569,1.9800000000000004,1.9800333333333335,,,
1999-05-31,1.93,1.93,1.91,1.92,746477.0,1.85,,2.4762911796569824,1.9557142857142853,1.9700000000000006,1.9820333333333335,,,
1999-06-01,1.906,1.95,1.906,1.93,386693.0,1.84,,2.487628936767578,1.944285714285714,1.9642857142857149,1.9833666666666667,,,
1999-06-02,1.91,1.94,1.9,1.93,2378207.0,1.9,,2.497990608215332,1.934285714285714,1.9600000000000006,1.9847000000000001,,,
1999-06-03,1.91,1.98,1.91,1.96,366467.0,1.92,,2.5073840618133545,1.9342857142857137,1.9550000000000005,1.9860333333333335,,,
1999-06-04,2.01,2.01,1.98,1.99,3195538.0,1.99,,2.515815734863281,1.9414285714285708,1.956428571428572,1.9857000000000002,,,
1999-06-07,2.0,2.0,1.95,1.96,918299.0,2.05,,2.523293972015381,1.9457142857142853,1.9557142857142864,1.9830333333333336,,,
1999-06-08,1.977,2.009,1.977,2.009,1446640.0,2.0,,2.529825210571289,1.9569999999999996,1.9620714285714291,1.9826666666666668,,,
1999-06-09,1.99,2.03,1.98,2.03,922442.0,2.088,,2.535416603088379,1.9727142857142854,1.9642142857142864,1.985,,,
1999-06-10,2.0,2.05,2.0,2.03,865262.0,2.13,,2.5400760173797607,1.9869999999999997,1.9656428571428581,1.9880000000000002,,,
1999-06-11,2.03,2.12,2.03,2.11,1393594.0,2.1,,2.543810606002808,2.0127142857142855,1.973500000000001,1.992666666666667,,,
1999-06-15,2.15,2.22,2.15,2.22,1202155.0,2.2299999999999995,,2.5466270446777344,2.0498571428571424,1.9920714285714294,2.0013,,,
1999-06-16,2.22,2.22,2.16,2.19,2275394.0,2.4800000000000004,,2.548533201217652,2.0784285714285713,2.009928571428572,2.0073000000000003,1.9329666666666667,,
1999-06-17,2.1630000000000003,2.27,2.1630000000000003,2.26,3197951.0,2.371,,2.549536228179932,2.121285714285714,2.0335000000000005,2.0133,1.9433000000000002,,
1999-06-18,2.3040000000000003,2.3040000000000003,2.15,2.15,5351697.0,2.49,,2.549643039703369,2.1414285714285706,2.049214285714286,2.0153000000000003,1.9523000000000004,,
1999-06-21,2.15,2.18,2.09,2.11,1143533.0,2.27,,2.548861503601074,2.152857142857142,2.0627857142857144,2.0186333333333333,1.961466666666667,,
1999-06-22,2.1,2.14,2.06,2.14,1431744.0,2.11,,2.547198534011841,2.1685714285714277,2.0777857142857146,2.0219666666666667,1.9711333333333336,,
1999-06-23,2.15,2.3,2.14,2.3,1296131.0,2.06,,2.544661521911621,2.195714285714285,2.1042142857142863,2.0299666666666667,1.979466666666667,,
1999-06-24,2.272,2.272,2.13,2.15,756571.0,2.41,,2.54125714302063,2.1857142857142846,2.1177857142857146,2.0346333333333333,1.984466666666667,,
1999-06-25,2.15,2.18,2.09,2.18,1097684.0,2.04,,2.536993741989136,2.1842857142857133,2.1313571428571434,2.040966666666667,1.9891333333333339,,
1999-06-28,2.18,2.23,2.17,2.18,773826.0,2.2100000000000004,,2.5318777561187744,2.172857142857142,2.147071428571429,2.0459666666666667,1.9938000000000005,,
1999-06-29,2.18,2.2,2.13,2.2,208102.0,2.2500000000000004,,2.525916576385498,2.1799999999999993,2.160714285714286,2.0536333333333334,1.9994666666666672,,
1999-06-30,2.19,2.241,2.15,2.241,1032049.0,2.26,,2.519117832183838,2.1987142857142854,2.175785714285715,2.062666666666667,2.0053166666666673,,
1999-07-01,2.24,2.27,2.2,2.24,1262816.0,2.1820000000000004,,2.5114881992340092,2.213,2.1907857142857146,2.0733333333333333,2.0123166666666674,,
1999-07-02,2.215,2.43,2.215,2.38,2453073.0,2.3300000000000005,,2.5028002262115483,2.224428571428571,2.210071428571429,2.086,2.021983333333334,,
1999-07-05,2.4,2.46,2.36,2.41,2348479.0,2.58,,2.4953622817993164,2.261571428571428,2.2236428571428584,2.099333333333333,2.0326500000000007,,
1999-07-06,2.41,2.41,2.35,2.41,1498445.0,2.64,,2.4874839782714844,2.2944285714285715,2.2393571428571435,2.113,2.0428166666666674,,
1999-07-07,2.42,2.45,2.38,2.43,1221488.0,2.62,,2.478851079940796,2.330142857142857,2.251500000000001,2.1286666666666667,2.0519000000000007,,
1999-07-08,2.43,2.48,2.41,2.471,375516.0,2.6189999999999998,,2.4715135097503658,2.3688571428571428,2.274428571428573,2.1463666666666668,2.0618666666666674,,
1999-07-09,2.439,2.46,2.38,2.4,535345.0,2.702,,2.460871458053589,2.3915714285714285,2.2951428571428587,2.1620333333333335,2.0702000000000007,,
1999-07-12,2.4,2.45,2.39,2.43,444930.0,2.42,,2.4491677284240723,2.418714285714285,2.315857142857144,2.1787,2.0793666666666675,,
1999-07-13,2.45,2.49,2.39,2.39,584154.0,2.45,,2.4366726875305176,2.420142857142857,2.322285714285716,2.194366666666667,2.088200000000001,,
1999-07-14,2.4,2.4,2.38,2.4,558676.0,2.37,,2.42339301109314,2.418714285714285,2.3401428571428586,2.2100333333333335,2.0967000000000007,,
1999-07-15,2.4,2.44,2.33,2.38,1084294.0,2.37,,2.4093334674835205,2.4144285714285707,2.3544285714285733,2.225033333333333,2.1048666666666676,,
1999-07-16,2.4290000000000003,2.43,2.27,2.31,3525403.0,2.289,,2.3944995403289795,2.397285714285714,2.3637142857142877,2.2367,2.111366666666667,,
1999-07-19,2.337,2.39,2.33,2.37,1265677.0,2.22,,2.3788962364196777,2.382857142857142,2.375857142857144,2.249366666666667,2.1175333333333337,,
1999-07-20,2.37,2.37,2.33,2.34,816717.0,2.31,,2.3625292778015137,2.374285714285714,2.3829285714285726,2.262033333333334,2.1225333333333336,,
1999-07-21,2.3,2.31,2.26,2.31,892360.0,2.29,,2.3454034328460693,2.3571428571428568,2.387928571428573,2.2720666666666673,2.1273666666666666,,
1999-07-22,2.293,2.3,2.21,2.23,1219663.0,2.22,,2.3357603549957275,2.3342857142857136,2.377214285714287,2.278733333333334,2.131866666666667,,
1999-07-23,2.21,2.23,2.16,2.23,4579947.0,2.08,,2.3260622024536133,2.3099999999999996,2.364357142857144,2.285400000000001,2.1367000000000003,,
1999-07-26,2.2,2.31,2.2,2.26,3805595.0,2.15,,2.315819501876831,2.292857142857143,2.353642857142858,2.290400000000001,2.1415333333333337,,
1999-07-27,2.31,2.43,2.23,2.38,2306826.0,2.1499999999999995,,2.3050377368927,2.302857142857143,2.3500714285714293,2.295733333333334,2.1485166666666666,,
1999-07-28,2.42,2.46,2.39,2.39,2349038.0,2.42,,2.293721914291382,2.3057142857142856,2.3442857142857148,2.302400000000001,2.15485,2.0561111111111114,
1999-07-29,2.4,2.4,2.31,2.33,1607862.0,2.47,,2.281877994537353,2.3042857142857143,2.339285714285715,2.304733333333334,2.1590166666666666,2.063777777777778,
1999-07-30,2.31,2.39,2.27,2.38,6469866.0,2.43,,2.269510269165039,2.314285714285714,2.3357142857142863,2.3124000000000007,2.1638499999999996,2.0723333333333334,
1999-08-02,2.38,2.44,2.36,2.43,1052300.0,2.53,,2.256625175476074,2.3428571428571425,2.3385714285714294,2.3230666666666675,2.17085,2.0820000000000003,
1999-08-03,2.43,2.44,2.4,2.43,763522.0,2.6000000000000005,,2.243227243423462,2.371428571428571,2.3407142857142866,2.3327333333333344,2.17735,2.091666666666667,
1999-08-04,2.43,2.43,2.41,2.41,676057.0,2.4800000000000004,,2.22932243347168,2.392857142857143,2.342857142857143,2.3364000000000007,2.1831833333333335,2.0984444444444446,
1999-08-05,2.41,2.43,2.39,2.41,2655456.0,2.43,,2.2149155139923096,2.3971428571428572,2.3500000000000005,2.3450666666666673,2.1898500000000003,2.1046666666666667,
1999-08-06,2.42,2.42,2.4,2.4,1250550.0,2.49,,2.200011730194092,2.3985714285714286,2.3521428571428578,2.3524000000000007,2.1966833333333335,2.110222222222222,
1999-08-09,2.4,2.4,2.36,2.38,245783.0,2.42,,2.184617280960083,2.4057142857142852,2.355000000000001,2.3590666666666666,2.202516666666667,2.1155555555555554,
1999-08-10,2.38,2.39,2.36,2.38,1232052.0,2.33,,2.1687364578247066,2.4057142857142852,2.3600000000000008,2.3650666666666664,2.20935,2.1213333333333333,
1999-08-11,2.373,2.41,2.36,2.41,1245870.0,2.33,,2.1523754596710205,2.4028571428571426,2.372857142857144,2.3707,2.2166833333333336,2.127111111111111,
1999-08-12,2.38,2.41,2.36,2.4,666752.0,2.41,,2.1355388164520264,2.398571428571428,2.3850000000000016,2.3760333333333334,2.2246833333333336,2.1335555555555556,
1999-08-13,2.4,2.423,2.39,2.423,924424.0,2.39,,2.118232250213623,2.4004285714285705,2.396642857142859,2.3774666666666673,2.2317333333333336,2.140477777777778,
1999-08-16,2.42,2.43,2.41,2.43,601474.0,2.4459999999999997,,2.10046124458313,2.403285714285713,2.4002142857142874,2.378133333333334,2.238733333333334,2.147811111111111,
1999-08-17,2.42,2.42,2.37,2.4,1231340.0,2.4800000000000004,,2.0822310447692867,2.403285714285713,2.400928571428573,2.377800000000001,2.245400000000001,2.1544777777777777,
1999-08-18,2.4,2.43,2.4,2.43,574561.0,2.42,,2.063546895980835,2.4104285714285707,2.40807142857143,2.377800000000001,2.253233333333334,2.1605333333333334,
1999-08-19,2.4,2.42,2.32,2.342,1461677.0,2.45,,2.0444138050079346,2.404999999999999,2.4053571428571443,2.373500000000001,2.2599333333333345,2.165744444444445,
1999-08-20,2.32,2.35,2.27,2.28,861777.0,2.2840000000000003,,2.0248374938964844,2.3864285714285707,2.3946428571428586,2.369500000000001,2.2657666666666674,2.169966666666667,
1999-08-23,2.314,2.35,2.3,2.32,329103.0,2.137,,2.0092902183532715,2.3749999999999996,2.3867857142857156,2.3658333333333337,2.2722666666666673,2.1748555555555558,
