Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2013-12-17,3.5,3.62,3.32,3.32,,,,0.631933867931366,,,,,,
2013-12-18,3.38,3.41,3.11,3.2,,,,0.8097225427627563,,,,,,
2013-12-19,3.3,3.32,3.23,3.3,,,,1.0674200057983398,,,,,,
2013-12-20,3.31,3.41,3.31,3.37,,,,1.4245476722717283,,,,,,
2013-12-23,3.38,3.45,3.28,3.35,,,,1.8820197582244875,,,,,,
2013-12-24,3.32,3.37,3.28,3.35,,,,2.2484664916992188,,,,,,
2013-12-27,3.33,3.34,3.26,3.3,,3.3800000000000003,,2.523970127105713,3.3128571428571436,,,,,
2013-12-30,3.3,3.31,3.26,3.3,,3.3999999999999995,,2.7385149002075195,3.310000000000001,,,,,
2013-12-31,3.31,3.31,3.28,3.28,,3.3,,2.9185285568237305,3.3214285714285725,,,,,
2014-01-02,3.28,3.41,3.28,3.31,,3.1899999999999995,,3.054142475128174,3.3228571428571434,,,,,
2014-01-03,3.3,3.3,3.26,3.29,,3.27,,3.155937910079956,3.311428571428572,,,,,
2014-01-06,3.32,3.33,3.27,3.28,,3.23,,3.224247694015503,3.301428571428572,,,,,
2014-01-07,3.29,3.35,3.28,3.3,,3.26,,3.2584786415100098,3.2942857142857145,,,,,
2014-01-08,3.31,3.38,3.31,3.35,,3.3,,3.2585554122924805,3.301428571428572,3.3071428571428574,,,,
2014-01-09,3.31,3.43,3.31,3.4,,3.4200000000000004,,3.2249226570129395,3.315714285714286,3.312857142857143,,,,
2014-01-10,3.41,3.52,3.38,3.45,,3.49,,3.164791345596313,3.34,3.330714285714286,,,,
2014-01-13,3.45,3.49,3.41,3.44,,3.61,,3.1312532424926762,3.358571428571429,3.3407142857142857,,,,
2014-01-14,3.41,3.51,3.41,3.47,,3.6,,3.0695786476135254,3.3842857142857143,3.3478571428571433,,,,
