Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2016-08-05,0.82,0.87,0.81,0.86,,,
2016-08-08,0.865,0.87,0.86,0.86,,,
2016-08-09,0.855,0.855,0.79,0.82,,,
2016-08-10,0.83,0.83,0.815,0.815,,,
2016-08-11,0.82,0.83,0.81,0.825,,,
2016-08-12,0.825,0.825,0.805,0.805,,,
2016-08-15,0.81,0.815,0.805,0.81,,0.7500000000000001,
2016-08-16,0.81,0.81,0.805,0.81,,0.7600000000000001,
2016-08-17,0.815,0.815,0.8,0.8,,0.8000000000000002,
2016-08-18,0.8,0.8,0.77,0.775,,0.7850000000000001,
2016-08-19,0.78,0.79,0.78,0.79,,0.7250000000000001,
2016-08-22,0.79,0.8,0.79,0.795,,0.775,
2016-08-23,0.797,0.8170000000000001,0.797,0.805,,0.78,
2016-08-24,0.81,0.82,0.81,0.81,,0.8,
2016-08-25,0.815,0.835,0.81,0.83,,0.8200000000000001,
2016-08-26,0.83,0.835,0.815,0.825,,0.8849999999999999,
2016-08-29,0.83,0.83,0.82,0.82,,0.8599999999999999,
2016-08-30,0.82,0.825,0.815,0.82,,0.8449999999999999,
2016-08-31,0.82,0.82,0.81,0.81,,0.8349999999999999,
2016-09-01,0.81,0.81,0.795,0.8,,0.81,
2016-09-02,0.805,0.805,0.8,0.8,,0.7700000000000001,
2016-09-05,0.81,0.815,0.8,0.805,,0.7750000000000001,0.8009999999999999
2016-09-06,0.8,0.8,0.795,0.8,,0.7900000000000001,0.8039999999999999
2016-09-07,0.8,0.8,0.79,0.795,,0.7800000000000001,0.8019999999999999
2016-09-08,0.8,0.8,0.775,0.78,,0.78,0.7969999999999999
2016-09-09,0.78,0.785,0.77,0.78,,0.76,0.7875000000000001
2016-09-12,0.77,0.77,0.735,0.75,,0.76,0.7815000000000001
2016-09-13,0.75,0.755,0.73,0.74,,0.695,0.768
2016-09-14,0.745,0.76,0.74,0.76,,0.6799999999999999,0.7470000000000001
2016-09-15,0.765,0.765,0.745,0.75,,0.725,0.7529999999999999
2016-09-16,0.77,0.775,0.755,0.755,,0.72,0.751
2016-09-19,0.76,0.76,0.755,0.755,,0.73,0.7535
2016-09-20,0.755,0.755,0.74,0.745,,0.76,0.7545
2016-09-21,0.75,0.75,0.735,0.735,,0.75,0.7470000000000001
2016-09-22,0.735,0.755,0.73,0.73,,0.71,0.74
2016-09-23,0.735,0.74,0.73,0.73,,0.71,0.7314999999999999
2016-09-26,0.73,0.74,0.725,0.73,,0.705,0.7310000000000001
2016-09-27,0.74,0.745,0.725,0.725,,0.705,0.7305000000000001
2016-09-28,0.725,0.75,0.725,0.725,,0.705,0.7275
2016-09-29,0.725,0.74,0.72,0.72,,0.715,0.726
2016-09-30,0.725,0.732,0.725,0.725,,0.71,0.7224999999999998
2016-10-03,0.73,0.75,0.725,0.735,,0.72,0.7229999999999998
2016-10-04,0.74,0.75,0.72,0.73,,0.74,0.7335
2016-10-05,0.735,0.735,0.71,0.72,,0.735,0.731
2016-10-06,0.725,0.745,0.715,0.725,,0.715,0.7249999999999999
