Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2010-06-16,0.13,0.165,0.105,0.165,2216199.0,,,0.13442783057689667,,,,,,
2010-06-17,0.15,0.15,0.125,0.145,152000.0,,,0.13000303506851196,,,,,,
2010-06-18,0.15,0.15,0.12,0.14,128000.0,,,0.12217353284358977,,,,,,
2010-06-21,0.12,0.13,0.115,0.13,74586.0,,,0.1131972149014473,,,,,,
2010-06-22,0.11,0.11,0.1,0.1,271380.0,,,0.10522916167974472,,,,,,
2010-06-23,0.115,0.12,0.115,0.12,10000.0,,,0.09885391592979433,,,,,,
2010-06-24,0.1,0.1,0.1,0.1,39914.0,0.07499999999999997,,0.09228022396564484,0.1285714285714286,,,,,
2010-06-25,0.095,0.11,0.095,0.11,40000.0,0.05500000000000002,,0.08591093122959137,0.1207142857142857,,,,,
2010-06-28,0.105,0.105,0.1,0.105,60000.0,0.07999999999999999,,0.07948343455791472,0.11499999999999999,,,,,
2010-06-29,0.1,0.1,0.1,0.1,820000.0,0.07999999999999999,,0.07539109885692596,0.10928571428571428,,,,,
2010-06-30,0.08199999999999999,0.08199999999999999,0.08,0.08,10815.0,0.1,,0.07529979199171066,0.10214285714285712,,,,,
2010-07-01,0.066,0.066,0.066,0.066,10815.0,0.04000000000000002,,0.07605089992284775,0.09728571428571428,,,,,
2010-07-02,0.085,0.085,0.085,0.085,10815.0,0.032,,0.07736776769161224,0.09228571428571428,,,,,
2010-07-05,0.1,0.125,0.1,0.125,394409.0,0.06000000000000001,,0.07889259606599808,0.09585714285714285,0.11221428571428572,,,,
2010-07-06,0.115,0.115,0.1,0.1,41549.0,0.14500000000000002,,0.08044055104255676,0.09442857142857142,0.10757142857142858,,,,
2010-07-07,0.1,0.1,0.1,0.1,83451.0,0.1,,0.08006773144006729,0.09371428571428571,0.10435714285714288,,,,
2010-07-08,0.09,0.09,0.09,0.09,59782.0,0.12,,0.07929238677024841,0.09228571428571428,0.10078571428571433,,,,
2010-07-09,0.09,0.09,0.09,0.09,59782.0,0.114,,0.07841363549232483,0.09371428571428571,0.09792857142857146,,,,
2010-07-12,0.09,0.09,0.09,0.09,30000.0,0.095,,0.07730735838413239,0.09714285714285713,0.09721428571428574,,,,
2010-07-13,0.09,0.09,0.08,0.08,12900.0,0.054999999999999986,,0.07623998820781708,0.09642857142857142,0.0943571428571429,,,,
2010-07-14,0.08,0.08,0.08,0.08,12900.0,0.06,,0.07563146948814392,0.08999999999999998,0.09292857142857147,,,,
2010-07-15,0.08,0.08,0.08,0.08,2000.0,0.06,,0.07526656985282898,0.08714285714285712,0.09078571428571433,,,,
2010-07-16,0.08,0.08,0.08,0.08,2000.0,0.07,,0.0749979317188263,0.08428571428571427,0.08900000000000005,,,,
2010-07-19,0.08,0.08,0.08,0.08,2000.0,0.07,,0.07484794408082962,0.08285714285714284,0.08757142857142862,,,,
2010-07-20,0.08,0.08,0.08,0.08,2000.0,0.07,,0.07463669776916504,0.0814285714285714,0.08757142857142862,,,,
2010-07-21,0.08,0.08,0.08,0.08,2000.0,0.08,,0.07391542196273804,0.07999999999999997,0.08857142857142862,,,,
2010-07-22,0.08,0.08,0.08,0.08,2000.0,0.08,,0.07322947680950165,0.07999999999999997,0.08821428571428577,,,,
2010-07-23,0.08,0.08,0.08,0.08,2000.0,0.08,,0.07270798087120056,0.07999999999999997,0.08500000000000006,,,,
2010-07-26,0.08,0.08,0.08,0.08,2000.0,0.08,,0.07219620048999786,0.07999999999999997,0.08357142857142863,,,,
2010-07-27,0.08,0.08,0.08,0.08,2000.0,0.08,,0.07147642970085144,0.07999999999999997,0.0821428571428572,0.0973666666666667,,,
2010-07-28,0.08,0.08,0.08,0.08,482404.0,0.08,,0.07076003402471542,0.07999999999999997,0.08142857142857149,0.09453333333333337,,,
2010-07-29,0.07,0.07,0.07,0.07,482404.0,0.08,,0.07011152058839798,0.07857142857142856,0.08000000000000006,0.09203333333333337,,,
2010-07-30,0.08,0.085,0.08,0.085,187145.0,0.06000000000000001,,0.0694923847913742,0.07928571428571428,0.0796428571428572,0.09020000000000003,,,
2010-08-02,0.07,0.07,0.07,0.07,187145.0,0.09000000000000001,,0.06889978051185608,0.07785714285714286,0.07892857142857147,0.08820000000000003,,,
2010-08-03,0.07,0.07,0.07,0.07,187145.0,0.06000000000000001,,0.06834825873374939,0.07642857142857143,0.07821428571428576,0.08720000000000001,,,
2010-08-04,0.07,0.07,0.07,0.07,187145.0,0.06000000000000001,,0.06779220700263977,0.075,0.07750000000000004,0.08553333333333334,,,
