Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
1999-03-22,2.75,2.75,2.75,2.75,6000.0,,
1999-03-23,2.75,2.75,2.75,2.75,1249.0,,
1999-03-25,2.75,2.75,2.75,2.75,1249.0,,
1999-03-26,2.7,2.7,2.7,2.7,2000.0,,
1999-03-29,2.75,2.75,2.75,2.75,5000.0,,
1999-03-30,2.77,2.85,2.76,2.85,30000.0,,
1999-03-31,2.9,2.9,2.85,2.85,10000.0,2.95,
1999-04-01,2.85,2.85,2.85,2.85,22500.0,2.95,
1999-04-06,2.85,2.85,2.85,2.85,22500.0,2.95,
1999-04-07,2.85,2.85,2.85,2.85,60800.0,3.0,
1999-04-08,2.89,2.9,2.86,2.86,45200.0,2.95,
1999-04-09,2.86,2.87,2.86,2.86,78600.0,2.87,
1999-04-12,2.85,2.85,2.85,2.85,2000.0,2.87,
1999-04-13,3.0,3.0,3.0,3.0,28670.0,2.85,
1999-04-14,3.0,3.0,3.0,3.0,21330.0,3.15,
1999-04-15,3.0,3.0,3.0,3.0,21480.0,3.15,
1999-04-16,3.0,3.0,3.0,3.0,400.0,3.14,
1999-04-19,2.99,2.99,2.99,2.99,300.0,3.14,
1999-04-20,2.99,2.99,2.99,2.99,4000.0,3.1300000000000003,
1999-04-21,2.99,2.99,2.99,2.41,4000.0,2.9800000000000004,
1999-04-26,2.8,2.8,2.8,2.8,2000.0,1.8200000000000005,
1999-04-27,2.75,2.75,2.75,2.75,14000.0,2.6,
1999-04-28,2.75,2.75,2.75,2.75,8000.0,2.5,
1999-04-29,2.75,2.75,2.75,2.75,4000.0,2.51,
1999-04-30,2.8,2.9,2.8,2.9,9270.0,2.51,
1999-05-03,2.85,2.85,2.85,2.85,2480.0,3.39,
1999-05-04,2.85,2.85,2.85,2.7,2480.0,2.9000000000000004,
1999-05-05,2.7,2.7,2.7,2.7,20000.0,2.6500000000000004,
1999-05-06,2.7,2.71,2.7,2.71,35950.0,2.6500000000000004,
1999-05-07,2.75,2.75,2.7,2.7,24050.0,2.67,
1999-05-10,2.7,2.7,2.7,2.7,12200.0,2.5000000000000004,
1999-05-11,2.7,2.7,2.7,2.7,51000.0,2.5500000000000003,
1999-05-12,2.75,2.75,2.7,2.7,10500.0,2.7,
1999-05-13,2.7,2.7,2.7,2.7,14520.0,2.7,
1999-05-14,2.7,2.7,2.7,2.7,14500.0,2.6900000000000004,
1999-05-17,2.65,2.65,2.65,2.65,3000.0,2.7,
1999-05-18,2.65,2.65,2.65,2.65,19000.0,2.6,
1999-05-19,2.65,2.65,2.65,2.5,19000.0,2.6,
1999-05-20,2.5,2.5,2.5,2.5,300.0,2.3,
1999-05-21,2.5,2.5,2.5,2.55,300.0,2.3,
1999-05-24,2.5,2.5,2.5,2.55,300.0,2.3999999999999995,
1999-05-25,2.5,2.5,2.5,2.55,300.0,2.45,
1999-05-26,2.5,2.5,2.5,2.5,300.0,2.45,
1999-05-27,2.5,2.5,2.5,2.5,300.0,2.5,
1999-05-28,2.5,2.5,2.5,2.5,300.0,2.5,
1999-05-31,2.5,2.5,2.5,2.2,300.0,2.45,
1999-06-01,2.5,2.5,2.5,2.21,300.0,1.8500000000000003,
1999-06-02,2.5,2.5,2.5,2.2,300.0,1.87,
1999-06-03,2.5,2.5,2.5,2.2,300.0,1.9000000000000004,
1999-06-04,2.5,2.5,2.5,2.2,300.0,1.9000000000000004,
1999-06-07,2.5,2.5,2.5,2.2,300.0,1.9000000000000004,
1999-06-08,2.5,2.5,2.5,2.2,300.0,2.2,
1999-06-09,2.5,2.5,2.5,2.2,300.0,2.1900000000000004,
1999-06-10,2.45,2.45,2.45,2.45,4000.0,2.2,
