Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-10-01,2.0,2.0,1.94,1.96,1639751.0,,,2.402587890625,,,,,,
1999-10-04,1.935,1.935,1.85,1.89,129600.0,,,2.350919485092163,,,,,,
1999-10-05,1.835,1.85,1.76,1.8,307551.0,,,2.284194231033325,,,,,,
1999-10-06,1.77,1.85,1.76,1.85,304000.0,,,2.2001678943634038,,,,,,
1999-10-07,1.8,1.81,1.78,1.8,347100.0,,,2.096839427947998,,,,,,
1999-10-08,1.77,1.8,1.77,1.8,3336600.0,,,1.9789155721664429,,,,,,
1999-10-11,1.785,1.79,1.78,1.79,37586.0,1.64,,1.8755230903625488,1.8414285714285714,,,,,
1999-10-12,1.79,1.79,1.78,1.79,154100.0,1.6900000000000002,,1.773412585258484,1.817142857142857,,,,,
1999-10-13,1.785,1.785,1.75,1.76,82500.0,1.78,,1.6782761812210083,1.7985714285714283,,,,,
1999-10-14,1.75,1.75,1.73,1.75,65073.0,1.67,,1.5885121822357178,1.7914285714285711,,,,,
1999-10-15,1.75,1.76,1.75,1.76,65999.0,1.7,,1.5041089057922363,1.7785714285714282,,,,,
1999-10-18,1.75,1.75,1.71,1.71,48393.0,1.72,,1.4335587024688718,1.7657142857142851,,,,,
1999-10-19,1.7,1.72,1.7,1.7,338000.0,1.63,,1.3886659145355225,1.7514285714285707,,,,,
1999-10-20,1.68,1.69,1.67,1.67,31500.0,1.61,,1.3544631004333496,1.7342857142857133,1.787857142857143,,,,
1999-10-21,1.666,1.68,1.66,1.66,116100.0,1.5799999999999998,,1.3306787014007568,1.7157142857142849,1.7664285714285715,,,,
1999-10-22,1.66,1.68,1.66,1.67,229400.0,1.5699999999999998,,1.3198401927947998,1.7028571428571422,1.7507142857142857,,,,
1999-10-25,1.67,1.68,1.67,1.67,72000.0,1.5799999999999998,,1.3237413167953491,1.6914285714285706,1.7414285714285713,,,,
1999-10-26,1.67,1.7,1.67,1.7,274000.0,1.63,,1.3407530784606934,1.682857142857142,1.7307142857142854,,,,
1999-10-27,1.7,1.75,1.67,1.75,100107.0,1.7,,1.3696911334991455,1.6885714285714275,1.7271428571428569,,,,
1999-10-28,1.8,1.8,1.77,1.8,35700.0,1.83,,1.4076379537582395,1.7028571428571422,1.7271428571428569,,,,
1999-10-29,1.8,1.85,1.8,1.85,239750.0,1.94,,1.4474058151245115,1.7285714285714278,1.7314285714285713,,,,
1999-11-01,1.84,1.84,1.84,1.84,35400.0,2.03,,1.4734317064285278,1.7542857142857133,1.7349999999999999,,,,
1999-11-02,1.8,1.85,1.8,1.85,601500.0,2.01,,1.5114600658416748,1.7799999999999991,1.7414285714285713,,,,
1999-11-03,1.8,1.82,1.8,1.82,10000.0,2.0,,1.5509291887283323,1.8014285714285705,1.7464285714285714,,,,
1999-11-04,1.83,1.85,1.82,1.82,110000.0,1.89,,1.5968036651611328,1.8185714285714278,1.7507142857142857,,,,
1999-11-05,1.829,1.83,1.8,1.8,223000.0,1.84,,1.6418156623840332,1.8257142857142852,1.757142857142857,,,,
1999-11-08,1.8,1.8,1.76,1.76,85477.0,1.75,,1.6831228733062744,1.8199999999999992,1.7614285714285713,,,,
1999-11-09,1.78,1.78,1.75,1.75,24697.0,1.68,,1.728677749633789,1.805714285714285,1.7671428571428573,,,,
1999-11-10,1.7,1.71,1.7,1.71,89250.0,1.65,,1.7786357402801514,1.7871428571428563,1.770714285714286,,,,
1999-11-11,1.71,1.71,1.7,1.7,161000.0,1.6,,1.7844800949096682,1.765714285714285,1.772857142857143,1.7726666666666668,,,
1999-11-12,1.7,1.75,1.7,1.75,195000.0,1.5799999999999998,,1.7838494777679443,1.755714285714285,1.7785714285714285,1.765666666666667,,,
1999-11-15,1.75,1.78,1.73,1.77,142553.0,1.7,,1.784717679023743,1.7485714285714276,1.7835714285714286,1.761666666666667,,,
1999-11-16,1.75,1.8,1.75,1.8,210000.0,1.78,,1.7870653867721558,1.7485714285714276,1.7871428571428571,1.761666666666667,,,
1999-11-17,1.8,1.8,1.76,1.8,154800.0,1.85,,1.7908731698989868,1.7542857142857133,1.7871428571428571,1.7600000000000002,,,
1999-11-18,1.78,1.78,1.76,1.76,36000.0,1.89,,1.7961179018020632,1.755714285714285,1.7807142857142857,1.7586666666666668,,,
1999-11-19,1.7,1.78,1.7,1.78,41000.0,1.82,,1.802772164344788,1.7657142857142847,1.7764285714285715,1.7580000000000002,,,
1999-11-22,1.77,1.77,1.73,1.73,97338.0,1.81,,1.8108057975769043,1.7699999999999991,1.7678571428571428,1.7560000000000002,,,
1999-11-23,1.72,1.72,1.7,1.72,126100.0,1.69,,1.8201841115951536,1.765714285714285,1.7607142857142857,1.753666666666667,,,
1999-11-24,1.68,1.7,1.65,1.7,131562.0,1.64,,1.830869197845459,1.755714285714285,1.752142857142857,1.7516666666666671,,,
1999-11-25,1.71,1.75,1.71,1.75,45300.0,1.6,,1.842819571495056,1.7485714285714276,1.7485714285714284,1.7516666666666671,,,
1999-11-26,1.75,1.75,1.7,1.75,100275.0,1.74,,1.854243755340576,1.7414285714285704,1.7478571428571426,1.7513333333333339,,,
1999-11-29,1.7,1.75,1.7,1.75,51000.0,1.72,,1.8611594438552856,1.7399999999999989,1.7478571428571426,1.752666666666667,,,
1999-11-30,1.65,1.75,1.65,1.75,472000.0,1.77,,1.8690707683563232,1.7357142857142847,1.7507142857142852,1.7543333333333337,,,
