Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2004-09-22,0.18,0.18,0.155,0.165,282222.0,,,0.28551334142684937,,,,,,
2004-09-23,0.165,0.165,0.165,0.165,135000.0,,,0.232552707195282,,,,,,
2004-09-24,0.17,0.17,0.165,0.17,112500.0,,,0.193393349647522,,,,,,
2004-09-27,0.175,0.175,0.175,0.175,2000.0,,,0.1669502854347229,,,,,,
2004-09-28,0.17,0.17,0.17,0.17,10000.0,,,0.15235328674316406,,,,,,
2004-09-29,0.17,0.17,0.165,0.17,251278.0,,,0.14992830157279968,,,,,,
2004-09-30,0.17,0.17,0.17,0.17,52222.0,0.17500000000000002,,0.15694376826286316,0.1692857142857143,,,,,
2004-10-01,0.165,0.165,0.165,0.165,52222.0,0.17500000000000002,,0.17155757546424866,0.1692857142857143,,,,,
2004-10-04,0.17,0.175,0.17,0.175,397278.0,0.16,,0.19187882542610168,0.17071428571428574,,,,,
2004-10-05,0.175,0.175,0.175,0.175,205000.0,0.175,,0.20886772871017456,0.17142857142857146,,,,,
2004-10-06,0.175,0.185,0.175,0.185,140000.0,0.17999999999999994,,0.21341416239738464,0.17285714285714288,,,,,
2004-10-07,0.195,0.195,0.175,0.18,210000.0,0.2,,0.21998253464698792,0.17428571428571432,,,,,
2004-10-08,0.18,0.19,0.18,0.19,107823.0,0.19,,0.2288373708724976,0.17714285714285719,,,,,
2004-10-11,0.18,0.19,0.18,0.18,25000.0,0.215,,0.2371871471405029,0.1785714285714286,0.17392857142857146,,,,
2004-10-12,0.18,0.18,0.18,0.18,45000.0,0.185,,0.2423669993877411,0.18071428571428574,0.17500000000000004,,,,
2004-10-13,0.18,0.185,0.18,0.185,61374.0,0.185,,0.24840092658996585,0.18214285714285716,0.17642857142857146,,,,
2004-10-14,0.18,0.18,0.18,0.18,10000.0,0.185,,0.25649094581604004,0.18285714285714286,0.1771428571428572,,,,
2004-10-15,0.175,0.175,0.175,0.175,200000.0,0.18,,0.26651763916015625,0.18142857142857144,0.1771428571428572,,,,
2004-10-18,0.18,0.18,0.175,0.175,510000.0,0.15999999999999998,,0.2783561944961548,0.18071428571428574,0.17750000000000005,,,,
2004-10-19,0.175,0.175,0.175,0.175,10000.0,0.16999999999999998,,0.2906184196472168,0.1785714285714286,0.1778571428571429,,,,
2004-10-20,0.175,0.175,0.175,0.175,10000.0,0.16999999999999998,,0.2989172339439392,0.1778571428571429,0.17821428571428574,,,,
2004-10-21,0.175,0.175,0.175,0.175,150000.0,0.16499999999999998,,0.3047577738761902,0.1771428571428572,0.17892857142857146,,,,
