Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
1999-03-22,2.5,2.54,2.5,2.5,12136.0,,
1999-03-23,2.5,2.5,2.45,2.5,147293.0,,
1999-03-24,2.5,2.5,2.5,2.5,37000.0,,
1999-03-25,2.5,2.51,2.5,2.5,28000.0,,
1999-03-26,2.5,2.5,2.4,2.4,7000.0,,
1999-03-29,2.4,2.5,2.4,2.5,14800.0,,
1999-03-30,2.51,2.55,2.4,2.55,17446.0,2.5,
1999-03-31,2.54,2.55,2.5,2.55,1274952.0,2.6,
1999-04-01,2.54,2.55,2.5,2.43,1274952.0,2.6,
1999-04-06,2.54,2.55,2.5,2.43,1274952.0,2.3600000000000003,
1999-04-07,2.55,2.55,2.55,2.55,3000.0,2.4600000000000004,
1999-04-08,2.55,2.55,2.55,2.43,3000.0,2.6,
1999-04-09,2.55,2.55,2.546,2.546,7843.0,2.3100000000000005,
1999-04-12,2.55,2.55,2.546,2.51,7843.0,2.542,
1999-04-13,2.55,2.55,2.546,2.54,7843.0,2.5899999999999994,
1999-04-14,2.54,2.6,2.5,2.6,40357.0,2.65,
1999-04-15,2.5,2.5,2.5,2.5,16310.0,2.6500000000000004,
1999-04-16,2.43,2.5,2.35,2.5,112069.0,2.57,
1999-04-19,2.5,2.5,2.49,2.5,32750.0,2.454,
1999-04-20,2.4,2.5,2.4,2.45,16001.0,2.49,
1999-04-21,2.45,2.45,2.45,2.45,21248.0,2.3600000000000003,
1999-04-22,2.45,2.45,2.45,2.45,102699.0,2.3000000000000003,
1999-04-23,2.45,2.45,2.45,2.45,2250.0,2.4000000000000004,
1999-04-26,2.45,2.45,2.45,2.45,1550.0,2.4000000000000004,
1999-04-27,2.45,2.45,2.45,2.45,4000.0,2.4000000000000004,
1999-04-28,2.4,2.4,2.4,2.4,2184.0,2.45,
1999-04-29,2.391,2.391,2.3,2.3,19948.0,2.35,
1999-04-30,2.3,2.3,2.3,2.3,1431.0,2.1499999999999995,
1999-05-03,2.32,2.32,2.3,2.3,2000.0,2.1499999999999995,
1999-05-04,2.35,2.4,2.35,2.35,63200.0,2.1499999999999995,
1999-05-05,2.35,2.35,2.3,2.3,273069.0,2.25,
1999-05-06,2.3,2.35,2.3,2.35,140981.0,2.2,
1999-05-07,2.35,2.35,2.35,2.35,17000.0,2.4000000000000004,
1999-05-10,2.4,2.4,2.4,2.4,375.0,2.4000000000000004,
1999-05-11,2.4,2.4,2.4,2.4,91290.0,2.5,
1999-05-12,2.4,2.4,2.4,2.4,24115.0,2.45,
1999-05-13,2.35,2.4,2.35,2.4,158200.0,2.5,
1999-05-14,2.4,2.4,2.4,2.4,55185.0,2.45,
1999-05-17,2.4,2.4,2.4,2.4,374115.0,2.45,
1999-05-18,2.4,2.4,2.37,2.37,38230.0,2.4,
1999-05-19,2.37,2.37,2.35,2.36,21300.0,2.3400000000000003,
1999-05-20,2.36,2.36,2.35,2.35,20320.0,2.32,
1999-05-21,2.32,2.32,2.31,2.31,20500.0,2.3000000000000003,
