Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2007-05-23,8.5,9.11,8.3,8.8,29742594.0,,,1.588294267654419
2007-05-24,8.7,8.71,8.2,8.38,9700563.0,,,1.804410696029663
2007-05-25,8.03,8.1,7.9,8.02,5759666.0,,,2.172852039337158
2007-05-28,7.99,8.0,7.67,7.74,2881499.0,,,2.6544318199157715
2007-05-29,7.74,8.15,7.73,8.15,1974776.0,,,3.036996364593506
2007-05-30,8.17,8.18,8.0,8.0,1246296.0,,,3.3488340377807617
2007-05-31,8.05,8.2,7.96,8.1,896969.0,7.1999999999999975,,3.6266016960144043
2007-06-01,8.05,8.08,7.98,8.0,630846.0,7.8199999999999985,,3.894136905670166
2007-06-04,8.0,8.01,7.87,7.9,668825.0,7.98,,4.144014358520508
2007-06-05,7.9,7.98,7.88,7.92,323199.0,8.06,,4.383557319641113
2007-06-06,7.92,7.97,7.89,7.94,456176.0,7.689999999999999,,4.618116855621338
2007-06-07,7.88,7.96,7.82,7.91,499563.0,7.880000000000001,,4.837448596954346
2007-06-08,7.86,7.96,7.82,7.95,358844.0,7.7200000000000015,,5.040433883666992
2007-06-12,7.96,7.97,7.81,7.86,623676.0,7.9,,5.233088970184326
2007-06-13,7.81,7.82,7.76,7.76,486575.0,7.82,,5.417881488800049
2007-06-14,7.75,7.75,7.55,7.62,1006540.0,7.6,,5.5948004722595215
2007-06-15,7.61,7.65,7.56,7.59,772268.0,7.3,,5.7638325691223145
2007-06-18,7.59,7.61,7.54,7.6,2227730.0,7.27,,5.9249653816223145
2007-06-19,7.57,7.58,7.47,7.5,1279076.0,7.249999999999999,,6.07818603515625
2007-06-20,7.5,7.5,7.3,7.35,644625.0,7.14,,6.223482131958008
2007-06-21,7.29,7.29,7.06,7.21,877353.0,6.94,,6.36083984375
2007-06-22,7.16,7.24,7.12,7.24,859041.0,6.8,,6.4902472496032715
2007-06-25,7.19,7.2,7.07,7.12,910814.0,6.8900000000000015,,6.6122727394104
2007-06-26,7.1,7.12,6.91,6.96,1313346.0,6.6400000000000015,,6.726707935333252
2007-06-27,6.92,7.24,6.9,7.1,1777350.0,6.42,,6.833196640014648
2007-06-28,7.14,7.28,7.14,7.28,1377684.0,6.85,,6.931690692901611
2007-06-29,7.28,7.48,7.28,7.42,961193.0,7.35,,7.02216911315918
2007-07-02,7.39,7.4,7.19,7.39,472392.0,7.6,,7.104619026184082
2007-07-03,7.4,7.41,7.19,7.2,385854.0,7.6599999999999975,,7.179037094116211
2007-07-04,7.2,7.2,7.02,7.15,531440.0,7.44,,7.245410919189453
2007-07-05,7.1,7.14,7.06,7.14,443318.0,7.200000000000001,,7.303730010986328
2007-07-06,7.09,7.14,7.08,7.14,263115.0,6.999999999999999,,7.353977203369141
2007-07-09,7.06,7.06,6.9,6.9,866246.0,6.859999999999999,,7.396143913269043
2007-07-10,6.89,6.89,6.69,6.81,1018460.0,6.410000000000001,,7.430215358734131
2007-07-11,6.9,7.0,6.81,7.0,518481.0,6.419999999999999,,7.456179141998291
2007-07-12,7.02,7.1,7.0,7.04,458990.0,6.85,,7.474022388458252
2007-07-13,7.11,7.12,7.01,7.11,529816.0,6.94,,7.483733654022217
2007-07-16,7.13,7.14,7.1,7.13,274157.0,7.080000000000001,,7.485299110412598
2007-07-17,7.12,7.16,7.1,7.16,407163.0,7.3599999999999985,,7.478707313537598
2007-07-18,7.11,7.12,7.05,7.1,276147.0,7.5100000000000025,,7.464005947113037
2007-07-19,7.13,7.14,7.06,7.12,291795.0,7.1999999999999975,,7.441137313842773
2007-07-20,7.11,7.2,7.11,7.2,400377.0,7.2,,7.4100728034973145
2007-07-23,7.14,7.2,7.12,7.2,277342.0,7.29,,7.376237392425537
2007-07-24,7.19,7.19,7.06,7.15,316757.0,7.27,,7.35092306137085
2007-07-25,7.09,7.1,7.02,7.08,422957.0,7.1400000000000015,,7.335089206695557
2007-07-26,7.05,7.1,7.03,7.08,261919.0,7.0600000000000005,,7.312830448150635
2007-07-27,7.0,7.06,6.95,7.0,626889.0,7.04,,7.284237861633301
2007-07-30,6.95,7.04,6.9,7.0,464826.0,6.8,,7.249314785003662
2007-07-31,7.01,7.03,6.88,6.88,235326.0,6.8,,7.208058834075928
2007-08-01,6.9,6.95,6.62,6.74,451874.0,6.609999999999999,,7.1965508460998535
2007-08-02,6.85,6.85,6.64,6.67,457294.0,6.4,,7.185193061828613
2007-08-03,6.73,6.8,6.73,6.77,381534.0,6.26,,7.169137477874756
