Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
1999-03-22,6.36,6.44,6.33,6.44,196753.0,,
1999-03-23,6.44,6.45,6.4,6.43,1401892.0,,
1999-03-24,6.43,6.43,6.38,6.41,1421298.0,,
1999-03-25,6.42,6.5,6.42,6.5,884806.0,,
1999-03-26,6.5360000000000005,6.63,6.5360000000000005,6.6,1295997.0,,
1999-03-29,6.59,6.68,6.58,6.6,361373.0,,
1999-03-30,6.642,6.67,6.62,6.65,588737.0,6.759999999999999,
1999-03-31,6.603,6.603,6.52,6.551,996040.0,6.870000000000001,
1999-04-01,6.55,6.57,6.46,6.46,1905707.0,6.692,
1999-04-06,6.5379999999999985,6.55,6.5,6.55,994640.0,6.42,
1999-04-07,6.53,6.55,6.5,6.55,544778.0,6.5,
1999-04-08,6.559,6.63,6.55,6.63,734423.0,6.5,
1999-04-09,6.65,6.65,6.6,6.6,1056867.0,6.6099999999999985,
1999-04-12,6.6,6.63,6.48,6.55,1706247.0,6.648999999999999,
1999-04-13,6.634,6.78,6.6,6.7,1616128.0,6.64,
1999-04-14,6.7170000000000005,6.76,6.67,6.74,1293512.0,6.8500000000000005,
1999-04-15,6.7,6.77,6.67,6.76,1014722.0,6.9300000000000015,
1999-04-16,6.78,6.9,6.78,6.88,1259642.0,6.89,
1999-04-19,6.95,7.14,6.88,6.9,934783.0,7.16,
1999-04-20,6.85,6.87,6.78,6.8,2821311.0,7.250000000000001,
1999-04-21,6.8,6.8,6.48,6.53,3141896.0,6.9,
1999-04-22,6.6,6.8,6.58,6.68,1985957.0,6.32,
1999-04-23,6.68,6.7,6.62,6.63,796307.0,6.6,
1999-04-26,6.65,6.68,6.6,6.68,142433.0,6.38,
1999-04-27,6.6,6.8,6.6,6.77,1292589.0,6.459999999999999,
1999-04-28,6.76,6.78,6.7,6.75,776481.0,6.739999999999998,
1999-04-29,6.8,6.8,6.5,6.52,781111.0,6.97,
1999-04-30,6.58,6.76,6.52,6.76,307052.0,6.3599999999999985,
1999-05-03,6.7410000000000005,6.7410000000000005,6.56,6.6,259114.0,6.89,
1999-05-04,6.68,6.68,6.55,6.55,461888.0,6.52,
1999-05-05,6.52,6.55,6.35,6.35,1284277.0,6.33,
1999-05-06,6.407,6.407,6.31,6.31,798933.0,5.949999999999998,
1999-05-07,6.245,6.25,5.94,6.04,1672853.0,6.1,
1999-05-10,6.1,6.12,6.0,6.05,696049.0,5.32,
1999-05-11,6.05,6.25,6.02,6.15,200918.0,5.5,
1999-05-12,6.146,6.15,6.05,6.058,998120.0,5.750000000000001,
1999-05-13,6.07,6.2,6.07,6.15,1576164.0,5.766,
1999-05-14,6.16,6.41,6.16,6.28,855140.0,5.990000000000001,
1999-05-17,6.15,6.15,6.05,6.07,608700.0,6.5200000000000005,
1999-05-18,6.07,6.13,6.07,6.1,800984.0,6.090000000000002,
1999-05-19,6.15,6.15,6.03,6.1,681117.0,6.049999999999999,
1999-05-20,6.1,6.15,6.06,6.07,357667.0,6.142,
1999-05-21,6.07,6.15,5.94,6.15,939191.0,5.99,
1999-05-24,6.17,6.26,6.17,6.21,392357.0,6.0200000000000005,
1999-05-25,6.16,6.2,6.08,6.2,178602.0,6.35,
1999-05-26,6.2,6.2,6.1,6.15,260707.0,6.300000000000002,
1999-05-27,6.15,6.2,6.13,6.18,721423.0,6.200000000000001,
1999-05-28,6.193,6.193,6.0,6.0,440192.0,6.289999999999999,
1999-05-31,6.0,6.0,5.95,5.97,159602.0,5.85,
1999-06-01,5.97,6.01,5.9670000000000005,5.9670000000000005,430801.0,5.73,
1999-06-02,5.99,6.0,5.96,5.98,880827.0,5.734000000000001,
1999-06-03,5.98,6.03,5.96,5.98,842968.0,5.8100000000000005,
1999-06-04,6.0,6.01,5.81,5.82,469580.0,5.780000000000001,
1999-06-07,5.88,5.88,5.68,5.68,729832.0,5.6400000000000015,
1999-06-08,5.71,5.85,5.66,5.84,850057.0,5.39,
1999-06-09,5.84,6.0,5.84,5.88,1027117.0,5.712999999999999,
1999-06-10,5.9110000000000005,5.9110000000000005,5.65,5.7,1681827.0,5.7799999999999985,
1999-06-11,5.75,5.75,5.44,5.45,2122317.0,5.42,
1999-06-15,5.4689999999999985,5.7,5.46,5.67,478380.0,5.08,
1999-06-16,5.7,5.71,5.66,5.68,2077594.0,5.66,
1999-06-17,5.75,5.95,5.75,5.88,839405.0,5.52,
1999-06-18,5.907,5.95,5.76,5.8420000000000005,631507.0,5.88,
1999-06-21,5.855,5.95,5.85,5.85,1311691.0,5.984000000000001,
1999-06-22,5.9,5.9,5.8,5.85,1427957.0,6.249999999999999,
1999-06-23,5.808,5.9,5.808,5.9,2599576.0,6.0299999999999985,
1999-06-24,5.85,5.95,5.82,5.95,1155534.0,6.120000000000001,
1999-06-25,5.9,5.97,5.86,5.92,732189.0,6.0200000000000005,
1999-06-28,5.9270000000000005,5.96,5.92,5.93,733155.0,5.997999999999998,
1999-06-29,5.98,5.98,5.83,5.85,1273508.0,6.01,
1999-06-30,5.894,5.9,5.73,5.75,3020589.0,5.85,
1999-07-01,5.9,5.97,5.85,5.9,341444.0,5.6,
1999-07-02,5.92,6.0,5.86,5.9,865466.0,5.8500000000000005,
1999-07-05,6.05,6.1,6.02,6.05,305320.0,5.880000000000001,
1999-07-06,6.05,6.07,5.95,5.97,1443808.0,6.17,
1999-07-07,6.0,6.04,5.85,5.85,752638.0,6.09,
1999-07-08,5.94,5.96,5.85,5.85,571304.0,5.949999999999998,
1999-07-09,5.8420000000000005,5.95,5.83,5.9,732244.0,5.799999999999999,
