Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2007-01-04,1.16,1.16,1.05,1.07,5569712.0,,,1.607934832572937
2007-01-05,1.11,1.165,1.1,1.16,8065971.0,,,1.5882127285003662
2007-01-08,1.185,1.25,1.16,1.24,4052542.0,,,1.5636705160140991
2007-01-09,1.26,1.26,1.23,1.25,2485806.0,,,1.5335149765014648
2007-01-10,1.275,1.395,1.27,1.35,3159916.0,,,1.497145175933838
2007-01-11,1.37,1.4,1.285,1.3,3504213.0,,,1.4538140296936035
2007-01-12,1.29,1.29,1.23,1.24,1393093.0,1.53,,1.4060100317001343
2007-01-15,1.28,1.3,1.255,1.28,2106136.0,1.32,,1.3729649782180786
2007-01-16,1.3,1.35,1.3,1.345,2495444.0,1.32,,1.3396084308624268
2007-01-17,1.335,1.34,1.31,1.31,1361543.0,1.44,,1.309523344039917
2007-01-18,1.325,1.34,1.31,1.315,1053313.0,1.27,,1.2804309129714966
2007-01-19,1.315,1.345,1.31,1.32,719940.0,1.3299999999999998,,1.2520263195037842
2007-01-22,1.33,1.33,1.295,1.305,977761.0,1.4,,1.2252089977264404
2007-01-23,1.305,1.305,1.29,1.3,781264.0,1.3299999999999998,,1.2040255069732666
2007-01-24,1.31,1.31,1.28,1.28,663636.0,1.255,,1.1866707801818848
2007-01-25,1.29,1.3,1.28,1.29,515705.0,1.25,,1.1695619821548462
2007-01-29,1.29,1.29,1.23,1.235,1171796.0,1.265,,1.1548819541931152
2007-01-30,1.25,1.28,1.235,1.25,761437.0,1.15,,1.1434047222137451
2007-01-31,1.25,1.275,1.25,1.27,662212.0,1.195,,1.1342464685440063
2007-02-01,1.27,1.28,1.265,1.27,731474.0,1.24,,1.127474308013916
2007-02-02,1.27,1.27,1.26,1.27,637985.0,1.26,,1.1231756210327148
2007-02-05,1.27,1.27,1.255,1.26,362144.0,1.25,,1.1213493347167969
2007-02-06,1.26,1.265,1.245,1.25,856868.0,1.285,,1.1218916177749634
2007-02-07,1.26,1.27,1.255,1.26,404106.0,1.25,,1.1248841285705566
2007-02-08,1.255,1.26,1.245,1.245,499270.0,1.25,,1.1287641525268555
2007-02-09,1.25,1.255,1.24,1.255,308180.0,1.2200000000000002,,1.1337443590164185
2007-02-12,1.255,1.255,1.235,1.25,302200.0,1.2399999999999998,,1.1452915668487549
2007-02-13,1.25,1.255,1.245,1.245,113378.0,1.24,,1.1501013040542603
2007-02-14,1.245,1.245,1.225,1.225,388620.0,1.2400000000000002,,1.1443427801132202
2007-02-15,1.225,1.225,1.185,1.21,608877.0,1.1900000000000002,,1.138702392578125
2007-02-16,1.2,1.24,1.2,1.22,436300.0,1.1749999999999998,,1.1314297914505005
2007-02-19,1.22,1.24,1.185,1.2,755678.0,1.185,,1.1246676445007324
2007-02-20,1.21,1.21,1.18,1.185,277225.0,1.15,,1.1184401512145996
2007-02-21,1.185,1.185,1.14,1.14,291414.0,1.125,,1.1127498149871826
2007-02-22,1.14,1.2,1.14,1.19,408371.0,1.0549999999999995,,1.1076191663742065
2007-02-23,1.2,1.21,1.19,1.205,316476.0,1.17,,1.1032596826553345
2007-02-26,1.2,1.22,1.2,1.205,311605.0,1.1900000000000002,,1.099483609199524
2007-02-27,1.2,1.205,1.18,1.18,170820.0,1.2100000000000002,,1.0962927341461182
2007-02-28,1.145,1.2,1.13,1.2,934515.0,1.1749999999999998,,1.0936568975448608
