Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,0.175,0.175,0.175,0.175,1600.0,,,0.11465930193662645,,,,,,
1999-03-23,0.175,0.175,0.175,0.175,8313.0,,,0.1580483317375183,,,,,,
1999-03-24,0.175,0.175,0.175,0.175,34687.0,,,0.1937808990478516,,,,,,
1999-03-25,0.19,0.19,0.19,0.19,19200.0,,,0.2210666835308075,,,,,,
1999-03-26,0.19,0.19,0.19,0.19,45000.0,,,0.2393128871917725,,,,,,
1999-03-29,0.19,0.19,0.19,0.19,45000.0,,,0.24489974975585935,,,,,,
1999-03-30,0.19,0.19,0.19,0.19,50774.0,0.205,,0.2398784756660461,0.18357142857142852,,,,,
1999-03-31,0.2,0.2,0.2,0.2,339.0,0.205,,0.2276016771793365,0.18714285714285708,,,,,
1999-04-01,0.18,0.18,0.18,0.18,55000.0,0.2250000000000001,,0.2091941237449646,0.18785714285714278,,,,,
1999-04-06,0.18,0.18,0.18,0.145,55000.0,0.16999999999999998,,0.1872487366199493,0.1835714285714285,,,,,
1999-04-07,0.18,0.18,0.18,0.145,55000.0,0.09999999999999998,,0.17432063817977905,0.17714285714285707,,,,,
1999-04-08,0.18,0.18,0.18,0.15,55000.0,0.09999999999999998,,0.17195957899093628,0.17142857142857135,,,,,
1999-04-09,0.18,0.18,0.18,0.18,18750.0,0.11,,0.1756441295146942,0.16999999999999993,,,,,
1999-04-12,0.18,0.18,0.18,0.15,18750.0,0.15999999999999998,,0.1784800887107849,0.1642857142857142,0.1739285714285714,,,,
1999-04-13,0.15,0.15,0.145,0.145,8000.0,0.12,,0.18050935864448547,0.15642857142857136,0.17178571428571426,,,,
1999-04-14,0.145,0.145,0.145,0.145,2500.0,0.145,,0.1819966435432434,0.15142857142857138,0.16964285714285715,,,,
1999-04-15,0.145,0.145,0.145,0.17,2500.0,0.145,,0.18569430708885196,0.15499999999999994,0.1692857142857143,,,,
1999-04-16,0.145,0.145,0.145,0.17,2500.0,0.19000000000000009,,0.1886429786682129,0.1585714285714285,0.16785714285714287,,,,
1999-04-19,0.145,0.145,0.145,0.17,2500.0,0.16000000000000006,,0.19070598483085632,0.16142857142857134,0.16642857142857143,,,,
1999-04-20,0.17,0.17,0.17,0.17,11200.0,0.19000000000000009,,0.19204655289649966,0.15999999999999992,0.165,,,,
