Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2014-10-07,3.85,4.03,3.85,4.02,,,,0.5489321351051331,,,,,,
2014-10-08,3.95,4.02,3.91,4.0,,,,0.7152261734008789,,,,,,
2014-10-09,4.0,4.09,3.995,4.0,,,,0.9599425792694092,,,,,,
2014-10-10,3.98,4.01,3.94,4.01,,,,1.3028380870819092,,,,,,
2014-10-13,4.0,4.01,3.98,4.0,,,,1.7641825675964355,,,,,,
2014-10-14,4.0,4.02,4.0,4.01,,,,2.286652088165283,,,,,,
2014-10-15,4.03,4.07,4.01,4.07,,4.0,,2.7533948421478267,4.015714285714286,,,,,
2014-10-16,4.08,4.1,4.02,4.06,,4.1400000000000015,,3.141253471374512,4.021428571428571,,,,,
2014-10-17,4.08,4.14,4.08,4.1,,4.119999999999999,,3.416842222213745,4.035714285714286,,,,,
2014-10-20,4.1,4.14,4.08,4.09,,4.19,,3.632336139678955,4.048571428571429,,,,,
2014-10-21,4.1,4.1,4.0,4.01,,4.18,,3.8067164421081534,4.048571428571429,,,,,
2014-10-22,4.05,4.14,4.05,4.1,,4.01,,3.943901777267456,4.062857142857143,,,,,
2014-10-23,4.1,4.19,4.08,4.14,,4.129999999999999,,4.047975540161134,4.081428571428573,,,,,
2014-10-24,4.15,4.2,4.14,4.18,,4.22,,4.113420009613037,4.097142857142858,4.0564285714285715,,,,
2014-10-27,4.17,4.21,4.14,4.18,,4.26,,4.1460046768188485,4.114285714285716,4.067857142857143,,,,
2014-10-28,4.2,4.26,4.17,4.26,,4.27,,4.146685123443604,4.137142857142858,4.086428571428572,,,,
2014-10-29,4.25,4.44,4.2,4.27,,4.51,,4.11614990234375,4.162857142857144,4.105714285714286,,,,
2014-10-30,4.25,4.25,4.16,4.16,,4.44,,4.055386543273927,4.184285714285715,4.116428571428572,,,,
2014-10-31,4.28,4.28,4.2,4.25,,4.1800000000000015,,3.965677499771118,4.205714285714286,4.134285714285714,,,,
2014-11-03,4.26,4.26,4.21,4.25,,4.32,,3.9251208305358887,4.221428571428572,4.151428571428572,,,,
2014-11-04,4.21,4.25,4.21,4.24,,4.32,,3.871374130249024,4.230000000000001,4.163571428571429,,,,
2014-11-05,4.24,4.26,4.23,4.26,,4.2200000000000015,,3.865202903747559,4.241428571428572,4.177857142857143,,,,
2014-11-06,4.26,4.26,4.21,4.22,,4.25,,3.876622676849365,4.235714285714287,4.186428571428571,,,,
2014-11-07,4.24,4.26,4.16,4.2,,4.2799999999999985,,3.8994975090026855,4.225714285714287,4.194285714285714,,,,
