Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2014-02-14,0.85,0.85,0.72,0.75,,,,0.3630162477493286
2014-02-17,0.8,0.82,0.76,0.765,,,,0.425362765789032
2014-02-18,0.77,0.8,0.765,0.8,,,,0.49367085099220276
2014-02-19,0.8,0.8,0.8,0.8,,,,0.5663696527481079
2014-02-20,0.8,0.8,0.79,0.8,,,,0.641829252243042
2014-02-21,0.8,0.84,0.795,0.84,,,,0.7180848121643066
2014-02-24,0.84,0.84,0.8,0.81,,0.93,,0.7889599800109863
2014-02-25,0.83,0.83,0.805,0.81,,0.8550000000000001,,0.8451893329620361
2014-02-26,0.81,0.82,0.8,0.81,,0.8200000000000001,,0.8898806571960449
2014-02-27,0.84,0.84,0.84,0.84,,0.8200000000000001,,0.9246896505355835
2014-02-28,0.85,0.86,0.84,0.86,,0.8799999999999999,,0.9441924095153809
2014-03-03,0.85,0.875,0.84,0.87,,0.88,,0.9525537490844727
2014-03-04,0.83,0.83,0.82,0.825,,0.93,,0.949761152267456
2014-03-05,0.83,0.83,0.83,0.83,,0.8399999999999999,,0.9379271268844604
2014-03-06,0.83,0.83,0.82,0.82,,0.8499999999999999,,0.9179782867431641
2014-03-07,0.84,0.84,0.83,0.83,,0.7999999999999999,,0.8902677297592163
2014-03-10,0.83,0.83,0.82,0.83,,0.7999999999999999,,0.8592474460601807
2014-03-11,0.83,0.83,0.81,0.81,,0.7899999999999999,,0.8759795427322388
2014-03-12,0.82,0.835,0.82,0.82,,0.7950000000000002,,0.891737699508667
2014-03-13,0.84,0.89,0.835,0.835,,0.8099999999999999,,0.9060653448104858
2014-03-14,0.845,0.87,0.83,0.83,,0.85,,0.9165899753570557
2014-03-17,0.835,0.835,0.83,0.83,,0.83,,0.9198890924453735
2014-03-18,0.83,0.83,0.825,0.83,,0.83,,0.9204037189483643
2014-03-19,0.83,0.83,0.825,0.825,,0.8499999999999999,,0.918199896812439
2014-03-20,0.825,0.825,0.82,0.825,,0.83,,0.9133610725402832
2014-03-21,0.83,0.83,0.825,0.825,,0.815,,0.9059879779815674
2014-03-24,0.825,0.83,0.825,0.83,,0.82,,0.913348913192749
2014-03-25,0.83,0.84,0.825,0.84,,0.83,,0.9223750829696655
2014-03-26,0.83,0.83,0.825,0.825,,0.85,,0.9309313297271729
2014-03-27,0.825,0.825,0.825,0.825,,0.825,,0.9383533000946045
2014-03-28,0.83,0.83,0.83,0.83,,0.825,,0.9443867206573486
2014-03-31,0.83,0.84,0.825,0.825,,0.835,,0.9490723609924316
2014-04-01,0.825,0.83,0.82,0.82,,0.82,,0.952241063117981
2014-04-02,0.82,0.84,0.82,0.83,,0.7999999999999999,,0.9524527788162231
2014-04-03,0.83,0.83,0.83,0.83,,0.835,,0.9513087272644043
2014-04-04,0.83,0.83,0.825,0.83,,0.835,,0.9488292932510376
2014-04-07,0.84,0.84,0.83,0.84,,0.83,,0.9450379610061646
2014-04-08,0.83,0.84,0.83,0.84,,0.855,,0.9399629831314087
2014-04-09,0.84,0.87,0.84,0.855,,0.86,,0.933634877204895
2014-04-10,0.855,0.86,0.855,0.86,,0.88,,0.9261656999588013
2014-04-11,0.86,0.87,0.85,0.85,,0.89,,0.9184658527374268
2014-04-14,0.845,0.86,0.84,0.85,,0.87,,0.9095792770385742
2014-04-15,0.85,0.86,0.85,0.85,,0.86,,0.9035617113113403
2014-04-16,0.855,0.855,0.85,0.85,,0.86,,0.908126950263977
2014-04-17,0.85,0.86,0.84,0.84,,0.845,,0.9135572910308838
2014-04-22,0.84,0.84,0.84,0.84,,0.82,,0.9194313287734985
2014-04-23,0.845,0.85,0.84,0.84,,0.83,,0.9249793291091919
2014-04-24,0.84,0.84,0.83,0.83,,0.83,,0.9296243190765381
2014-04-28,0.83,0.83,0.825,0.825,,0.8099999999999999,,0.9334936141967773
2014-04-29,0.835,0.85,0.825,0.83,,0.7999999999999999,,0.9370081424713135
