Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,1.5,1.58,1.49,1.5,60960.0,,,5.926479816436768,,,,,,
1999-03-23,1.49,1.5,1.49,1.5,80600.0,,,5.926479816436768,,,,,,
1999-03-24,1.48,1.5,1.48,1.5,122652.0,,,5.926479816436768,,,,,,
1999-03-25,1.5,1.5,1.48,1.48,33041.0,,,5.926479816436768,,,,,,
1999-03-26,1.5,1.51,1.5,1.5,127740.0,,,5.926479816436768,,,,,,
1999-03-29,1.5,1.52,1.48,1.48,131027.0,,,5.926479816436768,,,,,,
1999-03-30,1.47,1.48,1.46,1.46,62320.0,1.46,,5.926479816436768,1.4885714285714289,,,,,
1999-03-31,1.48,1.49,1.46,1.49,25200.0,1.42,,5.926479816436768,1.4871428571428573,,,,,
1999-04-01,1.5,1.5,1.49,1.5,45200.0,1.48,,5.926479816436768,1.4871428571428573,,,,,
1999-04-06,1.5,1.5,1.5,1.5,111200.0,1.52,,5.926479816436768,1.4871428571428573,,,,,
1999-04-07,1.5,1.5,1.48,1.48,215856.0,1.5,,5.926479816436768,1.4871428571428573,,,,,
1999-04-08,1.48,1.5,1.46,1.46,203608.0,1.48,,5.926479816436768,1.4814285714285715,,,,,
1999-04-09,1.44,1.44,1.4,1.42,58225.0,1.46,,5.926479816436768,1.4728571428571429,,,,,
1999-04-12,1.43,1.45,1.43,1.45,22637.0,1.35,,5.926479816436768,1.4714285714285715,1.4800000000000002,,,,
1999-04-13,1.47,1.47,1.43,1.43,71950.0,1.4,,5.926479816436768,1.4628571428571429,1.475,,,,
1999-04-14,1.46,1.48,1.44,1.44,20500.0,1.36,,5.926479816436768,1.4542857142857142,1.4707142857142859,,,,
1999-04-15,1.45,1.47,1.45,1.47,298490.0,1.4,,5.926479816436768,1.45,1.4685714285714286,,,,
1999-04-16,1.48,1.52,1.48,1.5,207177.0,1.48,,5.926479816436768,1.4528571428571428,1.4700000000000002,,,,
1999-04-19,1.5,1.54,1.5,1.53,253092.0,1.58,,5.926479816436768,1.4628571428571426,1.4721428571428574,,,,
1999-04-20,1.53,1.61,1.53,1.61,76803.0,1.61,,5.926479816436768,1.4899999999999998,1.4814285714285715,,,,
