Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2000-04-03,5.5,5.8,5.5,5.8,58000.0,,,1.5155525207519531
2000-04-04,5.8,5.8,5.8,5.8,31114.0,,,1.6259570121765137
2000-04-05,5.683,5.683,5.0,5.1,131134.0,,,1.7901265621185303
2000-04-06,5.603,6.1,5.603,5.8,230530.0,,,2.012728214263916
2000-04-07,5.8,5.8,5.8,5.8,15100.0,,,2.2125654220581055
2000-04-10,5.8,5.8,5.8,5.8,12700.0,,,2.35837984085083
2000-04-11,6.0,6.3,6.0,6.3,70920.0,5.8,,2.5073657035827637
2000-04-12,6.27,6.27,5.7,5.7,27040.0,6.8,,2.662010431289673
2000-04-13,5.492000000000001,5.8,5.42,5.8,39197.0,6.3000000000000025,,2.7792859077453613
2000-04-14,5.496,5.65,5.3,5.4,113750.0,5.8,,2.880312919616699
2000-04-17,5.118,5.118,4.9,4.9,3561290.0,5.000000000000001,,2.977324962615967
2000-04-18,5.4,5.4,5.2,5.2,690161.0,4.000000000000001,,3.071195125579834
2000-04-19,5.5070000000000014,5.71,5.5070000000000014,5.55,275859.0,4.1000000000000005,,3.161444664001465
2000-04-20,6.0,6.0,5.4,5.4,4300.0,5.4,,3.249063730239868
2000-04-26,5.5,5.6,5.49,5.5,80773.0,5.000000000000001,,3.334092855453491
2000-04-27,5.5,6.0,5.5,5.94,606751.0,5.6,,3.4164340496063232
2000-04-28,5.94,6.0,5.9,6.0,614141.0,6.98,,3.4960882663726807
2000-05-01,6.04,6.1,6.03,6.1,60857.0,6.8,,3.573023796081543
2000-05-02,6.39,6.7,6.39,6.6,1299190.0,6.65,,3.646907091140747
2000-05-03,6.6,6.6,6.34,6.4,879437.0,7.799999999999999,,3.718066930770874
2000-05-04,5.392,5.62,5.3,5.6,930801.0,7.3000000000000025,,3.786504030227661
2000-05-05,5.0,5.2,4.85,4.85,3142694.0,5.259999999999999,,3.8522186279296875
2000-05-08,5.02,5.06,4.9,5.05,3411726.0,3.6999999999999993,,3.915210485458374
2000-05-09,5.25,5.25,4.85,4.87,1344024.0,4.0,,3.9754793643951416
2000-05-10,4.8,4.8,4.5,4.51,107626.0,3.140000000000001,,4.033025741577148
2000-05-11,4.45,4.45,4.3,4.35,117920.0,2.619999999999999,,4.08784818649292
2000-05-12,4.6,4.65,4.55,4.62,67100.0,3.1,,4.139395713806152
2000-05-15,4.605,4.605,4.3,4.38,336890.0,4.3900000000000015,,4.186972141265869
2000-05-16,4.65,4.65,4.55,4.6,80815.0,3.71,,4.231785774230957
2000-05-17,4.5,4.5,4.39,4.45,773553.0,4.329999999999999,,4.274161338806152
2000-05-18,4.55,4.6,4.45,4.6,114321.0,4.3900000000000015,,4.313732147216797
2000-05-19,4.52,4.6,4.52,4.6,113354.0,4.85,,4.350501537322998
2000-05-22,4.5,4.5,4.45,4.5,206665.0,4.579999999999999,,4.384474754333496
2000-05-23,4.59,4.59,4.3,4.3,50830.0,4.62,,4.415655612945557
2000-05-24,4.25,4.25,4.22,4.22,1044477.0,4.0,,4.444098472595215
2000-05-25,4.203,4.203,4.05,4.1,50070.0,3.9899999999999993,,4.472760200500488
2000-05-26,4.1,4.1,3.95,4.0,638676.0,3.6,,4.498689651489258
2000-05-29,4.0,4.02,3.95,4.0,40765.0,3.4000000000000004,,4.520508289337158
2000-05-30,4.0,4.05,4.0,4.05,135775.0,3.5,,4.539543151855469
2000-05-31,4.21,4.25,3.95,4.25,328178.0,3.8,,4.555790424346924
2000-06-01,4.25,4.25,4.15,4.15,413096.0,4.28,,4.569249153137207
2000-06-02,4.112,4.45,4.1,4.45,23445.0,4.200000000000001,,4.579935073852539
2000-06-05,4.6,4.6,4.55,4.55,1171461.0,4.9,,4.587855339050293
2000-06-06,4.6,4.95,4.6,4.867,642102.0,5.1,,4.593015193939209
2000-06-07,4.9110000000000005,5.05,4.9,4.9860000000000015,309750.0,5.684,,4.595420837402344
2000-06-08,4.8069999999999995,4.8069999999999995,4.5,4.54,873325.0,5.722000000000001,,4.5950775146484375
2000-06-09,4.6,4.75,4.55,4.65,274410.0,4.93,,4.59199333190918
2000-06-13,4.7,4.73,4.54,4.59,385323.0,4.8500000000000005,,4.586174964904785
2000-06-14,4.7,4.9,4.65,4.8,952797.0,4.63,,4.577629089355469
2000-06-15,5.109,5.28,5.05,5.28,901100.0,4.7330000000000005,,4.566362380981445
2000-06-16,5.3,5.35,5.05,5.15,884225.0,5.574,,4.552383899688721
2000-06-19,4.982,5.15,4.9,5.15,1371846.0,5.7600000000000025,,4.535699844360352
2000-06-20,5.19,5.2,5.1,5.184,946104.0,5.65,,4.516319274902344
2000-06-21,5.15,5.21,5.15,5.21,1014740.0,5.7780000000000005,,4.4942498207092285
2000-06-22,5.194,5.194,5.05,5.08,2049481.0,5.62,,4.469498634338379
2000-06-23,5.1,5.1,4.98,5.0,1090447.0,4.88,,4.442075729370117
2000-06-26,4.2,4.5,4.19,4.477,2048839.0,4.85,,4.412148475646973
2000-06-27,4.4,4.5,4.35,4.45,2651900.0,3.804,,4.379758358001709
2000-06-28,4.45,4.62,4.45,4.54,780957.0,3.716,,4.3447370529174805
2000-06-29,4.6560000000000015,4.75,4.6560000000000015,4.69,800984.0,3.87,,4.307094573974609
2000-06-30,4.69,4.69,4.54,4.659,2084819.0,4.300000000000002,,4.266839027404785
2000-07-03,4.55,4.55,4.5,4.5,813652.0,4.3180000000000005,,4.2239789962768555
2000-07-04,4.5,4.55,4.42,4.45,1004486.0,4.523,,4.178525924682617
2000-07-05,4.52,4.65,4.52,4.62,614996.0,4.45,,4.13048791885376
2000-07-06,4.6,4.63,4.57,4.59,987598.0,4.7,,4.079874038696289
2000-07-07,4.6,4.65,4.57,4.59,1202096.0,4.489999999999998,,4.026694297790527
2000-07-10,4.65,4.65,4.543,4.543,811609.0,4.521,,3.9709577560424805
2000-07-11,4.55,4.56,4.5,4.54,585477.0,4.586,,3.9203808307647705
2000-07-12,4.39,4.39,4.29,4.33,1741892.0,4.63,,3.873551607131958
2000-07-13,4.36,4.4,4.33,4.34,4632076.0,4.04,,3.84450364112854
2000-07-14,4.495,4.55,4.43,4.49,1760937.0,4.09,,3.8136274814605713
2000-07-17,4.55,4.7,4.54,4.65,2779610.0,4.3900000000000015,,3.780912399291992
2000-07-18,4.785,4.99,4.785,4.9,2204922.0,4.7570000000000014,,3.7463481426239014
2000-07-19,4.93,4.97,4.86,4.96,1861963.0,5.260000000000002,,3.7095375061035156
2000-07-20,4.874,4.88,4.79,4.84,521750.0,5.59,,3.6706953048706055
2000-07-21,4.697,4.72,4.64,4.67,2647132.0,5.34,,3.6299548149108887
2000-07-24,4.65,4.65,4.6,4.62,1107811.0,4.85,,3.5873031616210938
2000-07-25,4.607,4.7,4.607,4.67,329589.0,4.59,,3.5427281856536865
2000-07-26,4.6930000000000005,4.9,4.6930000000000005,4.88,954293.0,4.44,,3.496217966079712
2000-07-27,4.94,5.16,4.94,5.14,1287540.0,4.8,,3.443554639816284
2000-07-28,5.101,5.11,4.97,5.0,2899414.0,5.44,,3.387955665588379
2000-07-31,4.75,4.82,4.7,4.8,1102108.0,5.33,,3.330397367477417
2000-08-01,4.81,4.9,4.8,4.85,381395.0,4.98,,3.2708773612976074
2000-08-02,5.007,5.29,5.007,5.24,1467680.0,5.029999999999999,,3.209394693374634
2000-08-03,5.4,5.65,5.4,5.65,7458298.0,5.6000000000000005,,3.1459479331970215
2000-08-04,6.079,6.2,5.8,5.98,4653791.0,6.160000000000001,,3.080535650253296
2000-08-07,5.871,5.871,5.56,5.68,1236228.0,6.960000000000001,,3.013155698776245
2000-08-08,5.65,5.72,5.59,5.64,914567.0,6.56,,2.943807601928711
2000-08-09,5.66,5.67,5.46,5.484,1053777.0,6.43,,2.8729310035705566
2000-08-10,5.3,5.4,5.25,5.37,4855654.0,5.728,,2.803893566131592
2000-08-11,5.85,6.09,5.85,6.05,3504562.0,5.09,,2.731755256652832
2000-08-14,6.085,6.085,5.76,5.85,1274868.0,6.119999999999999,,2.6567375659942627
2000-08-15,5.9,5.9,5.8,5.8329999999999975,1374087.0,6.02,,2.5798375606536865
2000-08-16,5.8,5.9,5.8,5.9,951929.0,6.025999999999999,,2.510009288787842
2000-08-17,5.9,6.0,5.89,5.93,2105421.0,6.3160000000000025,,2.4527323246002197
2000-08-18,5.99,6.0,5.95,5.98,640122.0,6.4899999999999975,,2.394056797027588
2000-08-21,5.99,5.99,5.91,5.93,1890164.0,5.910000000000001,,2.3339829444885254
2000-08-22,5.99,6.07,5.99,6.01,1776752.0,6.01,,2.272510528564453
2000-08-23,6.0,6.0,5.85,5.92,1606630.0,6.187,,2.2096402645111084
2000-08-24,5.882999999999999,5.95,5.88,5.9,1309372.0,5.94,,2.145371675491333
2000-08-25,5.95,6.27,5.95,6.26,500536.0,5.870000000000001,,2.079704761505127
2000-08-28,6.25,6.26,6.16,6.22,1003984.0,6.539999999999999,,2.012639284133911
2000-08-29,6.3,6.35,6.23,6.24,386723.0,6.51,,1.9441757202148438
2000-08-30,6.17,6.23,6.09,6.2,678094.0,6.4700000000000015,,1.8743138313293457
2000-08-31,6.1,6.1,6.0,6.05,1442325.0,6.48,,1.803053617477417
2000-09-01,6.3,6.4,6.3,6.4,675134.0,6.1999999999999975,,1.7303953170776367
2000-09-04,6.456,6.6,6.456,6.54,719847.0,6.540000000000001,,1.7065231800079346
2000-09-05,6.5,6.85,6.5,6.85,250207.0,6.86,,1.700523853302002
2000-09-06,6.691,6.7,6.3,6.5,779170.0,7.459999999999999,,1.6943516731262207
2000-09-07,6.431,6.431,6.25,6.305,835391.0,6.8,,1.6880066394805908
2000-09-08,6.3,6.65,6.3,6.6,322751.0,6.56,,1.6814887523651123
2000-09-11,6.593999999999999,6.7,6.5,6.66,198756.0,6.799999999999999,,1.6747980117797852
2000-09-12,6.66,6.7,6.55,6.7,294925.0,6.78,,1.6679344177246094
2000-09-13,6.669,6.669,6.46,6.57,427169.0,6.5500000000000025,,1.660897970199585
2000-09-14,6.6,6.79,6.5,6.75,668236.0,6.6400000000000015,,1.6543360948562622
2000-09-15,6.6579999999999995,7.15,6.6579999999999995,6.88,450401.0,7.195,,1.6503078937530518
2000-09-18,6.8,6.8,6.5,6.65,398768.0,7.16,,1.6461634635925293
2000-09-19,6.562,6.562,6.35,6.4,1272030.0,6.6400000000000015,,1.6419031620025635
2000-09-20,6.36,6.5,6.32,6.4,623202.0,6.1000000000000005,,1.6375266313552856
2000-09-21,6.32,6.37,6.3,6.34,375835.0,6.23,,1.6330342292785645
2000-09-22,6.33,6.33,6.01,6.3,334559.0,5.93,,1.629390001296997
2000-09-25,6.21,6.45,6.21,6.43,123391.0,5.72,,1.6288963556289673
2000-09-26,6.43,6.6,6.43,6.58,2785593.0,6.209999999999999,,1.628354549407959
2000-09-27,6.0,6.06,5.9,6.0,1967082.0,6.76,,1.6277649402618408
2000-09-28,5.93,6.04,5.86,6.04,1339334.0,5.6,,1.6271276473999023
2000-09-29,6.05,6.13,6.05,6.1,937091.0,5.74,,1.626442313194275
2000-10-02,6.15,6.15,5.9,5.97,1855810.0,5.9,,1.6257092952728271
2000-10-03,5.7,5.75,5.65,5.65,1287298.0,5.51,,1.6249282360076904
2000-10-04,5.659,5.85,5.62,5.77,1607021.0,4.7200000000000015,,1.6240994930267334
2000-10-05,5.377999999999999,5.55,5.35,5.45,3144087.0,5.539999999999999,,1.626859426498413
2000-10-06,5.115,5.23,4.97,5.15,6961352.0,4.86,,1.6291344165802002
2000-10-09,5.05,5.2,5.05,5.194,1871632.0,4.200000000000001,,1.6314094066619873
2000-10-10,5.3,5.4,5.24,5.3,1755379.0,4.418,,1.6336843967437744
2000-10-11,5.4,5.5,5.37,5.37,1979905.0,4.949999999999998,,1.6359593868255615
2000-10-12,5.48,5.55,5.46,5.5,1210850.0,4.9700000000000015,,1.6382344961166382
2000-10-13,5.3,5.35,5.2,5.2,2484438.0,5.55,,1.6405094861984253
2000-10-16,5.313,5.54,5.313,5.54,1968293.0,5.25,,1.6427844762802124
2000-10-17,5.6,5.7,5.58,5.6,1833642.0,5.886,,1.6450594663619995
2000-10-18,5.6,5.69,5.56,5.6,1483132.0,5.9,,1.6473344564437866
2000-10-19,5.507999999999999,5.51,5.39,5.4,1918874.0,5.829999999999999,,1.6496095657348633
2000-10-20,5.5,5.6,5.45,5.6,299405.0,5.300000000000002,,1.6518845558166504
2000-10-23,5.69,5.87,5.69,5.867999999999999,161465.0,5.999999999999999,,1.6541595458984375
2000-10-24,5.814,5.85,5.78,5.78,723671.0,6.195999999999999,,1.6564345359802246
2000-10-25,5.78,5.9079999999999995,5.78,5.9079999999999995,474036.0,5.960000000000001,,1.6587095260620117
2000-10-26,5.5,5.7,5.47,5.65,1098245.0,6.2159999999999975,,1.6609845161437988
2000-10-27,5.65,5.65,5.47,5.51,668766.0,5.9,,1.6632596254348755
