Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,,,,4.05,,,,0.8318718671798706,,,,,,
1999-03-23,,,,4.05,,,,1.0692927837371826,,,,,,
1999-03-24,,,,4.05,,,,1.4161587953567505,,,,,,
1999-03-25,,,,4.05,,,,1.8889029026031492,,,,,,
1999-03-26,4.05,4.05,4.05,4.05,800.0,,,2.2642087936401367,,,,,,
1999-03-29,4.05,4.05,4.05,4.0,800.0,,,2.551750898361206,,,,,,
1999-03-30,4.05,4.05,4.05,4.0,800.0,3.95,,2.772984981536865,4.035714285714286,,,,,
1999-03-31,4.05,4.05,4.05,4.0,800.0,3.95,,2.9661955833435063,4.0285714285714285,,,,,
1999-04-01,4.05,4.05,4.05,4.0,800.0,3.95,,3.127387523651123,4.021428571428571,,,,,
1999-04-06,4.05,4.05,4.05,4.0,800.0,3.95,,3.2646703720092773,4.014285714285715,,,,,
1999-04-07,4.0,4.0,4.0,4.0,700.0,3.95,,3.3837075233459477,4.007142857142858,,,,,
1999-04-08,4.0,4.0,4.0,4.0,700.0,4.0,,3.485054016113281,4.000000000000002,,,,,
1999-04-09,4.0,4.0,4.0,4.0,700.0,4.0,,3.5645437240600586,4.000000000000002,,,,,
1999-04-12,4.0,4.0,4.0,4.0,700.0,4.0,,3.6221537590026855,4.000000000000002,4.017857142857143,,,,
1999-04-13,4.0,4.0,4.0,4.0,700.0,4.0,,3.657958030700684,4.000000000000002,4.014285714285714,,,,
1999-04-14,4.0,4.0,4.0,4.0,700.0,4.0,,3.672288417816162,4.000000000000002,4.010714285714286,,,,
1999-04-15,4.0,4.0,4.0,4.0,700.0,4.0,,3.665394306182861,4.000000000000002,4.007142857142858,,,,
1999-04-16,4.0,4.0,4.0,4.0,700.0,4.0,,3.637543201446533,4.000000000000002,4.003571428571429,,,,
1999-04-19,4.0,4.0,4.0,4.0,700.0,4.0,,3.5891928672790527,4.000000000000002,4.000000000000001,,,,
1999-04-20,4.0,4.0,4.0,4.0,700.0,4.0,,3.52089786529541,4.000000000000002,4.000000000000001,,,,
1999-04-21,4.0,4.0,4.0,4.0,700.0,4.0,,3.4449057579040527,4.000000000000002,4.000000000000001,,,,
1999-04-22,4.0,4.0,4.0,4.0,900.0,4.0,,3.3921031951904297,4.000000000000002,4.000000000000001,,,,
1999-04-23,4.0,4.0,4.0,4.0,900.0,4.0,,3.408267974853516,4.000000000000002,4.000000000000001,,,,
1999-04-26,4.0,4.0,4.0,4.0,200.0,4.0,,3.4164395332336426,4.000000000000002,4.000000000000001,,,,
1999-04-27,4.0,4.0,4.0,4.0,1700.0,4.0,,3.4167404174804688,4.000000000000002,4.000000000000001,,,,
1999-04-28,4.0,4.0,4.0,4.0,1700.0,4.0,,3.409301280975342,4.000000000000002,4.000000000000001,,,,
1999-04-29,4.0,4.0,4.0,4.0,2860.0,4.0,,3.402038097381592,4.000000000000002,4.000000000000001,,,,
1999-04-30,4.0,4.0,4.0,4.0,200.0,4.0,,3.41644287109375,4.000000000000002,4.000000000000001,,,,
1999-05-03,4.15,4.15,4.15,4.15,1000.0,4.0,,3.4259052276611333,4.021428571428573,4.010714285714287,,,,
1999-05-04,4.0,4.0,4.0,4.0,500.0,4.300000000000002,,3.4305214881896973,4.021428571428573,4.010714285714287,4.013333333333334,,,
1999-05-05,4.0,4.0,4.0,4.0,500.0,4.0,,3.430385112762451,4.021428571428573,4.010714285714287,4.011666666666667,,,
1999-05-06,4.0,4.0,4.0,4.0,3000.0,4.0,,3.425592422485352,4.021428571428573,4.010714285714287,4.010000000000001,,,
1999-05-07,4.1,4.15,4.1,4.15,2000.0,4.0,,3.4162378311157227,4.0428571428571445,4.021428571428572,4.013333333333334,,,
1999-05-10,4.0,4.0,4.0,4.0,500.0,4.300000000000002,,3.4017539024353027,4.0428571428571445,4.021428571428572,4.011666666666668,,,
1999-05-11,4.0,4.0,4.0,4.0,500.0,3.85,,3.3798723220825195,4.0428571428571445,4.021428571428572,4.010000000000001,,,
1999-05-12,4.0,4.0,4.0,4.0,6700.0,4.0,,3.353389263153076,4.021428571428573,4.021428571428572,4.010000000000001,,,
1999-05-13,4.0,4.0,4.0,4.0,340.0,4.0,,3.330122947692871,4.021428571428573,4.021428571428572,4.010000000000001,,,
1999-05-14,3.95,4.0,3.95,4.0,2000.0,4.0,,3.3172383308410645,4.021428571428573,4.021428571428572,4.010000000000001,,,
1999-05-17,3.95,4.0,3.95,3.8,2000.0,3.85,,3.3009305000305176,3.9928571428571447,4.007142857142858,4.003333333333334,,,
1999-05-18,3.95,4.0,3.95,3.8,2000.0,3.6,,3.2812070846557617,3.9428571428571453,3.9928571428571433,3.9966666666666675,,,
1999-05-19,3.95,4.0,3.95,3.8,2000.0,3.6,,3.2580642700195312,3.914285714285717,3.9785714285714286,3.9900000000000007,,,
1999-05-20,3.88,3.88,3.88,3.88,7140.0,3.6,,3.231496334075928,3.8971428571428595,3.97,3.986,,,
1999-05-21,4.0,4.0,4.0,4.0,7860.0,3.76,,3.2014856338500977,3.8971428571428595,3.959285714285715,3.986,,,
1999-05-24,4.0,4.0,4.0,4.0,280.0,4.0,,3.1680092811584477,3.8971428571428595,3.959285714285715,3.986,,,
1999-05-25,3.9,3.9,3.9,3.9,10000.0,4.2,,3.131035804748535,3.882857142857145,3.9521428571428574,3.9826666666666672,,,
1999-05-26,4.0,4.0,4.0,4.0,500.0,4.0,,3.090526580810547,3.9114285714285733,3.9521428571428574,3.9826666666666672,,,
1999-05-27,4.0,4.0,4.0,3.8,500.0,4.2,,3.046433925628662,3.9114285714285733,3.9271428571428575,3.9760000000000004,,,
1999-05-28,3.8,3.8,3.8,3.8,500.0,3.72,,2.998701572418213,3.9114285714285733,3.912857142857143,3.9693333333333336,,,
1999-05-31,3.8,3.8,3.8,3.8,500.0,3.6,,2.9513216018676762,3.900000000000002,3.8985714285714286,3.962666666666667,,,
1999-06-01,3.8,3.8,3.8,3.8,500.0,3.6,,2.9032382965087886,3.8714285714285737,3.884285714285714,3.9560000000000004,,,
1999-06-02,3.8,3.8,3.8,3.8,12900.0,3.7,,2.8516764640808105,3.842857142857145,3.8699999999999997,3.9493333333333336,,,
1999-06-03,3.8,3.8,3.8,3.8,12900.0,3.6,,2.7965283393859863,3.8285714285714314,3.855714285714285,3.9426666666666668,,,
1999-06-04,3.8,3.8,3.8,3.8,12900.0,3.8,,2.73671293258667,3.800000000000003,3.855714285714285,3.936,,,
1999-06-07,3.8,3.8,3.8,3.8,1000.0,3.8,,2.6715517044067383,3.800000000000003,3.855714285714285,3.929333333333333,,,
1999-06-08,3.8,3.8,3.8,3.8,1000.0,3.8,,2.6221461296081543,3.800000000000003,3.855714285714285,3.9226666666666663,,,
1999-06-09,3.8,3.9,3.8,3.9,3200.0,3.8,,2.57694149017334,3.8142857142857167,3.8571428571428563,3.9193333333333333,,,
1999-06-10,3.9,3.9,3.9,3.9,400.0,4.0,,2.529723882675171,3.8285714285714305,3.8499999999999988,3.916,,,
1999-06-11,3.9,3.9,3.9,3.9,400.0,4.0,,2.480686664581299,3.8428571428571447,3.8428571428571416,3.912666666666667,,,
1999-06-15,3.9,3.9,3.9,3.9,400.0,4.0,,2.428118705749512,3.8571428571428585,3.8428571428571416,3.9043333333333337,,,
1999-06-16,3.9,3.9,3.9,3.9,400.0,4.0,,2.3703651428222656,3.8714285714285728,3.8357142857142845,3.9010000000000007,3.95716666666667,,
1999-06-17,3.9,3.9,3.9,3.9,400.0,4.0,,2.278484344482422,3.8857142857142866,3.8428571428571416,3.8976666666666673,3.9546666666666694,,
1999-06-18,3.9,3.9,3.9,3.9,400.0,3.9,,2.185309648513794,3.900000000000001,3.8499999999999988,3.8943333333333343,3.9521666666666695,,
1999-06-21,3.9,3.9,3.9,3.9,400.0,3.9,,2.0910465717315674,3.900000000000001,3.8571428571428563,3.886000000000001,3.9496666666666695,,
1999-06-22,3.9,3.9,3.9,3.9,400.0,3.9,,1.9786950349807741,3.900000000000001,3.8642857142857134,3.8826666666666676,3.947166666666669,,
1999-06-23,3.9,3.9,3.9,3.9,400.0,3.9,,1.8564683198928835,3.900000000000001,3.8714285714285706,3.8793333333333346,3.944666666666669,,
1999-06-24,3.9,3.9,3.9,3.9,400.0,3.9,,1.7360185384750366,3.900000000000001,3.8785714285714277,3.8760000000000017,3.9430000000000027,,
1999-06-25,3.9,3.9,3.9,3.9,400.0,3.9,,1.6176847219467163,3.900000000000001,3.8857142857142852,3.8726666666666683,3.941333333333336,,
1999-06-28,3.9,3.9,3.9,3.9,400.0,3.9,,1.4921565055847168,3.900000000000001,3.8928571428571423,3.8693333333333353,3.9396666666666693,,
1999-06-29,3.9,3.9,3.9,3.9,400.0,3.9,,1.3763000965118408,3.900000000000001,3.8999999999999995,3.8726666666666687,3.938000000000003,,
1999-06-30,3.9,3.9,3.9,3.9,400.0,3.9,,1.278538703918457,3.900000000000001,3.8999999999999995,3.8760000000000026,3.9363333333333363,,
1999-07-01,3.9,3.9,3.8,3.8,2000.0,3.9,,1.1888563632965088,3.8857142857142866,3.8928571428571423,3.8760000000000026,3.933000000000003,,
1999-07-02,3.9,3.9,3.8,3.8,2000.0,3.7,,1.1618022918701172,3.8714285714285728,3.8857142857142852,3.8733333333333357,3.92966666666667,,
1999-07-05,3.9,3.9,3.8,3.8,2000.0,3.7,,1.1400974988937378,3.8571428571428585,3.8785714285714277,3.866666666666669,3.926333333333337,,
