Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2016-04-29,2.87,2.98,2.84,2.95,,,,0.3589977622032165,,,,,,
2016-05-02,2.93,3.01,2.92,2.99,,,,0.4829177856445313,,,,,,
2016-05-03,2.99,3.0,2.94,2.95,,,,0.6386021375656128,,,,,,
2016-05-04,2.92,2.94,2.86,2.92,,,,0.8294273018836975,,,,,,
2016-05-05,2.93,2.93,2.86,2.86,,,,1.0584558248519895,,,,,,
2016-05-06,2.86,2.9,2.85,2.88,,,,1.3281863927841189,,,,,,
2016-05-09,2.86,2.89,2.86,2.87,,2.81,,1.6232997179031372,2.9171428571428573,,,,,
2016-05-10,2.88,2.89,2.86,2.87,,2.75,,1.8909032344818115,2.905714285714286,,,,,
2016-05-11,2.87,2.9,2.855,2.88,,2.79,,2.1062631607055664,2.8900000000000006,,,,,
2016-05-12,2.87,2.9,2.85,2.88,,2.84,,2.3189659118652344,2.8800000000000003,,,,,
2016-05-13,2.88,2.9,2.86,2.86,,2.9,,2.474926233291626,2.8714285714285714,,,,,
2016-05-16,2.88,2.88,2.84,2.86,,2.84,,2.604271411895752,2.8714285714285714,,,,,
2016-05-17,2.85,2.9,2.85,2.87,,2.85,,2.7146778106689453,2.8700000000000006,,,,,
2016-05-18,2.87,2.88,2.85,2.86,,2.87,,2.8040876388549805,2.8685714285714288,2.892857142857143,,,,
2016-05-19,2.86,2.96,2.85,2.93,,2.84,,2.8680999279022217,2.8771428571428572,2.891428571428571,,,,
2016-05-20,2.96,2.98,2.93,2.95,,2.9800000000000004,,2.91127347946167,2.8871428571428575,2.8885714285714283,,,,
2016-05-23,2.93,2.96,2.9,2.93,,3.0400000000000005,,2.9330945014953613,2.8942857142857146,2.8871428571428566,,,,
2016-05-24,2.94,2.99,2.88,2.99,,3.0000000000000004,,2.9516055583953857,2.912857142857143,2.892142857142857,,,,
2016-05-25,3.0,3.16,2.98,3.12,,3.1100000000000003,,2.959017038345337,2.95,2.910714285714285,,,,
2016-05-26,3.1,3.22,3.09,3.17,,3.3800000000000003,,2.9482309818267822,2.992857142857143,2.931428571428571,,,,
2016-05-27,3.13,3.18,3.09,3.11,,3.41,,2.9192795753479004,3.0285714285714285,2.948571428571428,,,,
2016-05-30,3.11,3.18,3.1,3.14,,3.27,,2.8723316192626958,3.0585714285714287,2.9678571428571425,,,,
2016-05-31,3.13,3.14,3.07,3.13,,3.35,,2.8076963424682617,3.084285714285714,2.9857142857142853,,,,
2016-06-01,3.1,3.12,3.07,3.1,,3.27,,2.73916244506836,3.108571428571429,3.0014285714285713,,,,
2016-06-02,3.12,3.12,3.05,3.05,,3.08,3.1100000000000003,2.686520576477051,3.117142857142857,3.0149999999999997,,,,
2016-06-03,3.06,3.07,3.01,3.04,,2.93,3.075,2.634276390075684,3.1057142857142854,3.0278571428571426,,,,
2016-06-06,3.03,3.1,3.02,3.03,,2.97,3.048,2.653902769088745,3.085714285714286,3.039285714285714,,,,
2016-06-07,3.05,3.07,3.03,3.06,,2.9199999999999995,3.037,2.671757936477661,3.0785714285714287,3.0535714285714284,,,,
2016-06-08,3.12,3.15,3.11,3.13,,2.99,3.05,2.684295654296875,3.077142857142857,3.067857142857143,,,,
2016-06-09,3.12,3.18,3.12,3.16,,3.16,3.099,2.691542387008667,3.0814285714285714,3.0828571428571427,2.9846666666666666,,,
