Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2015-05-18,2.13,2.22,2.01,2.05,,,
2015-05-19,2.17,2.34,2.16,2.33,,,
2015-05-20,2.35,2.37,2.25,2.36,,,
2015-05-21,2.35,2.45,2.34,2.37,,,
2015-05-22,2.36,2.39,2.3,2.31,,,
2015-05-25,2.3,2.345,2.29,2.32,,,
2015-05-26,2.32,2.33,2.3,2.3,,2.59,
2015-05-27,2.26,2.28,2.24,2.25,,2.27,
2015-05-28,2.2,2.21,2.17,2.18,,2.14,
2015-05-29,2.13,2.2,2.13,2.19,,1.99,
2015-06-01,2.16,2.18,2.15,2.16,,2.07,
2015-06-02,2.17,2.19,2.14,2.14,,2.0000000000000004,
2015-06-03,2.15,2.17,2.14,2.15,,1.9800000000000004,
2015-06-04,2.14,2.17,2.14,2.15,,2.05,
2015-06-05,2.14,2.15,2.12,2.14,,2.12,
2015-06-09,2.09,2.11,2.08,2.09,,2.0900000000000003,
2015-06-10,2.09,2.12,2.08,2.1,,2.02,
2015-06-11,2.12,2.14,2.11,2.13,,2.06,
2015-06-12,2.1,2.11,2.1,2.1,,2.11,
2015-06-15,2.07,2.1,2.07,2.08,,2.0500000000000003,
2015-06-16,2.06,2.09,2.06,2.08,,2.02,
2015-06-17,2.07,2.08,2.06,2.08,,2.0700000000000003,
2015-06-18,2.05,2.065,2.02,2.03,,2.06,
2015-06-19,2.01,2.02,1.96,1.96,,1.93,
2015-06-22,1.92,1.925,1.87,1.89,,1.82,
2015-06-23,1.85,1.905,1.85,1.895,,1.6999999999999995,
2015-06-24,1.9,1.975,1.9,1.94,,1.71,
2015-06-25,1.93,1.942,1.92,1.93,,1.7999999999999998,
2015-06-26,1.89,1.895,1.825,1.825,,1.83,
2015-06-29,1.8,1.8,1.73,1.74,,1.69,
2015-06-30,1.725,1.8,1.725,1.79,,1.59,
2015-07-01,1.78,1.81,1.77,1.805,,1.685,
2015-07-02,1.805,1.84,1.795,1.825,,1.67,
2015-07-03,1.805,1.81,1.775,1.79,,1.72,
2015-07-06,1.77,1.79,1.755,1.78,,1.755,
2015-07-07,1.78,1.857,1.77,1.815,,1.82,
2015-07-08,1.755,1.7819999999999998,1.725,1.725,,1.84,1.7995
2015-07-09,1.7,1.79,1.69,1.755,,1.6450000000000002,1.7584999999999997
2015-07-10,1.79,1.82,1.775,1.78,,1.6849999999999998,1.7579999999999998
2015-07-13,1.75,1.76,1.705,1.705,,1.77,1.7754999999999999
2015-07-14,1.735,1.76,1.71,1.76,,1.63,1.7399999999999998
2015-07-15,1.74,1.805,1.74,1.77,,1.705,1.7420000000000002
2015-07-16,1.76,1.795,1.755,1.775,,1.815,1.7634999999999998
2015-07-17,1.765,1.835,1.76,1.825,,1.795,1.766
2015-07-20,1.82,1.84,1.8,1.835,,1.87,1.8039999999999998
2015-07-21,1.81,1.835,1.775,1.825,,1.965,1.8204999999999998
2015-07-22,1.79,1.825,1.7719999999999998,1.785,,1.89,1.8259999999999998
2015-07-23,1.74,1.745,1.72,1.725,,1.7999999999999998,1.8049999999999997
2015-07-24,1.75,1.79,1.75,1.775,,1.6750000000000005,1.7369999999999997
2015-07-27,1.75,1.765,1.74,1.76,,1.725,1.766
2015-07-28,1.74,1.767,1.74,1.74,,1.685,1.764
2015-07-29,1.765,1.795,1.755,1.78,,1.655,1.7420000000000002
2015-07-30,1.79,1.825,1.79,1.8,,1.775,1.768
2015-07-31,1.785,1.795,1.767,1.785,,1.875,1.786
