Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2014-06-25,3.21,3.21,3.075,3.08,,,,0.5823376774787903
2014-06-26,3.1,3.15,3.07,3.15,,,,0.7349462509155273
2014-06-27,3.17,3.25,3.15,3.25,,,,0.9537822604179382
2014-06-30,3.24,3.25,3.2,3.2,,,,1.2561044692993164
2014-07-01,3.2,3.22,3.16,3.17,,,,1.6614054441452026
2014-07-02,3.19,3.205,3.16,3.19,,,,2.1529088020324707
2014-07-03,3.19,3.2,3.17,3.17,,3.3,,2.5590453147888184
2014-07-04,3.15,3.16,3.13,3.15,,3.19,,2.8578810691833496
2014-07-07,3.15,3.21,3.13,3.2,,3.05,,3.07956600189209
2014-07-08,3.17,3.22,3.17,3.2,,3.2,,3.2583975791931152
2014-07-09,3.2,3.25,3.2,3.21,,3.2300000000000004,,3.4080562591552734
2014-07-10,3.22,3.33,3.22,3.32,,3.23,,3.5316686630249023
2014-07-11,3.31,3.39,3.31,3.34,,3.47,,3.627533435821533
2014-07-14,3.36,3.4,3.35,3.4,,3.53,,3.6967692375183105
2014-07-15,3.42,3.42,3.385,3.42,,3.6,,3.739020824432373
2014-07-16,3.44,3.47,3.43,3.45,,3.64,,3.7534232139587402
2014-07-17,3.46,3.46,3.38,3.4,,3.69,,3.7403440475463867
2014-07-18,3.34,3.39,3.33,3.33,,3.48,,3.743880271911621
2014-07-21,3.34,3.39,3.34,3.38,,3.3200000000000003,,3.7487707138061523
2014-07-22,3.4,3.41,3.35,3.35,,3.36,,3.733222484588623
2014-07-23,3.39,3.42,3.36,3.4,,3.28,,3.6979799270629883
2014-07-24,3.38,3.41,3.38,3.4,,3.35,,3.6479172706604004
2014-07-25,3.38,3.4,3.36,3.37,,3.4,,3.62186336517334
2014-07-28,3.37,3.39,3.35,3.37,,3.41,,3.581231117248535
2014-07-29,3.35,3.39,3.345,3.39,,3.3600000000000003,,3.5723342895507812
2014-07-30,3.4,3.44,3.39,3.41,,3.43,,3.5631580352783203
2014-07-31,3.4,3.47,3.39,3.4,,3.4200000000000004,,3.5642027854919434
2014-08-01,3.34,3.37,3.33,3.33,,3.4,,3.5901083946228027
2014-08-04,3.32,3.42,3.32,3.39,,3.29,,3.610218048095703
2014-08-05,3.39,3.4,3.37,3.39,,3.41,,3.6245570182800293
2014-08-06,3.38,3.395,3.35,3.36,,3.39,,3.633152961730957
2014-08-07,3.36,3.38,3.34,3.37,,3.31,,3.6360368728637695
2014-08-08,3.34,3.36,3.27,3.3,,3.3400000000000003,,3.6332406997680664
2014-08-11,3.37,3.37,3.32,3.36,,3.27,,3.6247992515563965
2014-08-12,3.38,3.41,3.375,3.4,,3.33,,3.623781204223633
2014-08-13,3.39,3.44,3.39,3.44,,3.41,,3.626157283782959
2014-08-14,3.42,3.475,3.41,3.47,,3.52,,3.6233973503112793
2014-08-15,3.47,3.5,3.47,3.5,,3.5700000000000003,,3.615471839904785
2014-08-18,3.5,3.5,3.47,3.48,,3.7,,3.6023507118225098
2014-08-19,3.52,3.53,3.49,3.53,,3.6,,3.584007740020752
2014-08-20,3.51,3.51,3.47,3.49,,3.66,,3.5604166984558105
2014-08-21,3.59,3.59,3.47,3.55,,3.5400000000000005,,3.5417404174804688
2014-08-22,3.57,3.575,3.51,3.56,,3.63,,3.5504260063171387
2014-08-25,3.54,3.56,3.49,3.55,,3.62,,3.555683135986328
2014-08-26,3.51,3.55,3.455,3.47,,3.62,,3.5574951171875
2014-08-27,3.48,3.48,3.42,3.45,,3.4100000000000006,,3.566910743713379
2014-08-28,3.4,3.44,3.4,3.41,,3.41,,3.5820322036743164
2014-08-29,3.45,3.46,3.42,3.43,,3.2700000000000005,,3.5945706367492676
2014-09-01,3.49,3.515,3.46,3.49,,3.3000000000000003,3.426,3.604513645172119
2014-09-02,3.51,3.53,3.48,3.5,,3.4300000000000006,3.47,3.6118478775024414
2014-09-03,3.53,3.56,3.5,3.54,,3.53,3.49,3.616560459136963
2014-09-04,3.53,3.53,3.47,3.49,,3.63,3.536,3.618643283843994
2014-09-05,3.51,3.555,3.49,3.5,,3.5700000000000003,3.505000000000001,3.6180872917175293
2014-09-08,3.52,3.54,3.47,3.47,,3.57,3.5000000000000013,3.6148834228515625
2014-09-09,3.49,3.54,3.49,3.54,,3.45,3.4730000000000003,3.6090264320373535
2014-09-10,3.43,3.46,3.43,3.43,,3.58,3.508,3.6005120277404785
2014-09-11,3.43,3.44,3.36,3.37,,3.3200000000000003,3.4450000000000003,3.596883773803711
2014-09-12,3.32,3.39,3.31,3.39,,3.25,3.41,3.594083786010742
2014-09-15,3.33,3.345,3.28,3.28,,3.28,3.3920000000000003,3.5889854431152344
2014-09-16,3.25,3.32,3.25,3.3,,3.0899999999999994,3.3480000000000003,3.5815796852111816
2014-09-17,3.28,3.34,3.27,3.31,,3.06,3.313,3.5718626976013184
2014-09-18,3.34,3.36,3.29,3.34,,3.19,3.3169999999999997,3.5683698654174805
2014-09-19,3.34,3.38,3.3,3.38,,3.31,3.325,3.5641226768493652
2014-09-22,3.35,3.37,3.32,3.36,,3.37,3.372,3.557626247406006
2014-09-23,3.39,3.39,3.33,3.35,,3.44,3.364,3.5428385734558105
2014-09-24,3.29,3.33,3.29,3.29,,3.4000000000000004,3.353,3.5259509086608887
2014-09-25,3.29,3.35,3.25,3.35,,3.27,3.3220000000000005,3.505074977874756
2014-09-26,3.31,3.325,3.29,3.3,,3.3600000000000003,3.3440000000000003,3.4509057998657227
2014-09-29,3.3,3.33,3.275,3.31,,3.22,3.3300000000000005,3.445977210998535
2014-09-30,3.3,3.315,3.27,3.28,,3.26,3.313,3.441035747528076
2014-10-01,3.25,3.395,3.245,3.38,,3.2099999999999995,3.288,3.4342522621154785
2014-10-02,3.33,3.36,3.3,3.32,,3.47,3.3179999999999987,3.4491615295410156
2014-10-03,3.29,3.36,3.29,3.33,,3.29,3.321,3.4630680084228516
2014-10-07,3.37,3.37,3.27,3.35,,3.3600000000000003,3.3289999999999997,3.475759983062744
2014-10-08,3.3,3.34,3.295,3.33,,3.39,3.3430000000000013,3.4872279167175293
2014-10-09,3.35,3.395,3.34,3.38,,3.3800000000000003,3.333,3.4974684715270996
2014-10-10,3.28,3.36,3.28,3.33,,3.38,3.369,3.50775146484375
2014-10-13,3.31,3.35,3.27,3.3,,3.3400000000000003,3.345,3.525467872619629
2014-10-14,3.28,3.35,3.27,3.35,,3.27,3.3169999999999997,3.542285919189453
2014-10-15,3.29,3.325,3.28,3.29,,3.35,3.3360000000000007,3.556821346282959
2014-10-16,3.27,3.365,3.26,3.35,,3.25,3.3089999999999997,3.5625834465026855
2014-10-17,3.36,3.39,3.34,3.34,,3.3200000000000003,3.3390000000000013,3.567295551300049
2014-10-20,3.37,3.39,3.34,3.35,,3.35,3.339,3.5709590911865234
2014-10-21,3.37,3.38,3.32,3.32,,3.4000000000000004,3.342,3.5735769271850586
2014-10-22,3.35,3.39,3.345,3.37,,3.29,3.3290000000000006,3.575150489807129
2014-10-23,3.37,3.44,3.37,3.41,,3.45,3.34,3.575683116912842
2014-10-24,3.42,3.43,3.36,3.36,,3.47,3.3930000000000002,3.5751781463623047
2014-10-27,3.4,3.44,3.395,3.44,,3.38,3.385,3.573638916015625
2014-10-28,3.43,3.455,3.41,3.41,,3.53,3.431,3.571070671081543
2014-10-29,3.45,3.46,3.415,3.43,,3.5000000000000004,3.4220000000000006,3.5845818519592285
2014-10-30,3.45,3.49,3.42,3.49,,3.49,3.426,3.6043248176574707
2014-10-31,3.53,3.595,3.51,3.54,,3.5700000000000003,3.471000000000001,3.6235828399658203
2014-11-03,3.52,3.54,3.52,3.54,,3.72,3.514,3.6423511505126953
2014-11-04,3.52,3.57,3.51,3.57,,3.64,3.54,3.660627841949463
2014-11-05,3.52,3.63,3.52,3.62,,3.73,3.5610000000000004,3.678410530090332
2014-11-06,3.62,3.65,3.61,3.61,,3.81,3.584,3.6956939697265625
2014-11-07,3.63,3.66,3.56,3.56,,3.73,3.597,3.7124781608581543
2014-11-10,3.56,3.58,3.51,3.55,,3.58,3.5780000000000003,3.7287583351135254
2014-11-11,3.55,3.58,3.54,3.56,,3.56,3.563,3.7445321083068848
2014-11-12,3.55,3.55,3.49,3.51,,3.5500000000000003,3.5609999999999986,3.7597975730895996
2014-11-13,3.5,3.51,3.45,3.48,,3.3999999999999995,3.5399999999999987,3.7745509147644043
2014-11-14,3.48,3.49,3.44,3.46,,3.35,3.511,3.788792133331299
2014-11-17,3.46,3.48,3.43,3.44,,3.36,3.492,3.8025174140930176
2014-11-18,3.44,3.45,3.4,3.43,,3.33,3.4520000000000004,3.8157243728637695
2014-11-19,3.43,3.45,3.38,3.42,,3.3000000000000003,3.4330000000000003,3.8284130096435547
2014-11-20,3.43,3.48,3.425,3.45,,3.33,3.4220000000000006,3.840578556060791
2014-11-21,3.47,3.48,3.41,3.44,,3.4200000000000004,3.4419999999999997,3.852221965789795
2014-11-24,3.48,3.48,3.44,3.46,,3.42,3.438,3.863339900970459
2014-11-25,3.42,3.46,3.4,3.41,,3.48,3.457,3.873932361602783
2014-11-26,3.43,3.49,3.43,3.45,,3.39,3.432,3.88399600982666
2014-11-27,3.46,3.52,3.45,3.46,,3.4800000000000004,3.4330000000000003,3.8935298919677734
2014-11-28,3.46,3.49,3.46,3.47,,3.47,3.4510000000000005,3.9025344848632812
2014-12-01,3.49,3.53,3.48,3.5,,3.5000000000000004,3.465,3.9286046028137207
2014-12-02,3.48,3.59,3.48,3.56,,3.54,3.491,3.954503059387207
2014-12-03,3.55,3.63,3.55,3.62,,3.71,3.5389999999999997,3.9801721572875977
2014-12-04,3.63,3.64,3.55,3.57,,3.79,3.59,4.005605697631836
2014-12-05,3.59,3.61,3.53,3.54,,3.68,3.5729999999999995,4.030801296234131
2014-12-08,3.56,3.59,3.49,3.49,,3.61,3.551,4.055752754211426
2014-12-09,3.51,3.54,3.43,3.43,,3.4800000000000004,3.5050000000000003,4.0804572105407715
2014-12-10,3.4,3.49,3.39,3.49,,3.3000000000000003,3.4810000000000003,4.104910373687744
2014-12-11,3.45,3.51,3.42,3.47,,3.3600000000000003,3.483000000000001,4.1291069984436035
2014-12-12,3.45,3.56,3.45,3.52,,3.370000000000001,3.472,4.153044700622559
2014-12-15,3.52,3.55,3.48,3.54,,3.5,3.51,4.176718235015869
2014-12-16,3.52,3.55,3.5,3.54,,3.59,3.534,4.200123310089111
2014-12-17,3.55,3.59,3.54,3.55,,3.65,3.54,4.223255634307861
2014-12-18,3.53,3.59,3.48,3.49,,3.61,3.5450000000000004,4.246111869812012
2014-12-19,3.52,3.6,3.48,3.55,,3.51,3.511000000000001,4.268686771392822
2014-12-22,3.58,3.65,3.58,3.65,,3.58,3.532,4.2909770011901855
2014-12-23,3.65,3.69,3.59,3.59,,3.76,3.6039999999999988,4.312978267669678
2014-12-24,3.6,3.61,3.56,3.61,,3.64,3.5980000000000003,4.334685802459717
2014-12-29,3.64,3.72,3.56,3.64,,3.67,3.608,4.356095314025879
2014-12-30,3.67,3.67,3.58,3.61,,3.79,3.625,4.377204418182373
2014-12-31,3.58,3.61,3.49,3.5,,3.67,3.613,4.398006916046143
2015-01-02,3.51,3.57,3.5,3.53,,3.35,3.511,4.418498516082764
2015-01-05,3.52,3.58,3.51,3.57,,3.47,3.5210000000000012,4.4386773109436035
2015-01-06,3.54,3.57,3.465,3.49,,3.53,3.552,4.458536148071289
2015-01-07,3.51,3.58,3.49,3.58,,3.3400000000000003,3.5200000000000005,4.4780731201171875
2015-01-08,3.59,3.61,3.55,3.61,,3.5500000000000003,3.5769999999999995,4.497429847717285
2015-01-09,3.64,3.67,3.6,3.65,,3.72,3.593,4.516456127166748
2015-01-12,3.66,3.68,3.62,3.67,,3.77,3.619,4.535146236419678
2015-01-13,3.64,3.7,3.635,3.67,,3.77,3.644,4.553493022918701
2015-01-14,3.67,3.7,3.645,3.69,,3.85,3.662,4.5714945793151855
2015-01-15,3.7,3.74,3.685,3.71,,3.8,3.672,4.589145183563232
2015-01-16,3.71,3.75,3.7,3.75,,3.81,3.684,4.606441497802734
2015-01-19,3.77,3.77,3.67,3.7,,3.85,3.738,4.623378753662109
2015-01-20,3.66,3.69,3.63,3.64,,3.73,3.705000000000001,4.639952182769775
2015-01-21,3.68,3.76,3.675,3.76,,3.61,3.658,4.656158924102783
2015-01-22,3.75,3.77,3.71,3.71,,3.83,3.7299999999999986,4.671993255615234
2015-01-23,3.79,3.875,3.76,3.86,,3.71,3.7230000000000003,4.68745231628418
2015-01-27,3.85,3.9,3.84,3.89,,3.97,3.81,4.7025299072265625
2015-01-28,3.85,3.9,3.83,3.83,,4.08,3.884,4.717222690582275
2015-01-29,3.8,3.88,3.79,3.85,,4.02,3.863,4.731528282165527
2015-01-30,3.9,3.92,3.8,3.8,,3.94,3.848,4.745439529418945
2015-02-02,3.85,3.93,3.85,3.85,,3.89,3.82,4.75895357131958
2015-02-03,3.84,3.91,3.78,3.88,,3.84,3.8400000000000007,4.77206563949585
2015-02-04,3.97,3.97,3.88,3.92,,3.87,3.863,4.784771919250488
2015-02-05,3.93,3.99,3.91,3.94,,4.01,3.897,4.797068119049072
2015-02-06,3.92,3.98,3.88,3.95,,4.029999999999999,3.917,4.808949947357178
2015-02-09,3.9,3.95,3.86,3.95,,4.1000000000000005,3.9290000000000007,4.820413112640381
2015-02-10,3.94,3.97,3.89,3.96,,4.050000000000002,3.947000000000001,4.831452369689941
2015-02-11,3.89,3.95,3.875,3.88,,4.04,3.9570000000000007,4.842065811157227
2015-02-12,3.93,3.94,3.86,3.86,,3.84,3.9019999999999997,4.8522467613220215
2015-02-13,3.9,3.93,3.85,3.86,,3.78,3.888,4.861992359161377
2015-02-16,3.82,3.84,3.77,3.79,,3.77,3.862,4.871297836303711
2015-02-17,3.75,3.78,3.71,3.78,,3.63,3.818,4.880158424377441
2015-02-18,3.8,3.84,3.72,3.8,,3.6,3.788,4.888571262359619
2015-02-19,3.8,3.81,3.75,3.78,,3.72,3.802,4.896530628204346
2015-02-20,3.78,3.8,3.73,3.74,,3.7,3.796,4.9040327072143555
2015-02-23,3.73,3.8,3.71,3.79,,3.620000000000001,3.770000000000001,4.911074161529541
2015-02-24,3.81,3.83,3.76,3.77,,3.79,3.787,4.917649269104004
2015-02-25,3.77,3.89,3.77,3.87,,3.76,3.7720000000000007,4.923754692077637
2015-02-26,3.83,3.88,3.83,3.85,,3.94,3.822000000000001,4.929386615753174
2015-02-27,3.88,3.89,3.84,3.86,,3.92,3.8360000000000007,4.934539318084717
2015-03-02,3.85,3.935,3.85,3.9,,3.98,3.847,4.939209461212158
2015-03-03,3.98,4.0,3.885,3.93,,4.01,3.8819999999999997,4.943393230438232
2015-03-04,3.96,3.96,3.89,3.91,,4.09,3.913,4.947086334228516
2015-03-05,3.91,3.93,3.84,3.93,,3.95,3.909,4.950282573699951
2015-03-06,3.94,3.94,3.88,3.93,,4.01,3.921,4.952980041503906
2015-03-09,3.85,3.86,3.775,3.79,,4.0,3.924,4.955173015594482
2015-03-10,3.78,3.84,3.74,3.82,,3.68,3.818,4.956857681274414
2015-03-11,3.8,3.89,3.79,3.87,,3.71,3.819,4.9580302238464355
2015-03-12,3.89,3.93,3.86,3.92,,3.83,3.8330000000000006,4.958686351776123
2015-03-13,3.92,3.93,3.88,3.91,,3.91,3.9019999999999997,4.958820819854736
2015-03-16,3.85,3.87,3.82,3.86,,3.89,3.897,4.958431243896484
2015-03-17,3.88,3.9,3.82,3.82,,3.93,3.8760000000000003,4.9575114250183105
2015-03-18,3.78,3.815,3.75,3.79,,3.82,3.8489999999999993,4.956057071685791
2015-03-19,3.81,3.88,3.81,3.88,,3.71,3.807,4.954065799713135
2015-03-20,3.88,3.93,3.85,3.93,,3.84,3.858,4.951531410217285
2015-03-23,3.9,3.93,3.85,3.9,,3.95,3.8989999999999996,4.948451519012451
2015-03-24,3.88,3.97,3.86,3.94,,3.94,3.891,4.944821357727051
2015-03-25,3.98,3.98,3.895,3.9,,4.0600000000000005,3.929,4.9406352043151855
