Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2016-07-13,3.35,3.41,3.32,3.35,,,,0.2934918701648712
2016-07-14,3.26,3.37,3.24,3.32,,,,0.4240782856941223
2016-07-15,3.34,3.36,3.33,3.35,,,,0.5950428247451782
2016-07-18,3.35,3.35,3.3,3.34,,,,0.8131150007247925
2016-07-19,3.31,3.32,3.27,3.29,,,,1.0847156047821045
2016-07-20,3.28,3.34,3.28,3.31,,,,1.4154973030090332
2016-07-21,3.34,3.4,3.315,3.4,,3.27,,1.804591178894043
2016-07-22,3.38,3.39,3.36,3.39,,3.48,,2.2032737731933594
2016-07-25,3.37,3.4,3.35,3.37,,3.43,,2.5179946422576904
2016-07-26,3.38,3.41,3.37,3.41,,3.4000000000000004,,2.7994134426116943
2016-07-27,3.39,3.49,3.375,3.41,,3.53,,3.03349232673645
2016-07-28,3.43,3.47,3.42,3.47,,3.51,,3.2241268157958984
2016-07-29,3.45,3.47,3.41,3.45,,3.5400000000000005,,3.3839330673217773
2016-08-01,3.45,3.45,3.37,3.42,,3.51,,3.5147671699523926
2016-08-02,3.43,3.48,3.43,3.46,,3.47,,3.6135506629943848
2016-08-03,3.45,3.45,3.42,3.43,,3.51,,3.671339511871338
2016-08-04,3.43,3.46,3.43,3.45,,3.45,,3.683614730834961
2016-08-05,3.45,3.47,3.45,3.45,,3.43,,3.6662824153900146
2016-08-08,3.45,3.47,3.43,3.45,,3.45,,3.6199324131011963
2016-08-09,3.47,3.47,3.41,3.45,,3.4800000000000004,,3.5457544326782227
2016-08-10,3.46,3.46,3.42,3.45,,3.4400000000000004,,3.473618745803833
2016-08-11,3.45,3.45,3.4,3.43,,3.47,,3.4567248821258545
2016-08-12,3.45,3.45,3.42,3.42,,3.41,3.4339999999999997,3.4221551418304443
2016-08-15,3.43,3.45,3.4,3.43,,3.39,3.4240000000000004,3.4542415142059326
2016-08-16,3.41,3.47,3.4,3.47,,3.41,3.428,3.5114197731018066
2016-08-17,3.48,3.48,3.4,3.44,,3.49,3.45,3.560253620147705
2016-08-18,3.46,3.46,3.43,3.46,,3.43,3.4450000000000003,3.600615978240967
2016-08-19,3.46,3.46,3.44,3.46,,3.49,3.4510000000000005,3.632412910461426
2016-08-22,3.46,3.49,3.44,3.49,,3.5,3.4610000000000007,3.655580759048462
2016-08-23,3.49,3.49,3.47,3.48,,3.5500000000000003,3.4780000000000006,3.670091390609741
2016-08-24,3.49,3.49,3.47,3.49,,3.49,3.478,3.6929616928100586
2016-08-25,3.49,3.49,3.47,3.48,,3.5400000000000005,3.4860000000000007,3.731144666671753
2016-08-26,3.48,3.49,3.47,3.49,,3.5,3.4819999999999998,3.7810781002044678
2016-08-29,3.49,3.75,3.47,3.6,,3.5200000000000005,3.4880000000000013,3.826083183288574
2016-08-30,3.65,3.73,3.63,3.68,,3.71,3.5550000000000006,3.866048574447632
2016-08-31,3.69,3.69,3.62,3.67,,3.88,3.656,3.9008660316467285
2016-09-01,3.67,3.7,3.65,3.69,,3.85,3.659,3.9304327964782715
2016-09-02,3.69,3.7,3.61,3.69,,3.9,3.6750000000000007,3.9546499252319336
2016-09-05,3.65,3.79,3.64,3.75,,3.89,3.6860000000000013,3.9734244346618652
2016-09-06,3.75,3.76,3.72,3.76,,3.9,3.73,3.9866697788238525
2016-09-07,3.77,3.86,3.73,3.75,,3.84,3.749,3.9943032264709473
2016-09-08,3.78,3.795,3.71,3.76,,3.83,3.7539999999999996,3.995746612548828
2016-09-09,3.77,3.8,3.72,3.8,,3.83,3.759999999999999,3.9987587928771973
2016-09-12,3.76,3.9,3.75,3.88,,3.91,3.78,4.010801315307617
2016-09-13,3.82,3.88,3.65,3.83,,4.01,3.84,4.018691062927246
2016-09-14,3.84,3.85,3.71,3.77,,3.9,3.83,4.046389579772949
2016-09-15,3.78,3.79,3.72,3.76,,3.79,3.7760000000000007,4.075772762298584
2016-09-16,3.71,3.75,3.67,3.67,,3.76,3.765,4.105958461761475
2016-09-19,3.64,3.74,3.64,3.64,,3.54,3.688000000000001,4.137516975402832
2016-09-20,3.7,3.75,3.69,3.75,,3.4000000000000004,3.658,4.167603969573975
2016-09-21,3.75,4.01,3.7,3.93,,3.67,3.74,4.195486068725586
2016-09-22,3.94,3.94,3.8,3.83,,4.09,3.912,4.221156597137451
2016-09-23,3.83,3.89,3.83,3.85,,3.9,3.86,4.2446088790893555
2016-09-26,3.8,3.86,3.72,3.85,,4.03,3.85,4.2639946937561035
2016-09-27,3.8,3.8,3.75,3.79,,4.0600000000000005,3.850000000000001,4.2805633544921875
2016-09-28,3.77,3.85,3.75,3.83,,3.83,3.820000000000001,4.294912815093994
2016-09-29,3.81,3.85,3.75,3.8,,3.73,3.828,4.307044506072998
2016-09-30,3.8,3.8,3.76,3.8,,3.77,3.82,4.31696081161499
2016-10-03,3.8,3.86,3.8,3.84,,3.75,3.803,4.324665069580078
2016-10-04,3.86,3.86,3.76,3.77,,3.83,3.819,4.330160140991211
2016-10-05,3.77,3.77,3.73,3.75,,3.75,3.7760000000000007,4.333450794219971
2016-10-06,3.75,3.84,3.75,3.76,,3.67,3.7680000000000002,4.334541320800781
2016-10-07,3.79,3.83,3.75,3.8,,3.72,3.7619999999999987,4.333436489105225
2016-10-10,3.77,3.81,3.77,3.77,,3.8,3.792,4.330142974853516
2016-10-11,3.8,3.81,3.77,3.77,,3.7,3.7760000000000002,4.324667930603027
2016-10-12,3.77,3.92,3.72,3.84,,3.77,3.770000000000001,4.317017078399658
2016-10-13,3.86,3.91,3.75,3.78,,3.93,3.805,4.307198524475098
2016-10-14,3.78,3.8,3.73,3.75,,3.8,3.785,4.295219421386719
2016-10-17,3.74,3.77,3.73,3.77,,3.7,3.767,4.2810893058776855
2016-10-18,3.75,3.86,3.7,3.75,,3.77,3.769000000000001,4.264817714691162
2016-10-19,3.72,3.8,3.62,3.74,,3.73,3.7539999999999996,4.246413230895996
2016-10-20,3.74,3.87,3.68,3.72,,3.640000000000001,3.7510000000000003,4.225887298583984
2016-10-21,3.72,3.83,3.72,3.82,,3.6600000000000006,3.73,4.203248977661133
2016-10-24,3.82,3.84,3.74,3.78,,3.89,3.795,4.178511619567871
2016-10-25,3.75,3.76,3.71,3.72,,3.79,3.782,4.1516852378845215
2016-10-26,3.72,3.8,3.68,3.68,,3.69,3.742,4.1227827072143555
2016-10-27,3.68,3.695,3.68,3.69,,3.62,3.698,4.091817855834961
2016-10-28,3.69,3.735,3.66,3.7,,3.66,3.687,4.058801651000977
2016-10-31,3.68,3.8,3.68,3.75,,3.5800000000000005,3.695,4.023750305175781
2016-11-01,3.7,3.84,3.7,3.83,,3.72,3.728,3.9866766929626465
2016-11-02,3.75,3.76,3.68,3.69,,3.94,3.793,3.9475955963134766
2016-11-03,3.69,3.69,3.53,3.6,,3.7,3.7110000000000003,3.9065237045288086
2016-11-04,3.58,3.79,3.4,3.71,,3.51,3.659,3.8647494316101074
2016-11-07,3.8,3.8,3.63,3.7,,3.72,3.698,3.8259389400482178
2016-11-08,3.72,3.77,3.69,3.69,,3.65,3.7150000000000007,3.785902976989746
2016-11-09,3.8,3.8,3.68,3.7,,3.55,3.708,3.744180917739868
2016-11-10,3.66,3.81,3.66,3.8,,3.71,3.698,3.7008016109466553
2016-11-11,3.8,3.8,3.67,3.7,,4.0,3.75,3.655795097351074
2016-11-14,2.5,3.0,2.49,2.5,,3.69,3.7,3.60919189453125
2016-11-15,2.7,2.79,2.62,2.68,,1.2999999999999998,3.1,3.561023473739624
2016-11-16,2.73,2.78,2.65,2.71,,1.6700000000000004,2.95,3.5113213062286377
2016-11-17,2.67,2.69,2.63,2.65,,1.7199999999999998,2.7850000000000006,3.460115909576416
2016-11-18,2.67,2.7,2.65,2.65,,1.5,2.6710000000000003,3.407439947128296
2016-11-21,2.65,2.66,2.505,2.51,,1.5999999999999996,2.6499999999999995,3.3533260822296143
2016-11-22,2.52,2.55,2.34,2.39,,2.52,2.552,3.297807216644287
2016-11-23,2.4,2.44,2.33,2.38,,2.1,2.49,3.2409160137176514
2016-11-24,2.4,2.49,2.385,2.46,,2.05,2.435,3.1826865673065186
