Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2014-08-12,1.95,2.13,1.95,2.1,,,,0.4760989248752594,,,,,,
2014-08-13,2.06,2.1,2.03,2.1,,,,0.6116346120834351,,,,,,
2014-08-14,2.11,2.11,2.05,2.1,,,,0.7883075475692749,,,,,,
2014-08-15,2.1,2.12,2.09,2.11,,,,1.0041428804397583,,,,,,
2014-08-18,2.11,2.11,2.07,2.08,,,,1.2604224681854248,,,,,,
2014-08-19,2.07,2.07,2.04,2.06,,,,1.5221636295318604,,,,,,
2014-08-20,2.06,2.06,2.0,2.0,,2.02,,1.728443622589111,2.0785714285714287,,,,,
2014-08-21,1.98,2.02,1.97,2.01,,1.9,,1.890385150909424,2.0657142857142863,,,,,
2014-08-22,2.04,2.04,2.0,2.02,,1.92,,2.022865533828736,2.0542857142857147,,,,,
2014-08-25,2.01,2.01,2.0,2.0,,1.93,,2.1091353893280034,2.0400000000000005,,,,,
2014-08-26,2.0,2.01,2.0,2.0,,1.92,,2.1649794578552246,2.0242857142857145,,,,,
2014-08-27,2.0,2.0,1.99,1.99,,1.94,,2.1906187534332275,2.0114285714285716,,,,,
2014-08-28,1.99,2.0,1.99,2.0,,1.98,,2.19396448135376,2.0028571428571427,,,,,
2014-08-29,2.0,2.03,2.0,2.03,,1.99,,2.1732344627380367,2.0071428571428567,2.042857142857143,,,,
2014-09-01,2.03,2.05,2.03,2.05,,2.04,,2.1671178340911865,2.0128571428571425,2.039285714285714,,,,
2014-09-02,2.05,2.11,2.05,2.11,,2.1,,2.167013168334961,2.025714285714286,2.04,,,,
2014-09-03,2.11,2.16,2.11,2.15,,2.22,,2.1474406719207764,2.0471428571428567,2.043571428571428,,,,
2014-09-04,2.12,2.15,2.12,2.12,,2.31,,2.1149532794952397,2.064285714285714,2.044285714285714,,,,
2014-09-05,2.14,2.15,2.13,2.15,,2.24,,2.1006102561950684,2.0871428571428567,2.049285714285714,,,,
2014-09-08,2.15,2.15,2.13,2.14,,2.27,,2.0785877704620357,2.1071428571428568,2.055,,,,
2014-09-09,2.12,2.13,2.1,2.13,,2.2300000000000004,,2.046824216842652,2.121428571428571,2.064285714285714,,,,
2014-09-10,2.13,2.13,2.1,2.11,,2.15,,2.0056409835815434,2.1299999999999994,2.0714285714285716,,,,
2014-09-11,2.09,2.1,2.09,2.1,,2.07,,1.9557943344116209,2.1285714285714286,2.0771428571428574,,,,
2014-09-12,2.1,2.1,2.1,2.1,,2.08,,1.912460803985596,2.1214285714285714,2.0842857142857145,,,,
2014-09-15,2.1,2.11,2.09,2.11,,2.0500000000000003,,1.9130308628082275,2.12,2.0921428571428575,,,,
2014-09-16,2.1,2.11,2.08,2.11,,2.08,,1.9280321598052976,2.1142857142857143,2.100714285714286,,,,
2014-09-17,2.11,2.11,2.07,2.09,,2.09,,1.9387369155883791,2.107142857142857,2.107142857142857,,,,
2014-09-18,2.08,2.09,2.08,2.09,,2.07,,1.9451491832733157,2.1014285714285714,2.1114285714285717,,,,
2014-09-19,2.09,2.09,2.08,2.08,,2.08,,1.9472665786743164,2.097142857142857,2.1135714285714284,,,,
2014-09-22,2.08,2.09,2.05,2.05,,2.06,,1.9450945854187007,2.0900000000000003,2.1092857142857144,2.0763333333333334,,,
2014-09-23,2.05,2.06,2.02,2.06,,1.99,,1.938713788986206,2.0842857142857145,2.1028571428571428,2.075,,,
2014-09-24,2.08,2.1,2.05,2.1,,2.01,,1.92818021774292,2.082857142857143,2.1014285714285714,2.075,,,
2014-09-25,2.07,2.1,2.07,2.1,,2.1100000000000003,,1.916699171066284,2.081428571428572,2.0978571428571433,2.075,,,
2014-09-26,2.08,2.08,2.08,2.08,,2.1100000000000003,,1.9029309749603271,2.080000000000001,2.093571428571429,2.0740000000000003,,,
2014-09-29,2.02,2.07,2.02,2.07,,2.08,,1.885260820388794,2.077142857142858,2.0892857142857144,2.073666666666667,,,
2014-09-30,2.05,2.07,2.04,2.06,,2.09,,1.863754749298096,2.074285714285715,2.085714285714286,2.073666666666667,,,
2014-10-01,2.07,2.07,2.05,2.05,,2.06,,1.8440587520599363,2.0742857142857147,2.0821428571428573,2.0753333333333335,,,
2014-10-02,2.05,2.05,2.03,2.05,,2.0,,1.8454673290252688,2.0728571428571434,2.0785714285714287,2.0766666666666667,,,
2014-10-03,2.04,2.04,2.04,2.04,,2.0,,1.8444871902465818,2.064285714285715,2.073571428571429,2.0773333333333333,,,
2014-10-07,2.01,2.06,2.0,2.02,,2.0,,1.8411166667938232,2.052857142857144,2.067142857142857,2.0780000000000003,,,
2014-10-08,2.0,2.02,2.0,2.01,,1.97,,1.8325512409210205,2.0428571428571436,2.061428571428572,2.0783333333333336,,,
2014-10-09,2.0,2.005,1.98,1.995,,1.9599999999999995,,1.8190476894378664,2.032142857142858,2.0546428571428574,2.0785000000000005,,,
2014-10-10,1.98,2.01,1.96,2.01,,1.9400000000000004,,1.8033280372619631,2.025000000000001,2.0496428571428575,2.0788333333333338,,,
2014-10-13,1.99,2.0,1.98,2.0,,1.97,,1.7854280471801758,2.0178571428571432,2.046071428571429,2.0778333333333334,,,
2014-10-14,2.0,2.0,2.0,2.0,,1.96,,1.7653868198394775,2.010714285714286,2.041785714285715,2.076166666666667,,,
2014-10-15,1.96,1.97,1.96,1.96,,1.98,,1.7488932609558103,1.999285714285715,2.0317857142857148,2.071166666666667,,,
2014-10-16,1.96,1.96,1.93,1.96,,1.91,1.9640000000000004,1.7423245906829834,1.9907142857142865,2.021785714285715,2.0648333333333335,,,
2014-10-17,1.96,1.98,1.96,1.96,,1.925,1.9600000000000004,1.7342824935913086,1.9835714285714297,2.0132142857142865,2.0595000000000003,,,
2014-10-20,1.96,2.0,1.96,1.99,,1.91,1.96,1.7247755527496338,1.9828571428571438,2.0075000000000007,2.0541666666666667,,,
2014-10-21,1.96,1.96,1.925,1.96,,1.98,1.981,1.7138128280639648,1.9757142857142866,2.0003571428571436,2.048166666666667,,,
2014-10-22,1.96,1.965,1.905,1.94,,1.92,1.9630000000000003,1.7014036178588867,1.9671428571428582,1.9925000000000008,2.0418333333333334,,,
2014-10-23,1.925,1.925,1.865,1.87,,1.92,1.942,1.6875574588775637,1.9485714285714297,1.979642857142858,2.0338333333333334,,,
2014-10-24,1.9,1.935,1.88,1.9,,1.7800000000000002,1.8910000000000005,1.6722846031188965,1.9400000000000013,1.969642857142858,2.0271666666666666,,,
2014-10-27,1.9,1.902,1.89,1.9,,1.84,1.892,1.655595064163208,1.9314285714285728,1.9610714285714292,2.0204999999999997,,,
2014-10-28,1.9,1.91,1.88,1.9,,1.81,1.9,1.6375000476837158,1.9228571428571446,1.9532142857142862,2.0134999999999996,,,
2014-10-29,1.9,1.95,1.9,1.92,,1.84,1.9,1.6194143295288086,1.9128571428571444,1.9478571428571434,2.0071666666666665,,,
2014-10-30,1.95,1.96,1.95,1.96,,1.9,1.9160000000000004,1.602668285369873,1.9128571428571444,1.9442857142857146,2.0028333333333332,,,
2014-10-31,1.95,1.97,1.95,1.97,,2.05,1.9340000000000004,1.5900084972381592,1.9171428571428588,1.9421428571428574,1.998833333333333,,,
2014-11-03,2.0,2.0,1.95,1.95,,2.04,1.964,1.585449457168579,1.9285714285714302,1.9385714285714288,1.9944999999999997,,,
2014-11-04,1.95,1.95,1.95,1.95,,2.0,1.956,1.5800268650054932,1.935714285714287,1.937857142857143,1.9911666666666668,2.03375,,
2014-11-05,1.95,1.95,1.95,1.95,,2.0,1.9469999999999998,1.573737859725952,1.9428571428571442,1.9371428571428573,1.9875,2.03125,,
2014-11-06,1.925,1.925,1.91,1.92,,1.98,1.9469999999999998,1.5665793418884275,1.9457142857142868,1.9342857142857142,1.9815,2.0282500000000003,,
2014-11-07,1.93,1.97,1.93,1.97,,1.88,1.932,1.5585477352142334,1.9528571428571442,1.9328571428571428,1.9771666666666665,2.0260833333333337,,
2014-11-10,1.965,1.97,1.965,1.97,,1.97,1.96,1.5496397018432615,1.9542857142857157,1.9335714285714283,1.9735,2.02375,,
2014-11-11,1.965,1.97,1.965,1.97,,1.99,1.97,1.5398511886596682,1.9542857142857157,1.9357142857142853,1.9701666666666666,2.021916666666667,,
2014-11-12,1.94,1.96,1.94,1.96,,1.99,1.97,1.5291776657104492,1.9557142857142875,1.9421428571428567,1.9668333333333332,2.02025,,
2014-11-13,1.96,1.96,1.95,1.95,,1.97,1.9650000000000003,1.5176153182983398,1.9557142857142875,1.9457142857142853,1.9635,2.019416666666667,,
2014-11-14,1.96,1.96,1.95,1.95,,1.98,1.953,1.5051591396331787,1.9557142857142875,1.949285714285714,1.9601666666666668,2.0184166666666665,,
2014-11-17,1.95,1.95,1.95,1.95,,1.93,1.952,1.4918045997619631,1.9600000000000015,1.9528571428571426,1.957166666666667,2.01725,,
2014-11-18,1.945,1.945,1.945,1.945,,1.93,1.95,1.477546453475952,1.956428571428573,1.9546428571428567,1.954666666666667,2.0163333333333333,,
2014-11-19,1.945,1.945,1.945,1.945,,1.92,1.9465,1.4623792171478271,1.9528571428571444,1.953571428571428,1.9525000000000003,2.0154166666666664,,
2014-11-20,1.945,1.945,1.945,1.945,,1.93,1.9465,1.4462974071502686,1.9492857142857158,1.951785714285714,1.9508333333333339,2.0146666666666664,,
2014-11-21,1.89,1.935,1.89,1.935,,1.94,1.9455,1.4357130527496338,1.9457142857142873,1.9507142857142854,1.948333333333334,2.0135833333333335,,
