Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2013-08-02,1.35,1.452,1.35,1.42,,,,0.6076663136482239
2013-08-05,1.45,1.45,1.41,1.43,,,,0.715229332447052
2013-08-06,1.43,1.445,1.425,1.43,,,,0.8370524048805237
2013-08-07,1.44,1.47,1.43,1.465,,,,0.971320629119873
2013-08-08,1.49,1.54,1.45,1.46,,,,1.115218997001648
2013-08-09,1.48,1.5,1.455,1.46,,,,1.251800298690796
2013-08-12,1.45,1.47,1.435,1.44,,1.5,,1.3498331308364868
2013-08-13,1.43,1.435,1.42,1.43,,1.45,,1.4204771518707275
2013-08-14,1.43,1.45,1.43,1.44,,1.43,,1.470700740814209
2013-08-15,1.445,1.445,1.42,1.44,,1.4149999999999998,,1.5009829998016357
2013-08-16,1.445,1.445,1.42,1.42,,1.42,,1.5133774280548096
2013-08-19,1.415,1.42,1.36,1.37,,1.38,,1.508082389831543
2013-08-20,1.38,1.4,1.37,1.38,,1.3000000000000005,,1.4837470054626465
2013-08-21,1.385,1.41,1.38,1.4,,1.3299999999999998,,1.4453797340393066
2013-08-22,1.405,1.435,1.4,1.435,,1.36,,1.4109246730804443
2013-08-23,1.43,1.44,1.4,1.41,,1.4300000000000002,,1.3958816528320312
2013-08-26,1.42,1.43,1.41,1.42,,1.4,,1.3760757446289062
2013-08-27,1.415,1.42,1.4,1.41,,1.4699999999999998,,1.3697140216827393
2013-08-28,1.41,1.41,1.39,1.405,,1.44,,1.3693559169769287
2013-08-29,1.405,1.415,1.395,1.41,,1.41,,1.378809928894043
2013-08-30,1.4,1.42,1.385,1.385,,1.3849999999999998,,1.3866829872131348
2013-09-02,1.41,1.415,1.4,1.415,,1.36,,1.3933532238006592
2013-09-03,1.41,1.415,1.385,1.41,,1.41,,1.3992016315460205
2013-09-04,1.42,1.42,1.395,1.41,,1.41,,1.4060091972351074
2013-09-05,1.41,1.435,1.41,1.41,,1.4149999999999998,,1.421414852142334
2013-09-06,1.41,1.41,1.39,1.4,,1.41,,1.4377238750457764
2013-09-09,1.425,1.435,1.405,1.41,,1.4149999999999998,,1.464447259902954
2013-09-10,1.42,1.435,1.41,1.42,,1.4049999999999998,,1.4923181533813477
2013-09-11,1.435,1.44,1.41,1.425,,1.43,,1.5182061195373535
2013-09-12,1.435,1.48,1.435,1.46,,1.4400000000000002,,1.5430645942687988
2013-09-13,1.46,1.47,1.45,1.46,,1.51,,1.563300371170044
2013-09-16,1.46,1.48,1.455,1.46,,1.52,,1.5776591300964355
2013-09-17,1.47,1.475,1.455,1.46,,1.51,,1.5913455486297607
2013-09-18,1.46,1.54,1.455,1.54,,1.5,,1.6043927669525146
2013-09-19,1.53,1.59,1.495,1.56,,1.655,,1.6172187328338623
2013-09-20,1.56,1.6,1.5,1.5,,1.66,,1.6298718452453613
2013-09-23,1.52,1.58,1.52,1.56,,1.54,,1.641986608505249
2013-09-24,1.58,1.58,1.555,1.56,,1.66,,1.6532561779022217
2013-09-25,1.56,1.56,1.54,1.55,,1.66,,1.6633007526397705
2013-09-26,1.55,1.585,1.55,1.575,,1.56,,1.673407793045044
2013-09-27,1.58,1.59,1.57,1.59,,1.59,,1.6831355094909668
2013-09-30,1.58,1.59,1.57,1.575,,1.6800000000000002,,1.6920702457427979
2013-10-01,1.575,1.64,1.57,1.6,,1.59,,1.7002122402191162
2013-10-02,1.6,1.65,1.595,1.625,,1.64,,1.709627628326416
2013-10-03,1.63,1.64,1.61,1.61,,1.7,,1.7180697917938232
2013-10-04,1.62,1.69,1.615,1.65,,1.6450000000000002,,1.7248401641845703
2013-10-07,1.715,1.72,1.66,1.69,,1.7099999999999995,,1.7307546138763428
2013-10-08,1.7,1.73,1.675,1.7,,1.805,,1.7357983589172363
2013-10-09,1.7,1.71,1.67,1.69,,1.7999999999999998,,1.7399561405181885
2013-10-10,1.69,1.7,1.63,1.63,,1.755,,1.7432119846343994
2013-10-11,1.67,1.68,1.65,1.67,,1.6499999999999997,,1.745548963546753
2013-10-14,1.675,1.7,1.67,1.67,,1.69,,1.7466468811035156
2013-10-15,1.675,1.7,1.66,1.68,,1.65,,1.7454307079315186
2013-10-16,1.67,1.695,1.6,1.6,,1.66,,1.7426629066467285
2013-10-17,1.63,1.64,1.62,1.62,,1.5100000000000002,,1.738851547241211
2013-10-18,1.63,1.7,1.625,1.7,,1.6100000000000003,,1.7339799404144287
2013-10-21,1.7,1.7,1.67,1.68,,1.73,,1.7280311584472656
2013-10-22,1.7,1.7,1.68,1.685,,1.69,,1.7210049629211426
2013-10-23,1.7,1.7,1.67,1.68,,1.6900000000000002,,1.7129909992218018
2013-10-24,1.67,1.71,1.67,1.685,,1.7599999999999998,1.6840000000000002,1.7039337158203125
2013-10-25,1.7,1.705,1.695,1.7,,1.75,1.6865,1.6980812549591064
2013-10-28,1.7,1.705,1.695,1.7,,1.7,1.6924999999999997,1.6947541236877441
2013-10-29,1.7,1.7,1.68,1.69,,1.72,1.6954999999999996,1.6906163692474365
2013-10-30,1.69,1.69,1.67,1.68,,1.6949999999999998,1.6919999999999995,1.685657024383545
2013-10-31,1.69,1.69,1.67,1.67,,1.68,1.682,1.6798651218414307
2013-11-01,1.69,1.7,1.665,1.69,,1.6549999999999998,1.6729999999999996,1.6732285022735596
2013-11-04,1.69,1.69,1.62,1.63,,1.68,1.682,1.6657354831695557
2013-11-05,1.65,1.67,1.65,1.67,,1.5599999999999998,1.6399999999999997,1.6573727130889893
2013-11-06,1.67,1.68,1.63,1.63,,1.65,1.65,1.6481280326843262
2013-11-07,1.66,1.66,1.62,1.65,,1.5799999999999998,1.6339999999999997,1.6379883289337158
2013-11-08,1.65,1.68,1.63,1.67,,1.63,1.648,1.6269397735595703
2013-11-11,1.67,1.67,1.62,1.65,,1.65,1.6540000000000001,1.6149687767028809
2013-11-12,1.65,1.68,1.635,1.65,,1.67,1.65,1.6020607948303223
2013-11-13,1.65,1.69,1.63,1.685,,1.63,1.652,1.5882017612457275
2013-11-14,1.685,1.69,1.66,1.68,,1.7400000000000002,1.6745,1.573375940322876
2013-11-15,1.68,1.795,1.67,1.76,,1.71,1.675,1.5575685501098633
2013-11-18,1.785,1.8,1.765,1.78,,1.85,1.7380000000000002,1.5407636165618896
2013-11-19,1.78,1.83,1.755,1.82,,1.91,1.7739999999999998,1.5229454040527344
2013-11-20,1.82,1.82,1.76,1.77,,1.99,1.8019999999999998,1.5040969848632812
2013-11-21,1.77,1.78,1.755,1.78,,1.855,1.7819999999999998,1.4842016696929932
2013-11-22,1.79,1.825,1.775,1.795,,1.88,1.781,1.463242530822754
2013-11-25,1.83,1.835,1.795,1.82,,1.83,1.7935000000000003,1.44120192527771
2013-11-26,1.84,1.85,1.805,1.805,,1.86,1.8060000000000005,1.4180617332458496
2013-11-27,1.81,1.81,1.755,1.775,,1.7899999999999998,1.8045,1.3938038349151611
2013-11-28,1.775,1.8,1.76,1.795,,1.7799999999999998,1.7864999999999998,1.3683617115020752
2013-11-29,1.775,1.8,1.75,1.77,,1.81,1.7854999999999996,1.3507356643676758
2013-12-02,1.77,1.77,1.69,1.7,,1.745,1.7755,1.3392019271850586
2013-12-03,1.72,1.72,1.675,1.685,,1.5799999999999998,1.735,1.3357477188110352
2013-12-04,1.7,1.75,1.69,1.75,,1.5650000000000002,1.7105,1.3322381973266602
2013-12-05,1.72,1.75,1.71,1.725,,1.725,1.7260000000000002,1.3283846378326416
2013-12-06,1.72,1.73,1.68,1.68,,1.6550000000000002,1.7265,1.3241827487945557
2013-12-09,1.695,1.695,1.66,1.66,,1.59,1.6919999999999995,1.3196284770965576
2013-12-10,1.67,1.68,1.6019999999999999,1.62,,1.62,1.6725,1.3147175312042236
2013-12-11,1.63,1.635,1.495,1.56,,1.5550000000000002,1.6280000000000006,1.309445858001709
2013-12-12,1.54,1.555,1.505,1.53,,1.37,1.5819999999999999,1.3038086891174316
2013-12-13,1.525,1.55,1.495,1.55,,1.335,1.56,1.297802209854126
2013-12-16,1.61,1.61,1.56,1.585,,1.4200000000000002,1.5619999999999998,1.2914214134216309
2013-12-17,1.61,1.61,1.565,1.575,,1.51,1.5745,1.284661889076233
2013-12-18,1.58,1.58,1.55,1.55,,1.5299999999999998,1.5710000000000002,1.2826282978057861
2013-12-19,1.59,1.59,1.56,1.59,,1.54,1.56,1.28304123878479
2013-12-20,1.58,1.595,1.575,1.58,,1.65,1.57,1.2832770347595215
2013-12-23,1.595,1.625,1.595,1.625,,1.61,1.5790000000000002,1.283334732055664
2013-12-24,1.62,1.63,1.62,1.62,,1.665,1.5985,1.2832129001617432
2013-12-27,1.63,1.7,1.63,1.69,,1.6650000000000005,1.6130000000000009,1.282910704612732
2013-12-30,1.7,1.7,1.63,1.66,,1.83,1.6689999999999998,1.283853530883789
2013-12-31,1.635,1.655,1.6,1.655,,1.7299999999999998,1.666,1.2864069938659668
2014-01-02,1.675,1.73,1.675,1.7,,1.73,1.6595,1.2888453006744385
2014-01-03,1.7,1.7,1.69,1.7,,1.775,1.6904999999999997,1.2911672592163086
2014-01-06,1.68,1.685,1.66,1.665,,1.7799999999999998,1.6989999999999998,1.2933707237243652
2014-01-07,1.66,1.67,1.63,1.63,,1.64,1.6814999999999998,1.295454502105713
2014-01-08,1.65,1.68,1.65,1.66,,1.6,1.6569999999999996,1.2974162101745605
2014-01-09,1.66,1.695,1.65,1.695,,1.6649999999999998,1.6645,1.2992545366287231
2014-01-10,1.7,1.7,1.6769999999999998,1.7,,1.6900000000000002,1.6909999999999998,1.3009676933288574
2014-01-13,1.7,1.7,1.652,1.665,,1.7,1.6984999999999997,1.302553415298462
2014-01-14,1.65,1.7,1.635,1.64,,1.665,1.6749999999999996,1.3040106296539307
2014-01-15,1.65,1.67,1.645,1.665,,1.65,1.6535,1.305336594581604
2014-01-16,1.655,1.67,1.65,1.67,,1.6700000000000002,1.6624999999999996,1.3065303564071655
2014-01-17,1.65,1.7,1.65,1.7,,1.6449999999999998,1.6680000000000001,1.3075892925262451
2014-01-20,1.69,1.7,1.665,1.695,,1.7,1.6909999999999996,1.3085119724273682
2014-01-21,1.655,1.695,1.65,1.66,,1.725,1.689,1.3092961311340332
2014-01-22,1.655,1.665,1.645,1.65,,1.68,1.6680000000000001,1.3099400997161865
2014-01-23,1.645,1.645,1.605,1.61,,1.6349999999999998,1.6575,1.3104417324066162
2014-01-24,1.62,1.645,1.615,1.615,,1.5500000000000005,1.6179999999999997,1.310799241065979
2014-01-28,1.615,1.66,1.61,1.65,,1.53,1.6134999999999995,1.3110103607177734
2014-01-29,1.67,1.67,1.625,1.64,,1.6049999999999998,1.643,1.3110733032226562
2014-01-30,1.64,1.64,1.615,1.635,,1.62,1.6380000000000003,1.310985803604126
2014-01-31,1.635,1.635,1.605,1.625,,1.62,1.64,1.310746192932129
2014-02-03,1.625,1.635,1.59,1.62,,1.64,1.628,1.310351848602295
2014-02-04,1.62,1.63,1.595,1.63,,1.6250000000000002,1.6230000000000004,1.3098009824752808
2014-02-05,1.6,1.63,1.565,1.57,,1.61,1.6274999999999995,1.309091567993164
2014-02-06,1.59,1.6,1.53,1.59,,1.5000000000000002,1.5759999999999998,1.3082209825515747
2014-02-07,1.59,1.64,1.57,1.625,,1.5450000000000002,1.5799999999999998,1.307187795639038
2014-02-10,1.635,1.635,1.585,1.59,,1.625,1.605,1.3059892654418945
2014-02-11,1.63,1.63,1.57,1.59,,1.56,1.588,1.3046232461929321
2014-02-12,1.59,1.63,1.57,1.585,,1.5500000000000005,1.59,1.303899884223938
2014-02-13,1.595,1.6,1.575,1.58,,1.6,1.5865000000000002,1.309478998184204
2014-02-14,1.585,1.61,1.575,1.575,,1.57,1.5844999999999998,1.3150606155395508
2014-02-17,1.575,1.65,1.575,1.615,,1.525,1.5779999999999998,1.3206446170806885
2014-02-18,1.61,1.75,1.61,1.675,,1.64,1.597,1.326230764389038
