Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,5.62,5.72,5.61,5.72,29110.0,,,2.047887325286865,,,,,,
1999-03-23,5.73,5.82,5.7,5.7,87821.0,,,2.148871898651123,,,,,,
1999-03-24,5.7,5.7,5.64,5.7,143997.0,,,2.278273582458496,,,,,,
1999-03-25,5.7,5.7,5.61,5.61,31023.0,,,2.4239919185638428,,,,,,
1999-03-26,5.5,5.54,5.45,5.54,62170.0,,,2.549208641052246,,,,,,
1999-03-29,5.5,5.5,5.41,5.45,29754.0,,,2.6347215175628658,,,,,,
1999-03-30,5.455,5.53,5.455,5.46,33287.0,5.1800000000000015,,2.706218242645264,5.597142857142857,,,,,
1999-03-31,5.5,5.5,5.38,5.46,483485.0,5.22,,2.773772716522217,5.5600000000000005,,,,,
1999-04-01,5.38,5.4,5.3,5.32,43337.0,5.22,,2.8406598567962646,5.505714285714285,,,,,
1999-04-06,5.32,5.37,5.3,5.315,29229.0,5.03,,2.9070224761962886,5.450714285714285,,,,,
1999-04-07,5.3,5.4,5.3,5.4,143113.0,5.090000000000002,,2.972861051559448,5.4207142857142845,,,,,
1999-04-08,5.4,5.55,5.4,5.5,97480.0,5.3500000000000005,,3.038175106048584,5.414999999999999,,,,,
1999-04-09,5.5,5.5,5.45,5.45,55392.0,5.54,,3.1029655933380127,5.414999999999999,,,,,
1999-04-12,5.45,5.45,5.37,5.4,64608.0,5.44,,3.167232036590576,5.40642857142857,5.501785714285715,,,,
1999-04-13,5.4,5.41,5.38,5.4,15704.0,5.48,,3.2309775352478027,5.397857142857141,5.478928571428573,,,,
1999-04-14,5.4,5.5,5.4,5.4,86141.0,5.485,,3.2943921089172363,5.409285714285713,5.457500000000001,,,,
1999-04-15,5.4,5.55,5.35,5.507999999999999,187022.0,5.4,,3.357370615005493,5.436857142857142,5.443785714285715,,,,
1999-04-16,5.6,6.0,5.6,5.77,175109.0,5.515999999999997,,3.419860363006592,5.489714285714284,5.455214285714286,,,,
1999-04-19,5.9,6.07,5.9,6.02,717551.0,6.089999999999999,,3.4817700386047363,5.563999999999999,5.4895,,,,
