Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2005-05-31,1.1,1.65,1.1,1.65,105200.0,,,0.8746224641799927,,,,,,
2005-06-01,1.65,1.65,1.5,1.5,64100.0,,,0.9809135794639589,,,,,,
2005-06-02,1.58,1.6,1.53,1.6,18500.0,,,1.1401629447937012,,,,,,
2005-06-03,1.6,1.7,1.6,1.65,44500.0,,,1.3090202808380127,,,,,,
2005-06-06,1.65,1.65,1.62,1.62,18000.0,,,1.4192099571228027,,,,,,
2005-06-07,1.65,1.65,1.63,1.63,15000.0,,,1.4939215183258057,,,,,,
2005-06-08,1.63,1.63,1.63,1.63,2000.0,1.61,,1.5492002964019775,1.611428571428571,,,,,
2005-06-09,1.65,1.65,1.62,1.62,7500.0,1.7599999999999998,,1.5929245948791504,1.607142857142857,,,,,
2005-06-10,1.62,1.62,1.62,1.62,900.0,1.64,,1.625951051712036,1.6242857142857139,,,,,
2005-06-14,1.62,1.62,1.62,1.62,900.0,1.5900000000000003,,1.6483613252639768,1.627142857142857,,,,,
2005-06-15,1.62,1.62,1.62,1.62,900.0,1.62,,1.6603071689605713,1.6228571428571426,,,,,
2005-06-16,1.62,1.62,1.62,1.62,18200.0,1.6100000000000003,,1.662076473236084,1.6228571428571423,,,,,
2005-06-17,1.65,1.65,1.65,1.65,3000.0,1.6100000000000003,,1.6535446643829346,1.625714285714285,,,,,
2005-06-20,1.65,1.65,1.65,1.65,3000.0,1.6799999999999995,,1.6347510814666748,1.628571428571428,1.6199999999999999,,,,
2005-06-21,1.65,1.65,1.65,1.65,3000.0,1.6799999999999995,,1.6056997776031494,1.6328571428571423,1.6199999999999999,,,,
2005-06-22,1.65,1.65,1.65,1.65,3000.0,1.6799999999999995,,1.5665837526321411,1.6371428571428568,1.6307142857142856,,,,
2005-06-23,1.65,1.65,1.65,1.65,100.0,1.6799999999999995,,1.5253553390502932,1.6414285714285712,1.634285714285714,,,,
2005-06-24,1.6,1.6,1.6,1.6,2000.0,1.6799999999999995,,1.502460241317749,1.6385714285714283,1.6307142857142856,,,,
2005-06-27,1.55,1.55,1.55,1.55,2000.0,1.5500000000000005,,1.4809809923171997,1.6285714285714283,1.6257142857142857,,,,
2005-06-28,1.55,1.55,1.55,1.55,2000.0,1.4500000000000002,,1.4545848369598389,1.614285714285714,1.6199999999999999,,,,
2005-06-29,1.55,1.55,1.55,1.55,2000.0,1.4500000000000002,,1.4524991512298584,1.5999999999999999,1.6142857142857143,,,,
2005-06-30,1.55,1.55,1.53,1.53,7500.0,1.4500000000000002,,1.453289270401001,1.5828571428571425,1.6078571428571429,,,,
2005-07-01,1.46,1.46,1.46,1.46,7500.0,1.41,,1.452415108680725,1.5557142857142856,1.5964285714285715,,,,
2005-07-04,1.46,1.46,1.46,1.46,7500.0,1.3199999999999998,,1.449962139129639,1.5285714285714282,1.5850000000000002,,,,
2005-07-05,1.5,1.5,1.5,1.5,7500.0,1.37,,1.4489924907684326,1.514285714285714,1.5764285714285715,,,,
2005-07-06,1.54,1.55,1.54,1.55,11000.0,1.45,,1.465012788772583,1.514285714285714,1.5714285714285714,,,,
2005-07-07,1.55,1.55,1.5,1.5,4150.0,1.55,,1.4807641506195068,1.5071428571428567,1.5607142857142857,,,,
2005-07-08,1.55,1.55,1.55,1.55,4150.0,1.47,,1.4951913356781006,1.5071428571428567,1.5535714285714288,,,,
2005-07-11,1.55,1.55,1.55,1.55,4150.0,1.64,,1.5093488693237305,1.5099999999999998,1.546428571428572,,,,
2005-07-12,1.55,1.55,1.55,1.55,4150.0,1.64,,1.5220668315887451,1.522857142857143,1.5392857142857148,1.584333333333333,,,
2005-07-13,1.59,1.6,1.59,1.6,10800.0,1.6,,1.534264326095581,1.542857142857143,1.5357142857142865,1.5826666666666662,,,
2005-07-14,1.6,1.6,1.6,1.6,6600.0,1.65,,1.5459493398666382,1.5571428571428572,1.5357142857142865,1.5859999999999996,,,
2005-07-15,1.6,1.6,1.6,1.6,6600.0,1.7000000000000002,,1.5571300983428955,1.5642857142857143,1.539285714285715,1.5859999999999996,,,
2005-07-18,1.61,1.65,1.61,1.65,2950.0,1.65,,1.5678147077560425,1.5857142857142856,1.5464285714285722,1.5859999999999996,,,
2005-07-19,1.6,1.62,1.6,1.62,12200.0,1.7499999999999998,,1.578011393547058,1.5957142857142854,1.551428571428572,1.5859999999999996,,,
2005-07-20,1.65,1.7,1.65,1.7,4950.0,1.6900000000000002,,1.587078332901001,1.6171428571428568,1.563571428571429,1.5883333333333332,,,
2005-07-21,1.6,1.6,1.6,1.6,2500.0,1.7999999999999998,,1.5953319072723389,1.6242857142857137,1.573571428571429,1.587333333333333,,,
2005-07-22,1.62,1.62,1.62,1.62,2500.0,1.6,,1.6030623912811282,1.6271428571428566,1.5850000000000006,1.587333333333333,,,
2005-07-25,1.65,1.65,1.65,1.65,2500.0,1.64,,1.6102780103683472,1.6342857142857137,1.5957142857142863,1.5883333333333332,,,
2005-07-26,1.65,1.65,1.65,1.65,2000.0,1.65,,1.6173433065414429,1.641428571428571,1.6028571428571432,1.589333333333333,,,
2005-07-27,1.645,1.645,1.64,1.64,6000.0,1.6799999999999995,,1.6241044998168943,1.6399999999999995,1.6128571428571432,1.5899999999999999,,,
2005-07-28,1.64,1.65,1.62,1.65,19907.0,1.5799999999999998,,1.6306301355361938,1.644285714285714,1.6200000000000003,1.591,,,
2005-07-29,1.65,1.65,1.65,1.65,2850.0,1.6999999999999995,,1.6378860473632812,1.637142857142857,1.6271428571428572,1.591,,,
2005-08-01,1.64,1.64,1.64,1.64,2850.0,1.6799999999999995,,1.644747257232666,1.6428571428571428,1.6335714285714287,1.5906666666666667,,,
2005-08-02,1.65,1.65,1.65,1.65,35304.0,1.63,,1.6512204408645632,1.6471428571428572,1.637142857142857,1.5906666666666667,,,
2005-08-03,1.65,1.65,1.65,1.65,55139.0,1.65,,1.6573128700256348,1.6471428571428572,1.6407142857142853,1.5906666666666667,,,
2005-08-04,1.66,1.7,1.66,1.7,14300.0,1.66,,1.6630313396453855,1.6542857142857144,1.6478571428571425,1.5923333333333334,,,
2005-08-05,1.7,1.7,1.7,1.7,300.0,1.75,,1.6683828830718994,1.6628571428571426,1.651428571428571,1.5956666666666668,,,
2005-08-08,1.7,1.7,1.67,1.67,8100.0,1.75,,1.6733744144439695,1.6657142857142855,1.6549999999999994,1.599666666666667,,,
2005-08-09,1.66,1.66,1.65,1.65,5000.0,1.7,,1.6780126094818115,1.6657142857142855,1.6514285714285708,1.6030000000000004,,,
2005-08-10,1.4,1.4,1.4,1.4,5000.0,1.65,,1.682304859161377,1.6314285714285712,1.6371428571428563,1.5980000000000003,,,
2005-08-11,1.4,1.4,1.4,1.4,5000.0,1.15,,1.6865990161895752,1.5957142857142854,1.6214285714285703,1.593666666666667,,,
2005-08-12,1.4,1.4,1.4,1.4,5000.0,1.1,,1.6909974813461304,1.5599999999999998,1.6035714285714275,1.591666666666667,,,
2005-08-15,1.55,1.55,1.55,1.55,5000.0,1.1,,1.6951313018798828,1.5385714285714285,1.5964285714285704,1.5946666666666667,,,
2005-08-16,1.56,1.56,1.56,1.56,5000.0,1.4300000000000002,,1.6989774703979492,1.5185714285714287,1.5907142857142846,1.596666666666667,,,
2005-08-17,1.65,1.65,1.65,1.65,1500.0,1.4700000000000002,,1.7022738456726074,1.5157142857142858,1.5907142857142846,1.6000000000000003,,,
2005-08-18,1.56,1.56,1.56,1.56,4000.0,1.9,,1.704935073852539,1.5028571428571431,1.5842857142857132,1.6020000000000003,,,
2005-08-19,1.56,1.56,1.56,1.56,4000.0,1.7200000000000002,,1.706827163696289,1.525714285714286,1.5785714285714274,1.6023333333333338,,,
2005-08-22,1.56,1.56,1.56,1.56,4000.0,1.7200000000000002,,1.708415985107422,1.5485714285714287,1.572142857142856,1.6026666666666673,,,
2005-08-23,1.56,1.56,1.56,1.56,2800.0,1.57,,1.7097079753875732,1.5714285714285716,1.5657142857142845,1.6030000000000009,1.5936666666666675,,
2005-08-24,1.56,1.56,1.56,1.56,2800.0,1.56,,1.710709810256958,1.5728571428571432,1.5557142857142845,1.6016666666666675,1.5921666666666674,,
2005-08-25,1.5,1.5,1.5,1.5,2800.0,1.4700000000000002,,1.7114285230636597,1.5642857142857145,1.5414285714285703,1.598333333333334,1.5921666666666674,,
2005-08-26,1.5,1.5,1.5,1.5,2800.0,1.44,,1.7122409343719482,1.542857142857143,1.529285714285713,1.5950000000000009,1.590500000000001,,
2005-08-29,1.55,1.55,1.55,1.55,14400.0,1.44,,1.712921142578125,1.5414285714285716,1.5221428571428561,1.5916666666666675,1.588833333333334,,
2005-08-30,1.55,1.55,1.55,1.55,5500.0,1.54,,1.713348627090454,1.5400000000000003,1.5328571428571418,1.589333333333334,1.5876666666666672,,
2005-08-31,1.55,1.55,1.55,1.55,5800.0,1.54,,1.7135298252105713,1.5385714285714287,1.5435714285714277,1.5843333333333338,1.5863333333333338,,
2005-09-01,1.55,1.55,1.55,1.55,24100.0,1.54,,1.7134716510772705,1.5371428571428574,1.5542857142857136,1.582666666666667,1.5850000000000006,,
2005-09-02,1.55,1.55,1.55,1.55,6097.0,1.6,,1.7131805419921875,1.535714285714286,1.5542857142857136,1.5803333333333336,1.5838333333333339,,
2005-09-05,1.55,1.55,1.55,1.55,4000.0,1.6,,1.7126634120941162,1.5428571428571431,1.5535714285714282,1.5770000000000004,1.582666666666667,,
2005-09-06,1.56,1.56,1.56,1.56,2000.0,1.55,,1.7119266986846924,1.5514285714285718,1.5471428571428567,1.5740000000000005,1.581666666666667,,
2005-09-07,1.57,1.57,1.57,1.57,2000.0,1.57,,1.71097731590271,1.5542857142857147,1.5478571428571424,1.571666666666667,1.5808333333333335,,
2005-09-08,1.575,1.575,1.575,1.575,28100.0,1.59,,1.710747480392456,1.557857142857143,1.548928571428571,1.5691666666666673,1.5800833333333335,,
2005-09-09,1.63,1.65,1.63,1.65,134200.0,1.6,,1.7111032009124756,1.5721428571428573,1.5553571428571424,1.5691666666666673,1.5800833333333335,,
2005-09-12,1.65,1.65,1.65,1.65,72239.0,1.7499999999999998,,1.7113283872604368,1.5864285714285715,1.5617857142857139,1.5695000000000006,1.5800833333333335,,
2005-09-13,1.7,1.7,1.7,1.7,2000.0,1.7499999999999998,,1.7114305496215818,1.6078571428571427,1.571785714285714,1.5711666666666673,1.5809166666666667,,
2005-09-14,1.72,1.72,1.72,1.72,2000.0,1.84,,1.711416721343994,1.632142857142857,1.5874999999999997,1.5735000000000006,1.5820833333333333,,
2005-09-15,1.75,1.75,1.75,1.75,2000.0,1.87,,1.711294412612915,1.659285714285714,1.6053571428571425,1.5751666666666673,1.5837499999999998,,
2005-09-16,1.75,1.8,1.75,1.8,11902.0,1.925,,1.7110710144042969,1.692142857142857,1.6232142857142853,1.5785000000000005,1.5870833333333332,,
2005-09-19,1.82,1.85,1.82,1.85,9000.0,1.95,,1.7107535600662231,1.7314285714285713,1.6446428571428569,1.5845000000000005,1.5920833333333333,,
2005-09-20,1.8,1.8,1.8,1.8,9000.0,2.0500000000000003,,1.710349440574646,1.752857142857143,1.6624999999999996,1.5895000000000004,1.59625,,
2005-09-21,1.8,1.8,1.8,1.8,9000.0,1.9,,1.7098658084869385,1.7742857142857142,1.6803571428571424,1.6028333333333336,1.6004166666666666,,
2005-09-22,1.8,1.8,1.8,1.8,8000.0,1.88,,1.7093100547790527,1.7885714285714287,1.6982142857142855,1.616166666666667,1.6049166666666665,,
2005-09-23,1.8,1.8,1.8,1.8,8000.0,1.85,,1.7087112665176392,1.8000000000000003,1.7160714285714282,1.6295000000000002,1.6105833333333333,,
2005-09-26,1.8,1.8,1.8,1.8,8000.0,1.8,,1.708004355430603,1.8071428571428574,1.7332142857142856,1.6378333333333335,1.61625,,
2005-09-27,1.8,1.8,1.8,1.8,8000.0,1.75,,1.7071149349212646,1.8071428571428574,1.749642857142857,1.6458333333333333,1.6212499999999999,,
2005-09-28,1.8,1.8,1.8,1.8,8000.0,1.8,,1.7060455083847046,1.8000000000000005,1.7657142857142856,1.6508333333333334,1.6254166666666665,,
2005-09-29,1.8,1.8,1.8,1.8,2500.0,1.8,,1.7047986984252932,1.8000000000000005,1.7764285714285715,1.6588333333333332,1.6304166666666664,,
2005-09-30,1.8,1.8,1.8,1.8,598.0,1.8,,1.703492283821106,1.8000000000000005,1.7871428571428574,1.666833333333333,1.634583333333333,,
2005-10-03,1.75,1.75,1.75,1.75,13402.0,1.8,,1.702080488204956,1.7928571428571431,1.790714285714286,1.6731666666666662,1.6379166666666665,,
2005-10-04,1.75,1.75,1.75,1.75,13402.0,1.7,,1.7004382610321045,1.785714285714286,1.7928571428571431,1.6794999999999995,1.6412499999999999,1.6222777777777793,
2005-10-05,1.79,1.79,1.79,1.79,12000.0,1.7,,1.6985657215118408,1.7842857142857145,1.795714285714286,1.687166666666666,1.6444166666666669,1.6238333333333348,
2005-10-06,1.6,1.6,1.6,1.6,12000.0,1.78,,1.696463704109192,1.7557142857142858,1.7814285714285718,1.6904999999999994,1.6444166666666669,1.6249444444444459,
2005-10-07,1.75,1.75,1.75,1.75,300.0,1.4,,1.6919554471969604,1.7485714285714287,1.7742857142857145,1.6988333333333328,1.6469166666666668,1.6266111111111126,
2005-10-10,1.6,1.6,1.6,1.6,300.0,1.7,,1.6866408586502075,1.72,1.7600000000000002,1.7004999999999995,1.6460833333333333,1.6260555555555567,
2005-10-11,1.6,1.6,1.6,1.6,300.0,1.4500000000000002,,1.68223237991333,1.691428571428571,1.745714285714286,1.7021666666666664,1.6457499999999998,1.6258333333333346,
2005-10-12,1.6,1.6,1.6,1.6,300.0,1.4500000000000002,,1.678534984588623,1.6699999999999997,1.7314285714285718,1.703833333333333,1.6440833333333331,1.625500000000001,
2005-10-13,1.6,1.6,1.6,1.6,300.0,1.41,,1.674599528312683,1.6485714285714281,1.7171428571428575,1.7055,1.6440833333333331,1.6251666666666678,
