Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2013-10-16,1.51,1.55,1.455,1.5,,,,0.718881368637085,,,,,,
2013-10-17,1.51,1.55,1.5,1.5,,,,0.7629407644271851,,,,,,
2013-10-18,1.515,1.52,1.51,1.52,,,,0.8265126943588257,,,,,,
2013-10-21,1.53,1.53,1.495,1.495,,,,0.9142298698425292,,,,,,
2013-10-22,1.49,1.49,1.45,1.47,,,,1.02972674369812,,,,,,
2013-10-23,1.475,1.475,1.46,1.46,,,,1.161641001701355,,,,,,
2013-10-24,1.45,1.485,1.45,1.455,,1.42,,1.2736570835113523,1.4857142857142858,,,,,
2013-10-25,1.475,1.475,1.45,1.45,,1.41,,1.3247618675231934,1.4785714285714284,,,,,
2013-10-28,1.425,1.425,1.38,1.405,,1.38,,1.359941005706787,1.4649999999999999,,,,,
2013-10-29,1.405,1.42,1.39,1.42,,1.315,,1.387486457824707,1.4507142857142856,,,,,
2013-10-30,1.42,1.45,1.42,1.42,,1.37,,1.407106876373291,1.4399999999999997,,,,,
2013-10-31,1.43,1.44,1.425,1.44,,1.38,,1.418781042098999,1.4357142857142853,,,,,
2013-11-01,1.44,1.47,1.43,1.45,,1.4249999999999998,,1.4218440055847168,1.4342857142857137,,,,,
2013-11-04,1.47,1.485,1.45,1.45,,1.45,,1.4157681465148926,1.4335714285714278,1.459642857142857,,,,
2013-11-05,1.48,1.48,1.475,1.48,,1.495,,1.4014766216278076,1.4378571428571423,1.4582142857142857,,,,
2013-11-06,1.48,1.48,1.45,1.45,,1.54,,1.379143476486206,1.4442857142857137,1.4546428571428571,,,,
2013-11-07,1.48,1.48,1.48,1.48,,1.48,,1.3486528396606443,1.4528571428571424,1.4517857142857142,,,,
2013-11-08,1.48,1.485,1.47,1.47,,1.52,,1.346254825592041,1.4599999999999995,1.4499999999999997,,,,
2013-11-11,1.47,1.47,1.47,1.47,,1.49,,1.3473906517028809,1.464285714285714,1.4499999999999997,,,,
2013-11-12,1.45,1.46,1.45,1.45,,1.49,,1.3450857400894165,1.464285714285714,1.449285714285714,,,,
2013-11-13,1.445,1.46,1.42,1.42,,1.42,,1.3393166065216064,1.4599999999999997,1.446785714285714,,,,
2013-11-14,1.42,1.47,1.42,1.47,,1.39,,1.3314807415008545,1.4585714285714284,1.4482142857142855,,,,
2013-11-15,1.47,1.475,1.47,1.475,,1.46,,1.3207426071166992,1.462142857142857,1.4532142857142853,,,,
2013-11-18,1.475,1.475,1.46,1.475,,1.4800000000000002,,1.31274151802063,1.4614285714285713,1.457142857142857,,,,
2013-11-19,1.475,1.48,1.465,1.475,,1.4800000000000002,,1.3175764083862305,1.4621428571428567,1.4610714285714284,,,,
2013-11-20,1.475,1.48,1.465,1.48,,1.5000000000000002,,1.3261911869049072,1.4635714285714283,1.4639285714285712,,,,
2013-11-21,1.49,1.505,1.49,1.505,,1.54,,1.3334474563598633,1.471428571428571,1.4678571428571427,,,,
2013-11-22,1.51,1.59,1.51,1.59,,1.5399999999999998,,1.3389708995819092,1.4957142857142853,1.4778571428571428,,,,
2013-11-25,1.59,1.59,1.58,1.58,,1.705,,1.3431413173675537,1.511428571428571,1.4849999999999997,,,,
2013-11-26,1.58,1.58,1.495,1.58,,1.685,,1.3454016447067259,1.526428571428571,1.4942857142857142,1.4761666666666666,,,
2013-11-27,1.58,1.58,1.55,1.55,,1.685,,1.3463258743286133,1.537142857142857,1.499285714285714,1.477833333333333,,,
2013-11-28,1.55,1.56,1.55,1.56,,1.62,,1.345905065536499,1.5492857142857142,1.5057142857142856,1.4798333333333331,,,
2013-11-29,1.55,1.55,1.55,1.55,,1.6150000000000002,,1.3450779914855957,1.5592857142857142,1.5114285714285713,1.480833333333333,,,
2013-12-02,1.55,1.55,1.5,1.5,,1.51,,1.3478107452392578,1.5585714285714285,1.5150000000000001,1.4809999999999997,,,
2013-12-03,1.52,1.52,1.47,1.47,,1.42,,1.349245548248291,1.5414285714285716,1.5185714285714285,1.4809999999999997,,,
2013-12-04,1.5,1.5,1.47,1.5,,1.36,,1.3498619794845579,1.53,1.5207142857142857,1.482333333333333,,,
2013-12-05,1.51,1.51,1.505,1.505,,1.45,,1.353907585144043,1.5192857142857144,1.5228571428571427,1.4839999999999998,,,
2013-12-06,1.505,1.505,1.505,1.505,,1.4499999999999995,,1.3572213649749756,1.512857142857143,1.5249999999999997,1.4858333333333331,,,
2013-12-09,1.52,1.53,1.51,1.52,,1.4599999999999995,,1.359801173210144,1.507142857142857,1.528214285714285,1.4896666666666667,,,
2013-12-10,1.52,1.55,1.52,1.55,,1.54,,1.361645221710205,1.507142857142857,1.5332142857142852,1.4939999999999998,,,
2013-12-11,1.55,1.55,1.55,1.55,,1.63,,1.362751603126526,1.5142857142857142,1.536428571428571,1.4983333333333329,,,
2013-12-12,1.51,1.51,1.5,1.51,,1.6,,1.3631184101104736,1.5199999999999998,1.5307142857142855,1.5006666666666664,,,
2013-12-13,1.51,1.51,1.51,1.51,,1.515,,1.362743616104126,1.5214285714285711,1.5257142857142856,1.5026666666666662,,,
2013-12-16,1.51,1.55,1.51,1.55,,1.515,,1.3617939949035645,1.5278571428571428,1.5235714285714284,1.5059999999999993,,,
2013-12-17,1.55,1.55,1.52,1.55,,1.58,,1.3602628707885742,1.5342857142857145,1.5235714285714284,1.5083333333333326,,,
2013-12-18,1.55,1.6,1.55,1.6,,1.55,,1.3579990863800049,1.545714285714286,1.5264285714285715,1.5133333333333325,,,
2013-12-19,1.59,1.6,1.59,1.6,,1.65,,1.3550000190734863,1.552857142857143,1.53,1.5173333333333328,,,
2013-12-20,1.55,1.55,1.52,1.52,,1.6900000000000002,,1.3512641191482544,1.5485714285714285,1.5314285714285716,1.5189999999999995,,,
2013-12-23,1.53,1.55,1.52,1.55,,1.53,,1.3467895984649658,1.5542857142857145,1.5371428571428574,1.521666666666666,,,
2013-12-24,1.57,1.58,1.55,1.55,,1.55,,1.3413326740264893,1.5600000000000003,1.540714285714286,1.5249999999999992,,,
2013-12-27,1.57,1.58,1.55,1.55,,1.55,,1.3350687026977541,1.5600000000000003,1.5439285714285718,1.5293333333333325,,,
2013-12-30,1.56,1.56,1.56,1.56,,1.5,,1.327942132949829,1.5614285714285716,1.5478571428571433,1.5323333333333327,,,
2013-12-31,1.56,1.56,1.56,1.56,,1.52,,1.3200676441192627,1.555714285714286,1.550714285714286,1.535166666666666,,,
2014-01-02,1.56,1.56,1.56,1.56,,1.6,,1.3114502429962158,1.5500000000000005,1.5514285714285716,1.5379999999999994,,,
2014-01-03,1.56,1.56,1.54,1.54,,1.57,,1.302088975906372,1.5528571428571436,1.5507142857142857,1.5401666666666658,,,
2014-01-06,1.54,1.54,1.52,1.53,,1.53,,1.291982889175415,1.5500000000000005,1.5521428571428573,1.5418333333333327,,,
