Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
1999-03-22,31.55,31.55,31.29,31.29,1400.0,,,1.8098522424697876
1999-03-23,31.3,31.85,31.3,31.85,23115.0,,,1.8182452917099
1999-03-24,31.85,31.9,31.1,31.9,12748.0,,,1.8286442756652832
1999-03-25,31.89,31.9,31.89,31.9,6516.0,,,1.8415933847427368
1999-03-26,31.89,31.9,31.89,31.9,1864.0,,,1.8566533327102661
1999-03-29,31.9,31.9,31.7,31.9,80340.0,,,1.8704509735107422
1999-03-30,32.0,32.0,32.0,32.0,18000.0,32.51,,1.8779466152191162
1999-03-31,31.95,32.1,31.95,32.0,330210.0,32.15,,1.880699634552002
1999-04-01,32.0,32.25,32.0,32.25,808.0,32.1,,1.8834604024887085
1999-04-06,32.25,32.35,32.25,32.35,669.0,32.6,,1.8864073753356934
1999-04-07,34.1,34.3,34.1,34.3,410.0,32.800000000000004,,1.889535665512085
1999-04-08,34.1,35.0,34.0,34.0,33278.0,36.7,,1.89284086227417
1999-04-09,34.2,34.5,34.0,34.5,2260.0,36.0,,1.8962141275405884
1999-04-12,34.657,35.0,34.6,34.8,1060.0,37.0,,1.899540901184082
1999-04-13,34.6,35.0,34.6,35.0,4882.0,37.35,,1.9030027389526367
1999-04-14,35.01,36.0,35.0,35.0,21525.0,37.65,,1.9065994024276733
1999-04-15,34.0,35.0,34.0,34.6,7484.0,35.7,,1.9103302955627441
1999-04-16,34.6,34.7,34.0,34.495,17122.0,35.2,,1.914072871208191
1999-04-19,34.5,35.65,34.5,35.6,5151.0,34.489999999999995,,1.917898416519165
1999-04-20,35.6,35.6,35.5,35.5,15493.0,36.40000000000001,,1.921851634979248
1999-04-21,35.5,36.0,35.5,36.0,10243.0,36.0,,1.9259344339370728
1999-04-22,36.05,36.5,36.05,36.5,6020.0,37.0,,1.9301483631134033
1999-04-23,36.5,37.5,36.5,37.27,3479.0,38.4,,1.934494972229004
1999-04-26,37.27,38.0,37.27,37.45,2732.0,40.04500000000001,,1.9389759302139282
1999-04-27,37.9,37.9,37.45,37.77,4502.0,39.3,,1.9435927867889404
1999-04-28,37.5,37.5,37.2,37.2,40223.0,40.040000000000006,,1.9483469724655151
1999-04-29,37.0,37.0,36.9,36.9,21000.0,38.40000000000001,,1.9532402753829956
1999-04-30,36.0,36.74,36.0,36.5,18022.0,37.3,,1.958274245262146
1999-05-03,36.5,36.64,36.5,36.5,30546.0,35.73,,1.9633910655975342
1999-05-04,36.64,36.64,36.0,36.29,22631.0,35.55,,1.968372106552124
1999-05-05,36.3,36.5,36.0,36.0,6620.0,34.809999999999995,,1.972753643989563
1999-05-06,36.5,36.5,36.0,36.0,2404.0,34.8,,1.9772131443023682
1999-05-07,35.894,35.894,35.0,35.1,18914.0,35.1,,1.9817508459091187
1999-05-10,35.083,35.2,35.083,35.2,1280.0,33.7,,1.986367106437683
1999-05-11,35.9,35.9,35.2,35.9,2113.0,33.90000000000001,,1.9910622835159302
1999-05-12,35.65,35.65,35.5,35.5,16731.0,35.51,,1.9958367347717285
1999-05-13,35.5,35.76,35.5,35.5,2491.0,35.0,,2.0006906986236572
1999-05-14,35.6,36.6,35.6,36.6,1563.0,35.0,,2.005540609359741
1999-05-17,36.6,36.6,36.59,36.6,15060.0,38.1,,2.010287284851074
1999-05-18,36.6,36.6,36.56,36.56,21499.0,38.0,,2.014397144317627
1999-05-19,36.2,36.4,36.0,36.0,16549.0,37.22000000000001,,2.0179481506347656
1999-05-20,36.2,36.26,36.2,36.2,28676.0,36.5,,2.021517753601074
1999-05-21,35.6,35.6,35.6,35.6,21000.0,36.90000000000001,,2.0251059532165527
1999-05-24,35.6,35.6,35.6,35.6,82.0,34.6,,2.028568744659424
1999-05-25,35.5,35.6,35.5,35.5,17118.0,34.6,,2.0318667888641357
1999-05-26,35.3,35.5,35.1,35.1,22870.0,34.44,,2.0351650714874268
1999-05-27,35.05,35.2,33.0,35.0,4785.0,34.2,,2.0384633541107178
1999-05-28,35.0,35.0,32.0,35.0,36521.0,33.8,,2.041761636734009
1999-05-31,32.05,35.0,32.05,35.0,880.0,34.4,,2.0450596809387207
1999-06-01,34.5,34.5,34.5,34.5,250.0,34.4,,2.0483579635620117
1999-06-02,34.5,34.5,33.93,33.93,2183.0,33.5,,2.0516562461853027
1999-06-03,33.0,33.1,33.0,33.1,3726.0,32.76,,2.0549545288085938
1999-06-04,33.3,33.3,33.1,33.15,4765.0,31.20000000000001,,2.0582528114318848
1999-06-07,33.2,33.2,33.0,33.0,4558.0,31.3,,2.0615508556365967
1999-06-08,33.06,33.5,33.06,33.5,2865.0,31.0,,2.0648491382598877
1999-06-09,34.5,34.582,34.5,34.582,869.0,32.5,,2.0681474208831787
1999-06-10,34.5,35.0,34.2,34.4,29710.0,35.234,,2.0714457035064697
1999-06-11,34.65,34.9,34.4,34.9,7546.0,35.7,,2.0747437477111816
1999-06-15,35.052,35.052,34.98,35.0,47743.0,36.65,,2.0780420303344727
1999-06-16,35.0,35.0,35.0,35.0,54013.0,37.0,,2.0813403129577637
1999-06-17,35.5,36.0,35.5,35.9,33134.0,36.5,,2.0846385955810547
1999-06-18,35.7,35.8,35.5,35.65,15801.0,37.218,,2.0879368782043457
1999-06-21,35.7,36.0,35.7,35.8,7180.0,36.9,,2.0912349224090576
1999-06-22,35.701,35.701,35.1,35.1,113905.0,36.7,,2.0945332050323486
1999-06-23,35.1,35.15,35.1,35.15,7489.0,35.2,,2.0978314876556396
1999-06-24,35.0,35.0,34.6,34.6,12660.0,35.3,,2.1011297702789307
1999-06-25,34.4,34.6,34.0,34.6,55026.0,33.300000000000004,,2.1044278144836426
1999-06-28,34.6,34.6,34.6,34.6,730.0,33.550000000000004,,2.1077260971069336
1999-06-29,34.6,34.982,34.1,34.982,72980.0,33.40000000000001,,2.1110243797302246
1999-06-30,34.9,35.09,34.9,35.09,20276.0,34.864000000000004,,2.1143226623535156
1999-07-01,35.0,35.5,35.0,35.5,43351.0,35.03000000000001,,2.1176209449768066
1999-07-02,35.49,35.49,34.6,34.6,107270.0,36.4,,2.1209189891815186
1999-07-05,34.6,35.5,34.6,35.0,43635.0,34.6,,2.1242172718048096
1999-07-06,35.5,35.5,35.1,35.5,2948.0,35.4,,2.1275155544281006
1999-07-07,35.5,35.7,35.05,35.7,18000.0,36.018,,2.1308135986328125
1999-07-08,36.0,36.5,35.75,36.5,3061.0,36.31,,2.1341118812561035
1999-07-09,37.0,37.01,37.0,37.0,69057.0,37.5,,2.1374101638793945
1999-07-12,37.5,37.6,37.5,37.5,57835.0,39.4,,2.1407084465026855
1999-07-13,36.99,37.25,36.5,37.0,79300.0,40.0,,2.1440067291259766
1999-07-14,37.25,37.7,37.0,37.7,176007.0,38.5,,2.1473050117492676
1999-07-15,37.5,37.5,37.5,37.5,51905.0,39.7,,2.1506030559539795
1999-07-16,37.8,37.8,37.6,37.6,3300.0,38.5,,2.1539013385772705
1999-07-19,37.95,38.0,37.95,38.0,5242.0,38.2,,2.1571996212005615
1999-07-20,38.5,40.06,38.5,40.0,5474.0,38.5,,2.1604979038238525
1999-07-21,40.0,40.0,39.91,40.0,3268.0,43.0,,2.1637959480285645
1999-07-22,39.991,40.05,39.99,40.01,2169.0,42.3,,2.1670942306518555
1999-07-23,40.01,40.4,39.5,40.0,892.0,42.52,,2.1703925132751465
1999-07-26,40.0,41.0,39.5,41.0,5150.0,42.4,,2.1736907958984375
1999-07-27,40.663000000000004,40.663000000000004,40.0,40.0,2460.0,44.0,,2.1769888401031494
1999-07-28,40.0,40.0,40.0,40.0,900.0,40.0,,2.1802871227264404
1999-07-29,40.0,40.5,40.0,40.5,4038.0,40.0,,2.1835854053497314
1999-07-30,40.1,41.0,40.1,41.0,2320.0,40.99,,2.1868836879730225
1999-08-02,41.0,41.0,41.0,41.0,1541.0,42.0,,2.1901819705963135
1999-08-03,41.0,41.0,41.0,41.0,674.0,41.0,,2.1934800148010254
1999-08-04,41.108999999999995,41.11,40.7,40.7,4467.0,42.0,,2.1967782974243164
1999-08-05,40.7,40.7,39.5,39.5,2508.0,41.40000000000001,,2.2000765800476074
1999-08-06,40.0,40.0,39.0,39.0,840.0,38.5,,2.2033748626708984
1999-08-09,39.2,39.2,39.2,39.2,2238.0,37.0,,2.2066731452941895
1999-08-10,39.2,39.2,39.0,39.0,5788.0,37.40000000000001,,2.2099711894989014
1999-08-11,38.37300000000001,38.6,38.37300000000001,38.6,5673.0,37.0,,2.2132694721221924
1999-08-12,39.0,40.0,39.0,39.99,5198.0,36.5,,2.2165677547454834
1999-08-13,36.8,40.0,36.8,40.0,8839.0,40.48,,2.2198660373687744
1999-08-16,39.99,39.99,39.99,39.99,10200.0,41.0,,2.2231640815734863
1999-08-17,39.99,39.99,39.99,37.01,10200.0,40.78,,2.2264623641967773
1999-08-18,39.98,39.99,39.0,39.0,2539.0,35.02,,2.2297606468200684
1999-08-19,39.5,39.5,39.5,39.5,63820.0,39.4,,2.2330589294433594
1999-08-20,39.99,40.0,39.0,40.0,4616.0,39.01,,2.2363572120666504
1999-08-23,40.0,41.0,40.0,40.0,7174.0,40.0,,2.2396552562713623
1999-08-24,40.01,40.4,40.0,40.4,4400.0,40.01,,2.2429535388946533
1999-08-25,40.4,41.0,40.4,41.0,63365.0,43.79,,2.2462518215179443
1999-08-26,41.0,41.0,40.8,41.0,18904.0,43.0,,2.2495498657226562
1999-08-27,41.0,41.0,41.0,41.0,9772.0,42.5,,2.2528481483459473
1999-08-30,41.2,41.2,41.0,41.0,9156.0,42.0,,2.2561464309692383
1999-08-31,41.0,41.0,41.0,41.0,749.0,42.0,,2.2594447135925293
1999-09-01,41.0,41.5,41.0,41.5,5659.0,41.6,,2.2627429962158203
1999-09-02,41.51,41.51,41.0,41.2,13088.0,42.0,,2.2660412788391113
1999-09-03,41.19,41.19,40.15,40.15,2837.0,41.40000000000001,,2.2693393230438232
1999-09-06,40.15,40.15,40.15,40.15,618.0,39.3,,2.2726376056671143
1999-09-07,40.15,40.15,39.5,39.5,3594.0,39.3,,2.2759358882904053
1999-09-08,39.5,39.75,39.5,39.75,1998.0,38.0,,2.2792341709136963
1999-09-09,39.5,40.0,39.5,40.0,50450.0,38.0,,2.282532215118408
1999-09-10,40.0,40.0,39.0,39.5,18206.0,38.8,,2.285830497741699
1999-09-13,39.0,39.0,39.0,39.0,500.0,38.85,,2.2891287803649902
1999-09-14,38.5,39.0,38.5,39.0,3200.0,37.85,,2.2924270629882812
1999-09-15,39.0,39.5,39.0,39.5,1886.0,38.5,,2.2957253456115723
1999-09-16,39.5,39.5,38.0,38.0,2280.0,39.25,,2.299023389816284
1999-09-17,37.0,37.0,36.0,36.0,9940.0,36.0,,2.302321672439575
1999-09-20,36.5,36.5,36.0,36.0,1796.0,32.5,,2.305619955062866
1999-09-21,36.0,36.0,35.5,35.5,2039.0,33.0,,2.3089182376861572
1999-09-22,35.0,35.0,34.75,34.75,1236.0,32.0,,2.312216281890869
1999-09-23,34.0,34.02,34.0,34.0,6755.0,30.0,,2.31551456451416
1999-09-24,34.0,34.0,33.0,33.1,3821.0,30.0,,2.318812847137451
1999-09-27,33.0,35.0,32.8,35.0,5607.0,30.20000000000001,,2.322111129760742
1999-09-28,35.0,35.0,35.0,35.0,56000.0,34.0,,2.325409412384033
1999-09-29,35.0,35.0,35.0,35.0,2596.0,34.5,,2.328707456588745
1999-09-30,35.1,35.1,35.1,35.1,1904.0,35.25,,2.332005739212036
1999-10-01,35.1,36.0,35.1,36.0,1856.0,36.2,,2.335304021835327
1999-10-04,35.5,35.5,35.5,35.5,715.0,38.9,,2.338602066040039
1999-10-05,36.5,36.5,36.5,36.5,2004.0,36.0,,2.34190034866333
1999-10-06,37.0,38.5,37.0,38.5,1955.0,38.0,,2.345198631286621
1999-10-07,39.5,40.0,39.5,40.0,9383.0,42.0,,2.348496913909912
1999-10-08,39.5,39.5,39.5,39.5,8154.0,44.9,,2.351795196533203
1999-10-11,39.5,40.0,39.5,40.0,17656.0,43.0,,2.355093479156494
1999-10-12,40.0,40.0,40.0,40.0,1000.0,44.5,,2.358391523361206
1999-10-13,40.0,40.0,39.53,39.53,7714.0,43.5,,2.361689805984497
1999-10-14,39.5,40.0,39.5,40.0,971.0,40.56,,2.364988088607788
1999-10-15,39.9,39.9,39.9,39.9,1384.0,40.0,,2.368286371231079
1999-10-18,39.91,39.91,39.85,39.85,53.0,40.3,,2.371584415435791
1999-10-19,39.5,39.5,39.0,39.0,2733.0,39.7,,2.374882698059082
1999-10-20,39.0,39.0,39.0,39.0,1000.0,38.0,,2.378180980682373
1999-10-21,39.0,39.0,39.0,37.0,1000.0,38.47,,2.381479263305664
1999-10-22,38.19,38.5,38.19,38.5,4007.0,34.0,,2.384777545928955
1999-10-25,38.5,38.5,38.0,38.5,3160.0,37.1,,2.388075828552246
1999-10-26,38.1,38.5,38.0,38.0,1532.0,37.15,,2.391373872756958
1999-10-27,38.1,38.1,38.0,38.0,10206.0,37.0,,2.394672155380249
1999-10-28,38.0,38.4,37.0,37.0,10237.0,37.0,,2.397970199584961
