Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,7.8,7.82,7.76,7.77,121092.0,,,2.0116989612579346,,,,,,
1999-03-23,7.74,7.75,7.65,7.65,275126.0,,,2.012115001678467,,,,,,
1999-03-24,7.62,7.63,7.55,7.55,130259.0,,,2.0125777721405034,,,,,,
1999-03-25,7.56,7.7,7.56,7.67,146642.0,,,2.0130677223205566,,,,,,
1999-03-26,7.65,7.67,7.5,7.65,221825.0,,,2.013589143753052,,,,,,
1999-03-29,7.7,7.7,7.5,7.52,321937.0,,,2.0141246318817143,,,,,,
1999-03-30,7.55,7.57,7.4,7.56,500065.0,7.27,,2.0146627426147456,7.6242857142857146,,,,,
1999-03-31,7.65,7.77,7.62,7.7,525308.0,7.469999999999999,,2.0152266025543213,7.614285714285716,,,,,
1999-04-01,7.75,7.82,7.75,7.8,145475.0,7.85,,2.015844821929932,7.635714285714287,,,,,
1999-04-06,7.8,7.8,7.65,7.7,210527.0,7.93,,2.016489028930664,7.657142857142859,,,,,
1999-04-07,7.63,7.65,7.53,7.64,516792.0,7.75,,2.0169951915740967,7.652857142857145,,,,,
1999-04-08,7.72,7.75,7.676,7.676,128496.0,7.76,,2.0173320770263667,7.656571428571431,,,,,
1999-04-09,7.943,8.05,7.9,8.0,154163.0,7.792000000000002,,2.0176918506622314,7.725142857142861,,,,,
1999-04-12,7.901,7.92,7.84,7.85,137514.0,8.3,,2.0180189609527592,7.766571428571432,7.695428571428572,,,,
1999-04-13,7.9,7.93,7.83,7.85,258704.0,7.899999999999999,,2.0184245109558105,7.788000000000003,7.701142857142857,,,,
1999-04-14,7.86,7.86,7.82,7.84,334963.0,7.999999999999999,,2.0188665390014653,7.793714285714289,7.714714285714286,,,,
1999-04-15,7.8,7.881,7.8,7.881,891044.0,8.04,,2.0193336009979252,7.8195714285714315,7.738357142857143,,,,
1999-04-16,7.928,7.93,7.8,7.8,377437.0,8.086,,2.0198233127593994,7.842428571428575,7.747642857142857,,,,
1999-04-19,7.8,7.8,7.7,7.7,96218.0,7.6,,2.020305633544922,7.845857142857146,7.751214285714285,,,,
1999-04-20,7.7,7.7,7.63,7.65,703485.0,7.550000000000002,,2.020801067352295,7.7958571428571455,7.7605,,,,
1999-04-21,7.65,7.7,7.65,7.66,204877.0,7.450000000000001,,2.021320104598999,7.768714285714289,7.7676428571428575,,,,
1999-04-22,7.85,7.91,7.81,7.9,256474.0,7.48,,2.0218634605407715,7.775857142857146,7.781928571428572,,,,
1999-04-23,7.829,7.85,7.75,7.85,195419.0,7.919,,2.0224316120147705,7.777285714285717,7.7855,,,,
1999-04-26,7.9,7.92,7.9,7.92,34760.0,7.899999999999999,,2.0230245590209956,7.782857142857146,7.801214285714286,,,,
1999-04-27,8.08,8.13,7.95,8.0,1323515.0,8.14,,2.0236432552337646,7.811428571428574,7.826928571428572,,,,
1999-04-28,8.09,8.09,7.9,7.9,178775.0,8.35,,2.0242877006530757,7.8400000000000025,7.842928571428572,,,,
1999-04-29,7.9,7.97,7.87,7.87,278700.0,8.14,,2.024972915649414,7.871428571428574,7.833642857142857,,,,
1999-04-30,7.93,8.02,7.86,7.86,271008.0,7.84,,2.025707006454468,7.900000000000001,7.834357142857144,,,,
1999-05-03,7.8610000000000015,7.8610000000000015,7.7,7.7,285327.0,7.870000000000001,,2.0264673233032227,7.871428571428574,7.8236428571428585,,,,
1999-05-04,7.8,7.8,7.65,7.65,767921.0,7.48,,2.0272541046142583,7.842857142857144,7.8100714285714306,7.758900000000001,,,
1999-05-05,7.56,7.6,7.5,7.51,959878.0,7.300000000000002,,2.028066873550415,7.784285714285716,7.78357142857143,7.750233333333333,,,
1999-05-06,7.581,7.581,7.41,7.49,213390.0,7.119999999999999,,2.0289056301116943,7.711428571428573,7.761428571428573,7.7449,,,
1999-05-07,7.45,7.45,7.11,7.2,3319172.0,7.11,,2.0297701358795166,7.611428571428574,7.725714285714288,7.733233333333333,,,
1999-05-10,7.141,7.2,7.05,7.2,253258.0,6.54,,2.0306596755981445,7.515714285714289,7.69357142857143,7.7175666666666665,,,
1999-05-11,7.2,7.2,7.07,7.15,457012.0,6.7,,2.031574487686157,7.414285714285717,7.657142857142859,7.7009,,,
1999-05-12,7.15,7.4,7.12,7.25,340113.0,6.65,,2.0325138568878174,7.350000000000002,7.6107142857142875,7.6918999999999995,,,
1999-05-13,7.315,7.4,7.3,7.4,156490.0,6.99,,2.0333855152130127,7.314285714285717,7.578571428571431,7.686566666666666,,,
1999-05-14,7.4,7.5,7.36,7.4,86137.0,7.31,,2.033881664276123,7.298571428571431,7.5414285714285745,7.676566666666667,,,
1999-05-17,7.1370000000000005,7.35,7.1,7.1,294537.0,7.6,,2.034271001815796,7.2428571428571455,7.4771428571428595,7.653233333333333,,,
