Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2004-12-09,1.2,1.22,1.14,1.2,3149122.0,,,0.6174832582473755,,,,,,
2004-12-10,1.2,1.2,1.18,1.19,910219.0,,,0.6867798566818237,,,,,,
2004-12-13,1.19,1.2,1.17,1.17,139456.0,,,0.7746509313583374,,,,,,
2004-12-14,1.17,1.21,1.17,1.21,332547.0,,,0.8801901340484619,,,,,,
2004-12-15,1.21,1.23,1.2,1.21,330789.0,,,0.9819201231002808,,,,,,
2004-12-16,1.22,1.33,1.22,1.28,606043.0,,,1.0585745573043823,,,,,,
2004-12-17,1.32,1.33,1.3,1.31,905197.0,1.36,,1.116962432861328,1.2242857142857144,,,,,
2004-12-20,1.32,1.32,1.26,1.27,271433.0,1.4300000000000002,,1.1616116762161257,1.2342857142857144,,,,,
2004-12-21,1.27,1.28,1.23,1.23,216227.0,1.37,,1.1916595697402954,1.2400000000000002,,,,,
2004-12-22,1.26,1.27,1.24,1.27,185307.0,1.25,,1.2063905000686646,1.2542857142857144,,,,,
2004-12-23,1.27,1.28,1.21,1.21,340573.0,1.33,,1.2056211233139038,1.2542857142857144,,,,,
2004-12-24,1.23,1.3,1.23,1.3,525761.0,1.14,,1.1892942190170288,1.2671428571428573,,,,,
2004-12-29,1.26,1.26,1.26,1.26,525761.0,1.29,,1.158574461936951,1.2642857142857145,,,,,
2004-12-30,1.3,1.32,1.3,1.32,12113.0,1.25,,1.1548852920532229,1.2657142857142858,1.2450000000000003,,,,
2004-12-31,1.31,1.31,1.31,1.31,4193.0,1.41,,1.156564474105835,1.2714285714285718,1.2528571428571431,,,,
2005-01-04,1.29,1.3,1.29,1.29,211519.0,1.35,,1.1505130529403689,1.28,1.26,,,,
2005-01-05,1.29,1.32,1.29,1.29,55908.0,1.37,,1.1496362686157229,1.282857142857143,1.2685714285714285,,,,
2005-01-06,1.29,1.34,1.29,1.34,307494.0,1.28,,1.1737021207809448,1.3014285714285714,1.2778571428571426,,,,
2005-01-07,1.37,1.44,1.37,1.43,365266.0,1.4200000000000002,,1.1950337886810305,1.3199999999999998,1.2935714285714284,,,,
2005-01-10,1.44,1.44,1.4,1.42,342576.0,1.5399999999999998,,1.2128143310546875,1.3428571428571427,1.3035714285714282,,,,
2005-01-11,1.42,1.42,1.35,1.35,146293.0,1.5299999999999998,,1.2242565155029297,1.3471428571428568,1.306428571428571,,,,
2005-01-12,1.36,1.36,1.35,1.35,293983.0,1.41,,1.232469916343689,1.3528571428571425,1.312142857142857,,,,
2005-01-13,1.4,1.4,1.38,1.38,71865.0,1.41,,1.2391213178634644,1.3657142857142854,1.3228571428571425,,,,
2005-01-14,1.38,1.38,1.35,1.35,96143.0,1.4199999999999997,,1.244295358657837,1.3742857142857139,1.3285714285714285,,,,
2005-01-17,1.36,1.36,1.35,1.36,122532.0,1.2700000000000002,,1.2460557222366333,1.3771428571428568,1.339285714285714,,,,
2005-01-18,1.36,1.36,1.34,1.34,427788.0,1.3000000000000005,,1.2414207458496094,1.3642857142857139,1.3421428571428569,,,,
2005-01-19,1.35,1.36,1.34,1.36,473354.0,1.33,,1.2325761318206787,1.3557142857142852,1.3492857142857138,,,,
2005-01-20,1.38,1.42,1.38,1.4,964461.0,1.37,,1.2202939987182615,1.3628571428571425,1.3549999999999993,,,,
2005-01-21,1.41,1.43,1.38,1.4,413999.0,1.42,,1.2214089632034302,1.3699999999999997,1.3614285714285708,,,,
2005-01-24,1.37,1.38,1.37,1.37,990200.0,1.4499999999999995,,1.232986330986023,1.3685714285714283,1.3671428571428568,1.3056666666666668,,,
2005-01-25,1.37,1.4,1.36,1.4,487331.0,1.38,,1.2444220781326294,1.3757142857142857,1.3749999999999996,1.3123333333333334,,,
2005-01-27,1.41,1.43,1.41,1.43,150952.0,1.4599999999999995,,1.2636151313781738,1.3857142857142857,1.381428571428571,1.3203333333333334,,,
2005-01-28,1.43,1.43,1.4,1.41,171824.0,1.4999999999999998,,1.2841732501983645,1.3957142857142857,1.3799999999999994,1.3283333333333331,,,
2005-01-31,1.41,1.47,1.41,1.47,336287.0,1.42,,1.30428147315979,1.4114285714285715,1.3835714285714278,1.3369999999999997,,,
2005-02-01,1.47,1.56,1.45,1.49,807862.0,1.54,,1.3241338729858398,1.4242857142857144,1.3935714285714276,1.3463333333333332,,,
2005-02-02,1.49,1.5,1.46,1.48,146740.0,1.61,,1.3434733152389526,1.4357142857142857,1.402857142857142,1.3529999999999995,,,
2005-02-03,1.48,1.48,1.46,1.46,235196.0,1.56,,1.362271785736084,1.4485714285714286,1.4085714285714277,1.3579999999999997,,,
2005-02-04,1.45,1.45,1.42,1.44,60753.0,1.49,,1.3805030584335327,1.4542857142857142,1.4149999999999991,1.3636666666666661,,,
2005-02-07,1.44,1.45,1.44,1.45,47466.0,1.47,,1.3981400728225708,1.457142857142857,1.4214285714285706,1.3709999999999996,,,
2005-02-08,1.44,1.45,1.42,1.42,37738.0,1.43,,1.4141414165496826,1.4585714285714284,1.4271428571428562,1.3759999999999997,,,
2005-02-09,1.42,1.44,1.42,1.44,147597.0,1.35,,1.4231269359588623,1.454285714285714,1.432857142857142,1.3836666666666662,,,
2005-02-10,1.44,1.44,1.38,1.4,284290.0,1.4,,1.4318290948867798,1.441428571428571,1.432857142857142,1.3869999999999996,,,
2005-02-11,1.38,1.4,1.37,1.38,82930.0,1.34,,1.4405922889709473,1.4271428571428568,1.4314285714285706,1.3909999999999996,,,
2005-02-14,1.38,1.4,1.38,1.38,660681.0,1.3199999999999998,,1.4477505683898926,1.4157142857142853,1.4321428571428563,1.3929999999999998,,,
2005-02-15,1.4,1.45,1.4,1.44,2006506.0,1.3099999999999998,,1.4540287256240845,1.4157142857142853,1.4349999999999992,1.3973333333333329,,,
2005-02-16,1.46,1.5,1.46,1.46,71430.0,1.46,,1.45941162109375,1.4171428571428568,1.4371428571428564,1.4029999999999996,,,
2005-02-17,1.46,1.46,1.44,1.45,217575.0,1.48,,1.4638850688934326,1.421428571428571,1.4399999999999993,1.408333333333333,,,
2005-02-18,1.46,1.46,1.43,1.45,693259.0,1.5,,1.4674383401870728,1.4228571428571424,1.438571428571428,1.4119999999999997,,,
2005-02-21,1.44,1.46,1.44,1.45,459377.0,1.52,,1.4701415300369265,1.4299999999999995,1.435714285714285,1.4126666666666665,,,
2005-02-22,1.47,1.47,1.45,1.47,2333639.0,1.52,,1.4719291925430298,1.4428571428571426,1.4349999999999992,1.414333333333333,,,
2005-02-23,1.49,1.5,1.48,1.5,1166295.0,1.5,,1.4727941751480105,1.4599999999999997,1.437857142857142,1.4193333333333331,,,
2005-02-24,1.5,1.51,1.49,1.5,386697.0,1.54,,1.4727301597595217,1.4685714285714284,1.4421428571428563,1.424333333333333,,,
2005-02-25,1.51,1.53,1.5,1.51,336745.0,1.55,,1.4717313051223757,1.4757142857142855,1.4464285714285707,1.428666666666666,,,
2005-02-28,1.52,1.53,1.51,1.53,593052.0,1.57,,1.4697924852371216,1.4871428571428569,1.4542857142857137,1.434666666666666,,,
2005-03-01,1.53,1.53,1.49,1.5,83635.0,1.61,,1.4669102430343628,1.4942857142857142,1.458571428571428,1.439333333333333,,,
2005-03-02,1.5,1.5,1.47,1.48,531351.0,1.53,,1.463081121444702,1.4985714285714287,1.4642857142857137,1.4439999999999993,,,
2005-03-03,1.48,1.48,1.45,1.46,360141.0,1.46,,1.4583032131195068,1.4971428571428569,1.4699999999999995,1.4473333333333327,,,
2005-03-04,1.46,1.46,1.45,1.46,556905.0,1.42,,1.4525750875473022,1.491428571428571,1.4757142857142855,1.4493333333333327,,,
2005-03-07,1.48,1.48,1.47,1.48,68674.0,1.41,,1.4458967447280884,1.4885714285714282,1.4785714285714282,1.4519999999999993,,,
2005-03-08,1.48,1.48,1.46,1.46,172849.0,1.43,,1.4382687807083132,1.4814285714285713,1.4785714285714282,1.4549999999999994,1.3803333333333332,,
2005-03-09,1.45,1.46,1.4,1.46,584518.0,1.42,,1.4294083118438718,1.4714285714285713,1.479285714285714,1.4569999999999996,1.3846666666666665,,
2005-03-10,1.45,1.45,1.41,1.42,133423.0,1.44,,1.4195932149887085,1.4599999999999997,1.4771428571428569,1.4566666666666663,1.3884999999999998,,
2005-03-11,1.44,1.46,1.44,1.45,101298.0,1.38,,1.4088317155838013,1.4557142857142853,1.4771428571428569,1.4579999999999997,1.3931666666666664,,
2005-03-14,1.48,1.49,1.48,1.49,155444.0,1.44,,1.3971296548843384,1.4599999999999997,1.4785714285714282,1.4586666666666666,1.3978333333333333,,
2005-03-15,1.5,1.5,1.47,1.49,258341.0,1.5,,1.384494423866272,1.4642857142857142,1.4778571428571425,1.4586666666666666,1.4024999999999999,,
2005-03-16,1.49,1.5,1.49,1.49,321473.0,1.52,,1.3709338903427124,1.4657142857142857,1.4771428571428566,1.459,1.4059999999999997,,
2005-03-17,1.49,1.49,1.48,1.48,65226.0,1.52,,1.3564573526382446,1.4685714285714286,1.4749999999999994,1.4596666666666667,1.4088333333333332,,
2005-03-18,1.49,1.49,1.48,1.48,111164.0,1.54,,1.3410755395889282,1.4714285714285715,1.4714285714285709,1.4609999999999999,1.4123333333333332,,
2005-03-21,1.47,1.48,1.46,1.48,521342.0,1.51,,1.324800729751587,1.4800000000000002,1.4699999999999993,1.4619999999999997,1.4164999999999999,,
2005-03-22,1.45,1.45,1.45,1.45,521342.0,1.47,,1.3076462745666504,1.4800000000000002,1.467857142857142,1.4629999999999999,1.4195,,
2005-03-23,1.47,1.48,1.44,1.48,953697.0,1.41,,1.2896262407302856,1.4785714285714289,1.4692857142857136,1.464333333333333,1.4240000000000002,,
2005-03-24,1.48,1.48,1.44,1.46,75289.0,1.47,,1.2707576751708984,1.4742857142857146,1.4692857142857136,1.4663333333333333,1.4266666666666667,,
2005-03-29,1.45,1.45,1.44,1.44,49282.0,1.44,,1.251057505607605,1.4671428571428573,1.4664285714285707,1.468333333333333,1.4296666666666666,,
2005-03-30,1.43,1.43,1.41,1.42,105374.0,1.4,,1.230545163154602,1.4585714285714286,1.4635714285714276,1.4696666666666662,1.4313333333333336,,
2005-03-31,1.42,1.45,1.42,1.45,1065104.0,1.36,,1.2092413902282717,1.4542857142857142,1.462857142857142,1.4699999999999998,1.4336666666666669,,
2005-04-01,1.45,1.49,1.45,1.49,332549.0,1.45,,1.1877772808074951,1.4557142857142857,1.4678571428571416,1.4709999999999999,1.437,,
2005-04-04,1.48,1.48,1.48,1.48,27022.0,1.5,,1.16586172580719,1.4600000000000002,1.4699999999999989,1.4719999999999998,1.4401666666666666,,
2005-04-05,1.47,1.486,1.47,1.481,64294.0,1.5,,1.1433186531066897,1.4601428571428572,1.469357142857142,1.473033333333333,1.4425166666666664,,
2005-04-06,1.47,1.48,1.46,1.46,176576.0,1.5219999999999998,,1.1214418411254885,1.4601428571428572,1.467214285714285,1.4733666666666663,1.4430166666666662,,
2005-04-07,1.46,1.49,1.46,1.49,378777.0,1.5,,1.103324294090271,1.4672857142857143,1.467214285714285,1.474033333333333,1.4441833333333327,,
2005-04-08,1.49,1.5,1.49,1.5,95603.0,1.53,,1.0847563743591309,1.4787142857142859,1.4686428571428565,1.474033333333333,1.4466833333333329,,
2005-04-11,1.481,1.497,1.47,1.481,63362.0,1.51,,1.0657621622085571,1.4831428571428573,1.468714285714285,1.4733999999999996,1.4488666666666663,,
