Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,4.595,4.64,4.59,4.61,536410.0,,,3.0514168739318848,,,,,,
1999-03-23,4.63,4.68,4.6,4.6,948425.0,,,3.0532591342926025,,,,,,
1999-03-24,4.6,4.68,4.57,4.67,1243750.0,,,3.0555312633514404,,,,,,
1999-03-25,4.6930000000000005,4.77,4.68,4.74,1179162.0,,,3.058338165283203,,,,,,
1999-03-26,4.75,4.83,4.74,4.83,846324.0,,,3.061819314956665,,,,,,
1999-03-29,4.89,4.92,4.85,4.9,1043185.0,,,3.06606125831604,,,,,,
1999-03-30,4.96,4.97,4.841,4.841,1053993.0,5.19,,3.070216417312622,4.7415714285714285,,,,,
1999-03-31,4.667,4.72,4.56,4.56,1644218.0,5.082000000000002,,3.074223756790161,4.734428571428572,,,,,
1999-04-01,4.58,4.6,4.56,4.6,613669.0,4.449999999999998,,3.0785977840423584,4.734428571428572,,,,,
1999-04-06,4.65,4.72,4.622,4.622,527465.0,4.459999999999999,,3.0832860469818115,4.727571428571429,,,,,
1999-04-07,4.63,4.63,4.57,4.59,1155305.0,4.414,,3.0874667167663574,4.706142857142858,,,,,
1999-04-08,4.606,4.61,4.449,4.449,1163506.0,4.2799999999999985,,3.0911693572998047,4.651714285714286,,,,,
1999-04-09,4.5,4.5,4.41,4.46,2465164.0,4.057,,3.094124794006348,4.588857142857144,,,,,
1999-04-12,4.4689999999999985,4.52,4.45,4.48,663683.0,4.36,,3.097108125686645,4.537285714285715,4.639428571428572,,,,
1999-04-13,4.5,4.54,4.49,4.5,374036.0,4.360000000000001,,3.100136041641236,4.528714285714286,4.631571428571428,,,,
1999-04-14,4.51,4.52,4.48,4.52,883974.0,4.378,,3.1032118797302246,4.517285714285714,4.625857142857143,,,,
1999-04-15,4.49,4.54,4.4,4.52,439277.0,4.449999999999998,,3.106336832046509,4.502714285714286,4.615142857142857,,,,
1999-04-16,4.56,4.74,4.56,4.73,1849945.0,4.590999999999998,,3.109541893005371,4.5227142857142875,4.614428571428571,,,,
1999-04-19,4.758,4.8,4.68,4.7639999999999985,602017.0,5.000000000000001,,3.1127932071685787,4.567714285714287,4.609714285714285,,,,
1999-04-20,4.78,4.81,4.76,4.8,2257588.0,5.047999999999998,,3.1160898208618164,4.616285714285715,4.602571428571428,,,,
1999-04-21,4.79,4.81,4.63,4.665,2178028.0,5.1,,3.119413137435913,4.642714285714287,4.590000000000001,,,,
1999-04-22,4.7,4.77,4.7,4.75,500111.0,4.8100000000000005,,3.1217114925384517,4.678428571428573,4.603571428571429,,,,
1999-04-23,4.79,4.81,4.71,4.78,1225032.0,4.98,,3.12378191947937,4.7155714285714305,4.616428571428572,,,,
1999-04-26,4.755,4.76,4.71,4.75,198393.0,4.83,,3.1258084774017334,4.748428571428574,4.625571428571429,,,,
1999-04-27,4.769,4.8,4.72,4.8,1659607.0,4.7360000000000015,,3.1277894973754883,4.758428571428573,4.640571428571429,,,,
1999-04-28,4.82,4.89,4.82,4.87,1691563.0,4.8,,3.1297500133514404,4.77357142857143,4.670642857142858,,,,
1999-04-29,5.0,5.08,4.92,5.08,4390734.0,5.075,,3.1316912174224854,4.81357142857143,4.7149285714285725,,,,
1999-04-30,5.12,5.28,5.12,5.2,2483645.0,5.41,,3.133613109588623,4.890000000000002,4.766357142857144,,,,
1999-05-03,5.15,5.36,5.12,5.35,2087380.0,5.62,,3.1355168819427486,4.975714285714289,4.827071428571429,,,,
1999-05-04,5.4289999999999985,5.5,5.4,5.4,2347732.0,5.9499999999999975,,3.1374008655548096,5.064285714285717,4.889928571428572,4.747699999999999,,,
1999-05-05,5.38,5.4,5.25,5.32,1553415.0,6.000000000000001,,3.139265537261963,5.145714285714289,4.947071428571431,4.771366666666665,,,
1999-05-06,5.35,5.35,5.08,5.19,1012504.0,5.7700000000000005,,3.141110897064209,5.201428571428574,4.979928571428573,4.791033333333332,,,
1999-05-07,5.15,5.15,5.05,5.069,1050399.0,5.300000000000002,,3.1429369449615483,5.2298571428571465,5.0017142857142876,4.804333333333332,,,
1999-05-10,5.07,5.07,4.99,5.01,700254.0,4.938,,3.1447441577911377,5.219857142857146,5.016714285714288,4.813333333333332,,,
1999-05-11,5.05,5.13,5.03,5.1,607692.0,4.67,,3.1465322971343994,5.205571428571432,5.047785714285716,4.822333333333331,,,
1999-05-12,5.1,5.18,5.06,5.1,2297548.0,4.799999999999999,,3.148301601409912,5.169857142857146,5.072785714285716,4.828999999999997,,,
1999-05-13,5.05,5.05,4.98,4.99,1611249.0,4.879999999999999,,3.1500520706176762,5.111285714285718,5.087785714285715,4.833966666666664,,,
1999-05-14,5.04,5.14,5.03,5.0939999999999985,1036920.0,4.79,,3.1517791748046875,5.079000000000003,5.112357142857143,4.851766666666664,,,
1999-05-17,5.01,5.09,5.01,5.072,1157576.0,5.118999999999999,,3.153437852859497,5.062142857142861,5.131785714285715,4.867499999999997,,,
1999-05-18,5.05,5.14,5.05,5.12,1429558.0,5.1339999999999995,,3.1550931930541988,5.069428571428575,5.149642857142858,4.884099999999997,,,
1999-05-19,5.05,5.06,4.97,5.002,930428.0,5.1400000000000015,,3.15674352645874,5.068285714285719,5.144071428571429,4.89783333333333,,,
1999-05-20,5.0,5.0,4.85,4.92,1912918.0,4.904,,3.1583869457244877,5.042571428571433,5.124071428571429,4.91353333333333,,,
1999-05-21,4.85,4.85,4.68,4.75,1550345.0,4.85,,3.1600220203399663,4.992571428571432,5.081214285714287,4.923199999999996,,,
1999-05-24,4.73,4.75,4.67,4.675,1423204.0,4.4060000000000015,,3.161647319793701,4.947571428571432,5.029428571428572,4.929699999999997,,,
1999-05-25,4.61,4.64,4.555,4.555,2214310.0,4.2780000000000005,,3.1632616519927983,4.870571428571432,4.974785714285716,4.931533333333331,,,
1999-05-26,4.55,4.69,4.55,4.65,2632644.0,3.9899999999999993,,3.1648659706115723,4.810285714285717,4.936214285714287,4.935866666666664,,,
1999-05-27,4.707,4.8,4.69,4.75,2446668.0,4.298000000000001,,3.166458368301392,4.757428571428575,4.9134285714285735,4.94353333333333,,,
1999-05-28,4.7,4.77,4.68,4.75,2459623.0,4.58,,3.168036460876465,4.721428571428574,4.894857142857144,4.944199999999997,,,
1999-05-31,4.7,4.76,4.7,4.73,828342.0,4.75,,3.169600009918213,4.694285714285717,4.8684285714285735,4.943066666666663,,,
1999-06-01,4.73,4.89,4.71,4.89,407069.0,4.785000000000001,,3.1711487770080566,4.714285714285716,4.853428571428574,4.946066666666662,,,
1999-06-02,4.849,4.93,4.8,4.91,1162427.0,5.225,,3.1726720333099365,4.7478571428571446,4.8477142857142885,4.954233333333329,,,
1999-06-03,4.95,5.0,4.9,4.95,2110999.0,5.17,,3.1741530895233154,4.804285714285717,4.837428571428575,4.960899999999995,,,
1999-06-04,4.995,5.0,4.91,4.961,1548687.0,5.15,,3.17561674118042,4.848714285714288,4.829500000000003,4.966933333333329,,,
1999-06-07,5.038,5.07,4.95,4.97,985423.0,5.1720000000000015,,3.1770632266998287,4.880142857142859,4.818785714285717,4.974266666666662,,,
1999-06-08,5.0,5.04,5.0,5.01,1652982.0,5.209999999999999,,3.178492546081543,4.9172857142857165,4.819357142857146,4.981266666666661,,,
1999-06-09,5.0,5.22,5.0,5.106,757073.0,5.13,,3.1799049377441406,4.971000000000002,4.83264285714286,4.989133333333328,,,
1999-06-10,5.1,5.15,5.03,5.084,832599.0,5.3020000000000005,,3.181300163269043,4.998714285714287,4.856500000000003,4.989266666666661,,,
1999-06-11,5.107,5.15,5.08,5.1,852988.0,5.217999999999999,,3.182697534561157,5.025857142857144,4.886857142857146,4.985933333333327,,,
1999-06-15,5.1,5.25,5.1,5.2,898403.0,5.238999999999999,,3.1841745376586914,5.061571428571431,4.932928571428574,4.980933333333327,,,
1999-06-16,5.2,5.32,5.19,5.2,2329723.0,5.4300000000000015,,3.185635805130005,5.095714285714288,4.972214285714288,4.974266666666661,4.8609833333333325,,
1999-06-17,5.15,5.22,5.12,5.16,620928.0,5.3900000000000015,,3.1870815753936768,5.1228571428571446,5.001500000000002,4.968933333333327,4.870149999999999,,
1999-06-18,5.2,5.27,5.17,5.25,1198759.0,5.2139999999999995,,3.188511848449707,5.157142857142859,5.037214285714287,4.970933333333327,4.880983333333332,,
1999-06-21,5.3,5.3,5.15,5.22,1758432.0,5.416,,3.189926862716675,5.173428571428573,5.072214285714288,4.975966666666661,4.890149999999999,,
1999-06-22,5.22,5.3,5.2,5.28,1964176.0,5.34,,3.1913263797760014,5.201428571428573,5.100071428571431,4.984966666666661,4.899149999999998,,
1999-06-23,5.19,5.26,5.19,5.23,2572886.0,5.36,,3.192710876464844,5.2200000000000015,5.122928571428574,4.989299999999995,4.905816666666666,,
