Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2004-07-06,2.21,2.34,2.21,2.34,8123423.0,,,1.908331155776977,,,,,,
2004-07-07,2.34,2.35,2.3,2.3,1644480.0,,,1.968019962310791,,,,,,
2004-07-08,2.31,2.4,2.3,2.35,1201621.0,,,2.0472736358642583,,,,,,
2004-07-09,2.36,2.38,2.33,2.38,698199.0,,,2.1492602825164795,,,,,,
2004-07-12,2.36,2.38,2.33,2.36,253953.0,,,2.25796127319336,,,,,,
2004-07-13,2.38,2.48,2.38,2.4,1598847.0,,,2.3387434482574463,,,,,,
2004-07-14,2.42,2.45,2.41,2.42,706744.0,2.46,,2.401577472686768,2.3642857142857143,,,,,
2004-07-15,2.43,2.48,2.43,2.47,620640.0,2.54,,2.450336217880249,2.382857142857143,,,,,
2004-07-16,2.48,2.48,2.47,2.48,475032.0,2.5900000000000003,,2.481363534927368,2.4085714285714284,,,,,
2004-07-19,2.48,2.48,2.46,2.48,110612.0,2.58,,2.499808549880981,2.427142857142857,,,,,
2004-07-20,2.48,2.48,2.41,2.47,249109.0,2.6,,2.511725664138794,2.44,,,,,
2004-07-21,2.47,2.47,2.4,2.41,284148.0,2.5400000000000005,,2.517080307006836,2.447142857142857,,,,,
2004-07-22,2.41,2.46,2.41,2.46,109780.0,2.4000000000000004,,2.515906810760498,2.455714285714286,,,,,
2004-07-23,2.46,2.47,2.46,2.47,736380.0,2.45,,2.506955862045288,2.462857142857143,2.4135714285714287,,,,
2004-07-26,2.47,2.47,2.45,2.45,174938.0,2.4600000000000004,,2.4906585216522217,2.4600000000000004,2.4214285714285717,,,,
2004-07-27,2.46,2.48,2.45,2.47,211800.0,2.4200000000000004,,2.468106746673584,2.4585714285714286,2.433571428571429,,,,
2004-07-28,2.48,2.5,2.48,2.49,561697.0,2.47,,2.468413829803467,2.4600000000000004,2.443571428571429,,,,
2004-07-29,2.53,2.53,2.49,2.49,327274.0,2.5700000000000003,,2.489527702331543,2.462857142857143,2.451428571428572,,,,
2004-07-30,2.53,2.53,2.5,2.5,248290.0,2.5200000000000005,,2.508806705474853,2.475714285714286,2.461428571428572,,,,
2004-08-02,2.51,2.53,2.5,2.53,135319.0,2.53,,2.527585744857788,2.485714285714286,2.4707142857142865,,,,
2004-08-03,2.53,2.54,2.52,2.52,193560.0,2.6099999999999994,,2.5458667278289795,2.4928571428571433,2.4778571428571436,,,,
