Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,10.0,10.0,9.9,9.91,245274.0,,,2.130352020263672,,,,,,
1999-03-23,9.9,9.9,9.7,9.7,204434.0,,,2.3853659629821777,,,,,,
1999-03-24,9.56,9.78,9.56,9.76,297547.0,,,2.733405113220215,,,,,,
1999-03-25,9.77,9.8,9.75,9.78,179764.0,,,2.981388568878174,,,,,,
1999-03-26,9.8,9.83,9.607999999999999,9.607999999999999,130277.0,,,3.2020492553710938,,,,,,
1999-03-29,9.61,9.66,9.55,9.55,95294.0,,,3.3738417625427246,,,,,,
1999-03-30,9.55,9.75,9.55,9.7,58262.0,9.19,,3.533910751342773,9.715428571428571,,,,,
1999-03-31,9.65,9.68,9.5,9.6,399886.0,9.7,,3.6907200813293457,9.671142857142856,,,,,
1999-04-01,9.6,9.7,9.6,9.7,204171.0,9.44,,3.836236000061035,9.671142857142856,,,,,
1999-04-06,9.8,9.94,9.8,9.85,247675.0,9.62,,3.981295108795166,9.683999999999997,,,,,
1999-04-07,9.7,9.84,9.7,9.81,163980.0,10.092,,4.12239408493042,9.688285714285712,,,,,
1999-04-08,9.85,9.91,9.8,9.9,342167.0,10.07,,4.263932228088379,9.729999999999999,,,,,
1999-04-09,9.911,9.93,9.8,9.9,198799.0,10.1,,4.4038357734680185,9.78,,,,,
1999-04-12,9.8,9.8,9.55,9.72,140489.0,10.2,,4.542076587677002,9.782857142857141,9.749142857142857,,,,
1999-04-13,9.79,9.85,9.72,9.73,295496.0,9.740000000000002,,4.679091930389403,9.801428571428572,9.736285714285714,,,,
1999-04-14,9.75,9.75,9.5,9.5,505931.0,9.61,,4.81530237197876,9.772857142857143,9.722,,,,
1999-04-15,9.52,9.52,9.25,9.25,501109.0,9.19,,4.94998025894165,9.687142857142858,9.68557142857143,,,,
1999-04-16,9.4,9.41,9.15,9.2,564819.0,8.6,,5.083131790161133,9.6,9.644142857142857,,,,
1999-04-19,9.192,9.2,9.12,9.18,490031.0,8.499999999999998,,5.214760780334473,9.497142857142856,9.61357142857143,,,,
1999-04-20,9.17,9.19,9.09,9.15,191957.0,8.639999999999999,,5.344874382019043,9.389999999999999,9.584999999999999,,,,
1999-04-21,9.116,9.3,9.1,9.3,238041.0,8.57,,5.4734768867492685,9.329999999999998,9.556428571428572,,,,
1999-04-22,9.312999999999999,9.48,9.312999999999999,9.48,164155.0,9.1,,5.600574970245361,9.294285714285712,9.547857142857143,,,,
1999-04-23,9.549,9.58,9.42,9.5,175633.0,9.71,,5.726173400878906,9.294285714285712,9.533571428571431,,,,
1999-04-26,9.5,9.6,9.46,9.6,21729.0,9.8,,5.850276470184326,9.344285714285713,9.515714285714287,,,,
1999-04-27,9.571,9.571,9.35,9.44,172743.0,10.02,,5.972891330718994,9.378571428571425,9.489285714285716,,,,
1999-04-28,9.45,9.45,9.28,9.28,153288.0,9.73,,6.0942726135253915,9.392857142857139,9.445000000000002,,,,
1999-04-29,9.289,9.289,9.12,9.12,162489.0,9.259999999999998,,6.214207649230957,9.388571428571424,9.389285714285716,,,,
1999-04-30,9.154,9.3,9.15,9.2,146770.0,8.759999999999998,,6.332695960998535,9.37428571428571,9.352142857142857,,,,
1999-05-03,9.133,9.133,9.05,9.05,720470.0,8.899999999999997,,6.449390411376952,9.312857142857139,9.30357142857143,,,,
1999-05-04,9.08,9.13,9.06,9.1,679723.0,8.500000000000002,,6.562638759613037,9.25571428571428,9.275000000000002,9.518933333333333,,,
1999-05-05,9.095,9.12,8.96,8.98,403747.0,8.76,,6.6742000579833975,9.167142857142853,9.255714285714287,9.487933333333332,,,
1999-05-06,9.0,9.0,8.76,8.85,197050.0,8.680000000000001,,6.784072399139403,9.082857142857138,9.230714285714287,9.4596,,,
1999-05-07,8.82,8.9,8.7,8.89,336910.0,8.58,,6.892253875732423,9.027142857142852,9.209999999999999,9.4306,,,
1999-05-10,8.92,8.95,8.86,8.9,257055.0,8.580000000000002,,6.998909950256348,8.995714285714282,9.192142857142857,9.401266666666666,,,
1999-05-11,8.95,9.08,8.9,9.08,86667.0,8.75,,7.108208656311035,8.978571428571426,9.176428571428572,9.383666666666667,,,
1999-05-12,9.134,9.14,9.0,9.08,309193.0,9.06,,7.216143131256103,8.98285714285714,9.147857142857145,9.367999999999999,,,
1999-05-13,9.12,9.12,9.02,9.1,120161.0,9.18,,7.322724342346191,8.982857142857139,9.119285714285715,9.348,,,
1999-05-14,9.15,9.4,9.15,9.4,84479.0,9.35,,7.428576946258545,9.04285714285714,9.105000000000002,9.341333333333331,,,
1999-05-17,9.0,9.1,9.0,9.071,246193.0,9.91,,7.533031463623048,9.074428571428566,9.078642857142858,9.320366666666667,,,
1999-05-18,9.07,9.15,9.07,9.1,239391.0,9.242,,7.636138916015625,9.104428571428567,9.065785714285715,9.295366666666666,,,
1999-05-19,9.15,9.3,9.0,9.025,148624.0,9.12,,7.737898826599121,9.122285714285711,9.059000000000001,9.2692,,,
1999-05-20,9.1,9.1,8.95,8.95,173792.0,8.97,,7.838315486907959,9.10371428571428,9.041142857142857,9.237533333333333,,,
1999-05-21,9.0,9.03,8.89,9.03,119882.0,8.799999999999997,,7.93739128112793,9.096571428571425,9.039714285714286,9.208533333333332,,,
1999-05-24,9.0,9.05,8.95,8.999,89644.0,8.659999999999998,,8.035127639770508,9.082142857142852,9.0325,9.184499999999998,,,
1999-05-25,8.85,8.95,8.83,8.9,102450.0,8.927000000000003,,8.131527900695799,9.01071428571428,9.026785714285715,9.156833333333331,,,
1999-05-26,8.95,9.0,8.83,8.99,90958.0,8.700000000000001,,8.226593971252441,8.999142857142854,9.036785714285715,9.139833333333332,,,
