Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2011-12-13,2.2,2.21,2.18,2.21,4209858.0,,,1.1651228666305542,,,,,,
2011-12-14,2.18,2.2,2.14,2.19,1305111.0,,,1.3715932369232178,,,,,,
2011-12-15,2.18,2.18,2.15,2.17,811510.0,,,1.60090172290802,,,,,,
2011-12-16,2.18,2.2,2.18,2.2,904265.0,,,1.8055424690246584,,,,,,
2011-12-19,2.2,2.24,2.19,2.23,2238291.0,,,1.9928274154663088,,,,,,
2011-12-20,2.22,2.29,2.22,2.25,475635.0,,,2.13216233253479,,,,,,
2011-12-21,2.28,2.29,2.25,2.28,1161320.0,2.29,,2.18794584274292,2.2185714285714284,,,,,
2011-12-22,2.28,2.28,2.25,2.26,95213.0,2.37,,2.1795401573181152,2.2257142857142855,,,,,
2011-12-23,2.27,2.27,2.26,2.26,123383.0,2.35,,2.1206717491149902,2.2357142857142853,,,,,
2011-12-28,2.26,2.26,2.23,2.24,25392.0,2.3199999999999994,,2.07720947265625,2.245714285714285,,,,,
2011-12-29,2.24,2.24,2.24,2.24,2894.0,2.2500000000000004,,2.05360746383667,2.2514285714285713,,,,,
2011-12-30,2.24,2.26,2.24,2.26,11220.0,2.2300000000000004,,2.0238454341888428,2.255714285714285,,,,,
2012-01-03,2.26,2.26,2.26,2.26,4900.0,2.24,,1.9760079383850095,2.2571428571428567,,,,,
2012-01-04,2.26,2.35,2.26,2.35,504489.0,2.26,,1.9236497879028318,2.267142857142857,2.242857142857143,,,,
2012-01-05,2.3,2.31,2.3,2.3,491290.0,2.4400000000000004,,1.9022567272186282,2.2728571428571427,2.249285714285714,,,,
2012-01-06,2.3,2.34,2.3,2.31,121980.0,2.3599999999999994,,1.902065753936768,2.28,2.2578571428571426,,,,
2012-01-09,2.31,2.31,2.3,2.31,29650.0,2.38,,1.9105911254882808,2.29,2.2678571428571423,,,,
2012-01-10,2.31,2.31,2.3,2.31,14998.0,2.3600000000000003,,1.9133164882659912,2.3000000000000003,2.2757142857142854,,,,
2012-01-11,2.31,2.31,2.31,2.31,13434.0,2.3600000000000003,,1.9107770919799805,2.307142857142857,2.281428571428571,,,,
2012-01-12,2.31,2.31,2.31,2.31,51600.0,2.27,,1.9033970832824707,2.3142857142857136,2.285714285714285,,,,
2012-01-13,2.29,2.29,2.25,2.25,61869.0,2.3200000000000003,,1.9003868103027344,2.2999999999999994,2.283571428571428,,,,
2012-01-16,2.25,2.31,2.25,2.28,210157.0,2.19,,1.914698362350464,2.2971428571428563,2.2849999999999997,,,,
2012-01-17,2.28,2.28,2.28,2.28,20000.0,2.25,,1.916741132736206,2.2928571428571423,2.2864285714285715,,,,
2012-01-18,2.24,2.24,2.21,2.24,4113.0,2.25,,1.9151258468627932,2.2828571428571425,2.2864285714285715,,,,
2012-01-19,2.22,2.22,2.21,2.22,49844.0,2.1700000000000004,,1.91508150100708,2.27,2.2849999999999997,,,,
2012-01-20,2.22,2.23,2.22,2.22,155270.0,2.1300000000000003,,1.915188550949097,2.257142857142857,2.282142857142857,,,,
2012-01-23,2.24,2.24,2.23,2.23,65034.0,2.1900000000000004,,1.9148106575012207,2.245714285714285,2.28,,,,
2012-01-24,2.23,2.24,2.23,2.24,11000.0,2.18,,1.9262845516204836,2.2442857142857138,2.272142857142857,,,,
2012-01-25,2.24,2.28,2.21,2.24,6575.0,2.2000000000000006,,1.9396860599517824,2.238571428571428,2.267857142857143,,,,
2012-01-27,2.23,2.23,2.22,2.23,14700.0,2.24,,1.952203750610352,2.231428571428571,2.262142857142857,2.2560000000000002,,,
2012-01-30,2.25,2.25,2.23,2.23,10736.0,2.24,,1.9675405025482176,2.229999999999999,2.2564285714285712,2.2566666666666673,,,
2012-01-31,2.22,2.22,2.18,2.18,110926.0,2.24,,1.9895265102386477,2.2242857142857138,2.2471428571428573,2.2563333333333344,,,
2012-02-01,2.21,2.24,2.21,2.24,28975.0,2.1300000000000003,,2.011735200881958,2.2271428571428564,2.2421428571428574,2.2586666666666675,,,
2012-02-02,2.25,2.26,2.23,2.23,21548.0,2.24,,2.0344204902648926,2.227142857142856,2.2364285714285717,2.2596666666666674,,,
2012-02-03,2.26,2.3,2.26,2.28,760575.0,2.22,,2.0588955879211426,2.2328571428571418,2.238571428571429,2.261333333333334,,,
2012-02-06,2.28,2.29,2.28,2.29,2860.0,2.33,,2.0809402465820312,2.2399999999999993,2.2392857142857143,2.2626666666666675,,,
2012-02-07,2.3,2.38,2.3,2.36,890229.0,2.35,,2.1024732589721684,2.258571428571428,2.245,2.265333333333334,,,
2012-02-08,2.35,2.35,2.33,2.35,36312.0,2.54,,2.124746084213257,2.2757142857142854,2.2528571428571427,2.2683333333333335,,,
2012-02-09,2.35,2.35,2.35,2.35,15300.0,2.46,,2.145784616470337,2.3,2.2621428571428575,2.271333333333333,,,
2012-02-10,2.36,2.36,2.36,2.36,15244.0,2.47,,2.1655538082122803,2.317142857142857,2.2721428571428572,2.2753333333333337,,,
