Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2011-05-10,3.21,3.36,3.14,3.36,53576271.0,,,0.3926334083080292,,,,,,
2011-05-11,3.37,3.62,3.37,3.52,18107513.0,,,0.7253044843673706,,,,,,
2011-05-12,3.44,3.48,3.37,3.39,18481377.0,,,1.2057901620864868,,,,,,
2011-05-13,3.39,3.45,3.37,3.45,6485208.0,,,1.837220907211304,,,,,,
2011-05-16,3.4,3.64,3.4,3.58,6125694.0,,,2.479010820388794,,,,,,
2011-05-17,3.52,3.63,3.52,3.58,9128840.0,,,2.9249265193939213,,,,,,
2011-05-18,3.57,3.6,3.52,3.55,8077401.0,3.8,,3.2883546352386475,3.4899999999999993,,,,,
2011-05-19,3.53,3.55,3.49,3.5,8861559.0,3.58,,3.586865901947021,3.5099999999999993,,,,,
2011-05-20,3.51,3.51,3.4,3.42,3621543.0,3.61,,3.8019869327545166,3.495714285714285,,,,,
2011-05-23,3.4,3.4,3.25,3.25,5640113.0,3.39,,3.9561009407043457,3.475714285714285,,,,,
2011-05-24,3.14,3.27,3.13,3.21,18761173.0,2.92,,4.049090385437012,3.441428571428571,,,,,
2011-05-25,3.22,3.31,3.22,3.22,11143804.0,2.84,,4.0765700340271005,3.3899999999999997,,,,,
2011-05-26,3.25,3.275,3.24,3.26,16230292.0,2.890000000000001,,4.016090393066406,3.344285714285714,,,,,
2011-05-27,3.27,3.42,3.27,3.39,8896535.0,3.02,,3.9289429187774663,3.3214285714285707,3.4057142857142852,,,,
2011-05-30,3.36,3.43,3.36,3.42,3290101.0,3.3600000000000003,,3.917948246002197,3.309999999999999,3.4099999999999997,,,,
2011-05-31,3.39,3.42,3.34,3.34,5223865.0,3.59,,3.970128297805786,3.298571428571428,3.397142857142857,,,,
2011-06-01,3.32,3.39,3.32,3.38,3467584.0,3.47,,3.994625806808472,3.3171428571428563,3.3964285714285714,,,,
2011-06-02,3.34,3.42,3.33,3.4,13881366.0,3.54,,3.991631746292114,3.3442857142857134,3.3928571428571423,,,,
2011-06-03,3.43,3.47,3.43,3.46,13081982.0,3.54,,3.95092511177063,3.3785714285714277,3.384285714285714,,,,
2011-06-06,3.43,3.5,3.41,3.47,7429563.0,3.53,,3.8699891567230233,3.4085714285714275,3.3764285714285713,,,,
2011-06-07,3.41,3.47,3.41,3.47,5024025.0,3.5200000000000005,,3.7618093490600586,3.4199999999999986,3.3707142857142856,,,,
2011-06-08,3.47,3.51,3.45,3.46,16020324.0,3.6000000000000005,,3.744808197021485,3.4257142857142844,3.367857142857143,,,,
2011-06-09,3.48,3.51,3.44,3.5,9109801.0,3.54,,3.7540066242218018,3.448571428571427,3.373571428571428,,,,
2011-06-10,3.53,3.55,3.47,3.49,8208979.0,3.6,,3.788739919662476,3.4642857142857126,3.3907142857142856,,,,
2011-06-14,3.47,3.48,3.43,3.46,5775246.0,3.5200000000000005,,3.814908266067505,3.4728571428571415,3.4085714285714284,,,,
2011-06-15,3.4,3.46,3.4,3.43,8791773.0,3.45,,3.829962968826294,3.468571428571427,3.4235714285714285,,,,
2011-06-16,3.38,3.39,3.35,3.35,9386652.0,3.39,,3.833906173706055,3.4514285714285706,3.43,,,,
2011-06-17,3.32,3.37,3.27,3.3,5631850.0,3.24,,3.826765298843384,3.4271428571428566,3.4235714285714285,,,,
2011-06-20,3.27,3.34,3.27,3.31,2641177.0,3.1,,3.808590650558472,3.405714285714285,3.415714285714286,,,,
2011-06-21,3.39,3.52,3.37,3.45,9444757.0,3.13,,3.77945876121521,3.3985714285714272,3.423571428571429,3.4123333333333323,,,
2011-06-22,3.5,3.5,3.43,3.44,9020060.0,3.4400000000000004,,3.7394673824310303,3.3914285714285706,3.427857142857143,3.414999999999999,,,
2011-06-23,3.47,3.49,3.43,3.45,3795320.0,3.45,,3.6956298351287837,3.3899999999999992,3.431428571428572,3.412666666666666,,,
2011-06-24,3.41,3.45,3.35,3.37,4877082.0,3.5500000000000003,,3.6988062858581534,3.381428571428571,3.4250000000000003,3.4119999999999995,,,
2011-06-27,3.3,3.38,3.3,3.36,4587180.0,3.4400000000000004,,3.6953437328338623,3.3828571428571417,3.4171428571428573,3.4089999999999994,,,
2011-06-28,3.34,3.4,3.34,3.38,2517378.0,3.41,,3.686776161193848,3.394285714285713,3.410714285714286,3.4023333333333325,,,
2011-06-29,3.38,3.46,3.36,3.42,3882366.0,3.31,,3.67622971534729,3.4099999999999993,3.4078571428571434,3.3969999999999994,,,
2011-06-30,3.41,3.43,3.37,3.4,5708633.0,3.4,,3.659037113189697,3.4028571428571417,3.4007142857142862,3.392,,,
2011-07-01,3.36,3.39,3.31,3.37,2292354.0,3.35,,3.635210037231445,3.392857142857142,3.3921428571428573,3.3876666666666666,,,
2011-07-04,3.59,3.75,3.57,3.67,11475885.0,3.37,,3.604764223098755,3.4242857142857135,3.4071428571428575,3.396,,,
2011-07-05,3.52,3.61,3.52,3.59,5827099.0,3.98,,3.5682718753814697,3.455714285714285,3.418571428571429,3.4073333333333333,,,
2011-07-06,3.55,3.58,3.47,3.5,7708742.0,3.8,,3.5458920001983643,3.475714285714285,3.4292857142857147,3.4170000000000003,,,
2011-07-07,3.42,3.48,3.42,3.46,10831500.0,3.58,,3.5255298614501958,3.4871428571428567,3.4407142857142863,3.425,,,
2011-07-08,3.54,3.54,3.46,3.49,4669056.0,3.52,,3.4999563694000244,3.497142857142857,3.453571428571429,3.4326666666666665,,,
2011-07-11,3.43,3.44,3.4,3.41,2205780.0,3.61,,3.4691882133483887,3.498571428571428,3.450714285714286,3.4333333333333327,,,
2011-07-12,3.33,3.42,3.33,3.39,3952450.0,3.1500000000000004,,3.433243989944458,3.5014285714285713,3.4471428571428575,3.432333333333333,,,
2011-07-13,3.42,3.44,3.4,3.41,2587279.0,3.1900000000000004,,3.4128301143646236,3.4642857142857144,3.4442857142857144,3.434666666666666,,,
2011-07-14,3.44,3.49,3.41,3.47,8629009.0,3.3200000000000003,,3.396580457687378,3.447142857142857,3.4514285714285715,3.437666666666666,,,
2011-07-15,3.44,3.46,3.43,3.45,4206627.0,3.4800000000000004,,3.376652956008911,3.44,3.457857142857143,3.4393333333333325,,,
2011-07-18,3.45,3.46,3.38,3.38,2047027.0,3.41,,3.353074312210083,3.428571428571428,3.457857142857143,3.436666666666666,,,
2011-07-19,3.34,3.39,3.34,3.36,2170818.0,3.35,,3.347523927688598,3.4099999999999997,3.4535714285714287,3.4329999999999994,,,
2011-07-20,3.43,3.43,3.38,3.4,2610905.0,3.33,,3.3591468334198,3.408571428571428,3.4535714285714287,3.4306666666666663,,,
2011-07-21,3.44,3.46,3.4,3.44,4510584.0,3.39,,3.3689124584198,3.415714285714285,3.4585714285714286,3.4299999999999997,,,
2011-07-22,3.48,3.51,3.45,3.46,5827064.0,3.41,,3.376839399337769,3.4228571428571426,3.4435714285714285,3.428666666666666,,,
2011-07-25,3.52,3.56,3.51,3.51,4199613.0,3.47,,3.3829472064971924,3.4285714285714284,3.4378571428571427,3.429333333333333,,,
2011-07-26,3.54,3.6,3.53,3.6,3231873.0,3.64,,3.387254476547241,3.45,3.445,3.4339999999999997,,,
2011-07-27,3.7,3.71,3.56,3.6,8380971.0,3.84,,3.3897833824157715,3.481428571428572,3.4549999999999996,3.439666666666666,,,
2011-07-28,3.51,3.58,3.47,3.5,6598198.0,3.8,,3.390553951263428,3.5014285714285722,3.4557142857142855,3.444666666666666,,,
2011-07-29,3.46,3.48,3.41,3.44,4116223.0,3.56,,3.3895876407623287,3.5071428571428584,3.4578571428571427,3.449333333333333,,,
2011-08-01,3.59,3.59,3.44,3.47,3624417.0,3.42,,3.3869073390960693,3.511428571428572,3.463571428571428,3.4546666666666663,,,
2011-08-02,3.4,3.44,3.37,3.39,2814177.0,3.4300000000000006,,3.382535219192505,3.5014285714285722,3.462142857142857,3.452666666666666,3.4324999999999988,,
2011-08-03,3.32,3.38,3.28,3.3,3955227.0,3.18,,3.3764960765838623,3.471428571428572,3.4499999999999997,3.4479999999999995,3.431499999999999,,
2011-08-04,3.26,3.37,3.26,3.35,3594689.0,3.0,,3.368813753128052,3.4357142857142864,3.4428571428571426,3.4446666666666657,3.428666666666665,,
2011-08-05,3.3,3.32,3.21,3.24,7073082.0,3.2,,3.3595123291015625,3.384285714285715,3.4328571428571424,3.4403333333333324,3.4261666666666657,,
2011-08-08,3.19,3.22,3.03,3.04,3949854.0,3.0400000000000005,,3.348618507385254,3.318571428571429,3.4099999999999997,3.4296666666666655,3.4193333333333324,,
2011-08-09,2.85,3.16,2.83,3.13,7238756.0,2.61,,3.336158037185669,3.2742857142857145,3.3907142857142856,3.4213333333333322,3.411833333333332,,
2011-08-10,3.05,3.18,3.05,3.12,4361255.0,2.87,,3.3221583366394043,3.2242857142857146,3.367857142857143,3.4113333333333324,3.4041666666666655,,
2011-08-11,3.05,3.22,3.05,3.17,2951412.0,2.9400000000000004,,3.306645631790161,3.192857142857143,3.347142857142857,3.4036666666666657,3.3978333333333315,,
2011-08-12,3.15,3.25,3.15,3.19,5644600.0,2.99,,3.2899558544158936,3.1771428571428575,3.3242857142857143,3.3976666666666655,3.3926666666666647,,
