Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2016-08-03,2.5,2.56,2.46,2.56,,,,0.23595941066741943
2016-08-04,2.59,2.62,2.58,2.6,,,,0.3377559781074524
2016-08-05,2.59,2.6,2.52,2.54,,,,0.47685080766677856
2016-08-08,2.57,2.58,2.54,2.58,,,,0.6614286303520203
2016-08-09,2.55,2.62,2.54,2.57,,,,0.8991377353668213
2016-08-10,2.54,2.63,2.51,2.51,,,,1.1969743967056274
2016-08-11,2.5,2.5,2.47,2.49,,2.4599999999999995,,1.5496232509613037
2016-08-12,2.5,2.55,2.5,2.52,,2.3800000000000003,,1.8978536128997803
2016-08-15,2.52,2.59,2.52,2.57,,2.5,,2.133967876434326
2016-08-16,2.59,2.6,2.57,2.59,,2.56,,2.320152521133423
2016-08-17,2.59,2.59,2.53,2.56,,2.61,,2.485905885696411
2016-08-18,2.57,2.58,2.56,2.57,,2.6100000000000003,,2.611394166946411
2016-08-19,2.56,2.58,2.56,2.57,,2.6499999999999995,,2.6957154273986816
2016-08-22,2.58,2.58,2.54,2.54,,2.62,,2.751136541366577
2016-08-23,2.54,2.55,2.515,2.53,,2.51,,2.776101589202881
2016-08-24,2.53,2.58,2.53,2.58,,2.47,,2.7727930545806885
2016-08-25,2.57,2.58,2.55,2.55,,2.6,,2.7421209812164307
2016-08-26,2.55,2.56,2.52,2.53,,2.53,,2.685311794281006
2016-08-29,2.54,2.56,2.51,2.52,,2.49,,2.653320789337158
2016-08-30,2.53,2.54,2.49,2.52,,2.5,,2.613356113433838
2016-08-31,2.5,2.54,2.49,2.54,,2.51,,2.6123757362365723
2016-09-01,2.51,2.53,2.5,2.53,,2.5,2.53,2.5991103649139404
2016-09-02,2.5,2.54,2.5,2.53,,2.51,2.532,2.5703799724578857
2016-09-05,2.54,2.55,2.52,2.54,,2.53,2.53,2.5307745933532715
2016-09-06,2.54,2.55,2.525,2.53,,2.56,2.537,2.5124521255493164
2016-09-07,2.53,2.55,2.49,2.5,,2.54,2.535,2.503871202468872
2016-09-08,2.5,2.51,2.49,2.5,,2.46,2.51,2.488429069519043
2016-09-09,2.48,2.5,2.45,2.45,,2.47,2.503,2.4702441692352295
2016-09-12,2.44,2.44,2.32,2.36,,2.370000000000001,2.4730000000000003,2.4871561527252197
2016-09-13,2.39,2.45,2.38,2.43,,2.18,2.401,2.4997286796569824
2016-09-14,2.42,2.43,2.4,2.43,,2.3300000000000005,2.425,2.5063982009887695
2016-09-15,2.42,2.42,2.37,2.39,,2.3600000000000003,2.425,2.5076327323913574
2016-09-16,2.41,2.43,2.36,2.37,,2.28,2.4019999999999997,2.504499912261963
