Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2014-06-25,6.7,7.05,6.7,7.05,,,
2014-06-26,7.2,7.27,7.12,7.27,,,
2014-06-27,7.16,7.25,7.13,7.17,,,
2014-06-30,7.19,7.32,7.11,7.15,,,
2014-07-01,7.1,7.19,7.04,7.13,,,
2014-07-02,7.23,7.23,7.1,7.18,,,
2014-07-03,7.22,7.25,7.16,7.2,,7.31,
2014-07-04,7.24,7.31,7.22,7.29,,7.130000000000001,
2014-07-07,7.43,7.44,7.37,7.37,,7.41,
2014-07-08,7.37,7.39,7.32,7.36,,7.59,
2014-07-09,7.38,7.39,7.27,7.32,,7.590000000000002,
2014-07-10,7.32,7.415,7.32,7.39,,7.460000000000001,
2014-07-11,7.4,7.44,7.39,7.43,,7.579999999999999,
2014-07-14,7.39,7.48,7.38,7.44,,7.5699999999999985,
2014-07-15,7.46,7.47,7.4,7.4,,7.510000000000002,
2014-07-16,7.4,7.42,7.38,7.41,,7.44,
2014-07-17,7.38,7.46,7.38,7.42,,7.5,
2014-07-18,7.38,7.46,7.35,7.46,,7.45,
2014-07-21,7.46,7.52,7.45,7.49,,7.49,
2014-07-22,7.55,7.595,7.41,7.44,,7.54,
2014-07-23,7.47,7.5,7.46,7.47,,7.48,
2014-07-24,7.52,7.57,7.51,7.53,,7.5299999999999985,
2014-07-25,7.51,7.57,7.44,7.48,,7.6400000000000015,
2014-07-28,7.45,7.55,7.45,7.49,,7.500000000000001,
2014-07-29,7.41,7.55,7.41,7.52,,7.49,
2014-07-30,7.59,7.64,7.55,7.58,,7.599999999999999,
2014-07-31,7.6,7.6,7.48,7.48,,7.69,
2014-08-01,7.3,7.365,7.3,7.32,,7.4300000000000015,
2014-08-04,7.3,7.36,7.29,7.33,,7.16,
2014-08-05,7.41,7.41,7.29,7.32,,7.17,
2014-08-06,7.32,7.345,7.25,7.32,,7.120000000000001,
2014-08-07,7.29,7.33,7.25,7.28,,7.0600000000000005,
2014-08-08,7.23,7.29,7.19,7.25,,7.08,
2014-08-11,7.3,7.31,7.26,7.27,,7.18,
2014-08-12,7.34,7.35,7.29,7.31,,7.209999999999999,
2014-08-13,7.28,7.34,7.27,7.33,,7.299999999999999,
2014-08-14,7.3,7.42,7.3,7.37,,7.34,
2014-08-15,7.42,7.52,7.4,7.52,,7.46,
2014-08-18,7.53,7.575,7.47,7.56,,7.789999999999999,
2014-08-19,7.63,7.64,7.54,7.57,,7.85,
2014-08-20,7.59,7.62,7.55,7.59,,7.830000000000001,
2014-08-21,7.66,7.67,7.505,7.58,,7.85,
