Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2016-12-06,1.55,1.765,1.55,1.72,,,,0.1936549246311188,,,,,,
2016-12-07,1.71,1.72,1.61,1.67,,,,0.2916836738586426,,,,,,
2016-12-08,1.7,1.71,1.61,1.655,,,,0.4073071181774139,,,,,,
2016-12-09,1.68,1.74,1.65,1.7,,,,0.5419482588768005,,,,,,
2016-12-12,1.7,1.715,1.62,1.625,,,,0.6939098834991455,,,,,,
2016-12-13,1.61,1.71,1.61,1.63,,,,0.8600658774375916,,,,,,
2016-12-14,1.635,1.69,1.62,1.625,,1.5399999999999998,,1.0358811616897583,1.6607142857142858,,,,,
2016-12-15,1.605,1.645,1.515,1.56,,1.58,,1.2119519710540771,1.637857142857143,,,,,
2016-12-16,1.54,1.58,1.412,1.42,,1.465,,1.3577598333358765,1.602142857142857,,,,,
2016-12-19,1.43,1.445,1.4,1.41,,1.14,,1.4806586503982544,1.5671428571428572,,,,,
2016-12-20,1.415,1.445,1.41,1.43,,1.1949999999999998,,1.568054437637329,1.5285714285714287,,,,,
2016-12-21,1.44,1.5,1.405,1.47,,1.23,,1.5856311321258545,1.5064285714285717,,,,,
2016-12-22,1.49,1.49,1.4,1.445,,1.315,,1.5575604438781738,1.4800000000000004,,,,,
2016-12-23,1.45,1.46,1.415,1.44,,1.33,,1.5252668857574463,1.453571428571429,1.5571428571428572,,,,
2016-12-28,1.45,1.515,1.45,1.475,,1.46,,1.5573399066925049,1.4414285714285717,1.5396428571428573,,,,
2016-12-29,1.475,1.515,1.435,1.48,,1.5400000000000005,,1.6442197561264038,1.4500000000000004,1.5260714285714287,,,,
2016-12-30,1.55,1.65,1.54,1.65,,1.53,,1.716700315475464,1.4842857142857147,1.5257142857142856,,,,
2017-01-03,1.645,1.69,1.595,1.66,,1.83,1.578,1.7827605009078982,1.5171428571428576,1.522857142857143,,,,
2017-01-04,1.74,1.79,1.705,1.72,,1.875,1.639,1.8429749011993408,1.5528571428571432,1.529642857142857,,,,
2017-01-05,1.72,1.902,1.72,1.9,,2.0,1.6770000000000005,1.8973392248153689,1.6178571428571433,1.5489285714285714,,,,
2017-01-06,1.99,1.99,1.845,1.885,,2.325,1.7970000000000002,1.9400763511657717,1.681428571428572,1.5675000000000001,,,,
2017-01-09,1.89,1.89,1.75,1.86,,2.29,1.8745,1.968657732009888,1.7364285714285719,1.5889285714285715,,,,
2017-01-10,1.89,1.95,1.89,1.925,,2.0700000000000003,1.865,1.9863631725311282,1.8000000000000005,1.625,,,,
2017-01-11,1.93,1.965,1.91,1.92,,2.1900000000000004,1.899,1.9955048561096191,1.838571428571429,1.6614285714285715,,,,
2017-01-12,1.95,1.965,1.9,1.93,,2.12,1.915,1.9973840713500977,1.8771428571428574,1.6971428571428573,,,,
2017-01-13,1.94,1.942,1.895,1.92,,1.96,1.925,2.0107078552246094,1.905714285714286,1.7292857142857143,,,,
2017-01-16,1.93,1.94,1.88,1.925,,1.955,1.922,2.019665479660034,1.9092857142857145,1.7635714285714286,,,,
2017-01-17,1.9,2.01,1.895,2.01,,1.99,1.9230000000000005,2.0241844654083248,1.9271428571428575,1.8042857142857145,,,,
2017-01-18,2.06,2.06,1.915,1.94,,2.095,1.9765,2.024369478225708,1.9385714285714288,1.8375000000000001,,,,
2017-01-19,1.92,1.93,1.845,1.865,,1.96,1.9595,2.0213093757629395,1.9300000000000002,1.865,1.6954999999999998,,,
2017-01-20,1.835,1.94,1.835,1.92,,1.8,1.9005,2.0163378715515137,1.9300000000000002,1.8842857142857146,1.7021666666666666,,,
2017-01-23,1.92,1.985,1.9,1.9,,1.92,1.9254999999999995,2.0271332263946533,1.925714285714286,1.9014285714285715,1.709833333333333,,,
2017-01-24,1.925,1.98,1.925,1.94,,1.875,1.9005,2.040821313858032,1.9285714285714288,1.9171428571428575,1.719333333333333,,,
2017-01-25,1.945,2.0,1.9,1.93,,1.87,1.932,2.0532684326171875,1.9292857142857145,1.9192857142857147,1.7269999999999996,,,
2017-01-27,1.9,1.965,1.865,1.95,,1.92,1.93,2.0702459812164307,1.9207142857142858,1.9239285714285717,1.7378333333333331,,,
2017-01-30,1.98,2.0,1.95,1.97,,2.035,1.944,2.10807466506958,1.9250000000000003,1.9317857142857144,1.7491666666666663,,,
2017-01-31,1.95,1.985,1.94,1.985,,2.02,1.9559999999999995,2.145092725753784,1.9421428571428572,1.9360714285714287,1.7611666666666663,,,
2017-02-01,2.02,2.03,1.995,2.02,,2.0700000000000003,1.975,2.182180881500244,1.9564285714285714,1.9432142857142856,1.7764999999999995,,,
2017-02-02,2.0,2.01,1.965,1.99,,2.1,1.9995,2.2200372219085693,1.9692857142857143,1.9474999999999998,1.7954999999999997,,,
2017-02-03,2.0,2.02,1.97,1.995,,2.05,1.9905,2.2570621967315674,1.9771428571428573,1.9528571428571426,1.8149999999999997,,,
2017-02-06,2.02,2.05,1.995,2.0,,2.04,1.9955,2.2930285930633545,1.9871428571428573,1.9582142857142855,1.8339999999999996,,,
2017-02-07,2.08,2.29,2.08,2.25,,2.03,1.996,2.327918529510498,2.0300000000000007,1.9753571428571424,1.8599999999999997,,,
2017-02-08,2.27,2.36,2.24,2.32,,2.515,2.2245,2.361713409423828,2.0800000000000005,2.0024999999999995,1.8891666666666664,,,
2017-02-09,2.35,2.4,2.31,2.34,,2.62,2.2595,2.394396543502808,2.1307142857142867,2.036428571428571,1.9191666666666662,,,
2017-02-10,2.33,2.35,2.24,2.35,,2.6899999999999995,2.318,2.4259493350982666,2.177857142857144,2.067142857142857,1.948333333333333,,,
2017-02-13,2.42,2.42,2.32,2.38,,2.705,2.335,2.4544696807861333,2.2335714285714294,2.1014285714285714,1.978333333333333,,,
2017-02-14,2.36,2.48,2.33,2.47,,2.76,2.377,2.4781625270843506,2.3014285714285725,2.139285714285714,2.0056666666666665,,,
2017-02-15,2.5,2.57,2.42,2.57,,2.6900000000000004,2.425,2.4994399547576904,2.382857142857144,2.1849999999999996,2.036,,,
2017-02-16,2.51,2.57,2.48,2.5,,2.82,2.55,2.5189859867095947,2.4185714285714295,2.224285714285714,2.062,,,
2017-02-17,2.52,2.56,2.5,2.53,,2.66,2.511,2.537099599838257,2.4485714285714297,2.264285714285714,2.083,,,
2017-02-20,2.54,2.58,2.495,2.54,,2.7099999999999995,2.521,2.553762912750244,2.477142857142858,2.303928571428571,2.1048333333333336,,,
2017-02-21,2.55,2.65,2.54,2.56,,2.7,2.539,2.568960666656494,2.5071428571428576,2.3425,2.1281666666666665,,,
2017-02-22,2.53,2.6,2.44,2.44,,2.65,2.5539999999999994,2.582674980163574,2.5157142857142865,2.3746428571428564,2.1453333333333333,,,
2017-02-23,2.43,2.55,2.43,2.53,,2.31,2.498,2.5948891639709477,2.5242857142857154,2.4128571428571424,2.1656666666666666,,,
2017-02-24,2.53,2.58,2.51,2.54,,2.56,2.521,2.6055867671966557,2.520000000000001,2.451428571428571,2.186,,,
2017-02-27,2.54,2.58,2.52,2.57,,2.5500000000000003,2.526,2.6147496700286865,2.530000000000001,2.4742857142857138,2.2076666666666664,,,
2017-02-28,2.49,2.49,2.41,2.43,,2.6,2.563,2.622360944747925,2.5157142857142865,2.4821428571428568,2.2245,,,
2017-03-01,2.41,2.49,2.33,2.45,,2.3000000000000003,2.51,2.628403186798096,2.502857142857144,2.4899999999999998,2.2391666666666667,,,
2017-03-02,2.43,2.54,2.41,2.49,,2.4600000000000004,2.46,2.632263422012329,2.4928571428571438,2.5,2.2575,,,
2017-03-03,2.37,2.47,2.33,2.43,,2.4500000000000006,2.476,2.6333799362182617,2.491428571428572,2.5035714285714286,2.2763333333333335,1.9859166666666666,,
2017-03-06,2.35,2.41,2.32,2.41,,2.3200000000000003,2.444,2.6323421001434326,2.4742857142857146,2.499285714285714,2.292666666666667,1.9974166666666664,,
2017-03-07,2.36,2.38,2.31,2.38,,2.2500000000000004,2.4360000000000004,2.6296250820159908,2.451428571428572,2.4857142857142853,2.3086666666666664,2.0092499999999998,,
2017-03-08,2.33,2.4,2.3,2.36,,2.33,2.398,2.625213146209717,2.4214285714285717,2.4757142857142855,2.322666666666666,2.0209999999999995,,
2017-03-09,2.3,2.33,2.26,2.29,,2.27,2.364,2.6190919876098637,2.4014285714285717,2.458571428571428,2.3346666666666662,2.030833333333333,,
2017-03-10,2.25,2.26,2.19,2.23,,2.09,2.3039999999999994,2.6112477779388428,2.3700000000000006,2.436428571428571,2.344,2.0409166666666665,,
2017-03-13,2.36,2.5,2.36,2.44,,2.03,2.248,2.6016650199890137,2.362857142857144,2.427857142857142,2.3596666666666666,2.0544166666666666,,
2017-03-14,2.5,2.6,2.48,2.59,,2.47,2.3470000000000004,2.590329647064209,2.3857142857142866,2.4385714285714277,2.379833333333333,2.0705,,
2017-03-15,2.54,2.71,2.45,2.59,,2.8,2.539,2.5772268772125244,2.4114285714285724,2.442857142857142,2.3988333333333336,2.0876666666666663,,
2017-03-16,2.47,2.55,2.42,2.55,,2.82,2.5540000000000003,2.562343120574951,2.435714285714287,2.4435714285714276,2.4175,2.1064999999999996,,
2017-03-17,2.48,2.53,2.36,2.43,,2.81,2.5580000000000003,2.545662641525269,2.445714285714287,2.4335714285714274,2.4320000000000004,2.1235,,
2017-03-20,2.41,2.42,2.36,2.37,,2.6300000000000003,2.47,2.527355432510376,2.4571428571428586,2.429285714285713,2.4443333333333337,2.1391666666666667,,
2017-03-21,2.4,2.4,2.3,2.35,,2.3000000000000003,2.452,2.5092437267303467,2.474285714285716,2.422142857142856,2.447666666666667,2.153833333333333,,
2017-03-22,2.4,2.45,2.36,2.44,,2.1100000000000003,2.3800000000000003,2.489418268203736,2.474285714285716,2.418571428571427,2.451666666666667,2.1704166666666667,,
2017-03-23,2.37,2.44,2.29,2.34,,2.29,2.4230000000000005,2.4762179851531982,2.43857142857143,2.412142857142855,2.451666666666667,2.185416666666667,,
2017-03-24,2.3,2.34,2.28,2.32,,2.13,2.3609999999999998,2.48210072517395,2.4000000000000017,2.4057142857142844,2.450666666666667,2.1995,,
2017-03-27,2.33,2.42,2.28,2.34,,2.2099999999999995,2.339,2.487078189849853,2.3700000000000014,2.4028571428571412,2.449333333333334,2.2138333333333335,,
2017-03-28,2.31,2.42,2.31,2.42,,2.31,2.351,2.491118192672729,2.3685714285714305,2.4071428571428557,2.4476666666666675,2.2266666666666666,,
