Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,5.2,5.3,5.16,5.29,2292426.0,,,2.5512399673461914,,,,,,
1999-03-23,5.29,5.37,5.29,5.3,2773403.0,,,2.88646936416626,,,,,,
1999-03-24,5.267,5.34,5.24,5.25,2333072.0,,,3.266355037689209,,,,,,
1999-03-25,5.29,5.29,5.24,5.256,2557004.0,,,3.5780565738677983,,,,,,
1999-03-26,5.32,5.33,5.24,5.24,5977047.0,,,3.879246234893799,,,,,,
1999-03-29,5.2,5.2,5.08,5.1,2788809.0,,,4.10113525390625,,,,,,
1999-03-30,5.15,5.16,5.05,5.0760000000000005,4187370.0,4.909999999999998,,4.268502712249757,5.216,,,,,
1999-03-31,5.1,5.1,5.05,5.05,2600010.0,4.852000000000001,,4.419311046600342,5.1817142857142855,,,,,
1999-04-01,5.1,5.13,5.06,5.13,1203390.0,4.85,,4.554250240325928,5.157428571428572,,,,,
1999-04-06,5.2,5.2,5.04,5.06,4213912.0,5.004,,4.674232006072998,5.130285714285715,,,,,
1999-04-07,5.05,5.09,5.0,5.0,5461358.0,4.879999999999999,,4.779636859893799,5.093714285714286,,,,,
1999-04-08,5.06,5.07,4.99,5.0,4105026.0,4.9,,4.870573997497559,5.059428571428572,,,,,
1999-04-09,5.04,5.05,5.0,5.02,4423386.0,4.924,,4.9475131034851065,5.048000000000001,,,,,
1999-04-12,5.04,5.07,5.02,5.06,2527717.0,4.989999999999998,,5.0097622871398935,5.045714285714287,5.130857142857144,,,,
1999-04-13,5.1,5.13,5.07,5.13,6903735.0,4.989999999999998,,5.057264804840088,5.057142857142859,5.119428571428571,,,,
1999-04-14,5.13,5.14,5.06,5.093,1971357.0,5.2,,5.089963912963867,5.051857142857144,5.104642857142857,,,,
1999-04-15,5.05,5.053,5.0,5.053,3767708.0,5.186,,5.107803821563722,5.050857142857143,5.090571428571429,,,,
1999-04-16,5.06,5.06,4.96,5.0,4613137.0,5.106,,5.110729217529297,5.050857142857143,5.072285714285714,,,,
1999-04-19,5.0,5.0,4.86,4.89,5166055.0,4.98,,5.098685264587402,5.035142857142858,5.047285714285715,,,,
1999-04-20,4.9,4.99,4.9,4.93,6541559.0,4.72,,5.07161808013916,5.022285714285715,5.0351428571428585,,,,
1999-04-21,4.99,5.02,4.88,4.91,6035812.0,4.73,,5.029474258422852,5.000857142857143,5.0232857142857155,,,,
1999-04-22,5.0,5.01,4.96,5.0,4587135.0,4.727,,4.9721999168396,4.982285714285714,5.019714285714287,,,,
1999-04-23,5.05,5.05,4.94,4.96,4355896.0,4.947,,4.899743556976318,4.963285714285713,5.00757142857143,,,,
1999-04-26,5.0,5.0,4.97,5.0,430362.0,4.92,,4.820245742797852,4.9557142857142855,5.003285714285716,,,,
1999-04-27,5.0,5.0,4.92,4.94,2812672.0,5.11,,4.804607391357422,4.947142857142857,4.999000000000001,,,,
1999-04-28,4.958,4.98,4.88,4.88,4597837.0,4.950000000000001,,4.799492835998535,4.945714285714286,4.9904285714285725,,,,
1999-04-29,4.9,4.92,4.81,4.8180000000000005,4172953.0,4.85,,4.788956642150879,4.929714285714285,4.976000000000001,,,,
1999-04-30,4.86,4.91,4.76,4.8,5454538.0,4.636000000000001,,4.834756374359131,4.914,4.957428571428572,,,,
1999-05-03,4.85,4.88,4.76,4.79,2453147.0,4.64,,4.886056900024414,4.8839999999999995,4.933142857142859,,,,
1999-05-04,4.873,4.873,4.81,4.82,1916982.0,4.58,,4.935850143432617,4.863999999999999,4.913642857142858,5.0282,,,
1999-05-05,4.85,4.9,4.82,4.9,2197226.0,4.7,,4.984140396118164,4.849714285714285,4.902714285714287,5.015200000000001,,,
1999-05-06,4.94,4.95,4.86,4.921,2689085.0,4.920000000000001,,5.031578540802002,4.8469999999999995,4.89707142857143,5.002566666666667,,,
1999-05-07,4.92,4.94,4.85,4.87,4057450.0,5.024,,5.078229427337647,4.845571428571427,4.895642857142859,4.9899000000000004,,,
1999-05-10,4.95,4.95,4.82,4.85,1899624.0,4.94,,5.123530387878418,4.850142857142856,4.889928571428574,4.976366666666666,,,
1999-05-11,4.857,4.87,4.83,4.84,1799562.0,4.909999999999998,,5.167489528656006,4.855857142857142,4.884928571428574,4.963033333333333,,,
1999-05-12,4.85,4.86,4.82,4.85,2215657.0,4.8599999999999985,,5.210634708404541,4.864428571428571,4.874214285714288,4.9547,,,
1999-05-13,4.893,4.95,4.83,4.95,2509993.0,4.799999999999999,,5.252608776092528,4.883000000000001,4.873500000000003,4.9505,,,
1999-05-14,4.99,5.07,4.97,5.05,3052897.0,4.979,,5.293307304382324,4.904428571428572,4.877071428571432,4.9505,,,
1999-05-17,4.99,5.03,4.94,5.015,2518677.0,5.23,,5.33273983001709,4.917857142857144,4.882428571428575,4.946666666666666,,,
1999-05-18,5.0,5.07,4.98,5.05,2963498.0,5.18,,5.370916366577148,4.943571428571429,4.894571428571432,4.946333333333333,,,
1999-05-19,5.01,5.15,5.01,5.15,4755192.0,5.26,,5.407846450805664,4.986428571428571,4.918285714285718,4.951333333333333,,,
1999-05-20,5.19,5.3,5.19,5.27,6888017.0,5.450000000000001,,5.443539619445801,5.047857142857142,4.951857142857146,4.960333333333334,,,
1999-05-21,5.27,5.27,5.19,5.24,6933960.0,5.589999999999999,,5.478005886077881,5.103571428571428,4.984000000000003,4.967666666666667,,,
1999-05-24,5.23,5.27,5.22,5.228,1262835.0,5.4300000000000015,,5.511255264282227,5.143285714285713,5.013142857142859,4.9732666666666665,,,
