Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2012-11-08,4.5,4.6,4.48,4.48,70781.0,,,0.39471685886383057,,,,,,
2012-11-09,4.45,4.65,4.4,4.65,62378.0,,,0.4153895080089569,,,,,,
2012-11-12,4.66,5.03,4.66,4.97,127287.0,,,0.4465910792350769,,,,,,
2012-11-13,5.01,5.1,4.95,4.95,112418.0,,,0.4927645027637482,,,,,,
2012-11-14,4.93,4.93,4.86,4.87,61184.0,,,0.5592813491821289,,,,,,
2012-11-15,4.85,4.85,4.6,4.68,87836.0,,,0.6480751037597656,,,,,,
2012-11-16,4.6,4.62,4.58,4.6,30300.0,4.879999999999999,,0.7269306182861328,4.742857142857143,,,,,
2012-11-19,4.62,4.7,4.62,4.7,12093.0,4.549999999999999,,0.7824521064758301,4.774285714285715,,,,,
2012-11-20,4.72,4.88,4.72,4.88,26912.0,4.4300000000000015,,0.8393028974533081,4.807142857142858,,,,,
2012-11-21,4.95,5.05,4.94,5.02,12210.0,4.81,,0.8990110754966736,4.814285714285715,,,,,
2012-11-22,5.02,5.02,4.93,5.02,13013.0,5.169999999999999,,0.9512342810630798,4.824285714285714,,,,,
2012-11-23,5.08,5.08,5.08,5.08,11664.0,5.3599999999999985,,1.0054616928100586,4.854285714285714,,,,,
2012-11-26,5.08,5.12,5.08,5.08,22937.0,5.5600000000000005,,1.0600202083587646,4.911428571428571,,,,,
2012-11-27,5.07,5.11,5.0,5.0,24477.0,5.46,,1.105048418045044,4.968571428571428,4.855714285714286,,,,
2012-11-28,5.04,5.04,5.02,5.02,19304.0,5.12,,1.1492624282836914,5.014285714285713,4.894285714285714,,,,
2012-11-29,5.08,5.12,5.05,5.05,31600.0,5.02,,1.193018913269043,5.038571428571427,4.922857142857142,,,,
2012-11-30,5.12,5.5,5.12,5.5,73802.0,5.08,,1.2363216876983645,5.107142857142855,4.9607142857142845,,,,
2012-12-03,5.7,6.2,5.7,6.1,84712.0,5.92,,1.2791566848754885,5.261428571428569,5.042857142857142,,,,
2012-12-04,5.88,5.88,5.5,5.5,52041.0,7.119999999999999,,1.3213796615600586,5.321428571428569,5.087857142857141,,,,
2012-12-05,5.51,5.75,5.5,5.7,69896.0,6.0,,1.360968828201294,5.409999999999998,5.160714285714284,,,,
2012-12-06,5.72,6.1,5.72,6.06,44066.0,6.380000000000001,,1.3999698162078855,5.5614285714285705,5.264999999999999,,,,
2012-12-07,6.13,6.2,5.95,5.95,43881.0,7.0699999999999985,,1.4379949569702148,5.694285714285714,5.354285714285713,,,,
