Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2003-07-16,0.54,0.54,0.52,0.53,8231758.0,,
2003-07-17,0.53,0.53,0.51,0.52,2880586.0,,
2003-07-18,0.51,0.52,0.5,0.52,5491781.0,,
2003-07-21,0.52,0.54,0.51,0.53,6970226.0,,
2003-07-22,0.53,0.53,0.52,0.52,3135094.0,,
2003-07-23,0.53,0.53,0.51,0.52,5740225.0,,
2003-07-24,0.52,0.52,0.51,0.52,2765548.0,0.51,
2003-07-25,0.52,0.52,0.51,0.52,3447504.0,0.52,
2003-07-28,0.52,0.52,0.51,0.52,1497386.0,0.52,
2003-07-29,0.52,0.53,0.51,0.53,1717909.0,0.51,
2003-07-30,0.52,0.53,0.51,0.52,10520880.0,0.54,
2003-07-31,0.52,0.53,0.51,0.53,2157724.0,0.52,
2003-08-01,0.52,0.53,0.52,0.52,13336989.0,0.54,
2003-08-04,0.52,0.52,0.51,0.52,2026927.0,0.52,
2003-08-05,0.52,0.52,0.51,0.51,7230384.0,0.52,
2003-08-06,0.51,0.52,0.51,0.51,1268285.0,0.49,
2003-08-07,0.52,0.52,0.51,0.51,4729348.0,0.5,
2003-08-08,0.5,0.5,0.49,0.495,8805022.0,0.49,
2003-08-11,0.495,0.5,0.48,0.495,15293347.0,0.47,
2003-08-12,0.495,0.52,0.485,0.52,24759590.0,0.47,
2003-08-13,0.51,0.52,0.51,0.51,6269736.0,0.53,
2003-08-14,0.52,0.52,0.51,0.52,5258811.0,0.51,
2003-08-15,0.52,0.52,0.5,0.51,3655953.0,0.53,
2003-08-18,0.51,0.52,0.5,0.51,6413845.0,0.525,
2003-08-19,0.51,0.52,0.51,0.52,9326900.0,0.525,
2003-08-20,0.52,0.53,0.51,0.52,13763044.0,0.52,
2003-08-21,0.53,0.54,0.52,0.54,14385374.0,0.53,
2003-08-22,0.54,0.55,0.54,0.55,17655292.0,0.56,
2003-08-25,0.55,0.56,0.54,0.55,3285048.0,0.5900000000000001,
2003-08-26,0.55,0.56,0.54,0.55,24464641.0,0.5900000000000001,
2003-08-27,0.55,0.55,0.54,0.54,7764840.0,0.5800000000000001,
2003-08-28,0.55,0.55,0.53,0.54,22509774.0,0.56,
2003-08-29,0.54,0.54,0.53,0.53,9976639.0,0.54,
2003-09-01,0.54,0.57,0.53,0.57,45059206.0,0.51,
2003-09-02,0.58,0.6,0.56,0.56,41068762.0,0.5899999999999999,
2003-09-03,0.57,0.58,0.56,0.58,33257664.0,0.5700000000000001,
2003-09-04,0.57,0.58,0.57,0.57,19459826.0,0.6199999999999999,
2003-09-05,0.58,0.58,0.56,0.57,6829124.0,0.5999999999999999,
2003-09-08,0.57,0.58,0.56,0.57,11601769.0,0.6099999999999999,
2003-09-09,0.57,0.6,0.55,0.56,30672823.0,0.57,
2003-09-10,0.55,0.56,0.53,0.56,27368311.0,0.56,
2003-09-11,0.56,0.56,0.54,0.54,20752917.0,0.5400000000000001,
2003-09-12,0.55,0.56,0.54,0.54,38518926.0,0.5100000000000001,
2003-09-15,0.55,0.56,0.54,0.55,10124343.0,0.5100000000000001,
2003-09-16,0.55,0.56,0.54,0.55,8539162.0,0.5300000000000001,
2003-09-17,0.55,0.55,0.54,0.54,23192698.0,0.54,
2003-09-18,0.54,0.55,0.53,0.54,11745779.0,0.52,
2003-09-19,0.54,0.55,0.54,0.55,4281866.0,0.54,
2003-09-22,0.55,0.55,0.54,0.55,2350235.0,0.56,
2003-09-23,0.55,0.55,0.54,0.55,4641502.0,0.55,
2003-09-24,0.55,0.55,0.53,0.54,4984077.0,0.55,
2003-09-25,0.54,0.54,0.53,0.54,5857164.0,0.54,
2003-09-26,0.54,0.54,0.53,0.53,3924439.0,0.54,
2003-09-29,0.53,0.54,0.52,0.53,5642623.0,0.51,
2003-09-30,0.52,0.53,0.5,0.52,12903892.0,0.51,
2003-10-01,0.51,0.52,0.51,0.51,7439520.0,0.49,
2003-10-02,0.52,0.53,0.51,0.52,7849341.0,0.48,
2003-10-03,0.52,0.53,0.52,0.52,2720901.0,0.5,
2003-10-06,0.52,0.53,0.52,0.53,837482.0,0.51,
2003-10-07,0.53,0.53,0.52,0.53,1410572.0,0.53,
2003-10-08,0.53,0.53,0.51,0.52,7814002.0,0.54,
2003-10-09,0.51,0.52,0.51,0.51,3147019.0,0.53,
2003-10-10,0.51,0.52,0.51,0.51,1843690.0,0.5,
2003-10-13,0.51,0.52,0.51,0.51,1564313.0,0.5,
2003-10-14,0.51,0.52,0.51,0.51,4955541.0,0.49,
2003-10-15,0.52,0.52,0.51,0.51,4160384.0,0.49,
2003-10-16,0.52,0.53,0.52,0.52,8569808.0,0.5,
2003-10-17,0.53,0.53,0.52,0.53,8194370.0,0.53,
2003-10-20,0.53,0.53,0.52,0.53,2738521.0,0.55,
2003-10-21,0.53,0.53,0.51,0.53,7385060.0,0.55,
2003-10-22,0.53,0.53,0.52,0.52,4953341.0,0.55,
2003-10-23,0.52,0.53,0.51,0.53,7007112.0,0.53,
2003-10-24,0.52,0.53,0.51,0.53,9104133.0,0.54,
2003-10-27,0.53,0.53,0.52,0.52,1241912.0,0.53,
2003-10-28,0.52,0.53,0.52,0.52,2497281.0,0.51,
2003-10-29,0.52,0.53,0.52,0.52,3221230.0,0.51,
2003-10-30,0.52,0.53,0.52,0.52,8780091.0,0.52,
2003-10-31,0.52,0.53,0.52,0.52,22326412.0,0.51,
2003-11-03,0.52,0.53,0.51,0.51,17940329.0,0.51,
2003-11-04,0.51,0.52,0.51,0.51,1013303.0,0.5,
2003-11-05,0.51,0.52,0.51,0.51,1668089.0,0.5,
2003-11-06,0.51,0.52,0.51,0.51,5841905.0,0.5,
2003-11-07,0.52,0.52,0.475,0.495,24845124.0,0.5,
2003-11-10,0.5,0.51,0.5,0.5,21121668.0,0.47,
2003-11-11,0.5,0.51,0.495,0.5,9867300.0,0.49,
2003-11-12,0.5,0.5,0.485,0.485,3755491.0,0.49,
2003-11-13,0.495,0.5,0.49,0.495,4945591.0,0.46,
2003-11-14,0.495,0.495,0.49,0.495,926786.0,0.48,
2003-11-17,0.49,0.49,0.48,0.48,5282077.0,0.495,
2003-11-18,0.475,0.475,0.465,0.475,10590599.0,0.46,
2003-11-19,0.475,0.49,0.47,0.49,3136160.0,0.45,
2003-11-20,0.49,0.495,0.485,0.485,2887423.0,0.495,
2003-11-21,0.48,0.485,0.47,0.475,3046659.0,0.475,
2003-11-24,0.48,0.48,0.47,0.48,1876614.0,0.455,
2003-11-25,0.485,0.49,0.48,0.485,3642006.0,0.48,
2003-11-26,0.485,0.49,0.48,0.49,2456032.0,0.495,
2003-11-27,0.49,0.49,0.48,0.49,3390220.0,0.49,
2003-11-28,0.485,0.49,0.485,0.49,8928832.0,0.495,
2003-12-01,0.49,0.49,0.48,0.48,1104204.0,0.505,
2003-12-02,0.485,0.485,0.475,0.475,3330924.0,0.48,
2003-12-03,0.475,0.48,0.47,0.47,2227876.0,0.465,
2003-12-04,0.475,0.475,0.47,0.47,1825326.0,0.45,
2003-12-05,0.47,0.48,0.47,0.475,917609.0,0.45,
2003-12-08,0.475,0.49,0.475,0.48,10029320.0,0.46,
2003-12-09,0.485,0.49,0.48,0.48,3022848.0,0.48,
2003-12-10,0.48,0.485,0.475,0.48,6426798.0,0.485,
2003-12-11,0.485,0.485,0.47,0.47,1993844.0,0.49,
2003-12-12,0.475,0.48,0.47,0.475,727131.0,0.47,
2003-12-15,0.48,0.485,0.475,0.48,4125107.0,0.475,
2003-12-16,0.48,0.485,0.475,0.475,3057800.0,0.48,
2003-12-23,0.485,0.51,0.485,0.51,5422167.0,0.47,
2003-12-24,0.5,0.5,0.49,0.49,1852664.0,0.54,
2003-12-29,0.495,0.5,0.495,0.495,3735658.0,0.51,
2003-12-30,0.5,0.5,0.49,0.49,1343680.0,0.515,
2003-12-31,0.49,0.495,0.485,0.485,1087724.0,0.5,
2004-01-02,0.485,0.49,0.485,0.485,1049108.0,0.495,
2004-01-05,0.485,0.485,0.475,0.475,3927980.0,0.46,
2004-01-06,0.48,0.49,0.48,0.485,5074166.0,0.46,
2004-01-07,0.485,0.49,0.48,0.485,5503967.0,0.475,
2004-01-08,0.485,0.49,0.48,0.48,1683849.0,0.48,
2004-01-09,0.485,0.485,0.48,0.485,1577234.0,0.475,
2004-01-12,0.485,0.49,0.48,0.48,1045421.0,0.485,
2004-01-13,0.485,0.495,0.48,0.49,7993729.0,0.485,
2004-01-14,0.49,0.495,0.49,0.49,3289535.0,0.495,
2004-01-15,0.49,0.5,0.49,0.5,8583110.0,0.495,
2004-01-16,0.495,0.51,0.49,0.51,5444064.0,0.52,
2004-01-19,0.51,0.52,0.495,0.5,5186687.0,0.535,
2004-01-20,0.5,0.53,0.5,0.52,3779248.0,0.52,
2004-01-21,0.53,0.53,0.52,0.53,2780772.0,0.55,
2004-01-22,0.53,0.53,0.52,0.52,2051714.0,0.5700000000000001,
2004-01-23,0.52,0.53,0.52,0.53,3877408.0,0.54,
2004-01-27,0.52,0.53,0.51,0.51,4788409.0,0.55,
2004-01-28,0.51,0.52,0.51,0.51,5751754.0,0.52,
2004-01-29,0.51,0.51,0.495,0.495,5471493.0,0.5,
2004-01-30,0.495,0.51,0.495,0.5,1636023.0,0.46,
2004-02-02,0.5,0.5,0.49,0.49,5306039.0,0.48,
2004-02-03,0.495,0.5,0.49,0.49,13704554.0,0.45,
2004-02-04,0.49,0.495,0.49,0.49,1842776.0,0.47,
2004-02-05,0.495,0.5,0.485,0.485,2627371.0,0.47,
2004-02-06,0.49,0.495,0.49,0.49,1590500.0,0.475,
2004-02-09,0.495,0.495,0.49,0.49,1563082.0,0.48,
2004-02-10,0.49,0.49,0.485,0.485,3123507.0,0.49,
