Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2003-01-02,0.78,0.78,0.78,0.78,,,
2003-01-03,0.8,0.8,0.78,0.78,65900.0,,
2003-01-06,0.79,0.79,0.78,0.79,13923.0,,
2003-01-07,0.79,0.79,0.77,0.77,12547.0,,
2003-01-08,0.78,0.78,0.78,0.78,12547.0,,
2003-01-09,0.78,0.78,0.75,0.75,107078.0,,
2003-01-10,0.76,0.79,0.76,0.79,43300.0,0.72,
2003-01-13,0.77,0.77,0.77,0.77,4922.0,0.8,
2003-01-14,0.78,0.78,0.77,0.77,48078.0,0.75,
2003-01-15,0.77,0.77,0.77,0.77,85000.0,0.77,
2003-01-16,0.75,0.75,0.75,0.75,13000.0,0.76,
2003-01-17,0.75,0.78,0.74,0.78,24560.0,0.75,
2003-01-20,0.74,0.76,0.73,0.76,39860.0,0.77,
2003-01-21,0.75,0.75,0.75,0.75,25000.0,0.75,
2003-01-22,0.74,0.74,0.73,0.74,30000.0,0.73,
2003-01-23,0.74,0.75,0.74,0.75,37225.0,0.71,
2003-01-24,0.76,0.77,0.76,0.77,3508858.0,0.75,
2003-01-28,0.75,0.76,0.75,0.75,44525.0,0.76,
2003-01-29,0.76,0.76,0.73,0.74,56234.0,0.74,
2003-01-30,0.76,0.76,0.76,0.76,16000.0,0.73,
2003-01-31,0.76,0.78,0.76,0.78,205050.0,0.78,
2003-02-03,0.77,0.78,0.77,0.78,24550.0,0.81,
2003-02-04,0.78,0.79,0.77,0.79,41404.0,0.79,
2003-02-05,0.79,0.79,0.78,0.78,56696.0,0.8300000000000001,
2003-02-06,0.78,0.78,0.73,0.74,95100.0,0.8200000000000001,
2003-02-07,0.74,0.74,0.73,0.73,6248.0,0.72,
2003-02-10,0.75,0.76,0.75,0.76,17952.0,0.6799999999999999,
2003-02-11,0.75,0.77,0.75,0.77,27000.0,0.74,
2003-02-12,0.77,0.77,0.75,0.75,37718.0,0.75,
2003-02-13,0.75,0.75,0.73,0.73,98000.0,0.72,
2003-02-14,0.74,0.75,0.74,0.75,11632.0,0.72,
2003-02-17,0.75,0.76,0.75,0.76,115000.0,0.77,
2003-02-18,0.77,0.77,0.76,0.76,12877.0,0.76,
2003-02-19,0.76,0.76,0.76,0.76,17400.0,0.75,
2003-02-20,0.76,0.77,0.75,0.77,391255.0,0.77,
2003-02-21,0.77,0.77,0.77,0.77,20600.0,0.81,
2003-02-24,0.76,0.76,0.7,0.71,249147.0,0.79,
2003-02-25,0.71,0.71,0.7,0.71,52500.0,0.6599999999999999,
2003-02-26,0.73,0.73,0.73,0.73,800.0,0.6599999999999999,
2003-02-27,0.71,0.71,0.71,0.71,54500.0,0.7,
2003-02-28,0.71,0.71,0.71,0.71,42260.0,0.6499999999999999,
2003-03-03,0.71,0.71,0.71,0.71,3000.0,0.6499999999999999,
2003-03-04,0.72,0.72,0.71,0.71,50740.0,0.71,
2003-03-05,0.69,0.69,0.69,0.69,50740.0,0.71,
2003-03-06,0.7,0.7,0.68,0.7,23184.0,0.6499999999999999,
2003-03-07,0.7,0.7,0.7,0.7,5000.0,0.69,
2003-03-10,0.68,0.68,0.67,0.68,48900.0,0.69,
2003-03-11,0.67,0.67,0.61,0.64,157450.0,0.6500000000000001,
2003-03-12,0.62,0.63,0.6,0.6,254500.0,0.5700000000000001,
2003-03-13,0.61,0.64,0.61,0.64,211843.0,0.51,
2003-03-14,0.68,0.68,0.68,0.68,13900.0,0.5800000000000001,
2003-03-17,0.66,0.7,0.66,0.7,38043.0,0.6600000000000001,
2003-03-18,0.71,0.74,0.71,0.73,98460.0,0.7199999999999999,
2003-03-19,0.75,0.77,0.75,0.77,401900.0,0.82,
2003-03-20,0.78,0.8,0.78,0.8,178700.0,0.94,
2003-03-21,0.79,0.79,0.76,0.76,759500.0,0.96,
2003-03-24,0.76,0.77,0.76,0.77,73700.0,0.84,
2003-03-25,0.77,0.77,0.76,0.76,283643.0,0.8400000000000001,
2003-03-26,0.77,0.8,0.76,0.8,237000.0,0.79,
2003-03-27,0.8,0.8,0.78,0.78,356400.0,0.8300000000000001,
2003-03-28,0.78,0.78,0.78,0.78,377200.0,0.76,
2003-03-31,0.78,0.78,0.78,0.78,59400.0,0.8,
2003-04-01,0.77,0.8,0.77,0.79,785630.0,0.79,
2003-04-02,0.79,0.8,0.79,0.79,96500.0,0.8200000000000001,
2003-04-03,0.8,0.8,0.79,0.79,88400.0,0.78,
2003-04-04,0.8,0.8,0.79,0.79,10550.0,0.8,
2003-04-07,0.8,0.83,0.8,0.83,72014.0,0.8,
2003-04-08,0.81,0.82,0.81,0.82,19700.0,0.8799999999999999,
2003-04-09,0.83,0.83,0.81,0.81,40000.0,0.8499999999999999,
2003-04-10,0.81,0.81,0.8,0.81,40000.0,0.8300000000000001,
2003-04-11,0.83,0.83,0.8,0.8,92686.0,0.8300000000000001,
2003-04-14,0.81,0.82,0.81,0.82,6314.0,0.81,
2003-04-15,0.83,0.85,0.83,0.84,59305.0,0.8099999999999999,
2003-04-16,0.85,0.88,0.85,0.88,80002.0,0.86,
2003-04-17,0.87,0.88,0.87,0.88,12000.0,0.95,
2003-04-22,0.88,0.89,0.86,0.88,69695.0,0.95,
2003-04-23,0.88,0.88,0.88,0.88,42500.0,0.96,
2003-04-24,0.88,0.91,0.88,0.91,203224.0,0.94,
