Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2003-01-02,0.26,0.27,0.26,0.27,16200.0,,
2003-01-03,0.275,0.285,0.275,0.285,21700.0,,
2003-01-06,0.27,0.27,0.27,0.27,5000.0,,
2003-01-07,0.27,0.29,0.27,0.29,20000.0,,
2003-01-08,0.29,0.3,0.275,0.275,84500.0,,
2003-01-09,0.27,0.27,0.27,0.27,84500.0,,
2003-01-10,0.285,0.29,0.285,0.29,56805.0,0.27,
2003-01-13,0.29,0.325,0.29,0.325,127900.0,0.295,
2003-01-14,0.315,0.345,0.315,0.345,123870.0,0.38,
2003-01-15,0.34,0.38,0.33,0.36,315848.0,0.4,
2003-01-16,0.36,0.36,0.32,0.32,57599.0,0.445,
2003-01-17,0.31,0.32,0.3,0.32,129501.0,0.37,
2003-01-20,0.33,0.33,0.32,0.32,10023.0,0.35000000000000003,
2003-01-21,0.32,0.32,0.32,0.32,49577.0,0.315,
2003-01-22,0.33,0.345,0.33,0.345,150423.0,0.29500000000000004,
2003-01-23,0.34,0.34,0.34,0.34,1450.0,0.33,
2003-01-24,0.34,0.34,0.34,0.34,18000.0,0.36000000000000004,
2003-01-28,0.34,0.34,0.33,0.34,157000.0,0.36000000000000004,
2003-01-29,0.34,0.34,0.34,0.34,3300.0,0.36000000000000004,
2003-01-30,0.31,0.34,0.31,0.315,78000.0,0.36000000000000004,
2003-01-31,0.3,0.32,0.3,0.32,38000.0,0.28500000000000003,
2003-02-03,0.28,0.28,0.28,0.28,38000.0,0.3,
2003-02-04,0.28,0.28,0.28,0.28,38000.0,0.22000000000000006,
2003-02-05,0.3,0.3,0.3,0.3,13000.0,0.22000000000000006,
2003-02-06,0.285,0.285,0.27,0.275,162699.0,0.25999999999999995,
2003-02-07,0.27,0.27,0.26,0.265,67259.0,0.23500000000000004,
2003-02-10,0.265,0.3,0.265,0.3,120000.0,0.21,
2003-02-11,0.25,0.25,0.25,0.25,1700.0,0.31999999999999995,
2003-02-12,0.3,0.3,0.3,0.3,50000.0,0.22,
2003-02-13,0.25,0.25,0.25,0.25,50000.0,0.3,
2003-02-14,0.25,0.25,0.25,0.25,50000.0,0.225,
2003-02-17,0.28,0.28,0.28,0.28,50000.0,0.235,
2003-02-18,0.28,0.28,0.28,0.28,50000.0,0.2600000000000001,
2003-02-19,0.28,0.29,0.28,0.29,12000.0,0.31000000000000005,
2003-02-20,0.27,0.27,0.27,0.27,12000.0,0.28,
2003-02-21,0.29,0.29,0.255,0.255,23000.0,0.29000000000000004,
2003-02-24,0.28,0.28,0.28,0.28,11000.0,0.26,
2003-02-25,0.255,0.255,0.255,0.255,11000.0,0.28,
2003-02-26,0.29,0.29,0.29,0.29,9000.0,0.23,
2003-02-27,0.255,0.29,0.255,0.29,49000.0,0.29,
2003-02-28,0.25,0.25,0.25,0.25,49000.0,0.30999999999999994,
2003-03-03,0.25,0.29,0.25,0.29,32000.0,0.245,
2003-03-04,0.23,0.23,0.23,0.23,32000.0,0.29999999999999993,
2003-03-05,0.24,0.24,0.24,0.24,32000.0,0.205,
2003-03-06,0.23,0.23,0.23,0.23,32000.0,0.19,
2003-03-07,0.25,0.25,0.23,0.23,22000.0,0.17000000000000004,
2003-03-10,0.22,0.275,0.22,0.275,33000.0,0.21,
2003-03-11,0.255,0.255,0.255,0.255,33000.0,0.2600000000000001,
2003-03-12,0.255,0.255,0.25,0.25,30000.0,0.28,
2003-03-13,0.25,0.25,0.25,0.25,35530.0,0.26,
2003-03-14,0.25,0.26,0.25,0.26,123000.0,0.27,
2003-03-17,0.235,0.235,0.235,0.235,123000.0,0.29000000000000004,
2003-03-18,0.235,0.235,0.235,0.235,123000.0,0.19499999999999995,
2003-03-19,0.235,0.235,0.235,0.235,2100.0,0.215,
2003-03-20,0.22,0.22,0.22,0.22,2100.0,0.22,
2003-03-21,0.22,0.22,0.22,0.22,2100.0,0.19,
2003-03-24,0.22,0.225,0.22,0.22,129805.0,0.18,
2003-03-25,0.215,0.215,0.21,0.21,247500.0,0.205,
2003-03-26,0.205,0.205,0.205,0.205,247500.0,0.185,
2003-03-27,0.205,0.205,0.205,0.205,27777.0,0.175,
2003-03-28,0.21,0.21,0.21,0.21,8250.0,0.19,
2003-03-31,0.22,0.23,0.22,0.23,10000.0,0.2,
2003-04-01,0.21,0.21,0.21,0.21,10000.0,0.24,
2003-04-02,0.21,0.21,0.21,0.21,10000.0,0.21,
2003-04-03,0.23,0.25,0.23,0.25,297263.0,0.215,
2003-04-04,0.26,0.26,0.26,0.26,5000.0,0.29500000000000004,
2003-04-07,0.26,0.28,0.25,0.26,257400.0,0.31000000000000005,
2003-04-08,0.25,0.25,0.25,0.25,257400.0,0.29000000000000004,
2003-04-09,0.26,0.26,0.23,0.25,1705282.0,0.29000000000000004,
2003-04-10,0.25,0.25,0.23,0.25,50560.0,0.29000000000000004,
2003-04-11,0.23,0.23,0.23,0.23,50560.0,0.25,
2003-04-14,0.23,0.23,0.23,0.23,3000.0,0.2,
2003-04-15,0.24,0.24,0.23,0.23,22133.0,0.2,
2003-04-16,0.24,0.24,0.24,0.24,22133.0,0.21,
2003-04-17,0.24,0.24,0.24,0.24,22133.0,0.23,
2003-04-22,0.24,0.24,0.24,0.24,12700.0,0.23,
2003-04-23,0.275,0.275,0.24,0.24,30000.0,0.25,
2003-04-24,0.275,0.275,0.265,0.265,65000.0,0.25,
2003-04-28,0.3,0.3,0.3,0.3,36700.0,0.30000000000000004,
2003-04-29,0.265,0.265,0.265,0.265,36700.0,0.36,
2003-04-30,0.27,0.27,0.27,0.27,36700.0,0.29000000000000004,
2003-05-01,0.29,0.29,0.29,0.29,9099.0,0.30000000000000004,
2003-05-02,0.28,0.29,0.28,0.29,30000.0,0.34,
2003-05-05,0.275,0.275,0.275,0.275,30000.0,0.31499999999999995,
2003-05-06,0.29,0.29,0.29,0.29,82004.0,0.2500000000000001,
2003-05-07,0.3,0.3,0.29,0.29,14996.0,0.31499999999999995,
2003-05-08,0.275,0.275,0.275,0.275,14996.0,0.30999999999999994,
2003-05-09,0.275,0.29,0.275,0.29,15550.0,0.2600000000000001,
2003-05-12,0.29,0.29,0.29,0.29,67404.0,0.29,
2003-05-13,0.29,0.29,0.29,0.29,15000.0,0.30499999999999994,
2003-05-14,0.29,0.29,0.29,0.29,15000.0,0.29,
2003-05-15,0.29,0.3,0.27,0.3,36346.0,0.29,
2003-05-16,0.3,0.34,0.3,0.34,157900.0,0.325,
2003-05-19,0.33,0.33,0.31,0.31,59060.0,0.3900000000000001,
2003-05-20,0.31,0.31,0.29,0.29,123250.0,0.33,
2003-05-21,0.275,0.275,0.275,0.275,123250.0,0.29,
2003-05-22,0.28,0.33,0.28,0.33,29790.0,0.2600000000000001,
2003-05-23,0.29,0.29,0.29,0.29,29790.0,0.36000000000000004,
2003-05-26,0.29,0.29,0.29,0.29,29790.0,0.23999999999999996,
2003-05-27,0.29,0.29,0.29,0.29,30000.0,0.27,
2003-05-28,0.29,0.29,0.28,0.29,63225.0,0.29,
2003-05-29,0.28,0.28,0.28,0.28,63225.0,0.30499999999999994,
2003-05-30,0.27,0.27,0.27,0.27,63225.0,0.23000000000000004,
2003-06-02,0.29,0.29,0.29,0.29,1500.0,0.2500000000000001,
2003-06-03,0.29,0.29,0.29,0.29,1500.0,0.29,
2003-06-04,0.29,0.29,0.29,0.29,1500.0,0.29,
2003-06-05,0.3,0.3,0.3,0.3,15000.0,0.29,
2003-06-06,0.29,0.29,0.29,0.29,15000.0,0.31999999999999995,
2003-06-10,0.29,0.29,0.29,0.29,10750.0,0.30999999999999994,
2003-06-11,0.28,0.28,0.28,0.28,38000.0,0.29,
2003-06-12,0.28,0.28,0.28,0.28,17000.0,0.2700000000000001,
2003-06-13,0.28,0.28,0.27,0.27,32832.0,0.2700000000000001,
2003-06-16,0.28,0.28,0.28,0.28,32832.0,0.24000000000000005,
2003-06-17,0.28,0.28,0.22,0.22,43930.0,0.2700000000000001,
2003-06-18,0.24,0.26,0.24,0.26,31000.0,0.15000000000000002,
2003-06-19,0.26,0.26,0.26,0.26,31000.0,0.24,
2003-06-20,0.27,0.28,0.27,0.28,18500.0,0.24,
2003-06-23,0.28,0.285,0.25,0.28,44781.0,0.29000000000000004,
2003-06-24,0.25,0.25,0.25,0.25,44781.0,0.28,
2003-06-25,0.275,0.28,0.275,0.28,5000.0,0.28,
2003-06-26,0.255,0.255,0.255,0.255,5000.0,0.30000000000000004,
2003-06-27,0.255,0.255,0.255,0.255,5000.0,0.25,
2003-06-30,0.26,0.26,0.26,0.26,9000.0,0.23,
2003-07-01,0.26,0.26,0.255,0.255,5000.0,0.24,
2003-07-02,0.255,0.255,0.255,0.255,5000.0,0.26,
2003-07-03,0.27,0.27,0.26,0.26,38275.0,0.23,
2003-07-04,0.26,0.26,0.26,0.26,38275.0,0.265,
2003-07-07,0.26,0.26,0.26,0.26,20000.0,0.265,
2003-07-08,0.265,0.265,0.26,0.26,42456.0,0.26,
2003-07-09,0.26,0.26,0.26,0.26,42456.0,0.265,
2003-07-10,0.27,0.275,0.27,0.275,55000.0,0.265,
2003-07-11,0.275,0.275,0.275,0.275,4460.0,0.29000000000000004,
2003-07-14,0.275,0.275,0.275,0.275,4460.0,0.29000000000000004,
2003-07-15,0.28,0.285,0.28,0.285,33653.0,0.29000000000000004,
2003-07-16,0.285,0.285,0.285,0.285,33653.0,0.30999999999999994,
2003-07-17,0.285,0.305,0.285,0.3,75178.0,0.30999999999999994,
2003-07-18,0.29,0.29,0.28,0.28,3000.0,0.325,
2003-07-21,0.29,0.29,0.29,0.29,3000.0,0.28500000000000003,
2003-07-22,0.29,0.29,0.29,0.29,17000.0,0.30499999999999994,
2003-07-23,0.3,0.33,0.3,0.33,156344.0,0.295,
2003-07-24,0.33,0.33,0.33,0.33,15250.0,0.3750000000000001,
2003-07-25,0.33,0.365,0.33,0.35,206000.0,0.36000000000000004,
