Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2005-10-03,2.15,2.15,1.99,2.01,15900.0,,
2005-10-04,2.1,2.14,2.1,2.14,7000.0,,
2005-10-05,2.14,2.14,2.14,2.14,200.0,,
2005-10-06,2.19,2.19,2.1,2.1,8700.0,,
2005-10-07,2.1,2.1,2.1,2.1,300.0,,
2005-10-10,2.1,2.1,2.01,2.01,4500.0,,
2005-10-11,2.04,2.04,2.04,2.04,1500.0,2.01,
2005-10-12,2.0401,2.0401,2.04,2.04,1300.0,1.94,
2005-10-13,2.04,2.04,2.04,2.04,1000.0,1.94,
2005-10-14,2.1,2.1,2.1,2.1,2700.0,1.98,
2005-10-17,2.09,2.09,2.09,2.09,400.0,2.1,
2005-10-19,2.04,2.04,2.01,2.01,5900.0,2.17,
2005-10-20,1.96,1.96,1.929,1.929,10100.0,1.9799999999999995,
2005-10-21,1.92,1.92,1.92,1.92,1600.0,1.818,
2005-10-24,1.9,1.9,1.88,1.88,400.0,1.7999999999999998,
2005-10-25,1.83,1.85,1.83,1.85,1200.0,1.6599999999999997,
2005-10-26,1.84,1.84,1.8,1.8,4300.0,1.6100000000000003,
2005-10-27,1.78,1.85,1.7301,1.8,4400.0,1.5900000000000003,
2005-10-28,1.78,1.8799,1.78,1.8799,7500.0,1.671,
2005-10-31,2.0,2.0,1.94,1.95,9900.0,1.8398,
2005-11-01,1.98,1.98,1.93,1.93,900.0,2.02,
2005-11-02,1.95,1.95,1.95,1.95,2600.0,2.01,
2005-11-03,1.9,1.9,1.81,1.8101,4800.0,2.1,
2005-11-04,1.9,1.94,1.9,1.94,3000.0,1.8202,
2005-11-07,1.9,1.9,1.81,1.89,8100.0,2.0001,
2005-11-08,1.95,1.95,1.95,1.95,400.0,1.83,
2005-11-09,2.0,2.0,1.9,1.9,7100.0,1.97,
2005-11-10,1.9,1.9,1.9,1.9,200.0,1.85,
2005-11-14,1.85,1.85,1.7,1.7,16800.0,1.9899,
2005-11-15,1.7,1.7,1.61,1.669,9400.0,1.46,
2005-11-16,1.65,1.68,1.61,1.67,9600.0,1.4480000000000002,
2005-11-17,1.74,1.74,1.74,1.74,300.0,1.39,
2005-11-18,1.62,2.0,1.62,1.97,14000.0,1.58,
2005-11-21,1.92,1.97,1.92,1.97,3800.0,2.04,
2005-11-22,1.901,1.901,1.9,1.9,1000.0,2.24,
2005-11-23,1.9,1.94,1.9,1.94,1100.0,2.131,
2005-11-28,1.99,1.99,1.9001,1.99,7900.0,2.21,
2005-11-29,1.59,2.05,1.59,2.04,58400.0,2.24,
2005-11-30,1.96,2.03,1.93,1.93,3800.0,2.1100000000000003,
2005-12-01,1.83,2.0,1.7,2.0,7100.0,1.89,
2005-12-02,2.0,2.02,1.9501,1.99,10600.0,2.1,
2005-12-05,1.95,1.9501,1.9,1.9,1900.0,2.04,
2005-12-06,1.95,1.95,1.9,1.93,6500.0,1.81,
2005-12-08,1.91,2.0,1.9,2.0,8000.0,1.82,
2005-12-09,1.98,1.98,1.95,1.95,500.0,2.0700000000000003,
2005-12-12,1.92,1.92,1.8,1.8,3800.0,1.9,
2005-12-13,1.76,1.76,1.71,1.711,2200.0,1.61,
2005-12-14,1.71,1.71,1.7,1.7,3100.0,1.5219999999999998,
2005-12-15,1.7,1.709,1.62,1.68,6600.0,1.47,
2005-12-16,1.61,1.7,1.6,1.7,7400.0,1.36,
2005-12-19,1.7999,1.7999,1.7,1.7,1600.0,1.45,
2005-12-20,1.7,1.85,1.65,1.85,11100.0,1.6,
2005-12-21,1.84,2.0,1.84,1.9,20700.0,1.9890000000000003,
2005-12-22,1.95,1.95,1.75,1.75,6500.0,2.1,
2005-12-23,2.15,2.15,2.1,2.15,6200.0,1.82,
2005-12-28,2.1,2.1501,2.05,2.15,9600.0,2.6,
2005-12-29,2.1,2.15,2.03,2.03,8900.0,2.6,
2005-12-30,2.1,2.1,1.95,1.95,7500.0,2.2099999999999995,
2006-01-03,2.2,2.2,1.95,2.0,36400.0,2.0,
2006-01-05,1.9,1.94,1.85,1.872,2400.0,2.25,
2006-01-06,1.88,2.04,1.88,2.0,6800.0,1.594,
2006-01-09,2.2,2.2,2.0,2.0,11900.0,1.85,
2006-01-10,2.1,2.1999,2.05,2.05,4800.0,1.97,
2006-01-12,2.1,2.1,2.099,2.0999,1200.0,2.1499999999999995,
2006-01-17,2.12,2.12,2.11,2.11,600.0,2.1998,
2006-01-18,2.07,2.1,2.07,2.1,1400.0,2.3480000000000003,
2006-01-19,2.06,2.2,2.06,2.2,4400.0,2.2,
2006-01-20,2.1,2.1006,2.1,2.1006,700.0,2.4000000000000004,
2006-01-23,2.15,2.15,2.05,2.05,1200.0,2.1512,
2006-01-24,2.02,2.2399,2.01,2.2399,10700.0,2.0001,
2006-01-25,2.06,2.06,2.05,2.05,3100.0,2.3698,
2006-01-27,2.05,2.15,2.05,2.12,3600.0,2.0,
2006-01-30,2.199,2.199,2.14,2.14,300.0,2.04,
2006-01-31,2.19,2.19,2.1799,2.1799,800.0,2.1794,
2006-02-01,2.14,2.15,2.1,2.15,2000.0,2.3098,
2006-02-03,2.2,2.23,2.2,2.23,1500.0,2.0601,
2006-02-06,2.11,2.2,2.11,2.1101,1000.0,2.41,
2006-02-07,2.1101,2.1101,2.1101,2.1101,1000.0,2.1002,
2006-02-08,2.25,2.25,2.172,2.21,5000.0,2.0802,
2006-02-09,2.2,2.259,2.2,2.2,6600.0,2.2401,
2006-02-10,2.2,2.2,2.2,2.2,100.0,2.2500000000000004,
2006-02-14,2.2001,2.2001,2.1,2.1501,6900.0,2.1700000000000004,
2006-02-15,2.1401,2.1401,2.1401,2.1401,400.0,2.1901,
2006-02-16,2.1101,2.2899,2.1101,2.2899,1100.0,2.1701,
2006-03-01,2.27,2.29,2.27,2.29,1400.0,2.3698,
2006-03-02,2.2,2.2,2.2,2.2,1400.0,2.38,
2006-03-03,2.25,2.25,2.25,2.25,100.0,2.2,
2006-03-06,2.23,2.23,2.23,2.23,700.0,2.3499,
