Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2000-10-02,,,,3.76,,,
2000-10-03,3.75,3.82,3.74,3.82,1358247.0,,
2000-10-04,3.81,3.83,3.81,3.83,1335904.0,,
2000-10-05,3.83,3.84,3.83,3.83,1998159.0,,
2000-10-06,3.82,3.85,3.82,3.83,1749437.0,,
2000-10-09,3.83,3.83,3.8,3.8,2614797.0,,
2000-10-10,3.8,3.81,3.8,3.8,4979813.0,3.84,
2000-10-11,3.78,3.81,3.78,3.79,3017901.0,3.78,
2000-10-12,3.78,3.8,3.77,3.79,2437188.0,3.75,
2000-10-13,3.769,3.77,3.75,3.77,1914947.0,3.75,
2000-10-16,3.76,3.78,3.76,3.78,1828255.0,3.71,
2000-10-17,3.78,3.8,3.76,3.78,2530850.0,3.76,
2000-10-18,3.77,3.81,3.77,3.77,2284143.0,3.76,
2000-10-19,3.77,3.8,3.76,3.773,1202759.0,3.75,
2000-10-20,3.79,3.8,3.77,3.8,3880995.0,3.756,
2000-10-23,3.8,3.82,3.79,3.81,376332.0,3.83,
2000-10-24,3.8,3.81,3.79,3.79,767939.0,3.84,
2000-10-25,3.79,3.8,3.78,3.79,930003.0,3.8,
2000-10-26,3.8,3.8,3.75,3.77,329819.0,3.81,
2000-10-27,3.77,3.79,3.77,3.78,340285.0,3.767,
2000-10-30,3.77,3.8,3.76,3.76,2803969.0,3.76,
2000-10-31,3.77,3.77,3.75,3.75,1971087.0,3.71,
2000-11-01,3.75,3.77,3.75,3.77,869115.0,3.71,
2000-11-02,3.76,3.77,3.75,3.77,2238247.0,3.75,
2000-11-03,3.77,3.8,3.75,3.8,265225.0,3.77,
2000-11-06,3.8,3.85,3.8,3.85,1226758.0,3.82,
2000-11-07,3.87,3.89,3.83,3.881,1271605.0,3.94,
2000-11-08,3.865,3.91,3.865,3.9,3630159.0,4.0120000000000005,
2000-11-09,3.9,3.9,3.87,3.87,532948.0,4.0299999999999985,
2000-11-10,3.88,3.88,3.85,3.86,1296886.0,3.97,
2000-11-13,3.85,3.88,3.84,3.84,526943.0,3.92,
2000-11-14,3.84,3.86,3.83,3.853,934487.0,3.83,
2000-11-15,3.85,3.86,3.83,3.85,2275973.0,3.825,
2000-11-16,3.85,3.86,3.85,3.855,7445015.0,3.8,
2000-11-17,3.85,3.86,3.84,3.85,1429358.0,3.84,
2000-11-20,3.85,3.87,3.84,3.85,717160.0,3.84,
2000-11-21,3.85,3.85,3.84,3.85,959233.0,3.86,
2000-11-22,3.85,3.87,3.83,3.83,2673152.0,3.847,
2000-11-23,3.83,3.86,3.82,3.84,1170368.0,3.81,
2000-11-24,3.84,3.85,3.81,3.84,1098249.0,3.825,
2000-11-27,3.867,3.867,3.83,3.84,137199.0,3.83,
2000-11-28,3.84,3.86,3.83,3.86,3128317.0,3.83,
2000-11-29,3.86,3.86,3.84,3.85,947571.0,3.87,
2000-11-30,3.85,3.86,3.84,3.85,3243639.0,3.87,
2000-12-01,3.86,3.9,3.85,3.89,1577093.0,3.86,
2000-12-04,3.89,3.92,3.87,3.91,986683.0,3.94,
2000-12-05,3.906,3.96,3.906,3.932,1211632.0,3.98,
2000-12-06,3.97,3.97,3.92,3.93,766815.0,4.004,
2000-12-07,3.918,3.99,3.918,3.99,2571401.0,4.01,
2000-12-08,4.0,4.06,4.0,4.05,1515254.0,4.130000000000001,
2000-12-11,4.04,4.09,4.04,4.05,892485.0,4.209999999999999,
2000-12-12,4.07,4.08,4.06,4.07,1177831.0,4.19,
2000-12-13,4.085,4.085,4.04,4.05,1495928.0,4.208,
